Year,January,February,March,April,May,June,July,August,September,October,November,December
1901,11.75326,11.24674,13.00000,14.01304,16.26630,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1902,11.75326,11.24674,13.00000,14.01304,16.26630,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1903,11.75326,11.24674,13.00000,14.01304,16.26630,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1904,11.75326,11.24674,13.00000,14.01304,16.26630,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1905,11.75326,11.24674,13.00000,14.01304,16.26630,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1906,9.102608,14.12076,14.30000,33.78065,32.23130,10.13250,62.61695,58.57999,36.49609,25.24674,20.82076,17.49348
1907,11.75326,11.24674,13.00000,14.01304,16.26630,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1908,6.651956,11.24674,2.350652,9.859781,24.79945,37.00011,25.70782,14.25847,23.84804,26.99609,7.149348,9.046740
1909,11.75326,5.898695,8.350652,9.859781,19.04358,24.69228,56.76500,85.61836,27.07272,23.42206,11.54804,26.98957
1910,11.75326,11.24674,13.00000,14.01304,16.26630,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1911,11.75326,11.24674,13.00000,14.01304,16.26630,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1912,11.75326,11.24674,13.00000,14.01304,16.26630,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1913,11.75326,11.24674,13.00000,14.01304,16.26630,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1914,11.75326,11.24674,13.00000,14.01304,16.26630,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1915,11.75326,11.24674,13.00000,14.01304,16.26630,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1916,11.75326,11.24674,13.00000,14.01304,16.26630,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1917,11.75326,11.24674,13.00000,14.01304,16.26630,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
