Year,January,February,March,April,May,June,July,August,September,October,November,December
1901,-51.09767,-42.19883,-30.32354,-17.82238,-3.973542,8.501167,10.20117,6.751751,-0.5488331,-20.67354,-39.27413,-39.20175
1902,-52.00175,-43.05000,-36.37413,-22.02296,-7.722958,9.001167,10.80117,5.151751,-2.398250,-20.09883,-41.12471,-48.44884
1903,-45.17471,-40.39767,-31.62354,-23.27354,-2.673542,9.225293,13.74942,6.651752,-1.548833,-19.04942,-34.09825,-53.00000
1904,-47.27471,-46.74942,-31.79942,-19.14767,-7.598250,5.050584,10.07471,6.325876,-2.598250,-21.34825,-34.09883,-44.22588
1905,-48.39650,-47.80000,-35.27413,-21.67296,-5.398834,6.401168,7.701168,5.850584,-1.798249,-22.29767,-42.32296,-45.85117
1906,-48.30059,-44.92529,-34.02354,-19.09708,-3.522958,8.452335,11.05058,8.301167,0.5511670,-16.04825,-39.42471,-43.97413
1907,-49.80175,-43.82471,-36.37413,-17.09825,-3.473541,7.401168,11.65059,5.801167,-0.6488330,-13.59883,-34.84767,-52.77530
1908,-54.84942,-44.64942,-38.29767,-19.62296,-2.224125,9.700002,13.50000,6.150584,2.051167,-13.87354,-38.87354,-51.30000
1909,-54.25234,-49.22471,-37.32354,-16.54883,-2.822958,6.601168,12.70000,9.950584,-0.8488331,-13.19883,-41.15117,-44.45000
1910,-45.95000,-45.12471,-36.02296,-17.37354,-4.448250,9.101169,11.97704,9.701168,-0.2476660,-14.07354,-38.17471,-51.64942
1911,-53.77413,-39.85117,-32.97413,-17.57413,-6.322959,6.801167,11.67413,8.901168,-3.574125,-16.99883,-33.62471,-45.37588
1912,-49.34942,-48.15000,-39.62355,-18.87413,-3.473541,11.94942,8.801168,6.401168,-2.198250,-20.69884,-38.97530,-50.95176
1913,-50.30000,-49.22413,-33.72471,-22.17296,-4.273541,6.901168,11.02588,8.450584,-0.4982496,-18.84942,-41.47530,-45.22588
1914,-51.47472,-40.59942,-38.44884,-20.92296,-5.322959,10.02588,14.10000,6.701168,1.151167,-17.69825,-41.62529,-43.17529
1915,-53.65001,-48.44942,-32.07413,-19.39942,-1.473541,6.001168,9.450584,3.476459,-2.224125,-21.39883,-41.57413,-51.85059
1916,-48.37704,-48.67413,-33.57296,-20.49825,-5.072374,7.201168,11.42588,9.001168,-1.948833,-13.00000,-35.35000,-49.77471
