Year,January,February,March,April,May,June,July,August,September,October,November,December
1901,-37.03250,-30.40065,-25.95000,-18.52598,-6.974674,4.297391,11.77141,9.396740,0.4960878,-13.52793,-25.77728,-32.45717
1902,-34.00391,-32.37859,-26.77598,-18.37598,-7.500000,3.371413,12.44739,9.396740,1.572718,-14.10326,-30.28250,-31.80652
1903,-34.75457,-29.02468,-27.50196,-17.92533,-6.974674,3.671413,13.09804,8.671413,1.772718,-12.22598,-26.45261,-32.08185
1904,-34.00391,-34.30587,-26.10000,-17.02467,-6.599348,5.698696,13.12337,10.49870,0.8467399,-11.32533,-25.45196,-30.80522
1905,-33.75326,-30.55131,-27.10130,-17.45000,-6.524021,3.671413,13.52337,9.046740,1.848044,-12.57663,-26.70326,-30.25456
1906,-34.40456,-32.20326,-26.22532,-16.52402,-6.774674,6.049347,12.67272,11.27467,1.972718,-11.70065,-27.75456,-28.65261
1907,-34.37924,-32.57859,-26.77598,-17.45000,-6.974674,5.173369,12.99804,9.547392,1.672718,-12.57663,-26.70326,-30.25456
1908,-34.40456,-32.57859,-26.77598,-17.45000,-6.524021,6.324674,13.24869,10.09804,1.798044,-12.12598,-26.95391,-33.45848
1909,-36.50717,-30.80196,-28.92859,-18.85196,-8.201304,4.973370,13.44869,9.547392,1.072066,-12.80196,-25.90261,-30.55457
1910,-34.52989,-29.85065,-29.02858,-18.95196,-6.774674,4.722717,12.89804,9.798043,1.872718,-13.10196,-28.75587,-33.15848
1911,-34.98055,-32.07793,-28.55326,-17.35000,-6.774674,4.848043,13.29804,9.647391,1.672718,-11.75065,-27.52924,-32.03185
1912,-32.92794,-32.75391,-30.30521,-16.37402,-6.974674,4.447392,12.39739,9.547392,1.672718,-14.72924,-27.02859,-31.45652
1913,-36.43185,-33.75522,-25.27402,-18.27598,-7.274673,5.548696,12.37206,9.272065,1.672718,-12.55130,-26.95391,-27.67728
1914,-32.45196,-30.77663,-28.02728,-17.25000,-6.599348,4.798043,11.94674,10.27337,1.772718,-12.67663,-26.82858,-30.50522
1915,-34.40456,-35.13185,-27.70195,-16.92467,-5.923370,6.475326,13.87402,10.12337,1.347392,-13.97859,-26.70326,-32.73250
1916,-33.47859,-32.47859,-28.37793,-17.77533,-7.900652,4.447392,11.94674,9.547392,2.774022,-11.70065,-28.60522,-34.05913
1917,-34.90326,-34.40065,-28.32467,-18.07402,-5.325978,5.548044,13.34739,8.373369,1.148696,-14.07598,-27.75261,-28.85652
1918,-33.77794,-31.47924,-27.22532,-17.65000,-8.498695,4.873370,13.49804,9.647391,2.422718,-13.22598,-26.02859,-31.33120
1919,-35.77989,-34.52728,-28.57402,-17.40065,-7.025326,4.673369,12.32337,11.79609,3.246740,-10.17793,-28.10261,-31.85391
1920,-31.70587,-29.03054,-23.42793,-17.55000,-7.374674,4.773369,12.17402,10.32141,0.8714139,-13.50261,-26.70326,-33.78380
1921,-32.25196,-31.87794,-25.62467,-18.00065,-8.325977,4.848043,13.87337,8.723370,1.623370,-11.00326,-24.77989,-31.27924
1922,-33.05652,-36.82663,-24.15261,-18.27467,-5.600652,6.772717,13.99739,10.14739,1.372718,-13.32598,-26.60456,-29.38054
1923,-33.83119,-31.02989,-28.62467,-18.25000,-8.274022,5.722717,13.32272,11.54544,3.272066,-11.45261,-26.70456,-30.05456
