Year,January,February,March,April,May,June,July,August,September,October,November,December
1946,4.4,0.4,6.4,8.9,8.9,15.6,55.1,39.9,16.3,15.2,5.4,0.6
1947,3.3,9.3,1.8,4.1,10.9,21.3,38.1,82.9,14.7,4.9,20.0,10.2
1948,8.6,7.8,6.5,11.3,2.1,32.6,27.9,114.3,13.3,4.2,3.3,4.6
1949,4.6,0.1,2.8,5.1,7.2,25.3,40.3,45.8,9.4,2.1,6.2,5.2
1950,14.4,1.8,5.7,11.4,6.1,22.9,23.2,52.3,6.3,16.8,1.3,4.2
1951,0.7,1.3,0.9,0.0,20.5,50.6,62.9,47.2,14.2,5.9,6.6,5.4
1952,2.2,2.4,0.0,7.9,3.7,63.7,30.2,85.2,41.7,17.2,19.9,4.9
1953,5.4,6.7,7.6,0.0,1.8,8.1,91.1,32.9,3.1,3.7,8.2,3.4
1954,1.8,3.1,3.8,2.6,5.4,180.1,65.9,53.8,29.1,3.2,11.7,1.1
1955,3.4,2.6,7.2,3.8,13.4,37.6,53.2,67.2,24.4,2.4,7.0,16.7
1956,1.5,7.3,6.7,0.3,16.5,40.0,26.7,47.8,20.2,0.2,8.2,2.7
1957,2.5,6.0,2.3,2.3,12.2,18.3,54.8,82.9,6.4,14.1,0.7,11.2
1958,2.1,3.7,6.2,4.0,7.9,52.8,65.6,52.6,26.6,3.1,4.6,4.8
1959,2.2,0.8,2.7,13.3,4.1,32.3,73.8,27.6,5.2,5.0,9.8,7.2
1960,0.7,4.1,12.4,5.8,9.0,22.7,10.9,59.8,51.8,7.5,5.4,8.0
1961,3.3,0.4,2.0,10.1,11.8,48.5,85.7,119.2,22.0,3.6,10.2,5.9
1962,1.7,0.3,0.0,3.7,8.3,34.2,70.4,85.9,10.9,8.9,1.9,10.0
1963,3.7,9.0,2.6,0.8,2.4,24.1,24.2,25.8,23.2,4.3,14.2,7.4
1964,1.1,0.9,3.9,8.8,17.5,18.7,41.4,60.7,22.6,4.7,8.4,8.2
1965,6.0,2.8,2.8,0.4,3.1,26.3,30.5,52.3,10.1,12.3,0.3,0.3
1966,2.3,10.2,16.9,1.5,10.7,27.8,24.3,37.0,31.0,26.0,4.2,4.6
1967,0.8,3.3,0.0,4.3,20.2,75.2,87.5,40.0,15.3,9.0,1.5,3.1
1968,4.1,1.9,5.4,3.2,7.8,26.1,60.5,67.0,18.0,18.9,1.7,8.5
