Индекс ВМО,Year,January,February,March,April,May,June,July,August,September,October,November,December
21946,1966,23.0,21.0,16.0,11.0,14.0,62.0,26.0,41.0,30.0,30.0,55.0,27.0
21946,1967,14.0,9.0,22.0,8.0,25.0,11.0,54.0,16.0,46.0,45.0,15.0,9.0
21946,1968,28.0,21.0,10.0,9.0,21.0,16.0,60.0,24.0,,,12.0,13.0
21946,1969,26.0,15.0,1.0,14.0,7.0,3.0,17.0,38.0,20.0,23.0,6.0,16.0
21946,1970,8.0,7.0,7.0,13.0,14.0,36.0,26.0,41.0,20.0,11.0,20.0,11.0
21946,1971,8.0,16.0,22.0,7.0,13.0,55.0,26.0,2.0,20.0,15.0,18.0,16.0
21946,1972,12.0,16.0,10.0,10.0,10.0,15.0,43.0,54.0,23.0,41.0,21.0,22.0
21946,1973,33.0,15.0,5.0,19.0,18.0,46.0,44.0,56.0,39.0,38.0,26.0,17.0
21946,1974,13.0,9.0,7.0,0.0,11.0,30.0,80.0,53.0,44.0,27.0,18.0,6.0
21946,1975,11.0,16.0,4.0,11.0,2.0,31.0,44.0,34.0,8.0,20.0,24.0,20.0
21946,1976,7.0,28.9,7.0,5.0,3.0,16.6,63.4,14.0,18.0,15.0,7.0,9.7
21946,1977,13.0,7.0,2.0,6.0,7.0,33.0,28.0,49.0,33.0,13.0,10.0,13.0
21946,1978,20.0,7.0,7.0,5.0,8.0,10.0,33.0,28.0,16.0,18.0,17.0,10.0
21946,1979,16.0,11.0,12.0,8.0,16.0,15.0,15.0,11.0,17.0,13.0,6.0,5.0
21946,1980,15.0,21.0,9.0,4.0,2.0,33.0,22.9,19.0,12.0,21.0,8.0,5.0
21946,1981,1.0,6.0,9.0,8.0,14.0,26.0,37.0,21.0,39.0,10.0,16.0,15.0
21946,1982,18.0,7.0,4.0,16.0,21.0,22.0,10.0,20.0,2.0,14.0,15.0,7.0
21946,1983,11.0,8.0,1.0,8.0,8.0,22.0,26.0,25.0,19.0,19.0,5.0,19.0
21946,1984,15.0,1.0,5.0,4.0,21.0,20.0,37.0,65.0,31.0,22.8,16.0,11.0
21946,1985,12.5,30.9,15.6,6.0,3.5,35.6,50.2,59.5,37.9,12.4,19.3,21.7
21946,1986,7.2,7.9,1.8,1.8,10.6,7.7,16.7,5.4,9.8,29.9,11.2,2.8
21946,1987,12.8,3.3,4.8,4.7,16.4,32.6,12.0,31.7,23.8,18.0,5.0,13.3
21946,1988,15.5,10.7,1.4,2.6,3.7,26.1,60.9,72.7,21.9,30.9,5.5,3.1
21946,1989,14.1,14.0,2.6,0.2,2.1,65.2,29.0,27.4,29.9,18.8,11.8,8.0
21946,1990,6.2,9.2,11.1,10.6,18.8,66.5,116.3,13.3,34.2,20.5,23.7,6.0
21946,1991,3.0,7.0,20.0,5.3,7.7,83.3,5.6,39.9,18.7,10.0,13.4,15.0
21946,1992,3.3,5.4,4.5,11.4,21.6,14.7,28.5,62.3,7.8,14.9,13.7,3.6
21946,1993,8.2,11.5,8.5,7.4,13.9,6.4,37.2,35.9,7.1,24.3,19.7,3.0
21946,1994,10.7,13.4,4.9,4.8,10.0,23.2,12.9,39.6,8.5,21.7,18.5,21.9
21946,1995,5.1,13.2,7.5,4.7,4.2,8.8,12.1,60.6,42.1,13.6,23.3,11.3
21946,1996,21.0,12.4,15.0,0.6,18.3,38.1,41.8,32.4,13.1,19.1,28.6,16.2
21946,1997,7.8,12.3,5.3,8.1,6.2,11.7,15.7,48.3,35.3,16.8,9.8,5.0
21946,1998,9.0,5.2,15.7,12.7,0.4,14.2,23.9,37.6,17.6,20.3,20.4,4.7
21946,1999,1.7,2.8,7.6,1.5,28.1,13.1,22.4,18.2,31.2,20.1,20.7,15.2
21946,2000,24.7,30.7,13.3,5.9,10.9,27.2,69.8,12.6,37.8,24.6,13.9,5.8
21946,2001,8.4,6.2,2.9,8.3,21.6,9.2,7.3,41.6,48.7,26.2,22.4,8.9
21946,2002,6.5,13.1,27.4,6.2,8.4,2.7,18.3,11.7,15.6,21.8,6.8,49.4
21946,2003,12.9,9.4,5.7,6.7,16.4,36.2,37.2,6.1,16.5,30.6,16.2,10.6
21946,2004,4.1,7.5,9.9,15.4,16.0,6.3,7.4,16.0,25.8,27.9,10.2,16.9
21946,2005,9.8,3.3,10.0,1.6,2.1,5.8,22.0,28.9,15.5,10.3,10.8,14.4
21946,2006,7.1,13.0,14.1,2.2,6.1,28.5,24.3,5.7,23.7,24.3,50.0,10.7
21946,2007,7.6,6.3,11.5,4.0,2.8,10.1,9.1,10.1,15.9,19.4,34.4,17.6
21946,2008,8.0,7.4,11.0,15.9,3.3,22.0,21.0,2.5,11.1,9.3,9.7,24.0
21946,2009,3.5,11.2,7.3,10.2,15.4,14.8,24.5,19.4,18.7,23.4,19.1,23.8
21946,2010,22.4,12.5,23.1,18.7,6.9,22.6,8.3,20.0,28.9,27.9,23.3,22.5
21946,2011,21.1,20.0,23.7,9.6,14.5,22.8,93.9,74.7,67.0,56.0,12.5,12.0
21946,2012,19.7,6.4,5.7,4.6,20.1,10.1,17.4,29.3,15.2,31.5,52.7,23.5
21946,2013,20.6,1.8,13.0,12.0,10.1,14.1,7.8,17.3,41.9,31.4,20.5,10.4
21946,2014,20.4,12.8,8.1,26.3,,1.7,,6.0,17.8,19.7,20.9,6.5
21946,2015,12.1,7.5,2.5,11.8,17.1,16.5,,13.7,50.1,15.0,24.6,6.2
21946,2016,15.9,10.1,,11.4,,,,,0.0,62.5,17.8,
21946,2017,0.0,9.1,13.2,5.9,5.6,7.6,8.6,12.8,17.2,16.1,38.9,16.1
21946,2018,13.6,14.9,5.0,6.1,9.4,1.1,3.3,1.8,13.3,13.2,6.6,5.0
21946,2019,4.7,5.9,4.9,5.6,8.1,0.1,15.0,4.8,10.1,12.8,10.8,13.9
