Year,January,February,March,April,May,June,July,August,September,October,November,December
1959,69.37476190476191,74.21505017205017,67.23068783068783,69.03567521367522,72.44574314574314,57.6454732510288,65.10009791795505,76.73227744477744,79.03022317188986,77.01549540993985,74.54844558733447,72.58118964368965
1960,70.36057862591953,73.49063446841225,68.76974653698792,73.17628904428905,73.29626881055454,61.85148339377549,70.31866117753214,76.7291788856305,85.22514513264514,84.53119224701373,79.67830055986111,81.16313672804546
1961,76.61103154305201,71.24430387508947,69.42889374224764,69.64659103979756,72.84005376344086,70.68768115942028,67.39112903225806,76.71639784946237,80.025,83.36021505376345,75.07732843137254,72.22107683982684
1962,73.49366427432217,73.87379288671991,65.20124662073503,73.99280303030304,73.00940860215051,65.80694444444445,69.74059139784949,74.7002688172043,81.89027777777778,91.38709677419357,81.10694444444445,79.39591886608017
1963,70.48528431707611,66.34724197903547,67.36110887955574,74.6888888888889,69.93279569892474,68.19027777777778,66.15456989247313,69.45698924731184,73.4,86.66263440860214,78.82777881409481,77.14970355731224
1964,72.39614470311389,72.06438317503759,60.21195353656784,66.71110664555677,65.11424731182795,66.82638888888889,62.90994623655913,74.63306451612904,81.79722222222222,84.94354838709675,78.18538961038962,67.04411430648312
1965,64.56818495514146,55.370308445178,68.08333333333334,69.79444444444445,73.13172043010752,61.00833333333334,66.36769518466572,72.45967741935483,76.21111111111112,76.20430107526882,81.83333333333334,77.95147920296938
1966,70.13682419278648,71.27076991082181,72.73901496777134,71.00047514619884,76.79032258064515,61.39027777777778,65.58333333333333,72.81048387096776,82.43055555555553,86.53897849462366,77.39722222222221,72.57927982489693
1967,72.11867406786762,71.47541318330791,77.53954340034282,71.70555555555555,72.21370967741937,63.48194444444445,66.68951612903226,73.997311827957,87.92916666666666,85.29301075268816,80.28821839080459,76.02060931899639
1968,70.68928754796403,65.72123333842084,74.30040322580645,76.12777777777778,73.55376344086022,62.829166666666666,56.119623655913976,70.28629032258063,80.50833333333335,89.16532258064518,72.95407247073912,58.632032215096736
1969,61.1356670100812,59.72070105820106,69.8934748709293,79.06250000000001,74.99059139784946,59.74722222222222,70.45833333333336,81.91666666666666,78.80694444444443,78.39650537634408,77.16599206349206,83.99663978494624
1970,78.55848476991854,70.34186889726105,68.57363489817548,71.21091269841268,73.15725806451613,64.24722222222222,63.4731182795699,75.64784946236558,79.69305555555556,84.23118279569893,82.00653036576948,76.72998556998556
1971,73.79570814912323,73.83041464708131,69.45253362767183,69.90616161616163,72.17876344086022,54.77916666666668,64.50403225806451,82.79032258064518,85.24583333333332,91.24731182795698,86.95972222222223,80.97829927335445
1972,67.59136975240982,63.32543998763805,64.3682211313698,70.02045454545456,71.36424731182795,61.94305555555555,57.95833333333333,74.63844086021506,79.0513888888889,88.69623655913979,86.69305555555553,84.55010658222234
1973,79.06712944793301,78.82398636991029,77.40576333437485,76.69861111111112,79.22043010752688,71.09583333333335,70.07123655913976,74.05645161290323,79.21944444444445,84.99193548387096,83.08888888888889,83.79569892473118
1974,79.52880239877881,80.55905481355182,78.35831752055661,72.47638888888888,68.25806451612904,63.11805555555554,66.49059139784947,74.63440860215054,81.39027777777778,76.76747311827958,66.40334967320261,63.7885990636415
1975,67.0405717293505,64.08349206349205,64.59120583717358,65.94166666666666,71.34543010752687,68.13472222222222,68.38844086021507,73.74059139784946,78.05416666666665,83.43951612903227,68.29166666666667,68.33011484593838
1976,64.87619283337457,65.02033327851208,61.22177419354839,70.12777777777777,70.36021505376344,59.73333333333334,62.63978494623655,69.8534946236559,78.92083333333333,77.27016129032258,75.50833333333334,62.77468495675017
