Year,January,February,March,April,May,June,July,August,September,October,November,December
1892,,,,,,243.0,242.0,,197.0,148.0,82.0,54.0
1893,119.0,155.0,186.0,242.0,279.0,270.0,289.0,249.0,192.0,109.0,84.0,50.0
1894,106.0,127.0,226.0,234.0,278.0,290.0,227.0,225.0,154.0,207.0,116.0,75.0
1895,100.0,143.0,200.0,227.0,283.0,232.0,316.0,205.0,185.0,121.0,98.0,78.0
1896,130.0,176.0,258.0,238.0,266.0,314.0,197.0,224.0,147.0,149.0,85.0,55.0
1897,72.0,183.0,214.0,260.0,236.0,295.0,237.0,266.0,186.0,132.0,108.0,62.0
1898,114.0,153.0,267.0,264.0,219.0,328.0,236.0,246.0,187.0,174.0,111.0,93.0
1899,95.0,158.0,205.0,254.0,199.0,255.0,249.0,263.0,183.0,145.0,91.0,58.0
1900,126.0,118.0,196.0,266.0,227.0,302.0,248.0,229.0,199.0,139.0,84.0,82.0
1901,123.0,169.0,209.0,221.0,245.0,246.0,248.0,260.0,227.0,107.0,121.0,54.0
1902,97.0,150.0,161.0,209.0,255.0,223.0,255.0,240.0,211.0,160.0,96.0,57.0
1903,94.0,144.0,204.0,193.0,205.0,236.0,258.0,222.0,205.0,133.0,54.0,38.0
1904,74.0,103.0,208.0,232.0,227.0,306.0,241.0,190.0,204.0,91.0,82.0,63.0
1905,88.0,153.0,213.0,244.0,227.0,244.0,225.0,209.0,165.0,140.0,107.0,73.0
1906,97.0,149.0,196.0,221.0,204.0,215.0,194.0,221.0,166.0,147.0,63.0,66.0
1907,83.0,178.0,255.0,179.0,239.0,241.0,207.0,182.0,186.0,149.0,92.0,44.0
1908,109.0,131.0,181.0,237.0,249.0,266.0,222.0,233.0,195.0,157.0,102.0,64.0
1909,101.0,124.0,217.0,214.0,247.0,205.0,257.0,254.0,166.0,143.0,59.0,52.0
1910,79.0,113.0,198.0,272.0,279.0,243.0,241.0,217.0,200.0,182.0,117.0,55.0
1911,75.0,148.0,230.0,252.0,213.0,230.0,258.0,178.0,191.0,152.0,122.0,64.0
1912,109.0,155.0,230.0,218.0,229.0,239.0,122.0,146.0,130.0,106.0,64.0,29.0
1913,82.0,128.0,184.0,183.0,252.0,234.0,212.0,198.0,161.0,181.0,62.0,23.0
1914,92.0,102.0,218.0,254.0,217.0,281.0,239.0,199.0,194.0,142.0,62.0,24.0
1915,57.0,82.0,199.0,250.0,235.0,311.0,210.0,163.0,127.0,143.0,83.0,56.0
1916,83.0,118.0,218.0,242.0,228.0,237.0,266.0,203.0,219.0,157.0,81.0,22.0
1917,102.0,178.0,227.0,214.0,195.0,242.0,206.0,233.0,200.0,132.0,89.0,43.0
1918,115.0,158.0,202.0,236.0,279.0,244.0,260.0,256.0,166.0,140.0,96.0,47.0
1919,109.0,117.0,207.0,236.0,239.0,237.0,247.0,240.0,179.0,141.0,101.0,54.0
1920,93.0,148.0,221.0,229.0,268.0,234.0,290.0,246.0,183.0,148.0,100.0,66.0
1921,95.0,173.0,231.0,259.0,255.0,209.0,305.0,294.0,189.0,163.0,95.0,50.0
1922,80.0,109.0,200.0,225.0,232.0,256.0,321.0,246.0,194.0,131.0,90.0,65.0
1923,100.0,169.0,217.0,233.0,256.0,252.0,242.0,224.0,286.0,110.0,71.0,64.0
1924,97.0,109.0,241.0,227.0,247.0,260.0,335.0,288.0,173.0,95.0,96.0,58.0
1925,88.0,115.0,157.0,250.0,251.0,235.0,247.0,243.0,158.0,161.0,85.0,40.0
