Year,January,February,March,April,May,June,July,August,September,October,November,December
1931,,,,,,10.8,,,6.3,-0.3,-8.7,-18.2
1932,-15.5,-23.4,,-3.0,-1.7,4.7,11.9,13.1,7.4,-2.3,-12.2,-20.1
1933,-20.5,-21.5,-22.9,-6.6,-3.3,4.7,15.9,8.2,3.3,-0.5,-14.7,-26.8
1934,-9.4,,-13.8,-10.1,1.1,7.6,10.7,10.6,1.8,-1.1,-4.2,-14.3
1935,-16.3,-9.8,-12.2,-12.1,-1.9,6.8,13.3,8.6,5.2,-4.6,-7.5,-12.3
1936,-21.9,-24.1,-15.2,-5.4,-0.7,9.7,13.2,11.3,5.1,-1.5,-4.2,-9.3
1937,-12.4,-11.7,-16.1,-8.9,-2.7,,,10.3,4.9,-0.4,-7.7,-19.5
1938,-15.9,-21.0,-10.4,-4.1,1.8,8.7,13.6,10.5,6.5,-4.2,-10.9,-19.2
1939,-20.3,-17.2,-16.0,-7.8,-3.4,8.8,12.0,7.3,1.4,-3.6,-5.1,-13.8
1940,-26.2,-18.4,-17.5,-6.0,-3.8,7.6,14.2,14.5,7.6,-6.6,-8.3,-24.8
1941,-28.0,-20.1,-22.1,-13.4,2.0,7.8,8.1,10.8,4.1,-2.0,-10.0,-23.7
1942,-22.8,-16.7,-26.5,-9.0,-1.1,10.2,13.8,10.1,5.6,-6.4,-10.2,-13.1
1943,-22.6,-10.0,-15.0,-1.8,2.6,9.4,15.6,11.2,6.4,-2.1,-4.8,-14.5
1944,-15.2,-12.4,-14.1,-5.0,-0.2,6.9,11.8,8.6,6.3,1.7,-7.5,-12.2
1945,-15.0,-20.7,-18.8,-7.0,-1.0,10.0,10.2,13.3,5.9,-3.6,-14.8,-24.6
1946,-18.5,-23.6,-15.4,-7.7,-2.3,4.2,10.0,12.7,3.4,-6.0,-11.0,-13.1
1947,-15.6,-21.9,-16.0,-4.8,-1.5,7.0,8.4,10.1,6.0,-0.5,-11.6,-14.9
1948,-16.2,-21.4,-18.0,-5.8,3.6,8.7,11.2,9.4,6.1,0.5,-5.7,-20.4
1949,-13.2,-26.8,-13.1,-4.4,-1.4,6.5,8.3,11.6,2.7,-2.0,-10.9,-14.5
1950,-24.0,-21.0,-9.7,-1.2,0.0,7.8,11.8,9.2,5.8,0.0,-11.4,-12.1
1951,-17.9,-21.9,-15.7,-0.2,-1.6,6.6,12.5,10.6,5.8,-0.4,-10.1,-12.3
1952,-15.8,-12.3,-21.5,-9.1,-4.7,7.7,14.5,8.7,5.7,-6.0,-13.4,-22.1
1953,-20.0,-20.8,-19.3,-0.8,0.8,10.9,13.3,14.2,1.8,-2.5,-14.1,-9.0
1954,-16.0,-20.5,-12.2,-5.1,0.8,8.6,16.8,9.7,6.2,-0.4,-10.5,-11.2
1955,-12.5,-22.9,-21.0,-4.4,3.4,8.9,13.4,7.8,3.9,0.2,-16.5,-25.1
1956,-17.8,-21.9,-7.7,-14.4,1.4,9.2,13.0,12.4,1.7,-5.7,-15.5,-12.9
1957,-17.8,-15.5,-24.8,-8.1,1.8,7.8,14.2,13.9,6.4,-3.8,-18.8,-18.4
1958,-17.6,-16.6,-25.8,-11.7,-4.1,6.1,11.0,7.8,0.7,-1.2,-9.4,-28.1
1959,-15.2,-16.4,-10.5,-13.5,0.8,10.0,13.7,11.0,4.5,-6.8,-8.3,-13.7
1960,-24.1,-25.6,-24.1,-7.0,-1.8,7.7,13.9,8.3,4.3,-6.7,-13.8,-13.1
1961,-15.0,-15.1,-8.1,-9.8,-2.0,8.1,16.5,11.6,3.9,-1.2,-12.0,-17.5
1962,-15.7,-10.5,-14.2,-2.9,3.6,7.4,16.2,8.4,6.9,-5.3,-5.7,-19.5
1963,-20.8,-18.8,-26.3,-7.8,0.4,8.8,12.7,10.1,5.0,-0.6,-13.5,-22.7
1964,-27.0,-18.4,-20.0,-16.5,-2.4,6.5,15.3,9.0,4.3,-1.6,-20.5,-12.5
1965,-18.9,-21.3,-12.1,-7.8,-4.5,7.9,12.7,10.2,4.1,-7.0,-21.4,-13.9
1966,-21.4,-31.9,-19.0,-9.4,-1.2,5.7,13.4,9.4,4.0,-8.7,-7.5,-19.2
1967,-23.8,-15.3,-4.8,-0.6,-0.9,7.9,14.7,11.2,4.2,0.2,-4.2,-14.4
1968,-23.3,-15.9,-9.9,-12.1,-0.8,5.2,8.2,9.6,1.9,-5.7,-23.0,-25.1
1969,-27.6,-23.8,-18.2,-10.6,-6.6,2.8,12.9,7.2,4.2,-6.4,-6.7,-16.4
1970,-24.7,-19.5,-9.2,-11.0,-3.9,4.0,12.8,7.7,7.2,-4.1,-12.9,-14.7
1971,-19.1,-23.4,-15.4,-13.4,-2.4,4.3,11.6,8.3,5.2,-7.8,-9.8,-16.1
1972,-24.4,-16.8,-15.4,-7.7,-6.2,7.2,13.3,10.0,2.5,-2.6,-18.9,-13.6
1973,-25.3,-15.2,-14.9,-4.6,0.4,8.2,11.7,11.9,2.0,-5.1,-11.5,-17.9
1974,-21.2,-22.5,-9.0,-11.6,-3.0,8.8,,,6.2,-3.2,-21.8,-6.7
1975,-19.5,-21.7,-11.9,-5.6,-2.5,5.2,11.3,8.9,6.9,-6.7,-10.6,-12.7
1976,-22.8,-19.9,-11.8,-2.8,-1.9,7.8,14.1,12.7,4.0,-8.3,-8.0,-9.5
1977,-21.0,-28.6,-17.8,-3.8,3.2,11.4,13.7,10.8,4.5,-11.1,-6.7,-14.9
1978,-16.4,-18.8,-14.5,-16.7,-5.1,2.6,11.9,,3.9,-3.5,-11.4,-27.6
1979,-24.6,-24.2,-17.4,-14.3,1.1,4.9,12.8,10.0,7.1,-7.5,-9.0,-17.4
