Year,January,February,March,April,May,June,July,August,September,October,November,December
1948,,,,,,,,9.9,7.2,2.3,-6.0,-17.8
1949,-23.2,-26.2,-16.6,-7.4,-1.0,10.1,12.4,10.1,6.7,0.1,-12.1,-17.6
1950,-28.4,-28.0,-15.2,-6.5,2.3,7.3,11.9,11.5,4.6,-2.6,-9.1,-16.4
1951,-24.9,-18.3,-12.1,-1.1,0.7,10.3,12.1,11.9,5.8,-2.0,-11.4,-20.1
1952,-24.6,-20.0,-10.6,-5.8,4.7,9.0,15.0,11.2,5.3,-3.3,-9.7,-12.5
1953,-23.2,-20.0,-13.2,-0.1,1.8,8.3,13.2,10.5,5.3,-0.7,-7.4,-21.3
1954,-29.0,-18.2,-14.5,-12.7,3.7,12.6,13.3,10.8,6.9,-0.6,-10.8,-18.0
1955,-19.3,-21.8,-16.4,-6.5,3.1,12.4,12.5,12.1,4.9,0.5,-5.2,-14.3
1956,-16.0,-20.3,-18.0,-6.6,-3.6,5.1,12.2,9.5,4.1,0.4,-10.5,-25.7
1957,-30.1,-20.6,-8.7,-7.2,-1.8,8.5,13.4,9.7,6.4,-0.2,-8.2,-15.9
1958,-15.9,-15.7,-7.5,-6.1,2.0,7.3,12.0,10.5,5.3,-3.4,-10.8,-21.6
1959,-17.0,-26.9,-18.4,-6.8,2.8,10.0,14.5,12.0,6.6,-2.2,-11.9,-18.5
1960,-20.5,-10.4,-18.7,-8.6,3.9,10.1,11.8,11.0,5.7,-0.4,-8.5,-18.9
1961,-26.6,-23.5,-15.9,-1.8,1.6,7.8,12.5,12.0,6.6,-0.7,-5.3,-11.3
1962,-27.2,-28.1,-9.4,-12.0,-0.4,8.2,12.9,11.0,6.1,0.2,-8.8,-18.0
1963,-22.7,-22.9,-18.8,-4.7,-0.6,7.1,12.9,9.7,3.0,-0.5,-6.4,-20.8
1964,-22.9,-21.0,-19.1,-7.7,0.6,6.9,12.5,10.6,5.2,-2.9,-10.8,-19.6
1965,-24.8,-21.8,-16.2,-8.8,0.4,7.3,9.8,8.2,4.2,-4.2,-10.5,-20.5
1966,-16.4,-17.2,-10.6,-4.2,-0.7,7.8,11.2,11.6,6.3,-1.2,-6.8,-18.6
1967,-24.4,-25.7,-19.1,-10.1,1.7,9.9,13.3,11.7,5.7,-0.4,-7.9,-15.6
1968,-25.1,-19.1,-18.1,-5.7,1.1,8.2,11.4,7.8,9.5,2.5,-9.1,-14.5
1969,-16.4,-17.2,-12.6,-13.9,-0.1,6.8,12.5,10.5,2.1,-3.6,-4.7,-16.0
1970,-22.0,-23.3,-15.1,-9.5,-1.9,5.9,13.7,12.9,5.4,0.6,-9.4,-22.6
1971,-22.2,-22.5,-14.0,-4.7,1.1,6.9,12.0,9.9,5.8,0.5,-11.1,-24.7
1972,-26.1,-26.5,-19.4,-8.0,-3.2,6.8,12.9,9.6,4.2,-4.9,-12.0,-27.5
1973,-23.3,-23.9,-13.1,-5.2,4.1,10.4,13.6,13.0,5.3,-0.6,-8.2,-14.8
1974,-29.5,-22.1,-20.6,-10.5,1.3,11.2,13.3,11.1,3.8,-5.3,-8.8,-17.8
1975,-27.0,-22.0,-16.4,-10.1,-0.4,9.7,14.0,10.9,6.9,0.3,-9.6,-21.4
1976,-24.3,-22.9,-19.4,-8.1,2.3,9.5,14.0,10.0,4.3,-3.1,-10.0,-21.2
1977,-18.7,-20.6,-9.2,-8.8,1.5,10.0,10.6,10.1,4.4,-0.3,-5.2,-20.2
1978,-25.1,-16.6,-20.5,-7.1,2.4,7.4,12.1,9.9,3.2,-3.1,-12.3,-17.7
1979,-19.8,-23.9,-14.6,-5.5,4.4,10.0,12.5,10.6,4.7,-1.8,-8.5,-17.2
