Year,Month,Day,CAN,YAK,TAY,FIN,SWE,NOR,ALT,LOT,PAK
1901,1,16,,,,,,,,60.7,
1901,2,15,,,,,,,,59.600002,
1901,3,16,49.0,,,64.8,67.4,,,70.3,
1901,4,16,,,,,,,,62.7,
1901,5,16,62.8,,,66.200005,,,,55.8,
1901,6,16,61.8,,,67.4,,66.3,,56.5,
1901,7,16,64.5,,,68.700005,,69.8,,51.7,
1901,8,16,70.4,,,72.5,,,,57.3,43.2
1901,9,16,70.1,,,,79.9,72.4,42.4,63.7,35.7
1901,10,16,72.9,,,77.5,,,,62.100002,
1901,11,16,,,,,,69.4,53.7,62.600002,
1901,12,16,,,,68.5,,,,63.5,
1902,1,16,,,,,,,,63.600002,
1902,2,15,,,,,,,,64.5,
1902,3,16,48.9,,,64.9,,,,59.3,
1902,4,16,,,,,,67.3,,66.5,
1902,5,16,60.8,,,66.3,,63.8,,74.5,
1902,6,16,58.2,,,67.5,,,,62.7,
1902,7,16,67.4,,,68.8,,,,46.7,
1902,8,16,71.700005,,,,,68.9,,59.7,43.0
1902,9,16,73.0,,,,80.0,72.4,42.4,55.600002,33.0
1902,10,16,72.4,,,77.4,,,,65.3,
1902,11,16,,,,,,70.700005,53.7,65.3,
1902,12,16,57.600002,,,68.5,,,,61.600002,
1903,1,16,,,,,,,,61.0,
1903,2,15,,,,,,,,55.0,
1903,3,16,49.600002,,,65.0,,,,52.3,
1903,4,16,,,,62.5,72.5,,,71.1,
1903,5,16,64.4,,,66.3,,,,61.4,
1903,6,16,60.7,,,67.4,,,,64.8,
1903,7,16,64.9,,,68.8,,,,57.8,
1903,8,16,69.5,,,,,69.0,,55.8,43.5
1903,9,16,70.3,,,,80.0,72.4,,51.5,38.2
1903,10,16,72.6,,,77.5,,,,59.4,
1903,11,16,,,,,,,,65.700005,
1903,12,16,,,,68.8,,,,68.5,
1904,1,16,,,,,,,,65.3,
1904,2,15,,,,,,,,67.4,
1904,3,16,48.5,,,64.9,,,,64.4,
1904,4,16,,,,,,,,62.100002,
1904,5,16,64.4,,,66.4,,63.8,,59.600002,
1904,6,16,62.600002,,,67.5,,,,58.7,
1904,7,16,67.4,,,68.8,,,,38.600002,
1904,8,16,70.4,,,,,68.9,,47.8,
1904,9,16,69.9,,,,80.0,,42.4,60.600002,35.5
1904,10,16,70.8,71.700005,,77.4,,,,58.600002,
1904,11,16,,,,,,71.6,53.7,61.8,
1904,12,16,,,,68.700005,,,,62.9,
1905,1,16,,,,,,,,60.600002,
1905,2,15,,,,,,,,67.0,
1905,3,16,50.3,,,65.0,,,,63.0,
1905,4,16,,,,,,67.5,,63.9,
1905,5,16,64.0,,,66.3,,,47.5,68.3,
