Year,Month,Day,CAN,YAK,TAY,FIN,SWE,NOR,ALT,LOT,PAK
1901,1,16,84.86326083789612,,85.21073417472132,96.56399112377473,96.05473079691,,75.49284165915786,63.46805543108967,53.7512664788025
1901,2,15,,0.0,51.50961967669063,,,,68.42876880437706,100.0,41.32155142653131
1901,3,16,0.0,0.0,61.08972392200769,72.15653806412757,77.03170639575771,88.30338146934214,51.85488114241742,88.40343667458144,49.93644997134882
1901,4,16,0.0,0.0,82.3688855914103,65.73834138373229,75.15166775583549,72.05901577846217,37.20348281856618,63.13287342011099,42.88464513543588
1901,5,16,63.21467803594086,72.78999568351257,76.26698949027575,63.33002963210882,65.93581158982157,64.49800242917716,40.75098294088309,65.96740544173501,39.24695279859148
1901,6,16,57.871528834444,45.54145963162076,63.98852355438704,56.76412880531198,60.12259918987202,57.153214918015856,44.34760224353736,70.64754784919553,49.66601419219636
1901,7,16,59.83999809509688,60.79176637492937,66.0462092297449,59.83525675071075,64.7736435737513,55.92875067265029,60.62656131433629,87.40187014504743,48.68216846205629
1901,8,16,71.82632351987556,88.44060272897929,82.48285576812289,79.01375221321936,79.38974218499973,75.03037068883339,66.54873451582162,88.41483571928946,59.836432216027966
1901,9,16,68.13685724927291,72.07209073216937,96.94890732765788,87.38439038791745,87.2516764776766,83.69643132388646,54.86028294120028,95.27067864727736,49.45329377557044
1901,10,16,73.62947184472883,,,93.4944665488167,91.51630597486786,85.41983844399323,77.49173591256952,79.1050717158733,63.74622719237503
1901,11,16,88.67210687139846,,,,,98.73177198891509,,94.2262730602352,66.22840769983131
1901,12,16,,92.3074067768338,,,,,,100.0,78.80024336960197
1902,1,16,79.67464066740506,,,88.05458581632239,,,,71.10076726511399,79.74704516859033
1902,2,15,69.15335056250404,,,,,,77.20501407508642,83.91573714502363,92.35298980529927
1902,3,16,80.54691987242562,0.0,,96.79846720390002,100.0,100.0,33.701371548144,75.33520194038678,50.09180913907278
1902,4,16,25.58017262664004,0.0,94.16524157319736,82.78442012750826,95.10349407451714,89.28431555530494,32.813253900338175,64.23084650584563,41.6890562199698
1902,5,16,59.63309038569043,52.506674061345706,82.99979212205717,64.69256112016522,67.35801005035955,69.58341704799945,45.33065044791113,76.34673064757608,53.42188364086358
1902,6,16,58.25986343451292,60.12024431545124,79.66457417526993,64.49800242917716,65.12891992992509,67.11518440970272,45.37461558037983,84.69074123518003,42.82763664883304
1902,7,16,58.446827031795,64.88708300534354,68.56643445360041,73.63375466851485,77.45979167110012,80.79972279028634,53.57247513524206,82.17269842696767,50.308493239836565
1902,8,16,69.4623571963898,70.07625563677328,82.48285576812289,85.38193470144981,86.74563739356336,88.01196027415146,61.49440024879719,87.74788844174934,50.38302059248395
1902,9,16,74.14267902856604,80.39504425365494,83.38549813920905,80.07817369791273,74.15976518653086,84.26551630285817,57.315012686365804,75.1749276132497,50.33638830727704
