Year,Month,Day,CAN,YAK,TAY,LAN,TOR,NOR,ALT,LOT,PAK
1901,1,16,-30.7,-47.2,-40.8,-9.6,-8.3,-9.7,-22.7,-6.2000003,-11.7
1901,2,15,-31.300001,-39.8,-29.800001,-19.300001,-18.1,-11.6,-18.7,-9.5,-10.8
1901,3,16,-22.5,-28.7,-22.4,-11.1,-12.5,-6.2000003,-11.3,-3.9,-2.4
1901,4,16,-16.4,-15.3,-15.5,-3.5,-6.3,0.6,-4.2000003,1.5,1.4
1901,5,16,-1.9,-4.7000003,-3.1000001,2.4,-1.7,6.4,3.5,5.6,4.9
1901,6,16,10.2,5.8,5.3,11.5,6.7000003,11.0,9.6,9.7,8.2
1901,7,16,13.900001,8.400001,11.400001,15.6,11.0,15.900001,12.0,11.3,12.6
1901,8,16,9.8,5.7000003,10.400001,10.900001,7.8,12.400001,9.5,10.2,12.900001
1901,9,16,4.4,-2.1000001,0.4,6.4,3.6000001,8.2,3.8,8.400001,8.8
1901,10,16,-6.5,-20.0,-13.6,2.0,0.5,4.9,-9.0,3.7,2.0
1901,11,16,-21.4,-38.100002,-25.6,-10.5,-10.400001,-5.5,-11.400001,-2.7,-2.1000001
1901,12,16,-23.5,-41.5,-36.4,-18.9,-16.4,-9.8,-24.4,-3.3,-8.2
1902,1,16,-27.300001,-52.600002,-36.4,-18.0,-16.4,-7.5,-17.2,-3.3,-10.400001
1902,2,15,-25.9,-42.7,-34.0,-16.6,-15.3,-9.6,-16.6,-4.9,-10.0
1902,3,16,-30.2,-34.8,-23.9,-15.0,-16.1,-6.9,-12.5,-2.0,-4.5
1902,4,16,-15.6,-20.2,-15.400001,-6.2000003,-9.0,-1.8000001,-7.1,2.8,0.8
1902,5,16,-1.2,-7.5,-4.1,0.5,-3.4,2.8,2.0,1.5,6.3
1902,6,16,10.1,6.2000003,3.6000001,6.4,1.7,8.8,8.1,7.7000003,10.400001
1902,7,16,14.1,8.5,12.6,9.6,5.3,9.2,10.5,11.3,12.1
1902,8,16,10.3,4.0,10.400001,9.0,5.8,8.400001,9.5,9.900001,12.5
1902,9,16,3.2,-3.4,2.5,3.3,0.5,4.9,5.0,7.7000003,8.8
1902,10,16,-6.0,-20.0,-14.7,-4.8,-6.3,-0.2,-5.1,2.9,3.1000001
1902,11,16,-24.4,-39.8,-34.2,-8.5,-8.6,-3.9,-16.5,-1.7,-3.6000001
1902,12,16,-29.9,-47.5,-35.4,-11.6,-9.8,-9.400001,-22.5,-4.5,-9.1
1903,1,16,-31.1,-44.8,-37.0,-14.1,-12.7,-10.7,-21.6,-4.8,-13.2
1903,2,15,-26.9,-39.0,-28.2,-10.7,-9.8,-3.4,-13.5,-2.5,-11.3
1903,3,16,-24.4,-31.0,-25.2,-6.6,-8.1,-1.1,-15.0,-0.8,-8.5
1903,4,16,-16.7,-21.800001,-14.8,-4.9,-7.5,-1.4,-7.3,-2.0,-0.8
1903,5,16,-2.6000001,-3.5,-3.3,2.3,-1.7,5.0,1.6,5.1,4.2000003
1903,6,16,11.1,5.7000003,4.6,8.2,3.4,9.0,6.3,7.6,9.5
