Year,Month,Day,CAN,YAK,TAY,LAN,TOR,NOR,ALT,LOT,PAK
1901,1,16,0.3,0.2,0.1,2.6000001,2.9,3.1000001,0.6,2.3,1.2
1901,2,15,0.6,0.0,0.2,1.4,1.5,2.7,0.8,3.1000001,1.0
1901,3,16,0.0,0.0,0.5,1.7,1.6,3.2,1.2,3.9,2.5
1901,4,16,0.0,0.0,1.3000001,3.0,2.7,4.6,1.6,4.3,2.9
1901,5,16,3.3,3.0,3.6000001,4.6,3.5,6.2000003,3.2,6.0,3.4
1901,6,16,7.2000003,4.2000003,5.7000003,7.7000003,5.9,7.5,5.3,8.5,5.4
1901,7,16,9.5,6.7000003,8.900001,10.6,8.5,10.1,8.5,11.7,7.1
1901,8,16,8.7,8.1,10.400001,10.3,8.400001,10.8,7.9,11.0,8.900001
1901,9,16,5.7000003,3.7,6.1,8.400001,6.9,9.1,4.4,10.5,5.6
1901,10,16,2.6000001,1.3000001,2.4,6.6,5.8,7.4,2.2,6.3,4.5
1901,11,16,0.8,0.2,0.6,3.0,3.0,3.8,2.7,4.6,3.4
1901,12,16,0.8,0.1,0.8,1.5,2.0,3.9,1.1,4.8,2.4
1902,1,16,0.4,0.1,0.3,1.1,1.5,3.3,1.4,3.3,2.0
1902,2,15,0.4,0.1,0.6,1.6,1.9,3.4,1.1,3.4,2.4
1902,3,16,0.3,0.0,0.90000004,1.6,1.5,3.5,0.7,3.9,2.1000001
1902,4,16,0.4,0.0,1.5,3.0,2.7,4.7000003,1.1,4.8,2.7
1902,5,16,3.3,1.7,3.6000001,4.1,3.1000001,5.2000003,3.2,5.2000003,5.1
1902,6,16,7.2000003,5.7000003,6.3,6.2000003,4.5,7.6,4.9,8.900001,5.4
1902,7,16,9.400001,7.2000003,10.0,8.8,6.9,9.400001,6.8,11.0,7.1
1902,8,16,8.7,5.7000003,10.400001,9.8,8.0,9.7,7.3,10.7,7.3
1902,9,16,5.7000003,3.7,6.1,6.2000003,4.7000003,7.3,5.0,7.9,5.7000003
1902,10,16,2.6000001,1.3000001,2.4,4.7000003,4.0,5.7000003,2.4,7.5,3.6000001
1902,11,16,0.8,0.2,0.6,2.9,3.0,4.0,2.2,3.4,3.6000001
1902,12,16,1.1,0.1,0.5,2.7,3.1000001,3.8,1.5,4.3,2.6000001
1903,1,16,0.3,0.2,0.3,1.7,2.0,2.8,0.7,2.8,1.1
1903,2,15,0.4,0.0,0.2,2.3,2.5,4.1,1.7,4.1,0.90000004
1903,3,16,0.3,0.0,1.1,2.7,2.7,4.3,0.7,3.8,2.0
1903,4,16,0.2,0.3,1.7,2.3,2.0,3.9,1.7,4.8,3.3
1903,5,16,3.3,1.5,3.6000001,4.4,3.4,5.7000003,2.7,5.4,4.0
1903,6,16,7.2000003,5.7000003,5.6,6.7000003,4.9,7.6,4.0,8.0,5.3
1903,7,16,9.3,6.9,9.3,8.8,6.9,9.6,6.4,11.0,7.8
1903,8,16,8.900001,9.1,9.8,10.2,8.6,10.6,7.2000003,11.5,7.2000003
1903,9,16,5.7000003,3.7,6.1,7.3,5.7000003,7.8,3.9,8.8,5.4
1903,10,16,2.6000001,1.3000001,2.4,3.3,2.8,5.7000003,1.8000001,7.0,4.4
1903,11,16,0.8,0.2,0.6,3.0,3.1000001,4.8,1.1,4.7000003,2.5
1903,12,16,0.5,0.1,0.8,2.1000001,2.3,3.3,1.3000001,4.3,2.4
1904,1,16,0.4,0.1,0.3,2.4,2.7,3.6000001,0.90000004,2.6000001,0.5
1904,2,15,0.2,0.0,0.4,1.1,1.3000001,2.9,1.3000001,3.8,2.6000001
1904,3,16,0.2,0.0,0.7,2.0,2.0,3.5,0.5,4.9,2.0
1904,4,16,0.4,0.1,1.4,3.3,3.0,4.7000003,2.2,5.5,2.5
1904,5,16,2.3,1.4,3.1000001,4.2000003,3.2,5.2000003,4.2000003,5.9,4.0
1904,6,16,7.2000003,4.4,5.3,6.9,5.3,7.9,5.5,8.1,5.9
1904,7,16,9.5,6.1,8.8,9.2,7.4,10.1,7.3,10.5,7.7000003
1904,8,16,8.7,9.1,10.5,9.8,8.0,10.6,7.1,11.5,8.7
1904,9,16,5.7000003,3.7,6.1,7.6,6.0,7.8,3.9,7.3,5.5
1904,10,16,2.6000001,1.3000001,2.4,5.0,4.2000003,6.4,3.0,7.4,4.3
1904,11,16,0.8,0.2,0.6,2.8,2.7,3.7,2.4,3.7,3.0
1904,12,16,0.90000004,0.2,0.4,1.9,2.3,4.2000003,2.0,4.8,2.7
1905,1,16,0.4,0.2,0.3,1.4,1.7,2.9,1.1,2.0,0.90000004
1905,2,15,0.5,0.0,0.6,1.7,1.9,3.3,0.6,3.0,0.4
1905,3,16,0.90000004,0.2,0.8,2.2,2.0,3.8,0.2,4.0,0.90000004
1905,4,16,1.7,0.7,1.8000001,3.0,2.5,4.0,1.1,5.0,2.8
1905,5,16,4.0,2.1000001,3.8,5.2000003,4.0,5.7000003,3.0,6.1,5.1
1905,6,16,8.1,4.9,5.8,8.1,6.4,9.1,4.4,8.8,5.9
1905,7,16,9.6,5.6,10.900001,10.3,8.3,10.3,8.3,11.0,8.2
1905,8,16,8.6,5.4,9.400001,9.5,7.6,9.6,7.3,9.5,7.9
1905,9,16,5.5,3.7,6.2000003,7.1,5.4,7.6,4.4,8.5,5.6
1905,10,16,2.4,1.0,2.4,3.2,2.4,4.5,2.4,4.5,4.1
1905,11,16,1.2,0.2,0.6,2.4,2.4,3.9,1.5,3.8,2.9
1905,12,16,0.5,0.1,0.4,2.3,2.7,4.2000003,1.2,3.3,1.7
1906,1,16,0.2,0.1,0.3,2.1000001,2.4,3.1000001,0.4,3.0,0.7
1906,2,15,0.4,0.1,0.4,1.6,1.8000001,3.1000001,0.3,2.7,1.1
1906,3,16,0.8,0.3,1.0,1.4,1.2,3.1000001,1.9,3.1000001,1.9
1906,4,16,1.1,1.6,2.0,3.6000001,3.1000001,4.7000003,2.9,4.7000003,2.5
1906,5,16,3.5,2.8,3.7,4.8,3.7,6.0,2.6000001,7.2000003,5.6
1906,6,16,7.5,7.7000003,7.4,7.6,5.7000003,8.5,5.4,8.1,5.7000003
1906,7,16,9.6,7.4,10.1,10.400001,8.400001,10.1,5.3,9.900001,7.3
1906,8,16,7.7000003,6.7000003,9.8,8.3,6.5,9.400001,8.0,10.1,8.7
1906,9,16,5.3,4.2000003,6.3,7.1,5.5,8.0,4.4,7.6,5.3
