Year,Month,Day,CAN,YAK,TAY,FIN,SWE,NOR,ALT,LOT,PAK
1901,1,16,,,,,,,,0.8,0.6
1901,2,15,0.0,0.1,0.1,,0.0,,0.4,0.2,0.90000004
1901,3,16,0.5,0.3,0.3,0.5,,0.5,1.0,0.8,1.6
1901,4,16,1.0,1.1,0.6,1.2,0.90000004,1.3000001,2.1000001,1.9,
1901,5,16,1.7,1.4,,2.0,1.6,2.5,3.2,2.6000001,3.2
1901,6,16,,2.9,2.5,3.5,2.7,3.5,4.0,3.1000001,3.7
1901,7,16,3.5,2.8,2.9,3.6000001,2.8,3.9,3.7,2.8,
1901,8,16,2.0,1.5,1.8000001,1.8000001,,2.3,2.8,2.2,3.6000001
1901,9,16,1.2,0.90000004,0.4,,0.7,1.1,2.0,1.3000001,
1901,10,16,0.4,0.0,0.0,0.1,0.2,,0.6,1.0,1.6
1901,11,16,,,,,,0.0,0.1,0.3,0.90000004
1901,12,16,,,,,,,0.0,0.1,0.5
1902,1,16,,,,0.1,,,0.1,,
1902,2,15,,,,,0.0,,0.4,0.6,0.7
1902,3,16,0.1,0.2,,0.3,0.2,0.3,1.0,1.2,1.5
1902,4,16,0.90000004,0.8,,0.8,0.5,0.90000004,,2.0,
1902,5,16,1.8000001,,1.2,1.8000001,,2.0,,1.8000001,3.2
1902,6,16,3.5,2.6000001,1.9,2.7,2.1000001,2.9,3.7,2.4,4.1
1902,7,16,3.5,2.7,3.0,2.5,1.9,2.3,3.7,,4.0
1902,8,16,,,1.8000001,1.5,1.3000001,1.6,,2.2,
1902,9,16,0.90000004,,,,0.90000004,1.0,2.0,,
1902,10,16,0.4,0.0,0.0,0.0,0.0,0.2,,0.5,
1902,11,16,,,,,,0.2,0.0,0.90000004,0.8
1902,12,16,,,,,,,0.0,0.1,0.4
1903,1,16,,,,0.1,,,,,0.6
1903,2,15,,0.1,0.2,0.1,,0.3,0.4,0.7,0.90000004
1903,3,16,0.3,0.2,0.0,0.6,,0.8,0.90000004,1.4,1.1
1903,4,16,0.90000004,,0.4,1.2,1.0,,1.6,1.0,2.1000001
1903,5,16,1.5,2.1000001,,2.0,1.6,2.3,3.0,2.6000001,3.0
1903,6,16,3.7,2.6000001,2.3,2.9,,2.9,,,3.9
1903,7,16,3.5,3.0,3.5,2.7,2.1000001,,,2.5,3.8
1903,8,16,2.3,1.3000001,1.6,1.6,1.3000001,1.6,2.6000001,2.2,3.6000001
1903,9,16,0.90000004,,,,,1.3000001,2.0,,3.0
1903,10,16,0.0,,,0.1,0.2,0.1,,1.0,1.7
1903,11,16,,,,,,0.0,,0.6,0.90000004
1903,12,16,0.1,,,0.1,0.2,0.2,0.0,0.1,0.4
1904,1,16,,,,0.1,0.1,,0.1,0.8,0.6
1904,2,15,0.0,,,0.1,,,0.4,0.6,0.7
1904,3,16,,0.2,0.2,,0.3,0.3,,0.7,1.6
1904,4,16,1.1,0.90000004,0.8,1.2,0.90000004,,1.4,1.8000001,2.5
1904,5,16,2.1000001,,1.6,,1.5,2.2,3.2,2.7,3.2
1904,6,16,,,3.2,,,2.8,4.0,3.1000001,
1904,7,16,,,3.6000001,,2.0,,,3.8,4.0
1904,8,16,1.9,1.2,2.2,1.6,1.3000001,1.7,3.0,2.6000001,3.6000001
1904,9,16,0.6,0.7,0.5,,,,,1.6,2.8
1904,10,16,,0.0,0.3,,0.4,0.3,0.8,0.7,1.6
1904,11,16,,,0.1,,,0.0,0.2,,0.90000004
1904,12,16,,,,,,,0.0,0.1,0.5
1905,1,16,,,,0.1,0.1,,,0.8,0.6
1905,2,15,,,,0.1,,0.2,,,
1905,3,16,0.1,,,,,,,1.2,1.3000001
1905,4,16,,,,0.90000004,0.7,1.0,1.6,1.5,2.2
1905,5,16,,,1.4,2.0,1.5,2.3,3.0,2.1000001,
1905,6,16,,2.4,2.2,3.2,,3.3,3.7,3.0,3.9
