Year,Month,Precipitation
1913,1,20.0
1913,2,16.0
1913,3,13.0
1913,4,3.0
1913,5,28.0
1913,6,25.0
1913,7,48.0
1913,8,9.0
1913,9,14.0
1913,10,27.0
1913,11,18.0
1913,12,16.0
1914,1,24.0
1914,2,10.0
1914,3,20.0
1914,4,15.0
1914,5,14.0
1914,6,58.0
1914,7,32.0
1914,8,23.0
1914,9,45.0
1914,10,5.0
1914,11,13.0
1914,12,7.0
1915,1,5.0
1915,2,12.0
1915,3,10.0
1915,4,25.0
1915,5,38.0
1915,6,4.0
1915,7,105.0
1915,8,6.0
1915,9,15.0
1915,10,4.0
1915,11,21.0
1915,12,10.0
1916,1,21.0
1916,2,23.0
1916,3,3.0
1916,4,16.0
1916,5,20.0
1916,6,7.0
1916,7,48.0
1916,8,32.0
1916,9,25.0
1916,10,9.0
1916,11,18.0
1916,12,10.0
1917,1,11.0
1917,2,26.0
1917,3,8.0
1917,4,11.0
1917,5,22.0
1917,6,25.0
1917,7,26.0
1917,8,37.0
1917,9,53.0
1917,10,17.0
1917,11,31.0
1917,12,26.0
1918,1,49.0
1918,2,12.0
1918,3,15.0
1918,4,5.0
1918,5,14.0
1918,6,48.0
1918,7,32.0
1918,8,27.0
1918,9,14.0
1918,10,20.0
1918,11,25.0
1918,12,7.0
1919,1,3.0
1919,2,14.0
1919,3,9.0
1919,4,27.0
1919,5,4.0
1919,6,39.0
1919,7,55.0
1919,8,73.0
1919,9,51.0
1919,10,35.0
1919,11,7.0
1919,12,8.0
1920,1,20.0
1920,2,24.0
1920,3,12.0
1920,4,14.0
1920,5,17.0
1920,6,42.0
1920,7,63.0
1920,8,36.0
1920,9,42.0
1920,10,19.0
1920,11,23.0
1920,12,7.0
1921,1,27.0
1921,2,24.0
1921,3,14.0
1921,4,17.0
1921,5,46.0
1921,6,71.0
1921,7,53.0
1921,8,111.0
1921,9,23.0
1921,10,42.0
1921,11,13.0
1921,12,11.0
1922,1,5.0
1922,2,10.0
1922,3,5.0
1922,4,9.0
1922,5,14.0
1922,6,84.0
1922,7,26.0
1922,8,44.0
1922,9,15.0
1922,10,17.0
1922,11,35.0
1922,12,13.0
1923,1,13.0
1923,2,6.0
1923,3,6.0
1923,4,1.0
1923,5,25.0
1923,6,20.0
1923,7,92.0
1923,8,16.0
1923,9,30.0
1923,10,
1923,11,
1923,12,
1924,1,17.0
1924,2,11.0
1924,3,16.0
1924,4,6.0
1924,5,15.0
1924,6,34.0
1924,7,10.0
1924,8,24.0
1924,9,40.0
1924,10,13.0
1924,11,19.0
1924,12,25.0
1925,1,68.0
1925,2,14.0
1925,3,14.0
1925,4,6.0
1925,5,19.0
1925,6,35.0
1925,7,44.0
1925,8,42.0
1925,9,38.0
1925,10,18.0
1925,11,12.0
1925,12,16.0
1926,1,7.0
1926,2,20.0
1926,3,13.0
1926,4,36.0
1926,5,13.0
1926,6,21.0
1926,7,13.0
1926,8,54.0
1926,9,24.0
1926,10,36.0
1926,11,17.0
1926,12,43.0
1927,1,20.0
1927,2,32.0
1927,3,12.0
1927,4,4.0
1927,5,7.0
1927,6,41.0
1927,7,29.0
1927,8,30.0
1927,9,17.0
1927,10,29.0
1927,11,3.0
1927,12,12.0
1928,1,3.0
1928,2,3.0
1928,3,9.0
1928,4,3.0
1928,5,15.0
1928,6,70.0
1928,7,59.0
1928,8,31.0
1928,9,25.0
1928,10,40.0
1928,11,7.0
1928,12,4.0
1929,1,20.0
1929,2,23.0
1929,3,28.0
1929,4,20.0
1929,5,10.0
1929,6,40.0
1929,7,9.0
1929,8,47.0
1929,9,23.0
1929,10,24.0
1929,11,11.0
1929,12,18.0
1930,1,7.0
1930,2,24.0
1930,3,45.0
1930,4,3.0
1930,5,10.0
1930,6,14.0
1930,7,49.0
1930,8,45.0
1930,9,25.0
1930,10,21.0
1930,11,9.0
1930,12,23.0
1931,1,7.0
1931,2,6.0
1931,3,22.0
1931,4,6.0
1931,5,39.0
1931,6,51.0
1931,7,41.0
1931,8,61.0
1931,9,21.0
1931,10,50.0
1931,11,11.0
1931,12,11.0
1932,1,80.0
1932,2,40.0
1932,3,11.0
1932,4,8.0
1932,5,34.0
1932,6,15.0
1932,7,65.0
1932,8,40.0
1932,9,74.0
1932,10,5.0
1932,11,34.0
1932,12,21.0
1933,1,12.0
1933,2,12.0
1933,3,30.0
1933,4,17.0
1933,5,1.0
1933,6,5.0
1933,7,76.0
1933,8,23.0
1933,9,23.0
1933,10,6.0
1933,11,12.0
1933,12,80.0
1934,1,33.0
1934,2,47.0
1934,3,5.0
1934,4,7.0
1934,5,18.0
1934,6,22.0
1934,7,66.0
1934,8,28.0
1934,9,44.0
1934,10,7.0
1934,11,33.0
1934,12,9.0
1935,1,73.0
1935,2,18.0
1935,3,7.0
1935,4,26.0
1935,5,8.0
1935,6,33.0
1935,7,62.0
1935,8,7.0
1935,9,15.0
1935,10,28.0
1935,11,10.0
1935,12,23.0
1936,1,29.0
1936,2,13.0
1936,3,30.0
1936,4,2.0
1936,5,4.0
1936,6,11.0
1936,7,65.0
1936,8,34.0
1936,9,24.0
1936,10,15.0
1936,11,19.0
1936,12,43.0
1937,1,6.0
1937,2,20.0
1937,3,24.0
1937,4,2.0
1937,5,23.0
1937,6,42.0
1937,7,21.0
1937,8,40.0
1937,9,21.0
1937,10,19.0
1937,11,26.0
1937,12,12.0
1938,1,18.0
1938,2,30.0
1938,3,16.0
1938,4,17.0
1938,5,11.0
1938,6,69.0
1938,7,39.0
1938,8,68.0
1938,9,12.0
1938,10,19.0
1938,11,20.0
1938,12,7.0
1939,1,8.0
1939,2,34.0
1939,3,3.0
1939,4,18.0
1939,5,18.0
1939,6,27.0
1939,7,30.0
1939,8,29.0
1939,9,64.0
1939,10,7.0
1939,11,16.0
1939,12,53.0
1940,1,17.0
1940,2,14.0
1940,3,12.0
1940,4,20.0
1940,5,21.0
1940,6,8.0
1940,7,51.0
1940,8,89.0
1940,9,33.0
1940,10,9.0
1940,11,8.0
1940,12,24.0
1941,1,31.0
1941,2,8.0
1941,3,10.0
1941,4,3.0
1941,5,2.0
1941,6,5.0
1941,7,41.0
1941,8,49.0
1941,9,74.0
1941,10,16.0
1941,11,6.0
1941,12,24.0
1942,1,10.0
1942,2,8.0
1942,3,35.0
1942,4,8.0
1942,5,29.0
1942,6,45.0
1942,7,66.0
1942,8,50.0
1942,9,24.0
1942,10,26.0
1942,11,36.0
1942,12,12.0
1943,1,4.0
1943,2,41.0
1943,3,19.0
1943,4,17.0
1943,5,10.0
1943,6,50.0
1943,7,59.0
1943,8,48.0
1943,9,3.0
1943,10,27.0
1943,11,3.0
1943,12,27.0
1944,1,14.0
1944,2,11.0
1944,3,12.0
1944,4,3.0
1944,5,8.0
1944,6,7.0
1944,7,35.0
1944,8,56.0
1944,9,18.0
1944,10,12.0
1944,11,16.0
1944,12,32.0
1945,1,14.0
1945,2,20.0
1945,3,47.0
1945,4,18.0
1945,5,7.0
1945,6,25.0
1945,7,30.0
1945,8,83.0
1945,9,12.0
1945,10,22.0
1945,11,44.0
1945,12,19.0
1946,1,24.0
1946,2,37.0
1946,3,10.0
1946,4,12.0
1946,5,4.0
1946,6,81.0
1946,7,50.0
1946,8,21.0
1946,9,51.0
1946,10,40.0
1946,11,16.0
1946,12,4.0
1947,1,14.0
1947,2,7.0
1947,3,8.0
1947,4,10.0
1947,5,8.0
1947,6,64.0
1947,7,41.0
1947,8,15.0
1947,9,49.0
1947,10,16.0
1947,11,19.0
1947,12,19.0
1948,1,14.0
1948,2,15.0
1948,3,43.0
1948,4,5.0
1948,5,19.0
1948,6,32.0
1948,7,52.0
1948,8,47.0
1948,9,23.0
1948,10,14.0
1948,11,20.0
1948,12,49.0
1949,1,47.0
1949,2,21.0
1949,3,13.0
1949,4,16.0
1949,5,21.0
1949,6,23.0
1949,7,26.0
1949,8,30.0
1949,9,22.0
1949,10,22.0
1949,11,3.0
1949,12,15.0
1950,1,3.0
1950,2,7.0
1950,3,4.0
1950,4,30.0
1950,5,5.0
1950,6,32.0
1950,7,22.0
1950,8,29.0
1950,9,31.0
1950,10,13.0
1950,11,3.0
1950,12,20.0
1951,1,9.0
1951,2,3.0
1951,3,13.0
1951,4,12.0
1951,5,2.0
1951,6,13.0
1951,7,102.0
1951,8,26.0
1951,9,35.0
1951,10,12.0
1951,11,17.0
1951,12,20.0
1952,1,12.0
1952,2,16.0
1952,3,7.0
1952,4,9.0
1952,5,26.0
1952,6,117.0
1952,7,38.0
1952,8,46.0
1952,9,33.0
1952,10,1.0
1952,11,34.0
1952,12,28.0
1953,1,36.0
1953,2,26.0
1953,3,63.0
1953,4,30.0
1953,5,11.0
1953,6,18.0
1953,7,42.0
1953,8,27.0
1953,9,24.0
1953,10,20.0
1953,11,11.0
1953,12,14.0
1954,1,31.0
1954,2,9.0
1954,3,27.0
1954,4,18.0
1954,5,12.0
1954,6,30.0
1954,7,72.0
1954,8,76.0
1954,9,29.0
1954,10,36.0
1954,11,9.0
1954,12,19.0
1955,1,7.0
1955,2,20.0
1955,3,29.0
