Year,Month,Precipitation,Temperature
1945,1,,-32.7
1945,2,,-33.4
1945,3,,-10.0
1945,4,,6.5
1945,5,,16.0
1945,6,,18.5
1945,7,,19.7
1945,8,,17.1
1945,9,,10.9
1945,10,,
1945,11,,-17.2
1945,12,,-26.1
1946,1,4.4,-27.8
1946,2,0.4,-20.0
1946,3,6.4,-17.9
1946,4,8.9,3.9
1946,5,8.9,9.9
1946,6,15.6,16.7
1946,7,55.1,18.9
1946,8,39.9,15.6
1946,9,16.3,8.1
1946,10,15.2,0.3
1946,11,5.4,-13.4
1946,12,0.6,-28.6
1947,1,3.3,-31.3
1947,2,9.3,-25.8
1947,3,1.8,-13.7
1947,4,4.1,5.3
1947,5,10.9,11.8
1947,6,21.3,16.5
1947,7,38.1,18.8
1947,8,82.9,15.0
1947,9,14.7,8.3
1947,10,4.9,-0.3
1947,11,20.0,-14.3
1947,12,10.2,-28.8
1948,1,8.6,-30.6
1948,2,7.8,-29.8
1948,3,6.5,-15.9
1948,4,11.3,4.7
1948,5,2.1,9.8
1948,6,32.6,15.6
1948,7,27.9,19.6
1948,8,114.3,15.0
1948,9,13.3,8.8
1948,10,4.2,-1.5
1948,11,3.3,-20.2
1948,12,4.6,-26.0
1949,1,4.6,-28.0
1949,2,0.1,-22.2
1949,3,2.8,-15.6
1949,4,5.1,5.5
1949,5,7.2,11.3
1949,6,25.3,16.3
1949,7,40.3,18.2
1949,8,45.8,16.6
1949,9,9.4,7.1
1949,10,2.1,0.3
1949,11,6.2,-14.0
1949,12,5.2,-29.2
1950,1,14.4,-29.6
1950,2,1.8,-31.2
1950,3,5.7,-15.0
1950,4,11.4,-4.0
1950,5,6.1,12.9
1950,6,22.9,17.4
1950,7,23.2,19.9
1950,8,52.3,16.0
1950,9,6.3,10.2
1950,10,16.8,-2.8
1950,11,1.3,-17.9
1950,12,4.2,-25.4
1951,1,0.7,-33.3
1951,2,1.3,-26.8
1951,3,0.9,-10.7
1951,4,0.0,2.9
1951,5,20.5,13.9
1951,6,50.6,17.2
1951,7,62.9,18.3
1951,8,47.2,13.3
1951,9,14.2,9.3
1951,10,5.9,0.0
1951,11,6.6,-14.8
1951,12,5.4,-20.5
1952,1,2.2,-29.7
1952,2,2.4,-30.8
1952,3,0.0,-14.7
1952,4,7.9,1.5
1952,5,3.7,11.9
1952,6,63.7,16.5
1952,7,30.2,18.1
1952,8,85.2,16.5
1952,9,41.7,9.5
1952,10,17.2,-1.0
1952,11,19.9,-19.5
1952,12,4.9,-26.0
1953,1,5.4,-30.2
1953,2,6.7,-26.8
1953,3,7.6,-13.8
1953,4,0.0,2.5
1953,5,1.8,12.2
1953,6,8.1,18.6
1953,7,91.1,19.2
1953,8,32.9,15.0
1953,9,3.1,10.5
1953,10,3.7,-0.1
1953,11,8.2,-16.9
1953,12,3.4,-24.7
1954,1,1.8,-30.8
1954,2,3.1,-26.8
1954,3,3.8,-17.6
1954,4,2.6,1.1
1954,5,5.4,7.1
1954,6,180.1,16.6
1954,7,65.9,15.9
1954,8,53.8,17.2
1954,9,29.1,9.7
1954,10,3.2,0.8
1954,11,11.7,-11.7
1954,12,1.1,-34.0
1955,1,3.4,-34.1
1955,2,2.6,-23.1
1955,3,7.2,-15.3
1955,4,3.8,2.3
1955,5,13.4,12.0
1955,6,37.6,17.0
1955,7,53.2,18.1
1955,8,67.2,17.4
1955,9,24.4,8.6
1955,10,2.4,-1.7
1955,11,7.0,-16.4
1955,12,16.7,-26.7
1956,1,1.5,-35.9
1956,2,7.3,-28.2
1956,3,6.7,-18.5
1956,4,0.3,2.2
1956,5,16.5,11.7
1956,6,40.0,15.1
1956,7,26.7,19.1
1956,8,47.8,16.3
1956,9,20.2,8.6
1956,10,0.2,0.2
1956,11,8.2,-20.7
1956,12,2.7,-32.9
1957,1,2.5,-34.5
1957,2,6.0,-26.3
1957,3,2.3,-15.6
1957,4,2.3,2.7
1957,5,12.2,10.3
1957,6,18.3,18.6
1957,7,54.8,17.2
1957,8,82.9,14.3
1957,9,6.4,9.2
1957,10,14.1,-1.2
1957,11,0.7,-13.1
1957,12,11.2,-24.3
1958,1,2.1,-32.7
1958,2,3.7,-21.8
1958,3,6.2,-15.3
1958,4,4.0,1.5
1958,5,7.9,11.0
1958,6,52.8,14.1
1958,7,65.6,17.7
1958,8,52.6,16.5
1958,9,26.6,8.4
1958,10,3.1,-0.6
1958,11,4.6,-16.0
1958,12,4.8,-22.7
1959,1,2.2,-29.5
1959,2,0.8,-25.4
1959,3,2.7,-11.0
1959,4,13.3,3.1
1959,5,4.1,10.7
1959,6,32.3,16.6
1959,7,73.8,18.5
1959,8,27.6,16.6
1959,9,5.2,11.4
1959,10,5.0,-0.2
1959,11,9.8,-18.3
1959,12,7.2,-29.5
1960,1,0.7,-28.8
1960,2,4.1,-22.9
1960,3,12.4,-15.1
1960,4,5.8,3.3
1960,5,9.0,9.0
1960,6,22.7,16.4
1960,7,10.9,18.3
1960,8,59.8,15.7
1960,9,51.8,8.8
1960,10,7.5,-2.6
1960,11,5.4,-12.5
1960,12,8.0,-26.6
1961,1,3.3,-28.6
1961,2,0.4,-22.5
1961,3,2.0,-15.2
1961,4,10.1,6.7
1961,5,11.8,11.0
1961,6,48.5,14.0
1961,7,85.7,18.5
1961,8,119.2,14.9
1961,9,22.0,8.9
1961,10,3.6,-5.4
1961,11,10.2,-13.6
1961,12,5.9,-24.0
1962,1,1.7,-31.9
1962,2,0.3,-24.4
1962,3,0.0,-8.9
1962,4,3.7,3.0
1962,5,8.3,13.6
1962,6,34.2,17.2
1962,7,70.4,18.3
1962,8,85.9,16.7
1962,9,10.9,10.7
1962,10,8.9,-0.6
1962,11,1.9,-18.1
1962,12,10.0,-23.7
1963,1,3.7,-29.6
1963,2,9.0,-26.1
1963,3,2.6,-10.0
1963,4,0.8,-0.8
1963,5,2.4,11.1
1963,6,24.1,16.5
1963,7,24.2,19.1
1963,8,25.8,17.3
1963,9,23.2,8.2
1963,10,4.3,-0.3
1963,11,14.2,-11.9
1963,12,7.4,-26.1
1964,1,1.1,-30.1
1964,2,0.9,-35.3
1964,3,3.9,-14.6
1964,4,8.8,1.6
1964,5,17.5,11.7
1964,6,18.7,18.9
1964,7,41.4,19.3
1964,8,60.7,16.4
1964,9,22.6,9.3
1964,10,4.7,-4.2
1964,11,8.4,-16.3
1964,12,8.2,-20.8
1965,1,6.0,-25.2
1965,2,2.8,-26.1
1965,3,2.8,-14.7
1965,4,0.4,1.5
1965,5,3.1,14.4
1965,6,26.3,19.1
1965,7,30.5,19.8
1965,8,52.3,15.6
1965,9,10.1,9.5
1965,10,12.3,-0.8
1965,11,0.3,-13.3
1965,12,0.3,-21.6
1966,1,2.3,-23.0
1966,2,10.2,-19.0
1966,3,16.9,-8.3
1966,4,1.5,2.9
1966,5,10.7,11.4
1966,6,27.8,18.3
1966,7,24.3,18.6
1966,8,37.0,17.8
1966,9,31.0,12.6
1966,10,26.0,0.4
1966,11,4.2,-11.2
1966,12,4.6,-29.7
1967,1,0.8,-30.9
1967,2,3.3,-24.3
1967,3,0.0,-8.0
1967,4,4.3,4.4
1967,5,20.2,13.9
1967,6,75.2,15.1
1967,7,87.5,17.7
1967,8,40.0,13.8
1967,9,15.3,7.7
1967,10,9.0,1.4
1967,11,1.5,-14.6
1967,12,3.1,-26.0
1968,1,4.1,-30.4
1968,2,1.9,-26.2
1968,3,5.4,-3.3
1968,4,3.2,2.8
1968,5,7.8,12.1
1968,6,26.1,17.6
1968,7,60.5,19.0
1968,8,67.0,15.1
1968,9,18.0,6.4
1968,10,18.9,-2.8
1968,11,1.7,-16.6
1968,12,8.5,-24.6
1969,1,7.5,-37.3
1969,2,2.7,-31.6
1969,3,6.2,-17.1
1969,4,0.0,2.3
1969,5,78.3,9.4
1969,6,16.9,17.9
1969,7,61.7,20.4
1969,8,80.3,14.5
1969,9,11.1,8.2
1969,10,9.4,-0.2
1969,11,7.6,-15.5
1969,12,0.6,-26.6
1970,1,13.6,-28.4
1970,2,7.9,-22.6
1970,3,1.0,-14.8
1970,4,2.4,3.7
1970,5,19.0,10.6
1970,6,28.1,17.3
1970,7,59.7,18.7
1970,8,66.8,15.9
1970,9,12.9,8.6
1970,10,9.3,-0.9
1970,11,1.7,
1970,12,5.1,-30.3
1971,1,5.6,-27.8
1971,2,3.4,-26.0
1971,3,6.0,-18.6
1971,4,5.1,4.2
1971,5,3.9,11.4
1971,6,3.6,15.6
1971,7,26.8,18.0
1971,8,22.2,15.6
1971,9,12.4,9.3
1971,10,0.0,0.0
1971,11,8.4,-12.1
1971,12,6.9,-26.2
1972,1,12.4,-30.7
1972,2,0.0,-27.4
1972,3,1.4,-12.9
1972,4,14.9,6.5
1972,5,4.7,11.3
1972,6,38.5,18.9
1972,7,103.4,17.0
1972,8,21.0,16.1
1972,9,21.8,7.5
1972,10,8.8,0.1
1972,11,8.2,-12.3
1972,12,2.9,-25.4
1973,1,3.2,-29.4
1973,2,9.6,-25.0
1973,3,2.3,-13.3
1973,4,0.0,5.8
1973,5,9.7,9.4
1973,6,26.8,18.4
1973,7,26.6,18.4
1973,8,88.9,14.3
1973,9,28.1,10.3
1973,10,11.2,-0.5
1973,11,4.7,-12.4
1973,12,0.6,-23.9
1974,1,1.2,-26.9
1974,2,4.2,-23.9
1974,3,0.1,-5.5
1974,4,0.6,12.9
1974,5,0.1,16.9
1974,6,40.2,19.7
1974,7,67.0,18.1
1974,8,55.8,18.1
1974,9,5.8,-2.9
1974,10,0.0,-14.6
1974,11,0.0,-14.6
1974,12,0.6,-27.2
1975,1,20.5,-25.4
1975,2,39.1,-23.4
1975,3,10.7,-10.0
1975,4,5.3,1.7
1975,5,6.3,10.2
1975,6,29.0,17.1
1975,7,24.2,20.1
1975,8,42.1,16.0
1975,9,7.7,10.6
1975,10,0.0,-1.3
1975,11,4.3,-14.3
1975,12,6.3,-28.9
1976,1,5.8,-31.2
1976,2,17.2,-26.0
1976,3,0.0,-16.9
1976,4,4.0,3.6
1976,5,18.9,10.7
1976,6,17.3,19.1
1976,7,83.9,17.0
1976,8,17.8,15.1
1976,9,4.6,9.9
1976,10,24.8,-3.5
1976,11,5.9,-22.1
1976,12,9.2,-25.1
1977,1,4.0,-34.1
1977,2,5.9,-20.7
1977,3,1.6,-11.0
1977,4,1.5,4.7
1977,5,6.2,10.9
1977,6,17.5,18.8
1977,7,53.2,18.7
1977,8,41.5,16.1
1977,9,12.8,11.0
1977,10,6.7,1.6
1977,11,8.1,-13.8
1977,12,10.4,-21.8
1978,1,2.2,-25.6
1978,2,7.8,-24.4
1978,3,4.7,-12.5
1978,4,15.8,4.9
1978,5,24.0,10.5
1978,6,7.6,20.0
1978,7,11.8,19.3
1978,8,76.9,14.7
1978,9,22.4,10.6
1978,10,11.5,0.8
1978,11,9.1,-13.6
1978,12,12.3,-24.7
1979,1,7.3,-25.3
1979,2,2.5,-18.5
1979,3,1.5,-10.7
1979,4,3.8,1.5
1979,5,11.7,12.0
1979,6,69.8,19.7
1979,7,25.1,19.0
1979,8,23.5,15.5
1979,9,16.7,10.6
1979,10,11.0,-1.1
1979,11,14.9,-15.3
1979,12,1.7,-21.4
1980,1,4.6,-28.0
1980,2,,-26.6
1980,3,4.7,-16.6
1980,4,4.9,1.2
1980,5,4.4,13.2
1980,6,45.3,17.7
1980,7,62.4,18.2
1980,8,53.3,18.3
1980,9,22.9,10.3
1980,10,6.2,-0.7
1980,11,15.6,-12.7
1980,12,5.7,-25.7
1981,1,2.4,-31.8
1981,2,5.2,-22.8
1981,3,11.4,-11.5
1981,4,18.2,5.6
1981,5,2.2,13.2
1981,6,7.4,19.7
1981,7,41.7,18.2
1981,8,37.7,15.7
1981,9,19.2,10.1
1981,10,1.9,-2.3
1981,11,6.6,-15.6
1981,12,0.0,-25.7
1982,1,3.6,-24.9
1982,2,0.3,-24.3
1982,3,6.2,-12.6
1982,4,1.9,6.3
1982,5,1.7,13.0
1982,6,64.3,18.2
1982,7,57.4,17.6
1982,8,69.3,15.6
1982,9,10.6,10.5
1982,10,0.7,3.3
1982,11,7.6,-13.8
1982,12,5.5,-21.9
1983,1,2.7,-25.4
1983,2,6.3,-20.6
1983,3,4.2,-11.2
1983,4,0.0,1.4
1983,5,6.8,11.1
1983,6,42.3,14.9
1983,7,41.3,17.7
1983,8,18.6,16.7
1983,9,20.9,8.3
1983,10,7.9,1.8
1983,11,2.1,-8.8
1983,12,4.1,-24.8
1984,1,5.7,-28.9
1984,2,0.0,-28.1
1984,3,1.3,-6.5
1984,4,0.5,1.6
1984,5,7.1,12.0
1984,6,32.0,17.5
1984,7,58.7,16.6
1984,8,38.8,15.3
1984,9,17.8,10.3
1984,10,1.0,1.1
1984,11,7.6,18.8
1984,12,1.2,-29.2
1985,1,4.7,-26.5
1985,2,3.9,-22.8
1985,3,0.0,-13.8
1985,4,3.3,5.6
1985,5,2.7,11.5
1985,6,55.2,14.8
1985,7,49.7,17.6
1985,8,55.8,15.6
1985,9,11.3,9.1
1985,10,4.8,0.3
1985,11,7.9,-14.0
1985,12,6.3,-26.5
1986,1,0.8,-25.8
1986,2,3.9,-23.4
1986,3,5.9,-10.2
1986,4,0.0,4.7
1986,5,19.7,13.8
1986,6,101.2,15.9
1986,7,75.5,18.5
1986,8,29.0,15.7
1986,9,43.4,9.0
1986,10,18.0,-1.5
1986,11,7.6,-17.6
1986,12,8.0,-25.3
1987,1,1.3,-24.9
1987,2,0.7,-18.0
1987,3,0.3,-10.1
1987,4,14.3,4.6
1987,5,45.0,11.4
1987,6,22.9,14.3
1987,7,54.2,19.3
1987,8,35.8,17.1
1987,9,47.2,8.9
1987,10,19.3,-1.7
1987,11,12.7,-18.7
1987,12,7.1,-23.6
1988,1,4.5,-27.0
1988,2,3.7,-24.2
1988,3,1.8,-11.7
1988,4,0.6,4.2
1988,5,11.9,10.6
1988,6,34.1,16.4
1988,7,68.2,15.2
1988,8,48.5,16.5
1988,9,3.0,11.4
1988,10,32.4,0.5
1988,11,0.0,-11.7
1988,12,10.7,-21.5
1989,1,3.2,-26.2
1989,2,3.6,-24.6
1989,3,1.9,-5.9
1989,4,0.8,4.0
1989,5,14.8,12.3
1989,6,79.6,15.6
1989,7,89.6,18.9
1989,8,12.5,17.3
1989,9,9.5,9.7
1989,10,3.0,2.0
1989,11,7.7,-16.4
1989,12,5.7,-19.6
1990,1,2.7,-28.5
1990,2,0.0,-19.5
1990,3,1.3,-6.2
1990,4,1.8,3.1
1990,5,1.4,13.5
1990,6,50.1,16.9
1990,7,43.5,19.9
1990,8,52.5,15.3
1990,9,8.5,9.5
1990,10,10.7,1.8
1990,11,6.0,-15.5
1990,12,3.4,-20.5
1991,1,5.0,-27.3
1991,2,3.3,-21.1
1991,3,3.9,-13.8
1991,4,1.2,2.5
1991,5,3.2,10.5
1991,6,29.3,17.2
1991,7,34.4,19.4
1991,8,90.2,15.7
1991,9,15.0,10.1
1991,10,4.6,3.3
1991,11,17.7,-14.9
1991,12,3.3,-25.7
1992,1,6.1,-24.9
1992,2,4.6,-23.4
1992,3,1.5,-12.6
1992,4,8.0,4.8
1992,5,18.5,12.9
1992,6,27.0,16.7
1992,7,98.3,19.1
1992,8,81.9,15.4
1992,9,51.6,6.3
1992,10,3.7,-1.3
1992,11,5.1,-14.4
1992,12,5.7,-22.5
1993,1,1.1,-27.8
1993,2,6.0,-18.7
1993,3,3.9,-8.5
1993,4,18.5,3.3
1993,5,7.3,9.4
1993,6,63.5,15.9
1993,7,64.7,17.9
1993,8,51.0,15.8
1993,9,46.8,8.4
1993,10,1.2,0.2
1993,11,13.1,-21.8
1993,12,1.5,-26.9
1994,1,5.6,-23.8
1994,2,2.6,-23.0
1994,3,5.0,-12.7
1994,4,7.9,5.0
1994,5,17.9,12.0
1994,6,61.5,18.4
1994,7,77.7,17.9
1994,8,63.3,14.3
1994,9,22.6,9.0
1994,10,7.0,1.1
1994,11,28.2,-8.8
1994,12,17.9,-25.5
1995,1,6.2,-26.5
1995,2,2.5,-21.3
1995,3,0.4,-8.9
1995,4,7.2,5.5
1995,5,14.6,10.5
1995,6,27.9,15.5
1995,7,44.0,
1995,8,8.2,
1995,9,13.2,10.2
1995,10,2.5,1.3
1995,11,1.6,-8.8
1995,12,7.5,-21.5
1996,1,2.0,-29.2
1996,2,1.2,-24.9
1996,3,7.9,-11.6
1996,4,0.5,3.5
1996,5,25.4,11.9
1996,6,41.1,16.0
1996,7,61.7,21.1
1996,8,36.8,16.5
1996,9,14.0,8.3
1996,10,0.0,-0.3
1996,11,2.7,-10.3
1996,12,13.6,-18.4
1997,1,9.2,-27.3
1997,2,0.0,-20.8
1997,3,5.7,-6.6
1997,4,7.4,8.9
1997,5,16.5,14.2
1997,6,89.1,18.2
1997,7,58.0,17.5
1997,8,70.2,15.3
1997,9,21.0,9.5
1997,10,0.4,2.4
1997,11,2.1,-12.1
1997,12,3.1,-24.2
1998,1,0.0,-26.5
1998,2,0.7,-16.3
1998,3,1.4,-4.9
1998,4,10.4,4.6
1998,5,10.4,12.5
1998,6,19.6,17.9
1998,7,71.2,19.6
1998,8,55.8,19.2
1998,9,32.0,10.8
1998,10,12.3,1.8
1998,11,17.7,-12.7
1998,12,8.1,-22.2
1999,1,3.7,-26.0
1999,2,1.1,-20.8
1999,3,0.5,-15.6
1999,4,1.1,5.0
1999,5,10.8,14.7
1999,6,93.4,16.5
1999,7,33.5,21.4
1999,8,53.1,16.4
1999,9,15.3,9.1
1999,10,6.6,1.1
1999,11,37.4,-15.6
1999,12,14.8,-22.4
2000,1,14.6,-30.5
2000,2,3.2,-22.7
2000,3,4.2,-9.2
2000,4,13.1,6.5
2000,5,7.0,13.3
2000,6,117.4,18.9
2000,7,80.3,18.1
2000,8,89.1,16.9
2000,9,35.0,9.5
2000,10,10.3,-2.1
2000,11,6.4,-14.1
2000,12,11.8,-20.0
2001,1,9.5,-26.7
2001,2,2.0,-21.6
2001,3,9.0,-6.4
2001,4,7.0,5.0
2001,5,8.5,14.5
2001,6,33.2,19.7
2001,7,15.0,
2001,8,51.2,18.5
2001,9,44.5,9.5
2001,10,1.6,0.9
2001,11,5.8,-10.0
2001,12,5.6,-24.8
2002,1,2.1,-22.4
2002,2,0.3,-17.3
2002,3,9.8,-7.3
2002,4,3.0,3.6
2002,5,19.0,13.8
2002,6,53.7,19.3
2002,7,82.4,20.0
2002,8,70.7,18.1
2002,9,12.1,10.4
