Year,Month,Precipitation,Relative Humidity,Sunshine Duration,Temperature,VPD
1960,1,0.0,,,,
1960,2,2.1,,,-38.44,0.2
1960,3,8.1,,,-29.480000000000008,0.5
1960,4,3.8,,,-19.040000000000003,1.1
1960,5,2.0,,,-2.964285714285714,3.6
1960,6,23.000000000000004,,,11.396428571428572,7.6
1960,7,58.7,,,13.93,11.0
1960,8,31.0,,,7.487096774193549,7.5
1960,9,38.5,,,-1.457142857142857,4.7
1960,10,9.6,,,-19.26,1.3
1960,11,14.7,,,-29.628571428571423,0.6
1960,12,2.1,,,-37.59333333333333,0.2
1961,1,5.2,,,-41.23333333333333,0.2
1961,2,4.199999999999999,,,-38.214814814814815,0.2
1961,3,2.7,,,-34.21923076923077,0.4
1961,4,10.1,,,-21.553571428571438,0.9
1961,5,21.0,,,-6.248387096774193,3.0
1961,6,13.599999999999998,,,11.79310344827586,7.2
1961,7,43.0,,,11.864516129032255,9.4
1961,8,39.7,,,6.34,7.7
1961,9,30.200000000000003,,,0.6821428571428572,5.5
1961,10,13.599999999999998,,,-14.793548387096775,1.7
1961,11,3.2,,,-26.225,0.7
1961,12,2.1,,,-35.18518518518518,0.3
1962,1,3.5,,,-40.35652173913043,0.2
1962,2,7.9,,,-40.065384615384616,0.2
1962,3,3.5,,,-29.84333333333333,0.5
1962,4,6.900000000000001,,,-16.162068965517243,1.4
1962,5,11.8,,,-2.4266666666666667,3.7
1962,6,40.8,,,6.126666666666666,6.6
1962,7,19.8,,,10.24516129032258,7.8
1962,8,28.2,,,7.196296296296294,7.4
1962,9,16.900000000000002,,,-3.553333333333333,4.0
1962,10,14.2,,,-14.416666666666668,1.8
1962,11,10.2,,,-28.41379310344828,0.6
1962,12,14.2,,,-38.91851851851852,0.2
1963,1,9.1,,,-38.06666666666667,0.2
1963,2,7.0,,,-37.65714285714285,0.2
1963,3,4.7,,,-28.61290322580645,0.6
1963,4,3.7,,,-18.07,1.2
1963,5,16.799999999999997,,,-6.441935483870968,2.9
1963,6,20.6,,,5.55357142857143,6.0
1963,7,63.4,,,10.703225806451613,8.2
1963,8,28.8,,,8.803333333333336,8.0
1963,9,47.99999999999999,,,-1.2633333333333332,4.6
1963,10,10.8,,,-17.062962962962963,1.6
1963,11,7.7,,,-29.01333333333333,0.6
1963,12,8.5,,,-34.50645161290322,0.3
1964,1,2.0,,,-42.88709677419355,0.1
1964,2,3.0,,,-26.22758620689655,0.6
1964,3,6.199999999999999,,,-29.31612903225807,0.4
1964,4,10.1,,,-18.82,1.0
1964,5,29.1,,,-5.332258064516129,3.0
1964,6,11.1,,,11.355555555555556,7.5
1964,7,95.0,,,9.261290322580646,7.3
1964,8,138.9,,,7.024137931034482,7.8
1964,9,28.800000000000004,,,-2.412,4.2
1964,10,20.4,,,-17.048275862068966,1.8
1964,11,5.300000000000001,,,-35.62,0.3
1964,12,9.7,,,-36.830000000000005,0.3
1965,1,6.8,,,-40.21935483870968,0.2
1965,2,2.4,,,-40.76428571428571,0.2
1965,3,2.3,,,-32.53793103448276,0.4
1965,4,6.000000000000001,,256.0,-18.343333333333337,1.2
1965,5,3.1,,351.0,-3.5733333333333337,3.4
1965,6,59.4,,292.0,10.955172413793106,8.2
1965,7,11.1,,467.0,15.089655172413794,9.1
1965,8,20.1,,233.0,8.35483870967742,7.4
1965,9,25.1,,78.0,-0.0214285714285712,5.4
