Year,Month,Precipitation,Temperature,VPD
1901,1,1.02903,-6.2,0.1704995638032951
1901,2,0.865517,-14.2,-0.0514348721285249
1901,3,0.3,-7.6,0.4612593829896547
1901,4,1.38333,1.6,1.9783236953158292
1901,5,0.774194,7.6,3.524805182938336
1901,6,2.19,15.9,6.381824944514328
1901,7,1.29677,17.6,6.32276062285902
1901,8,1.67742,14.7,2.8538048795490774
1901,9,0.473333,9.7,1.905528722604446
1901,10,1.17742,5.2,1.047098365949629
1901,11,2.13,-6.0,-0.0672535985461024
1901,12,0.777419,-13.9,-0.3025176466346078
1902,1,1.09677,-14.5,-0.8991331066620882
1902,2,0.731035,-11.7,-0.503796709270421
1902,3,1.40323,-9.3,0.1219802114551025
1902,4,0.426667,-3.5,0.6987709972203295
1902,5,0.922581,5.3,2.8083228040686024
1902,6,2.58333,10.2,3.7118705657934985
1902,7,4.5129,13.8,3.5153592136435137
1902,8,2.42258,12.4,2.448255725521612
1902,9,2.93667,6.8,1.1731230935205126
1902,10,1.50323,-1.4,-0.4329494864507257
1902,11,1.01,-5.8,-0.1040200225334757
1902,12,0.516129,-10.2,0.0126720380702272
1903,1,2.12258,-11.3,-0.1231718671946535
1903,2,1.42759,-6.6,0.0489109278897914
1903,3,0.567742,-1.4,0.7670505135492744
1903,4,1.47667,3.0,1.8917473856858589
1903,5,0.970968,8.4,3.9037267638863486
1903,6,2.37,14.8,5.5610688714003
1903,7,2.87097,14.7,4.353804879549077
1903,8,4.87419,13.3,2.514446045526153
1903,9,0.946667,8.6,1.4528462726065854
1903,10,0.793548,-1.1,-0.2971828758704724
1903,11,1.79667,-1.9,0.4475237396057725
1903,12,0.554839,-6.3,0.1397418412380178
1904,1,0.512903,-6.0,0.2327464014538978
1904,2,1.24828,-12.1,-0.3818078057573717
1904,3,0.225806,-5.8,0.7959799774665242
1904,4,1.6,2.6,2.4814437921613197
1904,5,1.54516,6.1,3.3118774057253137
1904,6,3.02667,12.0,4.377489694500172
1904,7,3.52903,13.1,3.3180649319238427
1904,8,4.7,12.4,2.1482557255216133
1904,9,1.57333,8.4,1.503724763886348
1904,10,1.37419,3.7,0.5727048620291599
1904,11,1.62,-6.3,-0.2602581587619821
1904,12,1.86452,-10.8,-0.7185954186189782
1905,1,0.958064,-12.1,-0.2818078057573716
1905,2,0.696552,-8.2,0.2993408333068075
1905,3,0.667742,-3.8,0.7857561109439701
1905,4,1.21,0.6,1.5061677275190268
1905,5,1.06452,9.6,4.025691022277944
1905,6,1.44,15.0,5.777427078938645
1905,7,2.87742,15.6,5.241356412631145
1905,8,2.94194,12.8,2.0276930193097336
1905,9,1.32333,7.6,0.7248051829383364
1905,10,1.0871,1.0,0.2914218663018646
1905,11,1.15333,-2.9,0.0327824317976723
1905,12,0.570968,-6.6,0.3489109278897913
1906,1,1.37742,-7.7,-0.2662683884815027
1906,2,0.903448,-8.5,-0.1787504583187171
1906,3,1.05484,-8.3,-0.6268984907723398
1906,4,0.756667,3.1,2.145152542136799
1906,5,2.01613,11.9,5.086133162837578
1906,6,1.36333,14.8,6.1610688714003
1906,7,2.03871,17.4,5.872519234613204
1906,8,1.43226,12.1,2.3693775806034694
1906,9,1.69333,6.5,0.9730384929537976
1906,10,1.06129,1.8,0.0764163770849553
1906,11,2.26333,-3.7,-0.6768629419813372
1906,12,0.880645,-7.8,0.0064224490282795
1907,1,0.593548,-17.2,-0.1779131105065494
1907,2,0.589655,-8.1,0.3257910632678094
1907,3,0.335484,-2.8,0.6728448731926893
1907,4,1.17667,2.0,1.9757609627859267
1907,5,1.36774,5.2,2.747098365949629
1907,6,1.01,14.9,5.9689419587901895
1907,7,2.78387,16.7,5.418217033419444
1907,8,3.62903,12.4,2.448255725521612
1907,9,1.05,7.4,1.2843737178759795
1907,10,0.845161,4.8,0.7059362351399097
1907,11,0.686667,-2.9,-0.1672165682023276
1907,12,0.422581,-16.4,0.0253624019622655
1908,1,1.31935,-12.6,-0.3757624401673722
1908,2,1.25862,-10.2,-0.1873279619297729
1908,3,0.2,-6.8,0.58954196672024
1908,4,0.616667,1.9,2.1259313283557333
1908,5,0.529032,6.1,3.211877405725314
1908,6,1.75,13.2,5.415973676331435
1908,7,1.07097,15.8,5.567697462927601
1908,8,0.867742,13.0,2.020717064077088
1908,9,2.67333,7.7,0.3956576746635569
1908,10,0.396774,2.5,0.6296897375408399
1908,11,0.64,-6.4,-0.1907743720833887
1908,12,1.09032,-5.9,0.5642389756605191
1909,1,0.554839,-6.6,0.0489109278897914
1909,2,0.682759,-12.2,0.0990888099291114
1909,3,1.27419,-6.5,-0.1210507790788963
1909,4,0.826667,-3.3,0.7755787900042814
1909,5,1.09677,4.1,2.0979843231022297
1909,6,1.77333,12.3,4.654757949577638
1909,7,2.86452,15.9,5.481824944514328
1909,8,2.40323,13.7,2.9140271156920807
1909,9,1.18,9.9,1.6666275712448826
1909,10,2.27419,6.4,1.7071504290075046
1909,11,1.38333,-5.5,0.092711168437428
1909,12,1.50645,-7.4,-0.1830229573730992
1910,1,1.30323,-9.4,0.2979631568187222
1910,2,1.4069,-4.3,0.5031270536095747
1910,3,1.06452,-2.7,0.5132145266919164
1910,4,1.27333,3.1,2.445153542136799
1910,5,0.451613,8.6,3.752846272606585
1910,6,1.69667,13.7,5.614026115692081
1910,7,1.86129,15.7,5.254208965959821
1910,8,0.858065,11.2,1.6612965810376965
1910,9,2.04333,8.7,1.5280768238890978
1910,10,1.18065,4.3,2.412742142287821
1910,11,1.94667,-4.6,-0.6031012451038906
1910,12,1.58387,-6.2,-0.1295004361967051
1911,1,1.1129,-9.4,0.2979631568187222
1911,2,0.982759,-14.9,-0.0608818833856028
1911,3,0.470968,-5.1,0.3252718924854036
1911,4,1.19333,-0.6,0.9360478707871946
1911,5,0.180645,8.3,3.529833253566509
1911,6,1.59333,12.7,5.032011399991898
1911,7,2.11935,14.9,4.668941958790191
1911,8,2.7,15.4,4.617547031223754
1911,9,1.97,8.3,1.2298332535665093
1911,10,2.51613,1.0,0.691421866301865
1911,11,2.51333,-0.9,0.0950546859249303
1911,12,1.36452,-6.0,-0.2672535985461022
1912,1,0.519355,-15.3,0.0794242034591747
1912,2,0.87931,-16.1,-0.2340447122039703
1912,3,1.44516,-3.9,-0.151337155439049
1912,4,0.636667,-2.2,1.2197616968081897
1912,5,1.6871,5.8,3.0201477390419544
1912,6,2.46333,14.3,4.8307815204003255
1912,7,0.732258,15.6,5.441356412631146
1912,8,1.97742,14.9,3.7689419587901902
1912,9,4.11333,7.7,1.1956576746635577
1912,10,1.83548,-1.3,-0.3880361389455524
1912,11,1.53,-3.6,-0.2391933165083806
1912,12,1.64839,-7.0,-0.3688945854708132
1913,1,0.648387,-10.0,0.1578731971546054
1913,2,0.924138,-10.9,-0.6398547599775775
1913,3,0.967742,-3.7,0.7231370580186622
1913,4,1.31667,3.6,2.0172566062741826
1913,5,0.548387,6.3,3.241662278154501
1913,6,2.7,11.7,4.105003692373208
1913,7,1.55161,17.2,5.525034866692012
1913,8,1.99355,15.2,3.6962452234279386
1913,9,1.21667,9.2,2.0110294619674303
1913,10,0.551613,0.4,0.4153054778598397
1913,11,1.62667,-1.9,0.0475247396057731
1913,12,1.18387,-9.5,-0.4258605133096402
1914,1,1.13871,-12.7,-0.3940904637058722
1914,2,1.34138,-7.5,-0.2109926665961157
1914,3,1.10968,-6.5,-0.4210507790788962
1914,4,0.253333,0.8,2.098202195949873
1914,5,1.78065,8.5,3.3780636796622243
1914,6,1.16333,16.1,6.612009083943008
1914,7,4.00645,18.6,6.216239830951537
1914,8,2.24194,11.5,1.8259683327735257
1914,9,1.6,8.4,1.4037267638863486
1914,10,0.26129,0.9,0.5446630648386677
1914,11,1.18333,-3.7,0.0231360580186628
1914,12,1.60645,-4.8,0.0274453915573475
1915,1,1.10968,-12.0,-0.3625458528521701
1915,2,1.2931,-10.6,-0.475551728967579
1915,3,0.425806,-11.5,-0.3638158658822568
1915,4,0.783333,0.5,1.4605908822021512
1915,5,0.577419,6.7,3.606022723293577
1915,6,2.93,11.4,3.837229478714312
1915,7,1.62258,17.6,5.82276062285902
1915,8,2.00645,12.8,2.0276930193097336
1915,9,1.27667,7.4,1.5843747178759795
1915,10,0.387097,0.7,0.45203762569749
1915,11,1.55,-6.4,-0.1907743720833887
1915,12,0.83871,-17.5,-0.8148431261048781
1916,1,1.04516,-8.9,0.3200106010714982
1916,2,0.844828,-6.7,-0.0808909330384719
1916,3,0.435484,-7.9,0.4793303354076741
1916,4,0.303333,0.3,1.370309909905273
1916,5,0.812903,5.0,2.6257741145468465
1916,6,2.64333,12.8,5.027693019309734
1916,7,2.29032,17.8,6.075785033304099
1916,8,3.0,11.4,1.737229478714312
1916,9,2.69333,6.3,0.8416622781545016
1916,10,1.20323,-0.8,-0.1583015411858683
1916,11,2.02333,-0.2,0.2290605899463855
1916,12,1.34839,-7.2,0.1735881067992579
1917,1,0.819355,-14.2,-0.0514348721285249
1917,2,0.27931,-16.8,-0.3271631299013087
1917,3,0.219355,-12.7,-0.0940904637058723
1917,4,0.88,0.0,1.427765943007957
1917,5,1.35484,4.9,2.5656703586847893
1917,6,1.76333,17.2,6.9250348666920125
1917,7,1.22581,14.9,4.668941958790191
1917,8,1.28065,16.4,4.862154376080147
1917,9,4.52667,9.0,1.0564791819287915
1917,10,2.35806,4.8,0.7059362351399097
1917,11,1.71667,-2.8,0.0728438731926885
1917,12,0.987097,-8.6,-0.2043660965086595
1918,1,0.967742,-15.7,-0.078276678780087
1918,2,0.644828,-10.2,-0.1873279619297729
1918,3,0.216129,-5.5,0.592711168437428
1918,4,0.21,2.7,2.033524709307054
1918,5,0.696774,4.7,2.446569793796799
1918,6,2.25,11.4,3.537229478714311
1918,7,0.722581,15.4,4.917547031223753
1918,8,2.38065,10.7,1.5303570812863647
1918,9,2.44333,8.2,1.156380886418443
1918,10,1.8871,5.1,0.8862494612891316
1918,11,0.696667,-0.8,-0.0583025411858688
1918,12,1.15806,-8.0,-0.047546279656617
1919,1,0.770968,-9.5,-0.0258605133096403
1919,2,0.731035,-13.9,-0.3025176466346078
1919,3,0.477419,-9.6,0.050507800547491
1919,4,1.60333,0.0,1.427765943007957
1919,5,0.325806,7.7,4.095657674663557
1919,6,1.39333,14.8,4.861068871400299
1919,7,1.36129,18.3,6.720694193953859
