Year,Month,Precipitation,Temperature
1960,1,33.2,-17.1
1960,2,10.7,-17.4
1960,3,7.2,-4.5
1960,4,31.1,0.7
1960,5,22.8,8.0
1960,6,49.0,11.3
1960,7,35.8,
1960,8,35.7,12.4
1960,9,19.9,
1960,10,5.2,-4.8
1960,11,20.7,-9.3
1960,12,45.6,-11.5
1961,1,30.2,-10.7
1961,2,21.0,-11.0
1961,3,28.5,-6.4
1961,4,19.0,-4.5
1961,5,33.5,3.3
1961,6,75.5,13.2
1961,7,66.4,14.8
1961,8,86.0,11.8
1961,9,26.6,6.8
1961,10,47.2,5.2
1961,11,52.0,-3.6
1961,12,37.8,-15.0
1962,1,31.3,-15.8
1962,2,18.7,-11.1
1962,3,8.6,-14.2
1962,4,25.6,-0.5
1962,5,50.8,3.2
1962,6,23.4,9.1
1962,7,78.1,10.8
1962,8,45.2,9.1
1962,9,24.1,5.8
1962,10,43.8,0.3
1962,11,20.9,-2.3
1962,12,18.9,-15.3
1963,1,18.1,-14.6
1963,2,19.5,-15.7
1963,3,4.4,-12.9
1963,4,5.8,-1.2
1963,5,15.4,10.9
1963,6,42.8,8.4
1963,7,63.1,12.3
1963,8,57.6,11.7
1963,9,66.1,8.7
1963,10,22.5,1.6
1963,11,36.7,-7.2
1963,12,22.9,-11.4
1964,1,26.8,-6.4
1964,2,10.9,-14.7
1964,3,6.0,-6.6
1964,4,20.6,-3.0
1964,5,39.8,4.8
1964,6,59.3,10.0
1964,7,62.2,14.2
1964,8,79.9,10.5
1964,9,112.4,5.2
1964,10,23.7,2.9
1964,11,13.3,-7.7
1964,12,28.5,-10.4
1965,1,23.9,-13.4
1965,2,25.1,-11.1
1965,3,30.4,-10.5
1965,4,7.9,-1.5
1965,5,19.7,1.1
1965,6,68.4,10.0
1965,7,69.4,10.8
1965,8,89.2,10.0
1965,9,40.3,6.6
1965,10,58.8,-0.6
1965,11,29.3,-10.0
1965,12,20.1,-15.0
1966,1,8.7,-19.0
1966,2,16.5,-23.0
1966,3,18.9,-16.0
1966,4,20.8,-4.4
1966,5,18.7,3.3
1966,6,34.3,12.0
1966,7,72.4,14.5
1966,8,77.5,10.1
1966,9,56.2,3.5
1966,10,58.7,-3.2
1966,11,24.7,-3.5
1966,12,7.2,-10.5
1967,1,23.7,-18.2
1967,2,11.9,-8.8
1967,3,31.7,-3.7
1967,4,18.8,-0.8
1967,5,17.3,4.6
1967,6,52.0,10.5
1967,7,86.9,13.6
1967,8,40.6,13.1
1967,9,26.4,8.1
1967,10,108.1,-0.4
1967,11,23.8,-0.7
1967,12,16.4,-17.4
1968,1,9.8,-17.8
1968,2,13.8,-14.1
1968,3,12.4,-8.2
1968,4,34.0,-3.1
1968,5,19.7,1.4
1968,6,52.0,10.5
1968,7,29.3,10.0
1968,8,41.8,10.4
1968,9,23.0,3.6
1968,10,36.7,-6.6
1968,11,17.3,-5.4
1968,12,31.3,-5.4
1969,1,10.0,-13.5
1969,2,5.1,-16.2
1969,3,12.3,-10.3
1969,4,5.4,-3.2
1969,5,14.7,2.6
1969,6,19.2,9.6
1969,7,55.8,13.4
1969,8,54.8,12.0
1969,9,36.8,5.4
1969,10,31.8,0.9
1969,11,22.0,-6.8
1969,12,11.2,-9.7
1970,1,13.0,-13.5
1970,2,15.1,-20.5
1970,3,10.9,-6.2
1970,4,11.0,-5.3
1970,5,8.8,4.3
1970,6,16.6,14.2
1970,7,91.1,15.7
1970,8,12.5,13.0
1970,9,89.7,6.2
1970,10,11.3,0.8
1970,11,12.1,-9.4
1970,12,12.0,-10.0
1971,1,26.5,-13.4
1971,2,10.8,-17.5
1971,3,14.3,-12.0
1971,4,30.6,-4.0
1971,5,2.3,3.5
1971,6,14.8,9.9
1971,7,51.6,12.8
1971,8,87.8,11.7
1971,9,58.2,5.0
1971,10,22.5,-1.3
1971,11,31.8,-12.3
1971,12,19.0,-9.4
1972,1,3.8,-8.6
1972,2,8.4,-11.4
1972,3,30.9,-5.5
1972,4,23.9,-2.4
1972,5,34.1,3.4
1972,6,30.1,14.3
1972,7,68.9,17.5
1972,8,16.7,13.4
1972,9,60.9,5.9
1972,10,38.8,0.0
1972,11,16.4,-10.2
1972,12,23.5,-3.2
1973,1,30.1,-7.8
1973,2,9.5,-12.1
1973,3,16.6,-6.2
1973,4,23.2,-1.5
1973,5,10.4,4.5
1973,6,71.0,12.7
1973,7,19.7,17.8
1973,8,33.3,10.7
1973,9,21.8,3.2
1973,10,15.9,-4.4
1973,11,60.8,-10.7
1973,12,18.6,-17.0
1974,1,11.8,-10.1
1974,2,42.4,-8.0
1974,3,2.7,-3.7
1974,4,8.7,-0.9
1974,5,8.0,3.5
1974,6,79.8,12.3
1974,7,82.7,15.4
1974,8,126.2,12.0
1974,9,69.7,9.0
1974,10,15.5,-0.6
1974,11,16.6,-6.5
1974,12,22.2,-5.0
1975,1,25.6,-12.6
1975,2,14.1,-9.3
1975,3,11.1,-2.9
1975,4,7.4,-1.8
1975,5,52.2,5.5
1975,6,42.2,8.6
1975,7,82.7,11.6
1975,8,62.3,9.6
1975,9,45.2,7.3
1975,10,46.5,-0.4
1975,11,12.5,-4.7
1975,12,34.3,-12.0
1976,1,18.3,-19.0
1976,2,11.9,-10.7
1976,3,8.6,-8.9
1976,4,6.2,-1.5
1976,5,6.0,6.7
1976,6,44.3,8.6
1976,7,69.3,13.2
1976,8,42.0,11.5
1976,9,43.8,3.7
1976,10,15.7,-2.7
1976,11,32.0,-9.5
1976,12,8.8,-12.3
1977,1,39.9,-14.3
1977,2,12.8,-13.0
1977,3,27.7,-9.2
1977,4,28.8,-3.8
1977,5,17.7,3.0
1977,6,88.1,9.0
1977,7,70.0,13.3
1977,8,14.8,10.8
1977,9,42.0,4.6
1977,10,37.5,-2.3
1977,11,27.0,-4.9
1977,12,11.2,-10.5
1978,1,20.4,-15.7
1978,2,30.2,-14.1
1978,3,11.7,-8.3
1978,4,21.1,-3.6
1978,5,4.6,4.9
1978,6,5.2,10.8
1978,7,57.3,12.2
1978,8,52.9,9.8
1978,9,34.8,5.3
1978,10,35.0,-1.5
1978,11,15.9,-7.7
1978,12,15.4,-17.8
1979,1,16.3,-18.0
1979,2,26.5,-14.3
1979,3,8.9,-7.2
1979,4,6.9,-3.4
1979,5,38.7,4.6
1979,6,22.1,11.8
1979,7,16.2,15.0
1979,8,59.9,12.2
