Year,Month,Precipitation,Relative Humidity,Sunshine Duration,Temperature,Water-Vapour Pressure
1931,1,,,,,
1931,2,,,,,
1931,3,,,,,
1931,4,,,,,
1931,5,,,,,
1931,6,,,,10.8,
1931,7,,,,,
1931,8,,,,,
1931,9,,,,6.3,
1931,10,,,,-0.3,
1931,11,,,,-8.7,
1931,12,,,,-18.2,
1932,1,,,,-15.5,
1932,2,,,,-23.4,
1932,3,,,,,
1932,4,,,,-3.0,
1932,5,,,,-1.7,
1932,6,,,,4.7,
1932,7,,,,11.9,
1932,8,,,,13.1,
1932,9,,,,7.4,
1932,10,,,,-2.3,
1932,11,,,,-12.2,
1932,12,,,,-20.1,
1933,1,,,,-20.5,
1933,2,,,,-21.5,
1933,3,,,,-22.9,
1933,4,,,,-6.6,
1933,5,,,,-3.3,
1933,6,,,,4.7,
1933,7,,,,15.9,
1933,8,,,,8.2,
1933,9,,,,3.3,
1933,10,,,,-0.5,
1933,11,,,,-14.7,
1933,12,,,,-26.8,
1934,1,,,,-9.4,
1934,2,,,,,
1934,3,,,,-13.8,
1934,4,,,,-10.1,
1934,5,,,,1.1,
1934,6,,,,7.6,
1934,7,,,,10.7,
1934,8,,,,10.6,
1934,9,,,,1.8,
1934,10,,,,-1.1,
1934,11,,,,-4.2,
1934,12,,,,-14.3,
1935,1,,,,-16.3,
1935,2,,,,-9.8,
1935,3,,,,-12.2,
1935,4,,,,-12.1,
1935,5,,,,-1.9,
1935,6,,,,6.8,
1935,7,,,,13.3,
1935,8,,,,8.6,9.6
1935,9,,,,5.2,8.0
1935,10,,,,-4.6,
1935,11,,,,-7.5,
1935,12,,,,-12.3,
1936,1,,,,-21.9,
1936,2,,,,-24.1,
1936,3,,,,-15.2,
1936,4,,,,-5.4,
1936,5,,,,-0.7,
1936,6,,,,9.7,7.6
1936,7,,,,13.2,10.9
1936,8,,,,11.3,10.7
1936,9,,,,5.1,7.7
1936,10,,,,-1.5,
1936,11,,,,-4.2,
1936,12,,,,-9.3,
1937,1,,,,-12.4,
1937,2,,,,-11.7,
1937,3,,,,-16.1,
1937,4,,,,-8.9,
1937,5,,,,-2.7,
1937,6,,,,,
1937,7,,,,,
1937,8,,,,10.3,9.9
1937,9,,,,4.9,7.6
1937,10,,,,-0.4,
1937,11,,,,-7.7,
1937,12,,,,-19.5,
1938,1,,,,-15.9,1.6
1938,2,,,,-21.0,1.6
1938,3,,,,-10.4,2.8
1938,4,,,,-4.1,3.8
1938,5,,,,1.8,5.6
1938,6,,,,8.7,8.8
1938,7,,,,13.6,11.6
1938,8,,,,10.5,10.4
1938,9,,,,6.5,8.2
1938,10,,,,-4.2,4.1
1938,11,,,,-10.9,2.9
1938,12,,,,-19.2,1.8
1939,1,,,,-20.3,1.3
1939,2,,,,-17.2,1.7
1939,3,,,,-16.0,1.8
1939,4,,,,-7.8,3.2
1939,5,,,,-3.4,4.2
1939,6,,,,8.8,8.1
1939,7,,,,12.0,10.7
1939,8,,,,7.3,9.0
1939,9,,,,1.4,6.0
1939,10,,,,-3.6,4.4
1939,11,,,,-5.1,4.0
1939,12,,,,-13.8,2.2
1940,1,,,,-26.2,0.7
1940,2,,,,-18.4,1.6
1940,3,,,,-17.5,1.6
1940,4,,,,-6.0,3.4
1940,5,,,,-3.8,4.1
1940,6,,,,7.6,7.0
1940,7,,,,14.2,11.3
1940,8,,,,14.5,12.6
1940,9,,,,7.6,8.6
1940,10,,,,-6.6,3.8
1940,11,,,,-8.3,3.1
1940,12,,,,-24.8,0.9
1941,1,,,,-28.0,0.6
1941,2,,,,-20.1,1.2
1941,3,,,,-22.1,1.0
1941,4,,,,-13.4,2.1
1941,5,,,,2.0,5.4
1941,6,,,,7.8,8.0
1941,7,,,,8.1,8.2
1941,8,,,,10.8,9.9
1941,9,,,,4.1,7.3
1941,10,,,,-2.0,4.8
1941,11,,,,-10.0,2.8
1941,12,,,,-23.7,0.9
1942,1,,,,-22.8,1.0
1942,2,,,,-16.7,1.6
1942,3,,,,-26.5,0.8
1942,4,,,,-9.0,3.0
1942,5,,,,-1.1,4.7
1942,6,,,,10.2,8.1
1942,7,,,,13.8,12.0
1942,8,,,,10.1,10.4
1942,9,,,,5.6,8.0
1942,10,,,,-6.4,3.6
1942,11,,,,-10.2,2.7
1942,12,,,,-13.1,2.2
1943,1,,,,-22.6,1.1
1943,2,,,,-10.0,2.7
1943,3,,,,-15.0,2.1
1943,4,,,,-1.8,4.5
1943,5,,,,2.6,5.5
1943,6,,,,9.4,8.4
1943,7,,,,15.6,10.9
1943,8,,,,11.2,10.9
1943,9,,,,6.4,8.6
1943,10,,,,-2.1,5.1
1943,11,,,,-4.8,4.0
1943,12,,,,-14.5,2.3
1944,1,,,,-15.2,2.0
1944,2,,,,-12.4,2.3
1944,3,,,,-14.1,2.2
1944,4,,,,-5.0,3.6
1944,5,,,,-0.2,5.0
1944,6,,,,6.9,7.4
1944,7,,,,11.8,10.6
1944,8,,,,8.6,9.7
1944,9,,,,6.3,8.5
1944,10,,,,1.7,6.5
1944,11,,,,-7.5,3.5
1944,12,,,,-12.2,2.5
1945,1,,,,-15.0,1.9
1945,2,,,,-20.7,1.2
1945,3,,,,-18.8,1.2
1945,4,,,,-7.0,3.2
1945,5,,,,-1.0,4.9
1945,6,,,,10.0,8.7
1945,7,,,,10.2,9.8
1945,8,,,,13.3,11.9
1945,9,,,,5.9,8.5
1945,10,,,,-3.6,4.4
1945,11,,,,-14.8,2.2
1945,12,,,,-24.6,1.0
1946,1,,,,-18.5,1.6
1946,2,,,,-23.6,1.2
1946,3,,,,-15.4,1.9
1946,4,,,,-7.7,3.3
1946,5,,,,-2.3,4.2
1946,6,,,,4.2,6.6
1946,7,,,,10.0,8.8
1946,8,,,,12.7,11.5
1946,9,,,,3.4,6.3
1946,10,,,,-6.0,3.7
1946,11,,,,-11.0,2.6
1946,12,,,,-13.1,2.3
1947,1,,,,-15.6,2.0
1947,2,,,,-21.9,1.0
1947,3,,,,-16.0,1.6
1947,4,,,,-4.8,4.0
1947,5,,,,-1.5,4.4
1947,6,,,,7.0,6.9
1947,7,,,,8.4,9.0
1947,8,,,,10.1,9.9
1947,9,,,,6.0,7.8
1947,10,,,,-0.5,5.5
1947,11,,,,-11.6,2.5
1947,12,,,,-14.9,2.0
1948,1,,,,-16.2,1.8
1948,2,,,,-21.4,1.3
1948,3,,,,-18.0,1.6
1948,4,,,,-5.8,3.8
1948,5,,,,3.6,5.9
1948,6,,,,8.7,7.5
1948,7,,,,11.2,9.8
1948,8,,,,9.4,9.0
1948,9,,,,6.1,7.7
1948,10,,,,0.5,5.8
1948,11,,,,-5.7,3.7
1948,12,,,,-20.4,1.4
1949,1,,,,-13.2,2.6
1949,2,,,,-26.8,0.7
1949,3,,,,-13.1,2.0
1949,4,,,,-4.4,4.0
1949,5,,,,-1.4,4.5
1949,6,,,,6.5,7.8
1949,7,,,,8.3,8.2
1949,8,,,,11.6,11.4
1949,9,,,,2.7,6.8
1949,10,,,,-2.0,5.0
1949,11,,,,-10.9,3.2
1949,12,,,,-14.5,2.3
1950,1,,,,-24.0,1.1
1950,2,,,,-21.0,1.2
1950,3,,,,-9.7,2.8
1950,4,,,,-1.2,4.9
1950,5,,,,0.0,4.8
1950,6,,,,7.8,7.9
1950,7,,,,11.8,10.0
1950,8,,,156.0,9.2,9.3
1950,9,,,104.0,5.8,7.8
1950,10,,,32.0,0.0,5.6
1950,11,,,16.0,-11.4,2.6
1950,12,,,0.0,-12.1,2.8
1951,1,,,3.0,-17.9,1.6
1951,2,,,64.0,-21.9,1.3
1951,3,,,165.0,-15.7,2.3
1951,4,,,158.0,-0.2,5.0
