Year,Month,Precipitation,Temperature
1948,1,,
1948,2,,
1948,3,,
1948,4,,
1948,5,,
1948,6,,
1948,7,,
1948,8,19.8,9.9
1948,9,57.9,7.2
1948,10,8.1,2.3
1948,11,50.3,-6.0
1948,12,35.6,-17.8
1949,1,30.0,-23.2
1949,2,11.9,-26.2
1949,3,59.9,-16.6
1949,4,44.7,-7.4
1949,5,27.4,-1.0
1949,6,82.6,10.1
1949,7,93.7,12.4
1949,8,78.5,10.1
1949,9,60.2,6.7
1949,10,68.6,0.1
1949,11,39.1,-12.1
1949,12,63.5,-17.6
1950,1,42.7,-28.4
1950,2,6.9,-28.0
1950,3,77.0,-15.2
1950,4,35.1,-6.5
1950,5,17.5,2.3
1950,6,159.3,7.3
1950,7,167.6,11.9
1950,8,64.8,11.5
1950,9,53.3,4.6
1950,10,150.4,-2.6
1950,11,151.6,-9.1
1950,12,25.4,-16.4
1951,1,15.2,-24.9
1951,2,28.2,-18.3
1951,3,31.2,-12.1
1951,4,13.5,-1.1
1951,5,25.7,0.7
1951,6,69.1,10.3
1951,7,112.8,12.1
1951,8,53.6,11.9
1951,9,110.5,5.8
1951,10,113.5,-2.0
1951,11,91.9,-11.4
1951,12,19.8,-20.1
1952,1,66.3,-24.6
1952,2,93.0,-20.0
1952,3,62.2,-10.6
1952,4,43.4,-5.8
1952,5,15.0,4.7
1952,6,58.9,9.0
1952,7,71.4,15.0
1952,8,122.7,11.2
1952,9,80.3,5.3
1952,10,66.5,-3.3
1952,11,42.2,-9.7
1952,12,23.6,-12.5
1953,1,22.9,-23.2
1953,2,72.1,-20.0
1953,3,21.1,-13.2
1953,4,30.2,-0.1
1953,5,29.2,1.8
1953,6,53.1,8.3
1953,7,32.5,13.2
1953,8,43.9,10.5
1953,9,92.7,5.3
1953,10,42.9,-0.7
1953,11,45.5,-7.4
1953,12,36.3,-21.3
1954,1,31.8,-29.0
1954,2,52.1,-18.2
1954,3,62.7,-14.5
1954,4,59.2,-12.7
1954,5,47.2,3.7
1954,6,38.6,12.6
1954,7,79.5,13.3
1954,8,142.2,10.8
1954,9,46.0,6.9
1954,10,87.9,-0.6
1954,11,67.3,-10.8
1954,12,51.6,-18.0
1955,1,63.5,-19.3
1955,2,17.5,-21.8
1955,3,40.6,-16.4
1955,4,11.9,-6.5
1955,5,50.8,3.1
1955,6,63.8,12.4
1955,7,58.9,12.5
1955,8,76.2,12.1
1955,9,55.9,4.9
1955,10,50.3,0.5
1955,11,68.6,-5.2
1955,12,32.8,-14.3
1956,1,81.5,-16.0
1956,2,56.9,-20.3
1956,3,15.2,-18.0
1956,4,39.4,-6.6
1956,5,44.7,-3.6
1956,6,74.9,5.1
1956,7,90.2,12.2
1956,8,102.6,9.5
1956,9,131.1,4.1
1956,10,124.2,0.4
1956,11,38.6,-10.5
1956,12,35.6,-25.7
1957,1,9.1,-30.1
1957,2,22.4,-20.6
1957,3,65.8,-8.7
1957,4,34.0,-7.2
1957,5,30.0,-1.8
1957,6,109.5,8.5
1957,7,98.8,13.4
1957,8,111.3,9.7
1957,9,91.7,6.4
1957,10,34.3,-0.2
1957,11,44.7,-8.2
1957,12,84.8,-15.9
1958,1,88.4,-15.9
1958,2,34.0,-15.7
1958,3,28.2,-7.5
1958,4,48.3,-6.1
1958,5,96.5,2.0
1958,6,142.2,7.3
1958,7,59.7,12.0
1958,8,142.0,10.5
1958,9,68.6,5.3
1958,10,40.6,-3.4
1958,11,41.7,-10.8
1958,12,27.4,-21.6
1959,1,87.4,-17.0
1959,2,15.2,-26.9
1959,3,25.4,-18.4
1959,4,67.1,-6.8
1959,5,72.6,2.8
1959,6,113.8,10.0
1959,7,111.5,14.5
1959,8,95.0,12.0
1959,9,71.1,6.6
1959,10,99.3,-2.2
1959,11,116.3,-11.9
1959,12,28.7,-18.5
1960,1,17.3,-20.5
1960,2,84.1,-10.4
1960,3,6.6,-18.7
1960,4,63.8,-8.6
1960,5,26.4,3.9
1960,6,118.9,10.1
1960,7,126.0,11.8
1960,8,111.0,11.0
1960,9,123.4,5.7
1960,10,71.6,-0.4
1960,11,45.2,-8.5
1960,12,45.2,-18.9
1961,1,24.4,-26.6
1961,2,5.6,-23.5
1961,3,16.3,-15.9
1961,4,8.4,-1.8
1961,5,76.2,1.6
1961,6,83.6,7.8
1961,7,63.2,12.5
1961,8,43.7,12.0
1961,9,110.2,6.6
1961,10,50.5,-0.7
1961,11,74.4,-5.3
1961,12,65.5,-11.3
1962,1,60.2,-27.2
1962,2,8.9,-28.1
1962,3,16.8,-9.4
1962,4,12.2,-12.0
1962,5,49.0,-0.4
1962,6,37.8,8.2
1962,7,57.9,12.9
1962,8,86.4,11.0
1962,9,86.9,6.1
1962,10,34.8,0.2
1962,11,25.7,-8.8
1962,12,40.9,-18.0
1963,1,35.3,-22.7
1963,2,29.7,-22.9
1963,3,43.2,-18.8
1963,4,48.3,-4.7
1963,5,39.6,-0.6
1963,6,36.1,7.1
1963,7,67.1,12.9
1963,8,73.7,9.7
1963,9,67.8,3.0
1963,10,53.3,-0.5
1963,11,77.5,-6.4
1963,12,16.3,-20.8
1964,1,46.2,-22.9
1964,2,14.7,-21.0
1964,3,55.6,-19.1
1964,4,13.2,-7.7
1964,5,51.8,0.6
1964,6,83.8,6.9
1964,7,84.1,12.5
1964,8,128.3,10.6
1964,9,66.0,5.2
1964,10,52.3,-2.9
1964,11,64.5,-10.8
1964,12,56.6,-19.6
1965,1,38.6,-24.8
1965,2,52.6,-21.8
1965,3,14.7,-16.2
1965,4,20.1,-8.8
1965,5,49.3,0.4
1965,6,116.1,7.3
1965,7,123.4,9.8
1965,8,166.6,8.2
1965,9,83.1,4.2
1965,10,55.1,-4.2
1965,11,79.2,-10.5
1965,12,35.8,-20.5
1966,1,22.1,-16.4
1966,2,29.7,-17.2
1966,3,50.3,-10.6
1966,4,31.2,-4.2
1966,5,51.8,-0.7
1966,6,85.1,7.8
1966,7,143.8,11.2
1966,8,155.7,11.6
1966,9,82.3,6.3
1966,10,101.6,-1.2
1966,11,89.9,-6.8
1966,12,38.1,-18.6
1967,1,20.3,-24.4
1967,2,25.4,-25.7
1967,3,19.6,-19.1
1967,4,23.9,-10.1
1967,5,38.4,1.7
1967,6,25.9,9.9
1967,7,111.3,13.3
1967,8,117.9,11.7
1967,9,85.9,5.7
1967,10,71.4,-0.4
1967,11,83.8,-7.9
1967,12,50.8,-15.6
1968,1,19.3,-25.1
1968,2,58.7,-19.1
1968,3,24.9,-18.1
1968,4,72.1,-5.7
1968,5,20.6,1.1
1968,6,63.5,8.2
1968,7,85.6,11.4
1968,8,88.4,7.8
1968,9,135.6,9.5
1968,10,115.6,2.5
1968,11,22.9,-9.1
1968,12,71.6,-14.5
1969,1,33.8,-16.4
1969,2,44.2,-17.2
1969,3,30.5,-12.6
1969,4,19.3,-13.9
1969,5,50.8,-0.1
1969,6,75.7,6.8
1969,7,84.1,12.5
1969,8,82.0,10.5
1969,9,90.4,2.1
1969,10,70.6,-3.6
1969,11,64.3,-4.7
1969,12,117.1,-16.0
1970,1,46.5,-22.0
1970,2,41.9,-23.3
1970,3,42.9,-15.1
1970,4,25.1,-9.5
1970,5,73.7,-1.9
1970,6,43.9,5.9
1970,7,26.9,13.7
1970,8,120.4,12.9
1970,9,51.6,5.4
1970,10,50.0,0.6
1970,11,39.1,-9.4
1970,12,55.9,-22.6
1971,1,35.8,-22.2
1971,2,32.5,-22.5
1971,3,31.2,-14.0
1971,4,54.1,-4.7
1971,5,87.1,1.1
1971,6,90.2,6.9
1971,7,114.6,12.0
1971,8,84.8,9.9
1971,9,68.6,5.8
1971,10,106.9,0.5
1971,11,123.4,-11.1
1971,12,26.2,-24.7
1972,1,48.8,-26.1
1972,2,32.0,-26.5
1972,3,62.5,-19.4
1972,4,19.8,-8.0
1972,5,22.1,-3.2
1972,6,52.8,6.8
1972,7,82.6,12.9
1972,8,60.5,9.6
1972,9,94.7,4.2
1972,10,58.4,-4.9
1972,11,61.7,-12.0
1972,12,28.7,-27.5
1973,1,39.6,-23.3
1973,2,36.6,-23.9
1973,3,44.5,-13.1
1973,4,87.4,-5.2
1973,5,17.0,4.1
1973,6,46.7,10.4
1973,7,115.3,13.6
1973,8,70.4,13.0
1973,9,52.1,5.3
1973,10,88.4,-0.6
1973,11,75.2,-8.2
1973,12,106.9,-14.8
1974,1,31.5,-29.5
1974,2,71.4,-22.1
1974,3,45.2,-20.6
1974,4,21.1,-10.5
1974,5,50.3,1.3
1974,6,54.1,11.2
1974,7,77.2,13.3
1974,8,53.3,11.1
1974,9,97.5,3.8
1974,10,99.3,-5.3
1974,11,36.8,-8.8
1974,12,70.1,-17.8
1975,1,42.7,-27.0
1975,2,49.8,-22.0
1975,3,68.6,-16.4
1975,4,144.3,-10.1
1975,5,44.2,-0.4
1975,6,72.9,9.7
1975,7,177.8,14.0
1975,8,61.2,10.9
1975,9,48.8,6.9
1975,10,67.1,0.3
1975,11,88.1,-9.6
1975,12,52.8,-21.4
1976,1,39.4,-24.3
1976,2,60.5,-22.9
1976,3,52.3,-19.4
1976,4,106.2,-8.1
1976,5,85.9,2.3
1976,6,30.7,9.5
1976,7,129.3,14.0
1976,8,96.0,10.0
1976,9,59.4,4.3
1976,10,90.4,-3.1
1976,11,72.4,-10.0
1976,12,76.2,-21.2
1977,1,108.8,-18.7
1977,2,52.5,-20.6
1977,3,73.3,-9.2
1977,4,85.1,-8.8
1977,5,25.6,1.5
1977,6,63.6,10.0
1977,7,147.2,10.6
1977,8,92.7,10.1
1977,9,105.3,4.4
1977,10,70.5,-0.3
1977,11,84.4,-5.2
1977,12,29.1,-20.2
1978,1,45.1,-25.1
1978,2,45.6,-16.6
1978,3,32.6,-20.5
1978,4,27.6,-7.1
1978,5,42.0,2.4
1978,6,90.7,7.4
1978,7,112.9,12.1
1978,8,170.8,9.9
1978,9,61.5,3.2
1978,10,86.1,-3.1
1978,11,63.3,-12.3
1978,12,51.9,-17.7
1979,1,62.4,-19.8
1979,2,61.6,-23.9
1979,3,102.1,-14.6
1979,4,102.4,-5.5
1979,5,99.1,4.4
1979,6,82.3,10.0
1979,7,149.5,12.5
1979,8,,10.6
1979,9,102.9,4.7
1979,10,89.0,-1.8
1979,11,54.0,-8.5
1979,12,36.6,-17.2
1980,1,122.6,-19.2
1980,2,60.7,-21.6
1980,3,61.2,-14.0
1980,4,28.8,-6.6
1980,5,69.9,2.2
1980,6,131.9,7.6
1980,7,108.7,11.7
1980,8,94.9,13.8
1980,9,81.3,3.4
1980,10,125.2,-1.8
1980,11,87.6,-10.6
1980,12,58.5,-23.7
1981,1,83.9,-22.7
1981,2,53.2,-12.3
1981,3,78.2,-9.0
1981,4,116.8,-8.7
1981,5,76.8,0.5
1981,6,90.8,7.0
1981,7,60.2,12.7
1981,8,71.1,12.6
1981,9,87.9,8.8
1981,10,50.6,-0.1
1981,11,41.2,-7.0
1981,12,47.6,-14.5
1982,1,136.3,-23.8
1982,2,26.9,-24.3
1982,3,87.3,-18.0
1982,4,92.1,-11.3
1982,5,44.3,1.0
1982,6,77.4,9.4
1982,7,67.3,12.7
1982,8,131.0,10.3
1982,9,120.7,5.5
1982,10,60.7,-1.6
1982,11,52.4,-8.7
1982,12,48.4,-20.9
1983,1,51.2,-24.7
1983,2,37.8,-23.4
1983,3,110.2,-16.7
1983,4,61.3,-3.0
1983,5,28.3,1.7
1983,6,91.5,10.6
1983,7,144.4,11.6
1983,8,98.1,10.3
1983,9,151.8,7.2
1983,10,102.6,-0.9
1983,11,82.7,-9.2
1983,12,77.7,-21.7
1984,1,24.5,-27.9
1984,2,57.7,-19.4
1984,3,49.6,-15.1
1984,4,9.0,-5.4
1984,5,87.5,1.7
1984,6,72.4,7.3
1984,7,130.4,13.3
1984,8,61.6,12.3
1984,9,134.0,4.5
1984,10,32.3,-0.2
1984,11,39.1,-8.4
1984,12,38.6,-21.1
1985,1,57.2,-21.1
1985,2,26.2,-20.9
1985,3,27.5,-16.2
1985,4,47.5,-9.6
1985,5,33.8,-1.2
1985,6,22.1,10.5
1985,7,73.4,12.3
1985,8,42.9,12.1
1985,9,57.2,7.4
1985,10,69.1,-1.2
1985,11,34.9,-9.4
1985,12,56.7,-20.3
1986,1,59.8,-22.6
1986,2,35.0,-21.3
1986,3,33.5,-18.9
1986,4,69.2,-4.1
1986,5,43.2,2.9
1986,6,131.2,5.0
1986,7,99.8,11.8
1986,8,76.8,12.1
1986,9,84.0,4.5
1986,10,61.4,-4.3
1986,11,35.2,-15.8
1986,12,57.8,-18.4
1987,1,22.2,-22.7
1987,2,54.7,-19.7
1987,3,32.0,-13.5
1987,4,48.4,-3.3
1987,5,54.3,1.5
1987,6,62.4,8.0
1987,7,189.4,11.9
1987,8,97.6,11.0
1987,9,77.4,7.8
1987,10,56.8,-1.2
1987,11,123.8,-8.7
1987,12,41.0,-20.2
1988,1,31.2,-26.5
1988,2,29.6,-25.4
1988,3,65.4,-13.5
1988,4,57.4,-4.8
1988,5,48.6,2.6
1988,6,34.4,7.1
1988,7,71.4,12.3
1988,8,53.2,11.6
1988,9,169.2,5.1
1988,10,60.0,-0.5
1988,11,62.2,-8.8
1988,12,15.0,-23.4
1989,1,30.6,-24.8
