Year,Month,Day,CAN,YAK,TAY,LAN,TOR,NOR,ALT,LOT,PAK
1901,1,16,15.8,5.6,15.8,17.9,80.700005,25.300001,10.0,43.5,12.5
1901,2,15,11.8,6.0,13.8,18.9,30.5,26.5,13.0,52.5,8.7
1901,3,16,11.7,9.2,16.4,13.0,40.8,17.300001,13.2,184.8,13.1
1901,4,16,12.900001,24.2,18.300001,25.300001,24.7,12.5,27.1,208.40001,22.4
1901,5,16,17.2,44.4,25.5,30.0,37.9,13.8,36.8,69.0,47.8
1901,6,16,20.5,84.1,42.100002,42.0,48.5,78.6,47.8,168.3,29.5
1901,7,16,32.0,105.5,42.5,60.100002,51.100002,25.6,29.800001,228.40001,15.0
1901,8,16,41.8,95.9,48.2,37.7,84.1,71.9,58.600002,111.200005,5.9
1901,9,16,24.6,52.3,39.5,30.800001,24.800001,28.1,36.5,248.40001,10.1
1901,10,16,31.5,29.4,32.2,33.3,64.200005,73.700005,27.800001,169.0,3.1000001
1901,11,16,19.1,11.8,26.300001,34.600002,74.1,33.5,19.300001,46.7,1.3000001
1901,12,16,17.6,7.8,22.0,11.6,22.300001,36.8,24.1,179.7,2.8
1902,1,16,15.8,5.4,15.8,21.2,65.1,56.5,16.9,68.200005,10.8
1902,2,15,11.8,6.0,13.8,21.800001,54.3,22.7,8.7,148.2,12.8
1902,3,16,11.7,9.1,16.4,20.800001,29.5,41.7,14.5,140.1,29.2
1902,4,16,12.900001,23.0,18.300001,7.3,16.300001,8.0,32.4,99.3,32.7
1902,5,16,17.2,43.8,25.5,22.5,26.9,32.600002,56.7,151.6,34.9
1902,6,16,20.5,82.3,42.100002,39.100002,38.600002,19.0,45.0,114.4,23.4
1902,7,16,32.0,110.3,42.5,82.3,67.9,82.1,57.2,141.8,13.5
1902,8,16,41.8,95.0,48.2,63.5,72.3,132.8,48.5,174.1,13.0
1902,9,16,24.6,51.4,39.5,76.0,95.700005,55.8,34.2,131.7,6.2000003
1902,10,16,31.5,28.4,32.2,22.0,68.5,28.800001,24.5,124.700005,11.1
1902,11,16,19.1,11.3,26.300001,26.6,45.5,15.8,27.0,68.200005,31.7
