Year,Month,Mean Temp (°C),Total Precip (mm)
1948,1,,
1948,2,,
1948,3,,
1948,4,,
1948,5,,
1948,6,,
1948,7,,
1948,8,9.9,19.8
1948,9,7.2,57.9
1948,10,2.3,8.1
1948,11,-6.0,50.3
1948,12,-17.8,35.6
1949,1,-23.2,30.0
1949,2,-26.2,11.9
1949,3,-16.6,59.9
1949,4,-7.4,44.7
1949,5,-1.0,27.4
1949,6,10.1,82.6
1949,7,12.4,93.7
1949,8,10.1,78.5
1949,9,6.7,60.2
1949,10,0.1,68.6
1949,11,-12.1,39.1
1949,12,-17.6,63.5
1950,1,-28.4,42.7
1950,2,-28.0,6.9
1950,3,-15.2,77.0
1950,4,-6.5,35.1
1950,5,2.3,17.5
1950,6,7.3,159.3
1950,7,11.9,167.6
1950,8,11.5,64.8
1950,9,4.6,53.3
1950,10,-2.6,150.4
1950,11,-9.1,151.6
1950,12,-16.4,25.4
1951,1,-24.9,15.2
1951,2,-18.3,28.2
1951,3,-12.1,31.2
1951,4,-1.1,13.5
1951,5,0.7,25.7
1951,6,10.3,69.1
1951,7,12.1,112.8
1951,8,11.9,53.6
1951,9,5.8,110.5
1951,10,-2.0,113.5
1951,11,-11.4,91.9
1951,12,-20.1,19.8
1952,1,-24.6,66.3
1952,2,-20.0,93.0
1952,3,-10.6,62.2
1952,4,-5.8,43.4
1952,5,4.7,15.0
1952,6,9.0,58.9
1952,7,15.0,71.4
1952,8,11.2,122.7
1952,9,5.3,80.3
1952,10,-3.3,66.5
1952,11,-9.7,42.2
1952,12,-12.5,23.6
1953,1,-23.2,22.9
1953,2,-20.0,72.1
1953,3,-13.2,21.1
1953,4,-0.1,30.2
1953,5,1.8,29.2
1953,6,8.3,53.1
1953,7,13.2,32.5
1953,8,10.5,43.9
1953,9,5.3,92.7
1953,10,-0.7,42.9
1953,11,-7.4,45.5
1953,12,-21.3,36.3
1954,1,-29.0,31.8
1954,2,-18.2,52.1
1954,3,-14.5,62.7
1954,4,-12.7,59.2
1954,5,3.7,47.2
1954,6,12.6,38.6
1954,7,13.3,79.5
1954,8,10.8,142.2
1954,9,6.9,46.0
1954,10,-0.6,87.9
1954,11,-10.8,67.3
1954,12,-18.0,51.6
1955,1,-19.3,63.5
1955,2,-21.8,17.5
1955,3,-16.4,40.6
1955,4,-6.5,11.9
1955,5,3.1,50.8
1955,6,12.4,63.8
1955,7,12.5,58.9
1955,8,12.1,76.2
1955,9,4.9,55.9
1955,10,0.5,50.3
1955,11,-5.2,68.6
1955,12,-14.3,32.8
1956,1,-16.0,81.5
1956,2,-20.3,56.9
1956,3,-18.0,15.2
1956,4,-6.6,39.4
1956,5,-3.6,44.7
1956,6,5.1,74.9
1956,7,12.2,90.2
1956,8,9.5,102.6
1956,9,4.1,131.1
1956,10,0.4,124.2
1956,11,-10.5,38.6
1956,12,-25.7,35.6
1957,1,-30.1,9.1
1957,2,-20.6,22.4
1957,3,-8.7,65.8
1957,4,-7.2,34.0
1957,5,-1.8,30.0
1957,6,8.5,109.5
1957,7,13.4,98.8
1957,8,9.7,111.3
1957,9,6.4,91.7
1957,10,-0.2,34.3
1957,11,-8.2,44.7
1957,12,-15.9,84.8
1958,1,-15.9,88.4
1958,2,-15.7,34.0
1958,3,-7.5,28.2
1958,4,-6.1,48.3
1958,5,2.0,96.5
1958,6,7.3,142.2
1958,7,12.0,59.7
1958,8,10.5,142.0
1958,9,5.3,68.6
1958,10,-3.4,40.6
1958,11,-10.8,41.7
1958,12,-21.6,27.4
1959,1,-17.0,87.4
1959,2,-26.9,15.2
1959,3,-18.4,25.4
1959,4,-6.8,67.1
1959,5,2.8,72.6
1959,6,10.0,113.8
1959,7,14.5,111.5
1959,8,12.0,95.0
1959,9,6.6,71.1
1959,10,-2.2,99.3
1959,11,-11.9,116.3
1959,12,-18.5,28.7
1960,1,-20.5,17.3
1960,2,-10.4,84.1
1960,3,-18.7,6.6
1960,4,-8.6,63.8
1960,5,3.9,26.4
1960,6,10.1,118.9
1960,7,11.8,126.0
1960,8,11.0,111.0
1960,9,5.7,123.4
1960,10,-0.4,71.6
1960,11,-8.5,45.2
1960,12,-18.9,45.2
1961,1,-26.6,24.4
1961,2,-23.5,5.6
1961,3,-15.9,16.3
1961,4,-1.8,8.4
1961,5,1.6,76.2
1961,6,7.8,83.6
1961,7,12.5,63.2
1961,8,12.0,43.7
1961,9,6.6,110.2
1961,10,-0.7,50.5
1961,11,-5.3,74.4
1961,12,-11.3,65.5
1962,1,-27.2,60.2
1962,2,-28.1,8.9
1962,3,-9.4,16.8
1962,4,-12.0,12.2
1962,5,-0.4,49.0
1962,6,8.2,37.8
1962,7,12.9,57.9
1962,8,11.0,86.4
1962,9,6.1,86.9
1962,10,0.2,34.8
1962,11,-8.8,25.7
1962,12,-18.0,40.9
1963,1,-22.7,35.3
1963,2,-22.9,29.7
1963,3,-18.8,43.2
1963,4,-4.7,48.3
1963,5,-0.6,39.6
1963,6,7.1,36.1
1963,7,12.9,67.1
1963,8,9.7,73.7
1963,9,3.0,67.8
1963,10,-0.5,53.3
1963,11,-6.4,77.5
1963,12,-20.8,16.3
1964,1,-22.9,46.2
1964,2,-21.0,14.7
1964,3,-19.1,55.6
1964,4,-7.7,13.2
1964,5,0.6,51.8
1964,6,6.9,83.8
1964,7,12.5,84.1
1964,8,10.6,128.3
1964,9,5.2,66.0
1964,10,-2.9,52.3
1964,11,-10.8,64.5
1964,12,-19.6,56.6
1965,1,-24.8,38.6
1965,2,-21.8,52.6
1965,3,-16.2,14.7
1965,4,-8.8,20.1
1965,5,0.4,49.3
1965,6,7.3,116.1
1965,7,9.8,123.4
1965,8,8.2,166.6
1965,9,4.2,83.1
1965,10,-4.2,55.1
1965,11,-10.5,79.2
1965,12,-20.5,35.8
1966,1,-16.4,22.1
1966,2,-17.2,29.7
1966,3,-10.6,50.3
1966,4,-4.2,31.2
1966,5,-0.7,51.8
1966,6,7.8,85.1
1966,7,11.2,143.8
1966,8,11.6,155.7
1966,9,6.3,82.3
1966,10,-1.2,101.6
1966,11,-6.8,89.9
1966,12,-18.6,38.1
1967,1,-24.4,20.3
1967,2,-25.7,25.4
1967,3,-19.1,19.6
1967,4,-10.1,23.9
1967,5,1.7,38.4
1967,6,9.9,25.9
1967,7,13.3,111.3
1967,8,11.7,117.9
1967,9,5.7,85.9
1967,10,-0.4,71.4
1967,11,-7.9,83.8
1967,12,-15.6,50.8
1968,1,-25.1,19.3
1968,2,-19.1,58.7
1968,3,-18.1,24.9
1968,4,-5.7,72.1
1968,5,1.1,20.6
1968,6,8.2,63.5
1968,7,11.4,85.6
1968,8,7.8,88.4
1968,9,9.5,135.6
1968,10,2.5,115.6
1968,11,-9.1,22.9
1968,12,-14.5,71.6
1969,1,-16.4,33.8
1969,2,-17.2,44.2
1969,3,-12.6,30.5
1969,4,-13.9,19.3
1969,5,-0.1,50.8
1969,6,6.8,75.7
1969,7,12.5,84.1
1969,8,10.5,82.0
1969,9,2.1,90.4
1969,10,-3.6,70.6
1969,11,-4.7,64.3
1969,12,-16.0,117.1
1970,1,-22.0,46.5
1970,2,-23.3,41.9
1970,3,-15.1,42.9
1970,4,-9.5,25.1
1970,5,-1.9,73.7
1970,6,5.9,43.9
1970,7,13.7,26.9
1970,8,12.9,120.4
1970,9,5.4,51.6
1970,10,0.6,50.0
1970,11,-9.4,39.1
1970,12,-22.6,55.9
1971,1,-22.2,35.8
1971,2,-22.5,32.5
1971,3,-14.0,31.2
1971,4,-4.7,54.1
1971,5,1.1,87.1
1971,6,6.9,90.2
1971,7,12.0,114.6
1971,8,9.9,84.8
1971,9,5.8,68.6
1971,10,0.5,106.9
1971,11,-11.1,123.4
1971,12,-24.7,26.2
1972,1,-26.1,48.8
1972,2,-26.5,32.0
1972,3,-19.4,62.5
1972,4,-8.0,19.8
1972,5,-3.2,22.1
1972,6,6.8,52.8
1972,7,12.9,82.6
1972,8,9.6,60.5
1972,9,4.2,94.7
1972,10,-4.9,58.4
1972,11,-12.0,61.7
1972,12,-27.5,28.7
1973,1,-23.3,39.6
1973,2,-23.9,36.6
1973,3,-13.1,44.5
1973,4,-5.2,87.4
1973,5,4.1,17.0
1973,6,10.4,46.7
1973,7,13.6,115.3
1973,8,13.0,70.4
1973,9,5.3,52.1
1973,10,-0.6,88.4
1973,11,-8.2,75.2
1973,12,-14.8,106.9
1974,1,-29.5,31.5
1974,2,-22.1,71.4
1974,3,-20.6,45.2
1974,4,-10.5,21.1
1974,5,1.3,50.3
1974,6,11.2,54.1
1974,7,13.3,77.2
1974,8,11.1,53.3
1974,9,3.8,97.5
1974,10,-5.3,99.3
1974,11,-8.8,36.8
1974,12,-17.8,70.1
1975,1,-27.0,42.7
1975,2,-22.0,49.8
1975,3,-16.4,68.6
1975,4,-10.1,144.3
1975,5,-0.4,44.2
1975,6,9.7,72.9
1975,7,14.0,177.8
1975,8,10.9,61.2
1975,9,6.9,48.8
1975,10,0.3,67.1
1975,11,-9.6,88.1
1975,12,-21.4,52.8
1976,1,-24.3,39.4
1976,2,-22.9,60.5
1976,3,-19.4,52.3
1976,4,-8.1,106.2
1976,5,2.3,85.9
1976,6,9.5,30.7
1976,7,14.0,129.3
1976,8,10.0,96.0
1976,9,4.3,59.4
1976,10,-3.1,90.4
1976,11,-10.0,72.4
1976,12,-21.2,76.2
1977,1,-18.7,108.8
1977,2,-20.6,52.5
1977,3,-9.2,73.3
1977,4,-8.8,85.1
1977,5,1.5,25.6
1977,6,10.0,63.6
1977,7,10.6,147.2
1977,8,10.1,92.7
1977,9,4.4,105.3
1977,10,-0.3,70.5
1977,11,-5.2,84.4
1977,12,-20.2,29.1
1978,1,-25.1,45.1
1978,2,-16.6,45.6
1978,3,-20.5,32.6
1978,4,-7.1,27.6
1978,5,2.4,42.0
1978,6,7.4,90.7
1978,7,12.1,112.9
1978,8,9.9,170.8
1978,9,3.2,61.5
1978,10,-3.1,86.1
1978,11,-12.3,63.3
1978,12,-17.7,51.9
1979,1,-19.8,62.4
1979,2,-23.9,61.6
1979,3,-14.6,102.1
1979,4,-5.5,102.4
1979,5,4.4,99.1
1979,6,10.0,82.3
1979,7,12.5,149.5
1979,8,10.6,
1979,9,4.7,102.9
1979,10,-1.8,89.0
1979,11,-8.5,54.0
1979,12,-17.2,36.6
1980,1,-19.2,122.6
1980,2,-21.6,60.7
1980,3,-14.0,61.2
1980,4,-6.6,28.8
1980,5,2.2,69.9
1980,6,7.6,131.9
1980,7,11.7,108.7
1980,8,13.8,94.9
1980,9,3.4,81.3
1980,10,-1.8,125.2
1980,11,-10.6,87.6
1980,12,-23.7,58.5
1981,1,-22.7,83.9
1981,2,-12.3,53.2
1981,3,-9.0,78.2
1981,4,-8.7,116.8
1981,5,0.5,76.8
1981,6,7.0,90.8
1981,7,12.7,60.2
1981,8,12.6,71.1
1981,9,8.8,87.9
1981,10,-0.1,50.6
1981,11,-7.0,41.2
1981,12,-14.5,47.6
1982,1,-23.8,136.3
1982,2,-24.3,26.9
1982,3,-18.0,87.3
1982,4,-11.3,92.1
1982,5,1.0,44.3
1982,6,9.4,77.4
1982,7,12.7,67.3
1982,8,10.3,131.0
1982,9,5.5,120.7
1982,10,-1.6,60.7
1982,11,-8.7,52.4
1982,12,-20.9,48.4
1983,1,-24.7,51.2
1983,2,-23.4,37.8
1983,3,-16.7,110.2
1983,4,-3.0,61.3
1983,5,1.7,28.3
1983,6,10.6,91.5
1983,7,11.6,144.4
1983,8,10.3,98.1
1983,9,7.2,151.8
1983,10,-0.9,102.6
1983,11,-9.2,82.7
1983,12,-21.7,77.7
1984,1,-27.9,24.5
1984,2,-19.4,57.7
1984,3,-15.1,49.6
1984,4,-5.4,9.0
1984,5,1.7,87.5
1984,6,7.3,72.4
1984,7,13.3,130.4
1984,8,12.3,61.6
1984,9,4.5,134.0
1984,10,-0.2,32.3
1984,11,-8.4,39.1
1984,12,-21.1,38.6
1985,1,-21.1,57.2
1985,2,-20.9,26.2
1985,3,-16.2,27.5
1985,4,-9.6,47.5
1985,5,-1.2,33.8
1985,6,10.5,22.1
1985,7,12.3,73.4
1985,8,12.1,42.9
1985,9,7.4,57.2
1985,10,-1.2,69.1
1985,11,-9.4,34.9
1985,12,-20.3,56.7
1986,1,-22.6,59.8
1986,2,-21.3,35.0
1986,3,-18.9,33.5
1986,4,-4.1,69.2
1986,5,2.9,43.2
1986,6,5.0,131.2
1986,7,11.8,99.8
1986,8,12.1,76.8
1986,9,4.5,84.0
1986,10,-4.3,61.4
1986,11,-15.8,35.2
1986,12,-18.4,57.8
1987,1,-22.7,22.2
1987,2,-19.7,54.7
1987,3,-13.5,32.0
1987,4,-3.3,48.4
1987,5,1.5,54.3
1987,6,8.0,62.4
1987,7,11.9,189.4
1987,8,11.0,97.6
1987,9,7.8,77.4
1987,10,-1.2,56.8
1987,11,-8.7,123.8
1987,12,-20.2,41.0
1988,1,-26.5,31.2
1988,2,-25.4,29.6
1988,3,-13.5,65.4
1988,4,-4.8,57.4
1988,5,2.6,48.6
1988,6,7.1,34.4
1988,7,12.3,71.4
1988,8,11.6,53.2
1988,9,5.1,169.2
1988,10,-0.5,60.0
1988,11,-8.8,62.2
1988,12,-23.4,15.0
