Year,January,February,March,April,May,June,July,August,September,October,November,December
1901,0.3000000,0.4000000,0.6746740,1.449348,2.974022,6.323370,9.673369,8.848696,5.823370,2.274674,0.6493480,0.5000000
1902,0.3000000,0.4000000,0.6746740,1.449348,2.974022,6.323370,9.673369,8.848696,5.823370,2.274674,0.6493480,0.5000000
1903,0.3000000,0.4000000,0.6746740,1.449348,2.974022,6.323370,9.673369,8.848696,5.823370,2.274674,0.6493480,0.5000000
1904,0.3000000,0.4000000,0.6746740,1.449348,2.974022,6.323370,9.673369,8.848696,5.823370,2.274674,0.6493480,0.5000000
1905,0.3000000,0.4000000,0.6746740,1.449348,2.974022,6.323370,9.673369,8.848696,5.823370,2.274674,0.6493480,0.5000000
1906,0.3000000,0.4000000,0.6746740,1.449348,2.974022,6.323370,9.673369,8.848696,5.823370,2.274674,0.6493480,0.5000000
1907,0.3000000,0.4000000,0.6746740,1.449348,2.974022,6.323370,9.673369,8.848696,5.823370,2.274674,0.6493480,0.5000000
1908,0.3000000,0.4000000,0.6746740,1.449348,2.974022,6.323370,9.673369,8.848696,5.823370,2.274674,0.6493480,0.5000000
1909,0.3000000,0.4000000,0.6746740,1.449348,2.974022,6.323370,9.673369,8.848696,5.823370,2.274674,0.6493480,0.5000000
1910,0.3000000,0.4000000,0.6746740,1.449348,2.974022,6.323370,9.673369,8.848696,5.823370,2.274674,0.6493480,0.5000000
1911,0.3000000,0.4000000,0.6746740,1.449348,2.974022,6.323370,9.673369,8.848696,5.823370,2.274674,0.6493480,0.5000000
1912,0.3000000,0.4000000,0.6746740,1.449348,2.974022,6.323370,9.673369,8.848696,5.823370,2.274674,0.6493480,0.5000000
1913,0.3000000,0.4000000,0.6746740,1.449348,2.974022,6.323370,9.673369,8.848696,5.823370,2.274674,0.6493480,0.5000000
1914,0.3000000,0.4000000,0.6746740,1.449348,2.974022,6.323370,9.673369,8.848696,5.823370,2.274674,0.6493480,0.5000000
1915,0.3000000,0.4000000,0.6746740,1.449348,2.974022,6.323370,9.673369,8.848696,5.823370,2.274674,0.6493480,0.5000000
1916,0.3000000,0.4000000,0.6746740,1.449348,2.974022,6.323370,9.673369,8.848696,5.823370,2.274674,0.6493480,0.5000000
1917,0.2753260,0.3753260,0.6500000,1.424674,3.048044,6.348043,9.747392,8.750000,5.749348,2.225326,0.6246740,0.5246740
1918,0.2753260,0.4000000,0.6746740,1.449348,2.924674,6.323370,9.698044,8.848696,5.848044,2.250000,0.6493480,0.5246740
1919,0.3000000,0.3753260,0.6500000,1.449348,2.998696,6.298696,9.624022,8.848696,5.922066,2.373370,0.6246740,0.4753260
1920,0.3246740,0.4493480,0.6746740,1.449348,2.974022,6.298696,9.599348,8.947392,5.823370,2.274674,0.6493480,0.5000000
1921,0.3000000,0.4000000,0.6746740,1.449348,2.974022,6.323370,9.698044,8.750000,5.798696,2.348696,0.6986960,0.4753260
