WMO Index,Year,Month,Index,Precipitation,Adjusted Precipitation,Adjusted Liquid Precipitation,Adjusted Mixed Precipitation,Adjusted Solid Precipitation
21946,1944,8,0,16.9,23.7,20.0,3.7,0.0
21946,1944,9,0,47.6,58.5,40.0,8.9,9.7
21946,1944,10,0,19.4,19.4,0.0,1.4,18.0
21946,1944,11,0,9.9,9.9,0.0,2.0,7.9
21946,1944,12,0,10.0,10.0,0.0,2.0,8.0
21946,1945,1,0,2.4,2.4,0.0,0.0,2.4
21946,1945,2,0,5.5,5.5,0.0,0.3,5.2
21946,1945,3,0,2.6,2.6,0.0,0.2,2.4
21946,1945,4,0,5.7,5.7,0.0,0.6,5.1
21946,1945,5,0,1.1,2.2,0.0,1.2,1.0
21946,1945,6,0,22.8,30.9,13.3,13.8,3.7
21946,1945,7,0,32.9,40.8,32.8,8.1,0.0
21946,1945,8,0,34.0,43.3,22.2,11.9,9.2
21946,1945,9,0,20.2,20.2,2.5,6.0,11.7
21946,1945,10,0,12.5,12.5,0.0,1.7,10.8
21946,1945,11,0,7.7,7.7,0.0,2.2,5.5
21946,1945,12,0,6.6,6.6,0.0,0.3,6.3
21946,1946,1,0,4.2,4.2,0.0,1.1,3.1
21946,1946,2,0,2.2,2.2,0.0,1.2,1.0
21946,1946,3,0,3.2,3.2,0.0,0.4,2.8
21946,1946,4,0,0.0,0.0,0.0,0.0,0.0
21946,1946,5,0,2.2,4.1,1.0,1.3,1.8
21946,1946,6,0,1.4,3.2,1.8,1.4,0.0
21946,1946,7,0,10.0,15.3,12.5,2.9,0.0
21946,1946,8,0,38.5,53.8,43.8,8.9,1.1
21946,1946,9,0,13.8,26.6,3.0,6.4,17.2
21946,1946,10,0,5.6,12.0,0.0,1.2,10.8
21946,1946,11,0,5.5,18.2,0.0,0.9,17.3
21946,1946,12,0,1.8,4.3,0.0,0.4,3.8
21946,1947,1,0,2.6,5.6,0.0,0.4,5.2
21946,1947,2,0,7.8,20.2,0.0,2.4,17.8
21946,1947,3,0,0.8,2.5,0.0,0.9,1.6
21946,1947,4,0,2.1,7.5,0.0,1.8,5.7
21946,1947,5,0,5.6,15.0,0.2,1.9,12.9
21946,1947,6,0,14.5,20.1,15.5,2.9,1.6
21946,1947,7,0,19.7,27.2,26.3,0.9,0.0
21946,1947,8,9,,,,,
21946,1947,9,9,,,,,
21946,1947,10,0,11.4,20.5,0.0,3.5,17.1
21946,1947,11,0,0.9,0.9,0.0,0.3,0.6
21946,1947,12,0,4.7,4.7,0.0,0.9,3.8
21946,1948,1,0,1.5,1.5,0.0,0.5,1.0
21946,1948,2,0,1.4,1.4,0.0,0.2,1.2
21946,1948,3,0,3.1,3.1,0.0,0.6,2.5
21946,1948,4,0,2.3,2.3,0.0,0.9,1.4
21946,1948,5,0,6.3,11.6,5.0,4.7,1.9
21946,1948,6,0,15.3,21.6,7.7,12.3,1.6
21946,1948,7,0,23.7,38.5,29.3,9.3,0.0
21946,1948,8,0,9.5,15.0,4.1,10.1,0.8
21946,1948,9,0,14.3,27.7,4.7,5.2,17.8
21946,1948,10,0,5.2,5.2,0.0,1.3,3.9
21946,1948,11,0,6.8,6.8,0.0,0.6,6.2
21946,1948,12,0,1.8,1.8,0.0,0.1,1.7
21946,1949,1,0,4.6,4.6,0.0,1.2,3.4
21946,1949,2,0,4.1,4.1,0.0,0.8,3.3
21946,1949,3,0,6.8,6.8,0.0,0.5,6.3
21946,1949,4,0,5.4,5.4,0.0,1.4,4.0
21946,1949,5,0,5.0,13.1,0.0,1.8,11.3
21946,1949,6,0,29.8,42.5,26.9,11.7,4.0
21946,1949,7,0,12.6,19.8,9.9,9.9,0.0
21946,1949,8,0,30.8,43.4,28.3,14.5,0.5
21946,1949,9,0,2.2,5.7,1.2,3.2,1.3
21946,1949,10,0,15.8,34.6,0.0,11.8,22.8
21946,1949,11,0,8.8,21.0,0.0,3.9,17.1
21946,1949,12,0,7.5,24.2,0.0,4.9,19.4
21946,1950,1,0,6.9,18.1,0.0,3.3,14.8
21946,1950,2,0,7.0,16.5,0.0,4.0,12.6
21946,1950,3,0,2.6,6.7,0.0,2.8,3.9
21946,1950,4,0,1.9,6.6,0.0,0.0,6.6
21946,1950,5,0,6.5,14.7,0.2,2.7,11.8
21946,1950,6,0,2.5,7.4,5.0,2.2,0.2
21946,1950,7,0,31.6,41.2,36.3,4.9,0.0
21946,1950,8,0,56.2,71.1,67.0,3.9,0.2
21946,1950,9,0,16.0,25.8,2.6,6.3,16.9
21946,1950,10,0,10.7,17.4,0.5,1.3,15.7
21946,1950,11,0,6.0,19.4,0.0,4.7,14.8
21946,1950,12,0,6.6,18.8,0.0,3.4,15.4
21946,1951,1,0,4.4,8.4,0.0,0.0,8.4
21946,1951,2,0,3.1,8.2,0.0,0.0,8.2
21946,1951,3,0,2.6,6.1,0.0,0.0,6.1
21946,1951,4,0,4.8,10.5,0.0,0.1,10.4
