WMO Index,Year,Month,Index,Precipitation,Adjusted Precipitation,Adjusted Liquid Precipitation,Adjusted Mixed Precipitation,Adjusted Solid Precipitation
20891,1936,1,0,0.7,5.8,0.0,3.5,2.3
20891,1936,2,0,3.8,11.4,0.0,1.7,9.7
20891,1936,3,0,2.8,11.1,0.0,2.3,8.8
20891,1936,4,0,3.8,10.8,0.0,2.5,8.4
20891,1936,5,0,14.1,35.2,0.2,7.2,27.8
20891,1936,6,0,21.4,33.4,12.8,1.8,18.8
20891,1936,7,9,,,,,
20891,1936,8,9,,,,,
20891,1936,9,9,,,,,
20891,1936,10,9,,,,,
20891,1936,11,9,,,,,
20891,1936,12,9,,,,,
20891,1937,1,9,,,,,
20891,1937,2,9,,,,,
20891,1937,3,9,,,,,
20891,1937,4,9,,,,,
20891,1937,5,9,,,,,
20891,1937,6,9,,,,,
20891,1937,7,9,,,,,
20891,1937,8,9,,,,,
20891,1937,9,9,,,,,
20891,1937,10,9,,,,,
20891,1937,11,9,,,,,
20891,1937,12,0,3.4,19.8,0.0,2.6,17.2
20891,1938,1,9,,,,,
20891,1938,2,9,,,,,
20891,1938,3,9,,,,,
20891,1938,4,9,,,,,
20891,1938,5,9,,,,,
20891,1938,6,9,,,,,
20891,1938,7,9,,,,,
20891,1938,8,9,,,,,
20891,1938,9,9,,,,,
20891,1938,10,9,,,,,
20891,1938,11,9,,,,,
20891,1938,12,9,,,,,
20891,1939,1,9,,,,,
20891,1939,2,0,6.7,9.6,0.0,6.1,3.5
20891,1939,3,9,,,,,
20891,1939,4,9,,,,,
20891,1939,5,9,,,,,
20891,1939,6,9,,,,,
20891,1939,7,0,34.3,38.9,23.4,15.5,0.0
20891,1939,8,0,121.6,134.9,111.5,23.3,0.0
20891,1939,9,0,56.3,76.6,26.2,18.8,31.6
20891,1939,10,0,14.9,28.4,0.0,10.4,18.0
20891,1939,11,0,6.2,17.8,0.0,2.1,15.7
20891,1939,12,0,16.3,35.3,0.0,3.4,31.9
20891,1940,1,9,,,,,
20891,1940,2,9,,,,,
20891,1940,3,9,,,,,
20891,1940,4,9,,,,,
20891,1940,5,9,,,,,
20891,1940,6,9,,,,,
20891,1940,7,9,,,,,
20891,1940,8,9,,,,,
20891,1940,9,9,,,,,
20891,1940,10,9,,,,,
20891,1940,11,9,,,,,
20891,1940,12,9,,,,,
20891,1941,1,9,,,,,
20891,1941,2,9,,,,,
20891,1941,3,9,,,,,
