Year,January,February,March,April,May,June,July,August,September,October,November,December
1960,0.0,2.1,8.1,3.8,2.0,23.000000000000004,58.7,31.0,38.5,9.600000000000001,14.7,2.1
1961,5.2,4.199999999999999,2.7,10.1,21.0,13.599999999999998,43.0,39.7,30.200000000000003,13.599999999999998,3.2,2.0999999999999996
1962,3.5,7.9,3.5,6.900000000000001,11.799999999999999,40.8,19.8,28.2,16.900000000000002,14.200000000000001,10.2,14.200000000000001
1963,9.1,7.0,4.7,3.6999999999999997,16.799999999999997,20.6,63.4,28.8,47.99999999999999,10.799999999999999,7.7,8.5
1964,1.9999999999999998,3.0,6.199999999999999,10.1,29.099999999999998,11.1,95.0,138.9,28.800000000000004,20.400000000000002,5.300000000000001,9.7
1965,6.8,2.4,2.3,6.000000000000001,3.1,59.4,11.1,20.1,25.1,15.2,0.0,2.3000000000000003
1966,15.9,12.700000000000001,10.600000000000001,7.699999999999999,11.1,79.2,80.89999999999999,28.799999999999997,20.6,20.900000000000002,30.699999999999996,16.9
1967,4.1,9.299999999999999,11.5,8.900000000000002,42.60000000000001,18.7,32.5,16.4,30.200000000000003,18.7,10.8,4.3999999999999995
1968,11.8,6.6,7.9,16.7,7.7,27.1,52.0,52.400000000000006,18.599999999999998,24.7,12.500000000000002,10.4
1969,28.599999999999998,13.600000000000001,3.5999999999999996,13.200000000000001,4.7,64.3,64.89999999999999,38.900000000000006,4.6,14.000000000000002,5.5,11.799999999999999
1970,9.2,7.199999999999999,7.200000000000001,8.299999999999999,21.200000000000003,51.6,47.699999999999996,49.400000000000006,31.4,9.400000000000002,14.600000000000005,20.4
1971,5.9,9.0,3.7,5.3999999999999995,26.3,50.4,55.6,55.8,15.5,25.1,10.7,9.5
1972,11.0,6.1000000000000005,3.5,17.299999999999997,19.799999999999997,10.8,43.50000000000001,40.800000000000004,13.3,36.1,14.899999999999999,17.8
1973,16.0,9.9,0.2,9.4,11.6,33.099999999999994,12.600000000000001,49.9,51.1,10.1,12.100000000000001,14.100000000000001
1974,5.0,6.1000000000000005,3.8,4.3,20.9,41.3,71.2,50.1,25.799999999999997,16.4,12.400000000000002,8.799999999999999
1975,6.200000000000001,5.300000000000001,2.1,5.8999999999999995,4.6,30.200000000000003,126.5,32.9,24.299999999999997,14.4,8.999999999999998,7.7
1976,6.800000000000001,8.7,3.5,5.7,1.3,27.8,102.10000000000001,81.39999999999999,27.0,3.2,2.6,2.6
1977,15.4,7.5,3.2000000000000006,8.5,5.4,57.9,103.5,88.10000000000001,31.200000000000003,32.6,7.1000000000000005,1.7999999999999998
1978,7.1000000000000005,5.2,5.999999999999999,4.7,7.8,11.7,76.99999999999999,34.2,11.1,16.4,7.6000000000000005,12.899999999999999
1979,7.1000000000000005,6.8,7.1000000000000005,6.3,24.9,15.799999999999999,20.2,26.400000000000002,14.9,8.5,0.0,8.999999999999998
1980,7.800000000000001,9.299999999999999,5.800000000000001,1.4,6.3,38.4,55.5,40.199999999999996,40.099999999999994,12.0,9.399999999999999,4.7
1981,7.800000000000001,4.499999999999999,10.9,32.2,31.4,41.4,36.8,9.0,51.8,8.100000000000001,10.899999999999999,15.399999999999997
1982,6.3999999999999995,3.6,3.2,10.200000000000001,33.8,22.9,54.5,33.3,23.7,21.7,11.4,16.599999999999998
1983,6.7,5.7,4.7,1.5,16.2,34.50000000000001,65.39999999999999,58.59999999999999,28.5,18.599999999999998,9.3,6.5
1984,9.4,1.2000000000000002,3.3000000000000003,4.1,33.3,36.900000000000006,79.60000000000001,112.1,18.099999999999998,14.9,22.900000000000002,18.599999999999998
1985,8.4,25.5,7.3999999999999995,7.400000000000001,26.9,2.5,61.3,62.10000000000001,16.1,13.100000000000001,21.200000000000003,12.2
1986,2.7,3.3000000000000007,2.7,0.8,9.100000000000001,31.2,34.400000000000006,21.0,36.3,16.6,15.6,5.6000000000000005
1987,4.4,2.9000000000000004,7.2,5.0,17.7,25.5,30.299999999999997,50.2,7.6000000000000005,8.399999999999999,4.6,10.0
1988,8.799999999999999,7.6,4.8999999999999995,10.5,20.2,23.600000000000005,58.800000000000004,161.1,28.2,36.800000000000004,5.8999999999999995,1.9
1989,7.8999999999999995,31.800000000000004,2.9,5.199999999999999,6.800000000000001,84.30000000000003,75.3,72.2,44.900000000000006,12.999999999999998,5.0,3.2
1990,3.4000000000000004,3.6999999999999997,6.6,7.4,39.99999999999999,28.9,132.6,39.9,19.200000000000003,30.200000000000003,11.3,5.5
1991,4.1,4.4,4.3,7.0,22.400000000000002,87.69999999999999,12.8,112.0,10.9,10.100000000000001,5.6000000000000005,3.8000000000000003
1992,2.8,1.7,4.3,6.6000000000000005,18.699999999999996,46.3,77.3,41.3,7.3999999999999995,6.5,3.3999999999999995,4.7
1993,4.199999999999999,4.0,4.0,5.000000000000001,10.399999999999999,28.700000000000003,94.39999999999998,12.9,28.7,10.0,1.7,0.8
1994,6.4,13.9,1.5999999999999999,1.0,14.0,18.5,23.799999999999997,30.800000000000004,13.9,21.500000000000004,4.3,0.8999999999999999
1995,3.2,1.5000000000000002,6.5,0.9,6.0,36.3,47.49999999999999,71.2,36.199999999999996,9.0,11.7,1.0
