Year,January,February,March,April,May,June,July,August,September,October,November,December
1957,,,5.7,2.5,4.8,,,,26.5,24.4,26.4,9.8
1958,33.1,5.0,23.6,23.5,8.7,3.0,24.7,8.2,11.9,,10.4,9.4
1959,9.2,18.8,7.8,26.1,8.5,,17.4,12.9,26.3,48.1,18.3,17.5
1960,24.8,6.4,5.9,15.4,9.8,26.2,57.6,54.7,45.4,33.1,8.5,8.5
1961,3.8,10.7,14.5,41.7,50.4,23.7,38.6,54.6,9.2,30.5,19.6,12.3
1962,27.5,23.1,9.9,17.3,8.1,47.4,74.1,43.6,22.7,16.6,15.4,31.2
1963,33.9,9.4,22.8,14.1,4.0,23.4,65.0,24.3,2.4,44.2,24.5,13.8
1964,21.6,15.5,4.6,9.6,7.9,40.9,65.6,22.5,16.9,36.0,17.2,32.3
1965,18.3,7.4,10.1,21.1,31.6,22.7,48.7,95.1,23.3,22.8,12.4,26.1
1966,0.8,9.2,34.7,5.9,31.9,13.6,35.3,17.2,62.0,23.0,10.8,22.0
1967,17.8,9.2,26.5,9.8,36.2,32.8,32.9,42.4,26.9,31.2,16.0,14.1
1968,44.0,19.5,10.5,2.1,19.1,3.5,6.8,30.7,7.0,44.0,6.3,14.7
1969,6.1,8.1,9.0,4.4,12.6,8.0,29.9,151.1,8.3,18.2,21.4,31.0
1970,9.2,13.8,9.3,11.1,18.1,32.2,31.1,63.1,44.9,47.1,19.6,19.8
1971,11.0,18.2,11.0,12.6,4.8,10.4,27.2,49.9,28.6,101.9,23.7,18.2
1972,18.0,14.1,18.1,33.0,17.8,44.7,26.7,56.6,44.4,43.9,22.3,36.3
1973,27.2,6.1,12.6,9.8,37.5,39.7,46.9,47.8,8.3,23.8,14.6,5.9
1974,33.1,6.1,0.6,3.4,2.5,20.5,60.6,48.2,27.4,38.7,32.8,20.4
1975,8.3,8.5,9.5,19.9,7.4,21.5,21.0,37.0,19.5,21.7,19.2,8.4
1976,14.6,6.8,10.1,2.1,61.0,30.0,33.6,36.3,44.1,32.7,29.3,19.4
1977,27.5,18.8,4.5,15.5,11.9,66.1,11.0,43.8,22.1,22.6,14.8,11.0
1978,11.0,4.3,12.8,2.0,9.2,40.4,24.8,29.0,33.4,33.4,11.6,4.8
1979,2.8,3.0,7.2,7.1,10.3,20.7,13.3,41.4,27.4,29.2,15.0,23.3
1980,14.6,7.5,18.4,33.8,18.3,4.0,32.8,33.7,49.2,24.7,24.4,21.4
1981,23.5,7.9,12.3,7.1,7.5,31.5,85.8,35.7,27.5,25.2,31.5,16.6
1982,2.4,11.1,7.5,11.9,18.0,41.0,11.9,31.8,21.3,42.3,24.9,10.5
1983,17.8,15.4,3.5,11.4,4.9,6.6,8.8,37.2,27.2,28.4,16.3,7.4
1984,25.2,9.3,13.8,16.4,9.8,14.7,30.3,71.7,9.1,22.9,6.2,11.6
1985,16.4,20.1,10.5,19.3,32.8,1.8,22.0,7.7,29.1,15.9,15.9,12.3
1986,16.8,20.4,4.5,12.7,23.6,19.5,18.7,48.2,22.9,25.1,10.0,31.5
1987,16.1,18.3,7.6,14.6,50.6,0.4,21.0,66.0,22.0,13.9,37.9,27.9
1988,6.7,11.2,13.0,7.4,39.2,3.6,24.5,52.6,16.5,36.2,18.7,14.7
1989,14.2,21.4,4.4,2.3,22.0,20.8,64.4,33.4,59.4,35.8,10.8,18.5
1990,20.0,9.0,18.5,12.4,0.2,17.7,,,,,,
1991,,,,,,,,,,,,
1992,,,,,,,,,,,,
1993,,,,,,,,,,,,
1994,,,,,,,,,,,,
1995,,,,,,,,,,,,
1996,,,,,,,,,,,,
1997,,,,,,,,,,,,
1998,,,,,,,,,,19.0,7.0,14.0
1999,6.0,10.0,16.0,2.0,6.0,16.0,25.0,61.0,24.0,21.0,12.0,26.0
2000,8.0,8.0,8.0,12.0,4.0,22.0,66.0,24.0,14.0,38.0,16.0,8.0
2001,14.0,12.0,9.0,4.0,2.0,18.0,27.0,27.0,14.0,22.0,8.0,13.0
2002,8.0,8.0,14.0,23.0,4.0,26.0,24.0,64.0,16.0,14.0,16.0,8.0
2003,0.0,14.0,17.0,9.0,20.0,1.0,37.0,34.0,32.0,13.0,29.0,20.0
2004,26.0,10.0,15.0,,,,,,,,,
2005,,,,,,,,,,,,
2006,,,,,,,,,,,,
2007,,,,,,,,,,,,
2008,,,,,,,,,,,,
2009,13.0,11.0,7.0,11.0,7.0,4.0,16.0,85.0,53.0,14.0,12.0,7.0
2010,0.0,0.0,21.0,13.0,0.0,55.0,44.0,23.0,7.0,3.0,14.0,2.0
2011,1.0,5.0,1.0,6.0,10.0,28.0,15.0,35.0,10.0,11.0,0.0,5.0
2012,17.0,7.0,4.0,5.0,12.0,10.0,78.0,19.0,26.0,22.0,3.0,0.0
2013,5.0,1.0,0.0,26.0,26.0,25.0,39.0,29.0,37.0,8.0,14.0,15.0
2014,8.0,1.0,41.0,6.0,19.0,70.0,55.0,,31.0,42.0,3.0,8.0
2015,8.0,7.0,16.0,18.0,2.0,46.0,57.0,57.0,55.0,21.0,13.0,6.0
2016,2.0,1.0,17.0,5.0,8.0,22.0,56.0,38.0,28.0,7.0,16.0,3.0
2017,24.0,23.0,10.0,4.0,14.0,26.0,26.0,60.0,50.0,18.0,14.0,11.0
2018,15.0,17.0,7.0,6.0,34.0,4.0,58.0,40.0,26.0,,,
