Индекс ВМО,Year,January,February,March,April,May,June,July,August,September,October,November,December
20891,1966,14.0,10.0,7.0,15.0,36.0,57.0,65.0,24.0,45.0,26.0,23.0,29.0
20891,1967,17.0,17.0,13.0,18.0,11.0,15.0,12.0,50.0,39.0,23.0,38.0,24.0
20891,1968,7.0,9.0,22.0,17.0,9.0,32.0,62.0,48.0,24.0,36.0,6.0,39.0
20891,1969,10.0,15.0,8.0,12.0,13.0,42.0,30.0,20.0,29.0,12.0,21.0,27.0
20891,1970,7.0,1.0,10.0,6.0,18.0,39.0,75.0,28.0,46.0,37.0,24.0,15.0
20891,1971,15.0,11.0,2.0,20.5,8.0,16.0,60.8,16.9,30.6,31.0,35.0,33.0
20891,1972,18.5,8.0,8.0,26.8,13.4,13.0,52.0,29.6,30.0,25.0,9.2,16.0
20891,1973,16.0,25.0,14.0,6.0,17.0,17.0,72.0,17.0,47.0,33.0,,10.0
20891,1974,7.0,18.0,16.0,10.0,22.0,31.0,49.0,50.0,13.0,50.0,,20.8
20891,1975,7.0,10.0,7.0,17.0,28.0,30.0,35.0,12.0,36.0,25.0,17.0,24.0
20891,1976,24.0,8.0,9.0,10.0,8.0,14.0,26.0,26.0,23.0,51.0,18.0,22.0
20891,1977,8.0,9.0,8.0,31.0,6.0,22.0,53.0,15.0,26.0,17.0,27.0,38.0
20891,1978,7.0,15.0,8.0,5.0,11.0,10.0,19.0,24.0,28.0,13.0,18.0,3.0
20891,1979,4.0,,2.0,4.0,9.0,19.0,12.0,21.0,39.0,15.0,18.0,17.0
20891,1980,7.0,10.0,10.0,7.0,28.0,48.0,9.0,50.0,46.0,51.0,4.0,8.0
20891,1981,19.0,10.0,17.0,21.0,14.0,46.0,2.0,23.0,25.0,3.0,16.0,26.0
20891,1982,4.0,11.0,8.0,22.0,3.0,51.0,41.0,9.0,52.0,28.0,4.0,14.0
20891,1983,15.0,8.0,8.0,9.0,16.0,11.0,35.0,4.0,28.0,9.0,20.0,14.0
20891,1984,15.0,13.0,8.0,9.0,17.0,18.0,15.0,57.0,57.0,28.0,15.0,77.0
20891,1985,5.0,7.2,55.2,17.3,5.8,12.1,15.2,56.3,43.2,18.5,27.1,8.1
20891,1986,15.0,28.6,7.9,9.8,17.0,44.8,20.1,27.4,20.1,20.8,28.7,7.5
20891,1987,4.4,9.2,30.1,9.0,27.0,35.6,23.0,16.2,5.5,45.6,51.1,16.0
20891,1988,17.3,14.4,13.8,10.1,5.4,38.8,44.8,47.8,84.9,33.0,9.0,24.1
20891,1989,5.5,5.3,21.9,30.6,16.7,28.2,54.2,58.9,44.9,21.2,17.2,11.4
20891,1990,7.2,7.7,20.9,28.0,22.4,32.6,36.9,43.1,1.0,23.6,5.4,23.1
20891,1991,3.0,9.0,9.4,27.7,24.4,12.1,57.9,79.7,7.9,24.2,24.3,12.2
20891,1992,9.8,7.0,25.4,7.4,22.1,35.9,27.2,20.6,24.6,31.3,9.6,23.4
20891,1993,37.0,18.8,25.3,18.0,14.9,28.9,58.1,46.9,18.3,16.2,20.3,32.6
20891,1994,6.0,4.2,9.6,11.2,21.8,24.3,49.5,92.7,33.4,45.5,16.5,10.9
20891,1995,18.0,16.4,8.8,12.5,11.5,51.2,74.5,16.7,24.8,17.9,11.8,8.8
20891,1996,21.3,29.9,21.0,5.1,33.9,10.7,66.8,49.3,19.3,17.6,26.5,8.5
20891,1997,4.4,3.2,4.6,16.1,17.3,35.2,15.9,47.3,20.0,24.7,13.2,14.4
20891,1998,3.3,9.7,15.2,9.5,8.6,4.9,82.3,39.4,34.6,15.1,10.8,7.7
20891,1999,7.3,17.5,6.3,5.4,7.0,43.0,43.1,78.4,48.8,42.2,34.4,12.7
20891,2000,14.1,5.3,8.1,11.0,17.2,93.4,24.4,3.7,14.3,37.6,17.1,4.5
20891,2001,3.3,8.8,3.6,16.3,1.7,14.1,27.2,13.6,27.2,13.2,25.4,32.3
20891,2002,1.3,12.5,10.6,19.6,23.2,2.4,53.5,13.1,54.2,18.3,26.5,14.8
20891,2003,9.6,4.1,9.8,26.8,18.6,4.8,19.0,46.0,8.6,66.4,26.1,45.5
20891,2004,18.2,6.5,5.9,12.4,6.6,21.6,44.3,50.7,37.4,25.2,18.2,16.0
20891,2005,12.9,6.9,14.8,10.9,14.1,15.2,27.3,40.2,19.2,35.4,15.5,11.7
20891,2006,17.2,25.4,7.6,0.0,31.7,5.4,44.4,54.2,48.8,29.0,42.7,14.0
20891,2007,24.1,7.7,9.4,7.6,40.3,13.4,53.4,81.4,23.9,32.5,24.0,11.3
20891,2008,31.0,14.2,11.6,8.0,13.3,46.0,28.2,31.4,25.2,33.3,23.4,31.9
20891,2009,20.0,8.6,16.6,17.7,9.2,13.4,51.0,36.9,52.5,16.7,25.4,7.0
20891,2010,42.3,5.1,3.9,8.0,16.7,65.2,37.4,46.0,30.6,47.7,36.2,15.5
20891,2011,39.3,18.8,24.4,11.9,6.9,26.0,60.9,43.9,20.0,31.0,17.1,18.3
20891,2012,16.8,18.3,15.4,7.8,31.2,22.0,23.2,9.9,10.8,16.2,26.7,20.7
20891,2013,6.3,20.6,5.3,6.2,5.1,14.0,5.1,16.6,38.4,21.1,20.7,6.3
20891,2014,11.8,18.2,9.6,16.0,19.6,12.3,31.0,50.2,76.6,27.1,25.5,23.5
20891,2015,16.6,5.1,19.7,5.2,5.7,91.9,47.8,66.6,49.4,18.3,28.7,10.1
20891,2016,35.0,24.0,22.1,11.8,6.6,18.8,20.3,13.9,32.0,29.1,18.8,2.1
20891,2017,16.4,13.0,24.7,28.0,1.8,18.8,39.3,67.0,16.4,45.9,13.6,14.4
20891,2018,38.5,16.0,7.5,10.7,11.3,28.4,52.5,66.3,41.7,24.1,19.1,20.1
20891,2019,7.6,16.8,11.4,17.3,6.5,28.9,44.7,22.4,71.5,17.8,23.4,4.7
