WMO Index,Year,January,February,March,April,May,June,July,August,September,October,November,December
21946,1970,102.25,102.24,102.0,100.76,100.47,99.98,100.48,100.1,100.89,100.83,100.4,100.79
21946,1971,101.58,102.94,101.32,101.21,100.44,99.81,100.44,100.56,100.4,100.23,100.7,100.81
21946,1972,101.76,101.78,102.03,100.82,100.3,100.69,100.53,100.07,101.34,100.4,101.73,100.79
21946,1973,100.13,100.96,101.8,101.2,100.89,99.99,100.07,100.5,100.25,100.38,100.76,100.92
21946,1974,102.5,102.24,101.85,101.13,101.04,100.31,100.05,100.51,100.87,,101.05,101.93
21946,1975,101.24,101.44,101.11,101.17,101.1,100.71,100.36,100.19,100.93,100.57,100.32,101.05
21946,1976,101.61,101.32,101.81,100.72,100.97,100.38,99.84,100.04,100.6,101.4,101.05,102.18
21946,1977,102.34,102.13,101.78,100.68,100.78,100.12,100.0,100.58,100.07,100.92,101.59,101.41
21946,1978,101.01,101.4,101.32,101.16,100.86,100.09,99.99,100.38,101.03,101.1,100.28,100.5
21946,1979,101.16,101.46,101.96,101.74,100.31,100.69,100.33,100.43,100.95,100.95,100.74,100.78
21946,1980,101.93,101.37,101.64,101.64,100.87,99.95,100.29,100.79,100.81,100.59,101.13,102.24
21946,1981,101.14,101.66,101.64,100.3,100.44,100.26,100.14,100.74,100.68,101.48,101.14,99.94
21946,1982,,,,100.75,,,,,,,101.18,
21946,1983,101.12,101.28,101.99,101.22,100.7,100.81,100.13,100.28,,101.01,100.57,
21946,1984,101.75,,101.57,101.23,100.48,100.2,100.4,100.06,100.54,100.06,100.94,100.62
21946,1985,101.95,101.62,100.44,101.21,100.68,100.61,100.17,100.41,100.85,100.9,100.6,101.57
21946,1986,101.6,101.34,101.06,100.78,100.35,99.87,100.59,100.53,100.53,100.78,100.87,101.37
21946,1987,101.22,101.53,101.29,101.32,100.22,100.12,100.28,100.69,100.73,100.31,101.51,100.85
21946,1988,100.51,101.35,101.19,100.5,101.33,100.36,99.98,100.23,100.27,100.2,101.06,100.94
21946,1989,100.63,100.2,101.12,101.11,100.72,100.05,99.89,99.9,100.13,100.61,101.04,101.43
21946,1990,101.57,101.34,100.27,100.45,99.86,100.31,100.05,100.34,101.11,100.36,100.57,100.9
21946,1991,101.99,101.66,101.27,100.44,100.38,100.23,100.61,100.23,100.92,100.26,101.07,100.7
21946,1992,100.95,100.96,101.2,101.37,100.25,100.33,100.09,100.41,101.32,100.23,101.08,100.8
21946,1993,100.51,100.96,100.75,101.59,100.64,100.62,100.08,100.71,101.07,100.45,100.72,101.54
21946,1994,101.48,101.81,101.94,101.45,100.44,100.39,100.28,99.91,100.79,100.31,100.3,101.1
21946,1995,100.95,101.7,101.35,101.35,100.74,100.31,100.09,100.33,100.2,100.71,100.8,101.13
21946,1996,101.05,100.38,100.87,101.76,100.64,100.52,100.36,100.13,101.36,100.88,100.81,101.05
21946,1997,101.79,100.9,101.63,,100.94,100.09,100.24,100.2,100.42,100.92,100.43,101.05
21946,1998,102.0,101.15,100.7,100.74,100.55,100.52,100.66,100.46,99.89,100.99,101.72,101.34
21946,1999,101.75,101.37,101.91,101.06,100.73,100.11,100.4,100.19,100.29,101.01,100.46,101.62
21946,2000,102.02,101.69,101.45,100.95,100.74,99.73,100.35,100.79,100.23,100.55,101.68,101.96
21946,2001,101.8,101.44,101.76,100.5,100.37,100.6,100.23,100.44,100.29,101.06,100.4,101.27
21946,2002,101.27,100.97,100.73,100.91,100.36,100.36,100.12,100.56,100.02,101.78,101.55,101.26
21946,2003,101.11,101.48,101.07,100.3,100.41,100.01,100.35,100.77,100.52,100.46,101.31,100.31
21946,2004,101.89,101.83,101.26,100.92,100.73,100.34,100.28,100.33,100.59,100.82,100.31,101.76
21946,2005,101.64,102.33,101.02,101.18,100.95,100.04,100.11,100.01,100.44,99.87,101.58,102.04
21946,2006,101.88,100.77,101.28,102.04,100.5,100.26,100.29,100.27,99.93,100.49,101.05,100.76
21946,2007,100.9,101.02,101.91,101.08,100.35,100.02,99.74,100.04,99.95,100.35,100.39,101.22
21946,2008,100.9,100.91,101.16,100.85,100.98,100.37,100.15,100.43,100.63,100.67,101.24,100.61
21946,2009,101.69,101.72,101.65,100.66,100.43,100.59,100.56,100.33,100.73,101.29,100.98,102.04
21946,2010,101.27,102.37,101.16,101.17,101.1,99.92,100.21,100.21,100.62,101.06,100.78,101.68
21946,2011,101.81,100.99,100.33,100.93,101.04,99.9,100.18,100.69,100.62,100.13,101.13,101.67
21946,2012,102.26,101.12,101.62,101.05,100.74,100.18,100.22,99.98,101.05,101.53,101.33,101.45
21946,2013,102.13,101.9,101.51,101.6,100.86,100.37,100.29,100.62,100.41,100.67,100.4,101.6
21946,2014,101.47,102.32,101.27,100.24,100.57,100.29,100.31,100.06,100.32,100.97,100.88,101.95
21946,2015,101.3,101.44,100.7,101.09,100.61,100.0,99.96,100.65,100.67,100.69,101.15,101.33
21946,2016,101.26,101.39,101.4,101.18,100.45,100.5,100.17,100.22,100.68,100.08,101.11,100.98
21946,2017,100.96,101.61,100.9,100.56,100.44,100.25,100.04,100.24,100.54,100.85,100.15,
21946,2018,101.32,101.41,101.11,100.84,100.45,100.74,100.29,100.79,100.3,100.63,101.48,101.44
