WMO Index,Year,January,February,March,April,May,June,July,August,September,October,November,December
20891,1937,101.18,101.15,102.46,101.01,100.62,100.71,100.66,100.19,100.42,100.16,101.02,102.18
20891,1938,102.04,101.79,100.7,100.56,100.82,100.79,100.34,100.56,100.72,100.88,101.58,102.28
20891,1939,101.12,100.97,101.26,100.72,101.01,100.81,100.96,100.25,99.96,100.95,101.43,100.31
20891,1940,103.08,100.78,101.51,100.29,100.95,100.48,100.54,100.89,101.68,100.37,100.84,101.49
20891,1941,101.36,102.55,102.07,101.41,101.46,100.11,100.06,100.78,100.19,100.3,100.41,101.8
20891,1942,101.64,102.21,101.15,101.0,101.46,100.81,100.49,100.23,100.88,101.41,101.42,100.81
20891,1943,101.85,100.91,100.46,100.79,100.59,101.14,100.6,100.76,100.78,100.07,101.59,101.29
20891,1944,101.57,101.44,101.87,100.97,100.87,100.25,,,,,,
20891,1945,,,,,,,,,,,,
20891,1946,,,,,,,100.53,100.95,101.43,99.81,100.64,102.7
20891,1947,102.19,103.33,101.54,100.94,100.25,100.57,100.4,100.98,100.43,100.67,102.97,102.29
20891,1948,100.83,100.68,100.39,100.55,100.85,100.57,100.56,100.64,101.2,100.61,100.64,100.26
20891,1949,100.44,101.36,101.79,100.67,100.79,100.92,100.62,100.88,100.52,100.12,101.93,102.52
20891,1950,101.77,101.28,101.61,101.31,100.68,100.64,100.34,101.07,101.24,100.67,101.43,101.39
20891,1951,101.5,102.14,101.42,101.34,100.7,100.35,100.6,100.65,101.12,100.19,99.94,100.4
20891,1952,101.26,102.61,102.06,101.6,100.8,100.62,100.13,100.44,100.95,100.69,102.44,101.87
20891,1953,102.03,102.08,100.53,101.45,101.18,100.45,100.61,100.56,100.21,100.61,102.1,100.22
20891,1954,101.48,101.65,100.64,101.4,101.78,100.66,100.65,100.49,100.91,100.79,101.21,102.64
20891,1955,100.8,102.51,102.75,101.53,101.08,100.56,100.5,100.26,101.12,100.15,100.73,101.02
20891,1956,101.94,103.12,101.25,101.71,101.02,100.38,100.69,101.07,100.3,100.86,102.25,102.73
20891,1957,100.25,103.39,101.75,100.98,100.55,100.74,100.95,101.17,100.77,100.99,101.3,100.46
20891,1958,101.81,101.76,101.66,101.06,101.17,100.81,100.6,100.04,100.52,100.99,100.76,101.38
20891,1959,101.58,100.58,99.89,101.12,101.01,100.88,101.02,101.03,100.55,101.36,101.63,101.46
20891,1960,102.25,100.8,101.65,101.39,102.09,100.08,100.68,100.53,100.73,100.1,100.9,101.25
20891,1961,101.6,100.91,100.99,100.91,100.64,100.52,100.64,101.12,99.74,100.85,101.15,101.49
20891,1962,100.16,100.8,101.51,100.49,100.91,100.68,101.12,100.6,101.13,100.57,101.83,100.81
20891,1963,101.5,100.3,100.78,100.95,100.93,100.86,100.52,101.1,100.18,100.61,100.61,100.58
20891,1964,100.57,102.16,100.8,101.35,100.74,100.21,100.68,100.73,100.94,100.68,100.8,101.57
20891,1965,101.14,102.47,101.17,101.39,100.74,100.13,100.81,100.43,100.62,100.37,101.83,101.45
20891,1966,101.45,101.68,101.96,102.17,100.42,100.22,100.59,100.42,100.36,100.6,101.03,102.6
20891,1967,100.49,100.96,101.06,100.56,100.86,100.69,100.91,100.99,100.31,100.23,101.26,100.98
20891,1968,102.18,101.93,99.61,100.34,100.54,100.22,100.26,100.61,101.2,100.6,101.33,101.41
20891,1969,102.42,103.15,101.12,100.45,100.97,100.3,100.79,101.0,101.05,101.53,101.02,101.78
20891,1970,101.64,102.19,102.95,100.85,100.82,100.14,100.52,100.58,101.22,100.94,100.45,100.88
20891,1971,100.49,103.9,101.58,100.89,100.56,100.28,100.31,100.46,100.24,100.06,100.15,101.27
20891,1972,101.58,100.55,101.85,100.57,100.91,101.3,100.6,100.66,101.32,100.66,102.21,100.36
20891,1973,100.2,100.86,101.06,101.69,100.91,100.04,100.43,100.89,100.16,100.1,100.69,100.78
20891,1974,102.63,102.34,101.29,100.53,100.99,100.61,100.42,100.5,100.88,100.8,101.7,101.88
20891,1975,100.9,101.27,100.32,101.29,100.69,100.37,100.32,100.45,100.35,99.94,100.34,100.6
20891,1976,101.44,101.03,101.94,100.82,101.09,100.71,100.32,100.36,100.32,100.97,100.8,101.89
20891,1977,103.05,102.39,101.03,100.75,100.69,100.45,100.32,100.91,100.34,100.87,100.9,100.87
20891,1978,100.99,101.01,101.01,100.78,101.09,100.62,100.62,100.56,100.67,100.72,100.04,100.96
20891,1979,101.65,101.09,101.73,101.95,100.73,100.57,100.87,100.92,100.96,101.11,100.91,100.33
20891,1980,101.99,101.71,102.44,101.5,100.95,100.09,100.18,100.75,100.67,100.69,101.03,101.31
20891,1981,100.99,101.63,101.19,100.14,100.54,100.76,100.55,101.38,101.21,101.69,101.59,100.2
20891,1982,101.21,100.81,101.88,,101.32,100.72,100.68,100.54,100.25,100.88,101.54,100.72
20891,1983,101.03,101.59,101.49,101.28,100.87,101.14,100.46,100.86,100.99,100.87,99.67,100.55
20891,1984,101.91,101.28,101.65,100.89,100.73,101.09,100.85,100.58,101.1,101.62,101.11,100.69
20891,1985,101.8,103.05,100.93,101.05,101.0,100.85,100.71,100.49,101.29,100.58,101.05,102.14
20891,1986,101.61,100.72,100.74,100.78,100.98,100.2,100.73,100.81,100.31,101.02,100.86,101.1
20891,1987,101.43,101.22,101.4,101.4,100.8,100.44,100.77,100.96,101.28,100.34,101.43,100.8
20891,1988,100.54,102.38,101.34,100.44,101.46,100.19,100.53,100.79,100.12,99.88,100.48,100.22
20891,1989,100.63,100.11,100.72,101.17,100.84,100.38,100.47,100.11,100.64,100.26,101.05,100.65
20891,1990,102.21,101.43,100.0,100.81,99.61,100.64,101.08,100.55,101.41,100.25,100.74,100.36
20891,1991,101.48,101.31,102.25,100.56,100.83,100.81,100.42,100.53,101.2,99.98,100.58,101.15
20891,1992,100.42,100.79,100.93,101.69,100.63,100.1,100.51,100.85,101.33,100.15,101.26,100.03
20891,1993,100.01,100.27,100.49,100.84,100.69,100.89,100.42,100.81,101.05,100.09,100.76,101.11
20891,1994,101.57,101.71,101.53,101.26,100.49,100.77,100.53,100.32,100.77,100.09,100.56,101.86
20891,1995,100.5,101.2,101.19,101.6,101.17,99.98,100.33,100.42,100.4,99.9,100.29,100.35
20891,1996,101.07,100.92,101.53,101.42,100.71,101.04,100.71,100.1,101.29,100.62,101.37,101.08
20891,1997,100.89,100.92,101.58,100.51,101.29,99.88,100.25,100.46,100.97,100.72,100.6,100.39
20891,1998,101.97,100.63,101.1,101.02,100.78,100.76,100.91,100.82,100.07,100.81,102.37,100.66
20891,1999,102.07,101.6,102.58,100.79,100.89,100.03,100.28,100.26,100.9,100.58,101.07,100.92
20891,2000,102.34,101.74,101.36,100.39,100.63,100.06,100.74,100.74,100.34,101.06,101.85,102.35
20891,2001,102.04,101.7,101.6,100.27,100.51,100.6,100.16,100.86,100.94,100.83,100.22,101.46
20891,2002,100.77,101.03,100.42,100.79,100.45,100.44,100.31,100.26,99.94,101.32,101.2,101.73
20891,2003,100.48,100.96,100.21,100.25,100.77,100.86,100.39,101.18,100.43,100.87,101.7,100.02
20891,2004,101.18,101.6,101.32,101.02,101.18,101.04,100.98,100.2,100.65,100.5,100.02,102.1
20891,2005,101.95,102.33,101.01,100.56,101.19,100.3,100.46,100.61,100.42,100.03,101.0,102.82
20891,2006,102.58,101.31,101.39,102.62,100.53,100.65,100.57,100.67,99.83,100.41,101.68,100.55
20891,2007,100.56,101.39,101.58,100.64,100.09,100.31,100.18,100.05,100.78,100.18,101.07,100.67
20891,2008,101.37,100.72,100.84,100.87,101.03,100.5,100.58,100.29,100.8,100.47,101.02,100.81
20891,2009,101.06,101.97,101.69,100.44,100.95,100.62,100.82,100.72,100.33,101.07,101.74,102.33
20891,2010,101.67,103.03,101.58,101.98,101.02,99.86,100.18,100.15,100.55,100.64,100.4,101.7
20891,2011,102.16,100.97,,,,,,100.21,101.38,100.23,100.81,101.48
20891,2012,102.64,101.56,101.74,101.04,100.26,100.95,100.39,100.29,101.02,101.76,101.4,102.02
20891,2013,101.74,101.31,101.73,101.34,100.75,100.68,100.9,100.79,100.67,99.95,100.23,101.0
20891,2014,101.6,102.31,100.63,99.73,100.44,100.6,100.4,100.08,100.0,101.22,100.33,101.12
