WMO Index,Year,January,February,March,April,May,June,July,August,September,October,November,December
29866,1937,100.18,99.59,99.51,98.92,98.52,98.03,97.73,98.3,98.68,99.07,99.7,99.92
29866,1938,100.56,99.35,99.29,99.04,98.31,,97.6,98.32,98.86,98.89,99.62,100.21
29866,1939,99.81,99.6,99.59,99.24,98.57,97.99,97.74,98.12,98.66,99.35,99.78,100.0
29866,1940,100.4,99.79,99.29,99.1,98.45,98.13,97.98,98.2,98.89,98.76,99.43,99.15
29866,1941,99.5,99.99,99.05,98.89,98.7,98.07,97.76,98.02,98.85,99.44,99.38,99.62
29866,1942,100.25,100.3,99.02,98.95,98.62,98.06,97.65,98.16,98.63,99.12,99.46,99.92
29866,1943,100.26,99.98,99.25,99.32,98.51,97.94,97.82,98.03,98.46,98.93,100.02,99.7
29866,1944,100.4,99.86,99.38,99.06,98.47,98.08,97.5,98.22,98.77,99.25,99.85,100.54
29866,1945,100.29,100.37,99.55,98.96,98.4,98.0,97.7,98.19,98.58,99.21,98.91,99.87
29866,1946,99.38,99.5,99.58,98.73,98.56,97.86,97.84,97.89,98.62,99.04,99.43,100.14
29866,1947,100.17,100.24,99.65,98.97,98.5,98.11,97.78,98.0,98.76,99.63,99.8,100.39
29866,1948,99.7,99.62,98.96,98.83,98.68,97.95,97.83,98.12,98.62,99.35,100.22,99.13
29866,1949,99.61,99.23,99.68,99.07,98.36,98.18,97.89,98.22,98.57,99.38,99.62,100.27
29866,1950,99.36,99.97,99.46,98.94,98.42,98.17,97.72,97.98,98.65,99.52,100.06,99.98
29866,1951,,,,,,,,,,,,
29866,1952,,,,,,,,,98.7,98.98,100.06,99.98
29866,1953,99.87,99.95,98.99,99.31,98.51,97.93,97.76,98.15,98.71,98.91,99.78,99.77
29866,1954,99.76,99.69,99.84,99.23,98.57,97.98,97.87,97.92,98.68,99.2,99.75,101.01
29866,1955,100.53,99.37,99.48,99.23,98.62,98.25,97.62,98.0,98.56,99.54,99.44,99.27
29866,1956,100.33,100.19,99.49,98.82,98.26,98.04,97.75,98.1,98.51,99.02,100.35,100.48
29866,1957,99.63,100.19,99.54,98.82,98.6,98.18,97.83,98.21,99.25,99.12,99.14,99.16
29866,1958,100.47,99.63,99.49,98.85,98.67,98.33,97.71,98.29,98.63,99.24,99.62,99.48
29866,1959,100.2,99.63,99.35,98.71,98.63,98.05,97.65,97.86,98.55,98.98,100.0,100.28
29866,1960,99.91,99.49,99.24,99.13,98.73,98.09,97.72,98.1,98.82,99.2,99.67,100.2
29866,1961,100.13,99.43,99.72,98.83,98.49,98.06,97.64,98.08,98.51,99.35,99.49,99.7
29866,1962,100.14,99.91,99.63,99.14,98.78,98.31,97.9,98.26,98.8,99.39,100.12,99.36
29866,1963,100.51,99.93,99.11,99.3,98.29,98.3,97.91,98.12,98.92,99.32,99.2,99.55
29866,1964,99.57,100.89,99.34,98.91,98.79,98.01,97.86,98.04,98.82,99.42,99.23,99.77
29866,1965,99.81,99.69,99.85,99.11,98.62,98.07,97.93,98.04,98.69,99.14,99.53,100.08
29866,1966,99.79,99.16,99.02,99.12,98.6,97.88,98.0,98.11,98.83,99.2,99.41,100.66
29866,1967,100.35,99.75,99.43,98.93,98.44,98.1,97.53,98.15,98.85,99.37,100.5,100.34
29866,1968,99.87,100.3,98.74,98.99,98.6,98.1,97.77,98.24,98.96,99.54,99.12,99.58
29866,1969,100.31,100.24,99.42,99.04,98.32,98.14,97.75,98.35,99.03,98.88,99.97,100.46
29866,1970,99.76,99.79,100.11,99.1,98.47,98.03,97.73,97.96,98.92,99.21,99.64,99.79
29866,1971,99.52,99.87,99.85,98.8,98.32,97.99,97.88,98.01,99.12,99.27,99.77,99.8
29866,1972,99.63,99.39,99.18,98.91,98.46,97.85,97.75,98.32,98.89,99.22,99.42,99.64
29866,1973,99.38,99.6,99.5,98.91,98.6,97.92,97.68,98.18,98.76,99.44,99.32,99.97
29866,1974,99.85,100.05,99.68,98.62,98.63,98.04,97.81,98.05,98.64,99.46,99.36,100.61
29866,1975,99.6,99.52,99.2,98.79,98.28,98.09,97.83,98.05,98.54,99.0,99.54,100.32
29866,1976,100.03,99.38,99.72,99.04,98.59,98.04,97.67,98.12,98.61,98.93,100.05,100.18
29866,1977,100.49,99.86,99.51,99.26,98.37,98.0,97.77,97.94,98.74,99.08,99.85,99.33
29866,1978,99.61,100.09,99.51,98.43,98.57,97.91,97.79,98.19,98.59,99.37,99.4,99.31
29866,1979,99.72,99.0,99.34,99.04,98.54,98.25,97.94,98.09,98.87,99.02,99.93,99.47
29866,1980,100.09,100.36,99.98,99.16,98.69,97.88,97.86,98.22,98.93,99.53,99.0,99.92
29866,1981,100.27,99.67,99.06,98.85,98.52,98.2,97.67,98.13,98.77,99.63,100.31,100.11
29866,1982,99.78,99.5,99.32,98.97,98.51,98.23,97.84,98.12,98.88,98.96,99.28,99.68
29866,1983,99.83,99.67,99.39,98.81,98.19,98.28,97.81,98.01,98.5,99.16,99.35,99.85
29866,1984,100.39,100.25,99.52,98.7,98.26,97.82,97.72,98.05,98.68,99.01,99.14,100.32
29866,1985,99.88,99.73,99.9,98.64,98.38,97.98,97.76,98.08,99.12,98.92,99.46,100.04
29866,1986,99.99,100.19,99.31,99.07,98.37,97.93,97.95,98.05,98.84,99.5,100.09,99.45
29866,1987,99.63,99.65,99.54,98.76,98.43,98.33,97.88,98.05,98.63,99.41,99.73,99.5
29866,1988,99.82,100.46,99.79,99.02,98.4,98.02,97.7,98.18,98.85,99.28,99.59,99.71
29866,1989,99.38,99.59,99.48,98.71,98.72,98.25,98.02,98.17,98.72,99.05,99.9,99.38
