WMO Index,Year,January,February,March,April,May,June,July,August,September,October,November,December
24507,1937,100.41,100.29,100.44,99.17,99.01,99.05,98.58,98.74,99.04,99.17,100.01,100.99
24507,1938,100.97,100.31,99.63,98.98,99.0,98.68,98.77,99.21,99.41,99.11,100.75,100.88
24507,1939,100.06,99.99,99.76,99.33,98.98,98.89,98.82,98.88,99.06,99.79,100.08,99.66
24507,1940,101.88,99.91,99.92,98.87,98.92,98.6,98.72,99.11,99.64,98.91,99.64,100.0
24507,1941,100.25,100.9,99.93,99.22,99.38,98.45,98.5,99.11,99.09,99.4,99.22,100.72
24507,1942,100.79,101.1,99.4,99.2,99.38,98.52,98.83,98.51,99.6,99.51,99.99,99.93
24507,1943,100.7,100.09,99.14,99.69,98.76,98.79,98.43,99.16,99.29,98.47,100.27,99.76
24507,1944,100.65,100.14,99.97,99.45,98.8,98.3,98.26,98.76,99.08,99.2,100.41,100.39
24507,1945,100.67,101.02,99.62,99.18,98.88,98.44,98.43,99.09,99.16,99.4,98.88,100.83
24507,1946,99.7,100.08,100.14,98.79,99.08,98.22,98.6,99.01,99.65,98.84,99.32,101.09
24507,1947,100.92,101.34,100.26,99.27,98.76,98.54,98.5,99.02,99.06,100.05,101.23,101.18
24507,1948,99.75,99.41,99.09,98.65,98.92,98.41,98.61,98.67,99.65,99.46,100.03,99.4
24507,1949,99.49,99.98,100.33,99.3,98.91,98.57,98.68,98.9,99.11,99.31,99.89,100.67
24507,1950,100.27,99.93,100.0,99.11,98.77,98.88,98.54,99.09,99.49,99.37,99.82,99.99
24507,1951,100.6,100.98,99.62,99.88,98.97,98.64,98.96,99.05,100.11,99.34,99.19,99.61
24507,1952,100.02,101.44,100.22,99.79,99.42,98.86,98.88,99.06,99.68,99.58,101.16,100.9
24507,1953,101.12,101.09,99.61,100.48,99.53,99.06,98.97,99.27,99.32,99.33,101.03,99.7
24507,1954,100.63,100.76,100.1,100.12,99.68,99.23,99.11,99.15,99.6,99.72,100.39,101.94
24507,1955,100.72,100.91,100.86,100.16,99.27,99.11,98.99,99.17,99.59,99.39,99.55,100.27
24507,1956,100.93,101.83,100.25,99.78,99.39,98.94,99.0,99.3,99.16,99.39,101.47,102.02
24507,1957,99.53,102.34,100.39,99.42,99.03,99.26,99.31,99.78,99.59,99.4,99.93,99.63
24507,1958,101.09,100.78,100.19,99.52,99.3,99.32,99.08,99.24,99.32,99.64,99.4,100.2
24507,1959,100.69,100.28,99.28,99.49,99.16,99.31,99.16,99.34,99.27,99.88,100.41,100.71
24507,1960,101.18,99.72,100.33,99.46,99.94,98.52,98.77,98.75,99.29,98.98,99.6,100.46
24507,1961,100.28,99.95,100.07,99.09,99.02,98.79,98.66,99.11,98.82,99.79,100.13,100.59
24507,1962,99.7,99.86,100.02,99.0,98.91,98.6,98.99,98.69,99.35,99.41,100.13,99.18
24507,1963,100.42,99.34,99.33,99.08,98.45,98.49,98.65,98.92,98.62,99.13,99.3,99.35
24507,1964,99.44,101.44,99.24,99.2,99.0,98.17,98.67,98.97,99.36,99.36,99.21,100.05
24507,1965,99.71,100.72,99.9,99.48,98.57,98.46,98.71,98.4,98.64,98.93,99.95,99.95
24507,1966,99.9,99.66,99.72,99.69,98.6,98.35,98.61,98.65,98.95,99.12,99.3,100.95
24507,1967,99.41,99.87,99.46,99.29,98.57,98.67,98.71,98.9,99.04,99.25,100.45,100.06
24507,1968,100.8,100.85,98.41,98.45,98.58,98.33,98.38,98.92,99.39,99.49,99.41,100.12
24507,1969,100.74,101.13,99.49,98.67,98.73,98.31,98.74,98.98,99.27,99.57,99.64,100.5
24507,1970,99.99,100.23,101.09,98.57,98.86,98.32,98.69,98.44,99.41,99.31,99.19,99.62
24507,1971,99.23,101.53,100.05,98.83,98.66,98.44,98.44,98.76,99.08,98.92,99.41,100.17
24507,1972,100.13,99.36,100.0,99.41,98.41,98.92,98.73,98.76,99.46,99.39,100.22,99.28
24507,1973,99.09,99.89,99.67,99.2,98.86,98.4,98.46,99.17,98.84,99.13,99.2,99.54
24507,1974,100.8,100.86,99.93,98.74,98.9,98.57,98.31,98.67,99.1,99.16,99.82,100.76
