Year,January,February,March,April,May,June,July,August,September,October,November,December
1966,73,73,73,68,68,62,76,71,83,81,77,78
1967,75,76,75,67,76,68,71,74,81,80,77,71
1968,72,72,74,75,73,61,72,78,84,81,76,74
1969,76,73,72,72,73,65,72,82,87,82,77,75
1970,75,75,71,66,72,68,67,77,82,81,72,75
1971,71,72,68,67,68,68,70,79,77,85,77,76
1972,74,73,71,70,74,60,74,75,81,84,76,73
1973,73,73,69,72,67,66,62,82,81,77,76,74
1974,72,71,71,67,72,65,70,83,83,82,78,77
1975,77,76,75,74,66,61,74,80,86,82,75,76
1976,75,73,74,73,71,64,76,77,79,82,76,74
1977,76,72,71,74,70,68,73,82,81,81,75,73
1978,72,73,73,74,70,69,75,78,83,84,74,71
1979,70,70,69,69,70,59,67,76,82,86,,80
1980,87,88,86,82,84,69,72,76,82,79,75,75
1981,73,74,71,69,66,68,70,69,82,83,74,69
1982,67,68,66,67,70,62,64,76,83,79,69,67
1983,66,67,67,66,66,60,72,75,80,77,75,71
1984,72,70,68,63,65,73,76,82,78,84,79,73
1985,74,76,72,71,75,59,71,82,81,80,73,72
1986,68,69,63,67,68,63,67,73,79,76,76,75
1987,71,71,69,67,75,64,71,77,72,79,70,69
1988,69,69,65,67,69,61,71,83,75,77,72,68
1989,65,70,70,63,69,70,69,75,81,79,73,73
1990,71,71,74,69,63,59,75,73,80,82,74,71
1991,74,72,69,70,72,76,51,78,78,76,79,75
1992,73,73,72,71,71,67,70,76,81,72,68,68
1993,66,65,62,60,64,58,67,69,82,79,71,65
1994,70,75,67,59,66,59,58,76,77,77,,62
1995,,,64,59,63,61,67,74,85,83,77,71
1996,71,71,70,67,70,74,74,80,84,78,73,69
1997,70,69,66,64,69,67,65,79,86,85,72,69
1998,72,72,68,65,65,68,70,75,86,87,86,83
1999,80,76,74,69,,67,74,79,84,92,81,81
2000,79,81,78,76,71,72,78,81,79,79,80,79
2001,76,74,73,71,70,62,63,81,87,88,87,84
2002,80,79,80,76,80,67,76,78,84,84,87,78
2003,78,77,75,74,75,76,74,77,87,86,89,81
2004,79,80,78,73,74,72,74,78,90,80,78,73
2005,72,74,71,70,70,61,71,79,82,80,80,76
2006,75,76,72,73,71,67,75,88,83,86,83,78
2007,78,77,77,79,75,68,73,82,83,82,75,74
2008,72,72,74,72,69,72,71,76,86,85,85,77
2009,78,76,77,76,75,69,70,77,86,84,72,66
2010,64,66,65,63,66,70,66,76,83,82,78,71
2011,72,70,71,70,68,62,73,80,81,86,75,73
2012,73,72,67,67,68,66,72,79,78,82,77,72
2013,71,70,69,68,70,66,71,72,80,80,75,77
2014,75,74,72,68,64,61,69,79,77,84,73,72
2015,72,73,69,67,68,60,74,81,76,79,74,71
2016,72,71,70,70,67,62,72,76,83,91,82,75
2017,75,75,73,72,75,63,70,80,87,85,79,76
2018,74,79,74,77,76,53,68,68,86,87,80,80
2019,74,74,71,73,74,51,74,75,88,86,,
2020,,70,69,73,73,,67,79,82,85,87,
