WMO Index,Year,January,February,March,April,May,June,July,August,September,October,November,December
24959,1966,72.0,71.0,70.0,60.0,58.0,57.0,60.0,74.0,67.0,75.0,73.0,72.0
24959,1967,70.0,71.0,69.0,60.0,60.0,61.0,55.0,72.0,68.0,80.0,76.0,75.0
24959,1968,74.0,75.0,69.0,60.0,51.0,57.0,58.0,63.0,71.0,74.0,74.0,73.0
24959,1969,72.0,69.0,68.0,61.0,46.0,60.0,64.0,64.0,72.0,81.0,74.0,73.0
24959,1970,74.0,73.0,68.0,66.0,52.0,66.0,55.0,64.0,70.0,77.0,77.0,72.0
24959,1971,71.0,71.0,64.0,61.0,54.0,49.0,63.0,67.0,70.0,72.0,77.0,73.0
24959,1972,71.0,73.0,70.0,62.0,53.0,50.0,63.0,62.0,72.0,76.0,73.0,72.0
24959,1973,74.0,73.0,70.0,64.0,49.0,52.0,53.0,65.0,65.0,74.0,76.0,72.0
24959,1974,73.0,72.0,68.0,65.0,49.0,61.0,67.0,74.0,71.0,75.0,73.0,70.0
24959,1975,72.0,70.0,71.0,59.0,52.0,58.0,63.0,74.0,69.0,76.0,77.0,77.0
24959,1976,76.0,75.0,67.0,59.0,53.0,55.0,61.0,64.0,70.0,80.0,72.0,70.0
24959,1977,70.0,68.0,70.0,60.0,51.0,57.0,62.0,65.0,68.0,73.0,74.0,73.0
24959,1978,70.0,72.0,67.0,58.0,50.0,52.0,51.0,59.0,78.0,78.0,80.0,72.0
24959,1979,68.0,71.0,70.0,59.0,58.0,57.0,65.0,73.0,66.0,80.0,73.0,78.0
24959,1980,76.0,75.0,66.0,56.0,58.0,53.0,57.0,66.0,68.0,77.0,78.0,76.0
24959,1981,76.0,74.0,68.0,57.0,48.0,56.0,56.0,74.0,70.0,77.0,77.0,76.0
24959,1982,75.0,77.0,72.0,65.0,50.0,66.0,72.0,76.0,72.0,80.0,76.0,75.0
24959,1983,,,,,,,,,,,,
24959,1984,73.0,71.0,69.0,58.0,51.0,60.0,57.0,64.0,63.0,77.0,80.0,77.0
24959,1985,76.0,77.0,74.0,59.0,50.0,55.0,59.0,65.0,72.0,79.0,80.0,75.0
24959,1986,74.0,76.0,69.0,64.0,47.0,52.0,50.0,63.0,70.0,76.0,79.0,78.0
24959,1987,75.0,76.0,70.0,59.0,54.0,55.0,57.0,63.0,69.0,80.0,77.0,75.0
24959,1988,76.0,74.0,70.0,57.0,55.0,61.0,62.0,66.0,71.0,77.0,77.0,77.0
24959,1989,74.0,76.0,73.0,63.0,57.0,62.0,59.0,72.0,68.0,77.0,76.0,76.0
24959,1990,74.0,76.0,72.0,57.0,52.0,48.0,63.0,56.0,71.0,77.0,77.0,76.0
24959,1991,79.0,76.0,67.0,60.0,48.0,62.0,62.0,71.0,74.0,79.0,78.0,78.0
24959,1992,77.0,79.0,75.0,64.0,59.0,62.0,65.0,64.0,74.0,73.0,76.0,79.0
24959,1993,81.0,79.0,70.0,58.0,63.0,53.0,60.0,58.0,74.0,80.0,78.0,74.0
24959,1994,73.0,75.0,71.0,59.0,56.0,61.0,68.0,67.0,76.0,76.0,79.0,72.0
24959,1995,75.0,78.0,70.0,66.0,53.0,62.0,66.0,66.0,70.0,75.0,81.0,81.0
24959,1996,79.0,79.0,71.0,62.0,57.0,54.0,55.0,72.0,73.0,75.0,81.0,78.0
24959,1997,80.0,80.0,73.0,59.0,48.0,58.0,68.0,70.0,78.0,80.0,80.0,77.0
24959,1998,76.0,76.0,67.0,61.0,58.0,53.0,56.0,60.0,74.0,79.0,80.0,78.0
24959,1999,78.0,77.0,69.0,65.0,54.0,56.0,66.0,71.0,68.0,86.0,75.0,74.0
24959,2000,73.0,74.0,68.0,62.0,61.0,58.0,66.0,65.0,73.0,75.0,80.0,78.0
24959,2001,79.0,78.0,73.0,58.0,57.0,55.0,58.0,62.0,66.0,78.0,80.0,76.0
24959,2002,75.0,76.0,71.0,55.0,48.0,56.0,59.0,64.0,65.0,76.0,77.0,72.0
24959,2003,74.0,78.0,71.0,60.0,51.0,48.0,64.0,65.0,77.0,76.0,76.0,74.0
24959,2004,73.0,73.0,66.0,59.0,55.0,50.0,59.0,68.0,66.0,76.0,76.0,67.0
24959,2005,70.0,71.0,64.0,61.0,50.0,56.0,66.0,73.0,68.0,78.0,78.0,69.0
24959,2006,67.0,69.0,67.0,61.0,55.0,55.0,64.0,77.0,79.0,78.0,85.0,84.0
24959,2007,84.0,83.0,76.0,64.0,54.0,58.0,67.0,67.0,70.0,83.0,80.0,78.0
24959,2008,77.0,78.0,75.0,63.0,54.0,55.0,63.0,75.0,73.0,79.0,75.0,72.0
24959,2009,74.0,72.0,67.0,59.0,55.0,54.0,58.0,63.0,76.0,82.0,81.0,81.0
24959,2010,80.0,79.0,72.0,60.0,64.0,56.0,61.0,64.0,68.0,80.0,82.0,72.0
24959,2011,74.0,74.0,69.0,60.0,49.0,57.0,61.0,66.0,66.0,79.0,78.0,75.0
24959,2012,75.0,74.0,65.0,62.0,49.0,53.0,52.0,62.0,62.0,74.0,76.0,74.0
24959,2013,73.0,74.0,61.0,54.0,50.0,58.0,62.0,65.0,63.0,67.0,71.0,70.0
24959,2014,67.0,67.0,67.0,52.0,45.0,51.0,57.0,68.0,67.0,71.0,76.0,71.0
24959,2015,74.0,73.0,64.0,54.0,51.0,58.0,57.0,66.0,65.0,78.0,78.0,75.0
24959,2016,74.0,72.0,67.0,52.0,52.0,56.0,64.0,70.0,67.0,72.0,72.0,75.0
24959,2017,82.0,83.0,73.0,55.0,46.0,46.0,57.0,68.0,80.0,75.0,71.0,74.0
24959,2018,75.0,77.0,71.0,54.0,49.0,58.0,65.0,77.0,72.0,85.0,80.0,76.0
24959,2019,76.0,77.0,74.0,55.0,58.0,55.0,59.0,76.0,76.0,84.0,78.0,72.0
24959,2020,78.0,79.0,74.0,57.0,52.0,58.0,66.0,64.0,72.0,79.0,82.0,
