Year,January,February,March,April,May,June,July,August,September,October,November,December
1966,63.0,56.0,56.0,52.0,49.0,52.0,60,60.0,56.0,55.0,61.0,70.0
1967,65.0,60.0,53.0,47.0,47.0,55.0,61,65.0,52.0,55.0,67.0,74.0
1968,70.0,67.0,58.0,47.0,49.0,44.0,54,58.0,58.0,69.0,75.0,76.0
1969,81.0,68.0,55.0,50.0,50.0,51.0,58,62.0,57.0,55.0,59.0,71.0
1970,61.0,60.0,50.0,48.0,44.0,48.0,63,62.0,56.0,55.0,60.0,67.0
1971,62.0,61.0,50.0,48.0,44.0,46.0,57,54.0,52.0,48.0,56.0,71.0
1972,57.0,54.0,48.0,48.0,44.0,48.0,55,50.0,48.0,56.0,56.0,62.0
1973,61.0,60.0,52.0,47.0,44.0,50.0,53,55.0,51.0,51.0,59.0,64.0
1974,56.0,62.0,52.0,49.0,39.0,47.0,47,51.0,52.0,52.0,53.0,66.0
1975,64.0,57.0,53.0,56.0,45.0,53.0,55,56.0,54.0,64.0,64.0,78.0
1976,80.0,68.0,60.0,56.0,,61.0,72,68.0,,,72.0,73.0
1977,85.0,74.0,55.0,50.0,56.0,55.0,68,61.0,,48.0,,66.0
1978,59.0,61.0,50.0,41.0,39.0,42.0,50,45.0,42.0,48.0,57.0,63.0
1979,57.0,53.0,48.0,46.0,41.0,47.0,54,49.0,50.0,52.0,51.0,56.0
1980,59.0,53.0,45.0,43.0,51.0,53.0,58,52.0,54.0,57.0,73.0,76.0
1981,80.0,69.0,57.0,52.0,43.0,52.0,55,63.0,58.0,58.0,71.0,73.0
1982,74.0,70.0,54.0,41.0,44.0,49.0,62,62.0,55.0,57.0,68.0,77.0
1983,79.0,71.0,58.0,46.0,45.0,49.0,57,60.0,60.0,58.0,60.0,72.0
1984,76.0,71.0,58.0,49.0,52.0,59.0,71,67.0,65.0,61.0,73.0,70.0
1985,72.0,65.0,58.0,54.0,50.0,62.0,69,66.0,55.0,62.0,67.0,71.0
1986,71.0,71.0,60.0,53.0,50.0,58.0,60,61.0,55.0,59.0,71.0,73.0
1987,71.0,67.0,58.0,52.0,55.0,53.0,60,62.0,63.0,63.0,69.0,76.0
1988,75.0,66.0,60.0,52.0,57.0,57.0,63,64.0,59.0,66.0,71.0,84.0
1989,82.0,76.0,64.0,59.0,51.0,63.0,69,65.0,61.0,66.0,75.0,88.0
1990,78.0,76.0,70.0,56.0,52.0,64.0,72,74.0,61.0,57.0,70.0,78.0
1991,80.0,70.0,66.0,58.0,57.0,66.0,67,66.0,66.0,69.0,77.0,79.0
1992,88.0,81.0,74.0,67.0,61.0,65.0,75,80.0,80.0,77.0,84.0,88.0
1993,91.0,82.0,80.0,67.0,60.0,63.0,80,72.0,66.0,66.0,72.0,84.0
1994,73.0,66.0,55.0,56.0,63.0,,71,,70.0,,,
1995,82.0,76.0,71.0,70.0,69.0,61.0,59,67.0,62.0,70.0,,72.0
1996,77.0,71.0,68.0,63.0,64.0,64.0,64,63.0,66.0,65.0,73.0,76.0
1997,76.0,72.0,64.0,60.0,59.0,61.0,66,71.0,70.0,,73.0,78.0
1998,77.0,73.0,69.0,,,,68,66.0,70.0,,81.0,79.0
1999,81.0,75.0,73.0,,,61.0,69,72.0,71.0,71.0,73.0,
2000,,73.0,62.0,59.0,60.0,70.0,68,67.0,69.0,73.0,79.0,
2001,,,,,58.0,62.0,69,70.0,69.0,69.0,80.0,82.0
2002,80.0,75.0,69.0,66.0,,,67,64.0,69.0,,,80.0
2003,78.0,73.0,71.0,71.0,70.0,68.0,79,69.0,72.0,72.0,76.0,81.0
2004,80.0,78.0,78.0,76.0,68.0,68.0,68,67.0,75.0,74.0,82.0,86.0
2005,84.0,82.0,69.0,68.0,71.0,64.0,67,73.0,74.0,74.0,80.0,81.0
2006,77.0,72.0,66.0,72.0,67.0,62.0,70,70.0,67.0,71.0,75.0,79.0
2007,78.0,73.0,67.0,64.0,61.0,55.0,58,59.0,62.0,69.0,71.0,76.0
2008,76.0,72.0,66.0,65.0,57.0,57.0,63,64.0,69.0,71.0,75.0,74.0
2009,74.0,75.0,71.0,64.0,54.0,60.0,63,62.0,64.0,70.0,73.0,76.0
2010,79.0,76.0,74.0,67.0,60.0,57.0,61,60.0,62.0,70.0,74.0,75.0
2011,73.0,71.0,69.0,64.0,60.0,59.0,58,51.0,50.0,64.0,67.0,74.0
2012,71.0,66.0,53.0,55.0,44.0,47.0,57,64.0,58.0,65.0,71.0,71.0
2013,72.0,72.0,68.0,64.0,61.0,57.0,55,55.0,61.0,69.0,69.0,70.0
2014,66.0,65.0,56.0,53.0,52.0,52.0,49,53.0,58.0,66.0,67.0,70.0
2015,69.0,63.0,57.0,51.0,48.0,49.0,47,46.0,58.0,56.0,69.0,72.0
2016,73.0,66.0,58.0,56.0,49.0,52.0,58,66.0,63.0,61.0,67.0,71.0
2017,68.0,60.0,57.0,53.0,40.0,45.0,50,57.0,55.0,56.0,61.0,68.0
2018,65.0,59.0,58.0,49.0,46.0,44.0,60,56.0,55.0,56.0,60.0,64.0
2019,69.0,67.0,48.0,46.0,42.0,50.0,63,60.0,55.0,58.0,68.0,73.0
2020,73.0,67.0,55.0,43.0,43.0,54.0,63,66.0,58.0,56.0,66.0,65.0
