WMO Index,Year,January,February,March,April,May,June,July,August,September,October,November,December
36307,1961,99.0,178.0,271.0,270.0,292.0,271.0,,304.0,282.0,187.0,83.0,111.0
36307,1962,124.0,156.0,247.0,275.0,360.0,294.0,291.0,327.0,167.0,227.0,,
36307,1963,130.0,138.0,,264.0,333.0,286.0,288.0,296.0,266.0,202.0,100.0,121.0
36307,1964,169.0,246.0,235.0,259.0,312.0,373.0,325.0,278.0,255.0,203.0,168.0,65.0
36307,1965,151.0,213.0,263.0,303.0,340.0,296.0,314.0,304.0,266.0,188.0,130.0,101.0
36307,1966,111.0,139.0,183.0,255.0,274.0,299.0,298.0,298.0,291.0,226.0,95.0,121.0
36307,1967,172.0,154.0,265.0,288.0,316.0,241.0,260.0,269.0,252.0,203.0,130.0,116.0
36307,1968,148.0,192.0,204.0,262.0,300.0,334.0,283.0,279.0,221.0,229.0,90.0,87.0
36307,1969,154.0,157.0,239.0,238.0,290.0,317.0,316.0,276.0,237.0,201.0,159.0,133.0
36307,1970,165.0,160.0,273.0,248.0,325.0,325.0,255.0,231.0,248.0,185.0,131.0,112.0
36307,1971,123.0,172.0,216.0,278.0,308.0,306.0,246.0,312.0,244.0,254.0,134.0,112.0
36307,1972,77.0,173.0,222.0,212.0,307.0,316.0,246.0,312.0,244.0,254.0,134.0,112.0
36307,1973,142.0,149.0,245.0,285.0,317.0,286.0,293.0,333.0,258.0,208.0,117.0,159.0
36307,1974,160.0,146.0,198.0,227.0,337.0,285.0,305.0,316.0,228.0,188.0,120.0,154.0
36307,1975,169.0,123.0,230.0,186.0,304.0,341.0,331.0,300.0,235.0,204.0,143.0,149.0
36307,1976,162.0,172.0,229.0,246.0,259.0,331.0,295.0,284.0,230.0,158.0,154.0,100.0
36307,1977,149.0,144.0,237.0,276.0,280.0,350.0,285.0,311.0,240.0,211.0,105.0,76.0
36307,1978,150.0,193.0,249.0,238.0,315.0,345.0,304.0,214.0,276.0,208.0,144.0,112.0
36307,1979,104.0,164.0,197.0,236.0,283.0,302.0,299.0,288.0,257.0,204.0,112.0,71.0
36307,1980,115.0,192.0,235.0,283.0,278.0,292.0,349.0,319.0,264.0,203.0,95.0,111.0
36307,1981,155.0,147.0,190.0,272.0,319.0,359.0,345.0,245.0,241.0,184.0,115.0,122.0
36307,1982,122.0,156.0,178.0,245.0,308.0,295.0,,,240.0,180.0,127.0,123.0
36307,1983,136.0,168.0,225.0,205.0,257.0,287.0,283.0,280.0,218.0,199.0,161.0,102.0
36307,1984,140.0,173.0,201.0,270.0,165.0,201.0,204.0,282.0,228.0,166.0,100.0,94.0
36307,1985,122.0,133.0,204.0,195.0,266.0,290.0,263.0,311.0,239.0,193.0,151.0,127.0
36307,1986,159.0,215.0,240.0,275.0,282.0,268.0,285.0,302.0,260.0,209.0,148.0,122.0
36307,1987,147.0,163.0,236.0,244.0,296.0,297.0,281.0,284.0,221.0,169.0,135.0,109.0
36307,1988,156.0,173.0,275.0,284.0,303.0,318.0,317.0,325.0,268.0,206.0,159.0,87.0
36307,1989,122.0,183.0,185.0,216.0,302.0,310.0,269.0,280.0,231.0,206.0,137.0,
36307,1990,107.0,142.0,185.0,300.0,344.0,283.0,283.0,251.0,265.0,203.0,130.0,95.0
36307,1991,124.0,142.0,235.0,300.0,310.0,237.0,335.0,242.0,258.0,188.0,63.0,66.0
36307,1992,120.0,158.0,198.0,192.0,243.0,327.0,257.0,227.0,175.0,222.0,76.0,65.0
36307,1993,88.0,121.0,149.0,220.0,279.0,242.0,198.0,284.0,230.0,203.0,144.0,99.0
36307,1994,92.0,112.0,209.0,,285.0,,,,,,,
36307,1996,,,,,,290.0,306.0,280.0,189.0,196.0,65.0,65.0
36307,1997,100.0,145.0,152.0,253.0,280.0,285.0,266.0,258.0,242.0,,124.0,109.0
36307,1998,139.0,141.0,267.0,206.0,291.0,275.0,271.0,,,,,
