Year,January,February,March,April,May,June,July,August,September,October,November,December
1853,-26.0,-18.7,-14.2,-0.6,8.8,21.1,22.3,17.5,9.4,-3.8,-18.3,-22.2
1854,-29.4,-21.2,-5.1,,,,,,,,,
1855,,,,,,,,,,,,
1856,,,,,,,,,,,,
1857,,,,,,,,,,,,
1858,,,,,,,,,,,,
1859,,,,,,,,,,,,
1860,,-26.1,-17.9,-1.2,,,,,,,,
1861,,,,,,,,,,,,
1862,,,,,,,,,,,,
1863,,,,,,,,,,,,
1864,,,,,,,,,,,,
1865,,,,,,,,,,,,
1866,,,,,,,,,,,,
1867,,,,,,,,,,,,
1868,,,,,,,,,,,,
1869,,,,,,,,,,,,
1870,,,,,,,,,,,,
1871,,,,,3.7,14.4,17.5,15.9,8.1,-2.5,-15.7,-20.1
1872,-36.9,-22.4,-14.0,-7.3,5.1,11.4,18.1,16.2,7.8,-3.2,-14.5,-31.4
1873,-26.3,-16.5,-11.0,-5.6,4.1,12.6,18.2,15.3,8.1,0.9,-12.1,-16.9
1874,-15.7,-15.4,-8.3,1.2,10.2,17.6,18.1,16.0,9.3,-2.3,-8.8,-25.5
1875,-21.4,-18.6,-10.1,0.8,6.4,17.1,19.0,12.9,7.5,-0.7,-19.6,-22.2
1876,-21.7,-20.8,-8.5,-3.0,6.0,12.6,18.5,13.7,5.9,0.8,-13.6,-25.8
1877,-25.0,-21.0,-8.5,-3.5,6.9,19.7,17.1,16.3,9.6,1.1,-7.5,-28.2
1878,-27.8,-16.3,-6.3,-2.6,6.9,11.8,19.4,16.1,8.2,-2.5,-16.4,-26.2
1879,-25.5,-22.1,-9.2,-6.3,3.9,15.5,20.9,12.4,7.6,0.9,-12.4,-17.8
1880,-27.8,-19.7,-7.1,-1.4,8.2,15.9,17.2,16.0,3.4,-4.4,-4.6,-19.2
1881,-18.5,-23.2,-10.3,-1.2,3.1,12.7,16.5,,5.8,-1.8,-15.2,-23.4
1882,-16.5,-12.7,-5.5,-1.7,6.9,,16.9,14.5,6.5,-6.3,-16.2,-31.8
1883,-21.2,-23.7,-6.7,-2.4,1.8,10.1,17.1,12.1,5.8,-0.5,-17.0,-16.1
1884,-18.2,-18.5,-14.9,-6.2,9.1,11.9,17.9,14.0,6.8,0.7,-11.0,-16.8
1885,-23.1,-18.6,-11.8,-1.5,3.7,16.7,16.1,11.1,7.5,-3.6,-13.9,-12.6
1886,-17.6,-21.9,-12.2,-1.5,5.4,12.2,19.6,14.2,11.0,-2.7,-13.2,-11.1
1887,-25.2,-15.9,-7.7,-0.7,6.4,13.8,18.7,12.7,6.6,-1.2,-12.1,-22.6
1888,-21.4,-23.1,-11.7,-6.2,6.0,17.4,19.1,16.0,7.7,-2.2,-10.5,-22.2
1889,-28.6,-14.3,-11.2,-1.4,4.6,14.0,17.8,13.4,8.2,-7.2,-13.5,-21.3
1890,-24.1,-22.0,-12.6,-2.4,3.4,12.4,15.9,13.2,6.3,2.2,-22.8,-24.3
1891,-22.7,-17.6,-9.7,-4.6,5.7,13.3,17.0,15.5,7.4,-2.8,-13.7,-19.6
1892,-24.2,-26.3,-15.1,-3.3,8.0,17.3,18.7,15.4,8.2,0.9,-18.7,-18.9
1893,-33.5,-20.1,-4.7,3.0,7.3,13.5,17.7,13.1,7.4,0.3,-5.7,-21.4
1894,-17.8,-11.5,-8.1,-4.5,5.3,11.6,18.1,15.1,8.9,1.0,-15.6,-20.0
1895,-31.3,-27.1,-10.2,-4.5,6.8,12.3,20.3,15.7,10.3,-0.6,-8.2,-20.9
1896,-20.7,-19.4,-8.7,-1.3,8.1,17.6,16.4,15.0,8.1,0.3,-10.7,-19.5
1897,-26.7,-19.4,-17.0,-1.6,5.7,15.4,18.8,14.2,6.7,-0.5,-8.6,-21.7
1898,-14.8,-23.0,-19.4,-1.2,3.3,16.1,18.7,16.1,8.0,0.0,-8.1,-12.3
1899,-16.2,-19.7,-9.1,0.3,6.9,14.1,15.7,15.4,8.5,1.9,-4.6,-22.4
1900,-29.4,-16.9,-7.2,-1.1,9.8,17.4,19.1,16.7,10.3,-0.7,-14.3,-15.5
