Year,January,February,March,April,May,June,July,August,September,October,November,December
1929,,,,,,,,,,,-11.9,-22.0
1930,-20.0,-28.8,-13.4,-2.9,10.2,14.8,16.1,12.9,6.4,-2.7,-18.7,-17.1
1931,-17.5,-14.2,-12.6,-2.6,5.6,14.4,15.4,12.4,7.1,-4.4,-12.1,-20.9
1932,-28.8,-27.1,-9.5,1.2,8.7,13.5,15.7,11.7,5.7,-1.1,-21.7,-24.4
1933,-30.2,-20.8,-12.5,0.8,8.7,12.8,15.3,12.8,6.2,-5.9,-12.9,-32.1
1934,-34.4,-14.6,-12.0,1.3,8.2,15.1,14.4,13.8,8.5,0.3,-16.4,-16.2
1935,-24.7,-13.0,-14.6,-1.8,6.5,14.2,16.9,10.9,6.2,-3.7,-16.2,-26.9
1936,-21.7,-25.1,-14.5,-1.8,10.0,17.7,16.6,15.0,6.5,-0.3,-11.1,-24.2
1937,-10.8,-23.1,-13.8,-3.9,7.1,17.3,16.5,11.8,9.5,0.0,-11.3,-21.1
1938,-27.2,-23.4,-11.5,2.0,9.4,14.8,15.8,13.3,10.3,4.0,-11.8,-18.8
1939,-23.0,-18.7,-14.6,0.7,9.1,15.8,16.5,12.7,6.3,-5.7,-20.0,-17.1
1940,-18.0,-17.2,-10.1,7.2,10.3,16.3,17.4,15.0,8.3,-0.8,-13.5,-19.3
1941,-24.7,-11.6,-8.8,3.8,9.5,17.1,15.5,15.4,7.4,-4.3,-18.0,-21.9
1942,-16.6,-10.7,-12.6,2.3,11.8,17.0,16.7,14.6,10.1,-1.6,-20.6,-30.8
1943,-29.4,-14.4,-11.5,-0.1,9.1,15.9,15.9,12.2,7.2,-0.7,-10.4,-17.8
1944,-20.3,-11.9,-13.3,-3.3,10.0,15.5,16.9,12.2,6.3,-0.9,-14.6,-18.3
1945,-17.1,-14.0,-11.3,-3.5,6.4,12.9,15.8,12.7,6.9,-2.6,-21.3,-20.4
1946,-19.7,-16.7,-16.3,-2.1,9.8,17.1,17.2,12.0,6.6,0.1,-20.8,-29.6
1947,-29.5,-16.9,-9.0,-0.1,10.1,13.9,17.4,11.2,5.8,-3.6,-10.3,-17.3
1948,-19.5,-20.8,-14.1,-4.2,8.4,15.6,15.2,10.9,5.4,-3.1,-18.2,-25.8
1949,-22.0,-22.1,-5.9,-3.8,7.3,11.7,16.2,13.8,9.7,-1.6,-10.8,-22.9
1950,-17.6,-29.6,-7.4,-1.1,9.3,15.6,17.4,15.0,9.0,-2.7,-20.5,-20.1
1951,-30.0,-21.3,-17.4,2.0,10.3,14.6,16.4,15.1,9.0,-4.8,-10.7,-21.3
1952,-27.9,-18.5,-12.1,-1.6,6.0,15.4,16.3,12.9,6.6,-0.2,-8.6,-18.9
1953,-29.6,-15.7,-12.9,3.6,11.5,17.3,17.4,14.1,8.0,-3.8,-15.9,-19.4
1954,-25.2,-26.5,-10.6,-2.4,11.0,15.5,15.3,14.3,6.7,0.2,-10.1,-29.1
1955,-18.8,-23.9,-11.5,-5.1,8.5,13.8,17.0,12.4,7.1,-3.9,-22.5,-22.1
1956,-28.3,-23.0,-13.8,0.2,9.9,15.0,16.8,13.9,6.2,-7.6,-19.8,-32.8
1957,-16.3,-18.5,-7.1,1.0,9.8,18.5,16.7,15.8,7.2,-0.9,-8.8,-25.7
1958,-18.6,-16.3,-8.2,2.1,9.7,17.7,17.6,14.3,6.7,-9.0,-16.3,-21.1
1959,-28.2,-13.8,-20.8,-2.7,9.2,17.1,13.8,13.2,7.2,-3.8,-13.4,-22.3
1960,-19.2,-15.5,-14.8,-2.3,12.5,14.0,17.4,13.5,5.9,-2.5,-17.6,-14.1
1961,-18.2,-19.5,-16.7,-3.1,10.3,15.6,15.8,13.6,7.4,-5.3,-19.4,-30.4
1962,-21.4,-13.1,-12.6,-0.4,7.9,15.5,18.2,15.1,6.0,0.0,-14.6,-20.7
1963,-16.1,-17.2,-12.8,-3.5,10.4,12.6,16.3,13.3,9.5,-2.4,-22.9,-14.9
1964,-25.8,-16.7,-18.3,-2.7,4.4,16.3,16.1,14.3,7.9,-1.4,-15.7,-31.8
1965,-27.1,-27.1,-3.5,0.1,6.8,13.6,16.4,12.2,9.7,-9.4,-14.9,-24.9
1966,-32.3,-21.3,-18.5,-2.0,7.4,17.4,16.9,13.9,10.1,-4.3,-17.4,-28.9
1967,-26.3,-21.6,-12.3,-0.2,7.6,16.6,15.4,14.6,8.1,-4.0,-12.5,-18.7
1968,-23.9,-20.6,-10.7,-1.6,8.7,15.3,18.8,14.7,6.0,-5.5,-16.5,-27.6
1969,-32.6,-21.8,-12.2,2.4,9.7,18.3,15.2,9.9,9.5,1.1,-17.1,-15.6
1970,-26.8,-13.3,-6.2,0.0,11.0,14.4,16.9,13.8,4.9,-7.3,-11.8,-23.2
1971,-35.4,-20.3,-18.0,-2.9,8.5,17.4,16.1,13.4,7.1,-2.3,-17.5,-21.0
1972,-26.8,-23.4,-19.3,-6.2,8.6,15.2,18.1,14.9,4.5,-2.9,-13.9,-19.2
1973,-27.9,-18.6,-11.2,1.8,10.3,15.7,16.7,12.8,8.5,-3.8,-18.2,-19.7
1974,-27.1,-27.7,-13.6,1.6,10.8,14.8,17.5,15.1,10.8,-5.9,-17.4,-24.1
1975,-26.4,-19.7,-10.8,-0.8,11.9,17.4,,13.4,7.7,-4.5,-22.2,-26.7
1976,-24.2,-25.4,-11.1,2.2,8.8,15.3,16.6,15.1,7.4,-4.5,-8.9,-19.9
1977,-12.3,-13.0,-15.2,-2.3,9.3,15.3,17.1,17.0,7.6,-3.6,-22.0,-26.1
1978,-17.7,-15.6,-10.0,1.6,10.1,12.6,17.5,15.3,8.2,-4.8,-13.0,-15.9
1979,-22.1,-31.8,-11.1,-0.6,9.9,14.1,16.3,15.8,8.1,0.2,-6.6,-23.4
1980,-23.1,-8.9,-8.2,2.2,10.4,13.6,16.1,12.0,6.1,0.6,-11.4,-31.1
1981,-7.7,-14.9,-2.7,-0.3,10.7,14.9,13.6,12.0,6.7,-1.4,-10.9,-20.1
1982,-27.8,-19.9,-10.5,-2.4,8.2,14.7,17.3,13.7,9.6,-7.5,-15.3,-16.6
1983,-23.9,-15.9,-10.1,3.0,10.2,16.8,17.9,11.9,5.1,-4.7,-13.0,-19.8
1984,-21.1,-25.2,-5.8,-0.9,8.4,16.4,16.1,12.1,8.2,-3.4,-17.7,-19.5
1985,-11.6,-23.0,-9.7,-6.2,8.2,14.3,17.3,13.5,6.1,-7.3,-20.4,-13.5
1986,-18.9,-15.2,-14.4,-4.4,8.8,17.0,17.6,12.6,7.9,-2.7,-17.7,-13.7
1987,-17.4,-16.9,-10.3,1.7,10.5,16.6,17.9,14.3,6.7,0.6,-14.4,-19.6
1988,-20.7,-15.6,-7.9,0.9,11.6,17.2,18.8,14.7,6.9,-8.1,-19.5,-15.4
1989,-29.6,-15.9,-14.1,2.3,8.8,15.6,18.1,16.0,9.2,-3.2,-21.7,-15.3
1990,-24.9,-29.8,-7.5,3.4,12.8,16.4,18.5,15.6,7.1,-4.4,-20.5,-21.3
1991,-20.4,-18.4,-11.2,1.9,10.7,17.7,15.9,12.4,8.9,-3.9,-17.4,-19.4
1992,-20.4,-22.6,-10.0,-3.3,5.4,15.6,17.8,13.6,-0.2,-8.1,-12.0,-22.0
1993,-19.9,-16.4,-8.2,5.1,12.1,16.7,18.7,13.4,6.7,-1.5,-13.1,-17.4
1994,-18.6,-21.3,-11.9,1.5,10.9,14.7,18.2,15.3,6.5,-6.1,-17.6,-22.5
1995,-23.0,-17.9,-15.7,4.5,11.9,16.1,17.3,14.1,11.6,-2.2,-19.3,-22.8
1996,-27.2,-19.3,-9.2,0.7,9.5,15.3,17.4,11.9,5.6,-10.4,-18.9,-25.3
1997,-26.8,-10.6,-15.2,1.9,9.4,17.3,18.3,14.8,9.8,-8.1,-11.9,-21.7
1998,-25.3,-16.6,-7.6,3.7,10.0,14.9,17.1,11.7,7.8,-3.3,-15.0,-21.1
1999,-27.3,-27.1,-13.8,0.4,8.3,16.3,16.4,14.4,7.3,-6.9,-20.4,-24.9
2000,-23.3,-14.1,-8.0,-0.1,6.9,16.4,15.3,10.9,5.4,-5.4,-12.9,-17.6
