Year,January,February,March,April,May,June,July,August,September,October,November,December
1960,-17.1,-17.4,-4.5,0.7,8.0,11.3,,12.4,,-4.8,-9.3,-11.5
1961,-10.7,-11.0,-6.4,-4.5,3.3,13.2,14.8,11.8,6.8,5.2,-3.6,-15.0
1962,-15.8,-11.1,-14.2,-0.5,3.2,9.1,10.8,9.1,5.8,0.3,-2.3,-15.3
1963,-14.6,-15.7,-12.9,-1.2,10.9,8.4,12.3,11.7,8.7,1.6,-7.2,-11.4
1964,-6.4,-14.7,-6.6,-3.0,4.8,10.0,14.2,10.5,5.2,2.9,-7.7,-10.4
1965,-13.4,-11.1,-10.5,-1.5,1.1,10.0,10.8,10.0,6.6,-0.6,-10.0,-15.0
1966,-19.0,-23.0,-16.0,-4.4,3.3,12.0,14.5,10.1,3.5,-3.2,-3.5,-10.5
1967,-18.2,-8.8,-3.7,-0.8,4.6,10.5,13.6,13.1,8.1,-0.4,-0.7,-17.4
1968,-17.8,-14.1,-8.2,-3.1,1.4,10.5,10.0,10.4,3.6,-6.6,-5.4,-5.4
1969,-13.5,-16.2,-10.3,-3.2,2.6,9.6,13.4,12.0,5.4,0.9,-6.8,-9.7
1970,-13.5,-20.5,-6.2,-5.3,4.3,14.2,15.7,13.0,6.2,0.8,-9.4,-10.0
1971,-13.4,-17.5,-12.0,-4.0,3.5,9.9,12.8,11.7,5.0,-1.3,-12.3,-9.4
1972,-8.6,-11.4,-5.5,-2.4,3.4,14.3,17.5,13.4,5.9,0.0,-10.2,-3.2
1973,-7.8,-12.1,-6.2,-1.5,4.5,12.7,17.8,10.7,3.2,-4.4,-10.7,-17.0
1974,-10.1,-8.0,-3.7,-0.9,3.5,12.3,15.4,12.0,9.0,-0.6,-6.5,-5.0
1975,-12.6,-9.3,-2.9,-1.8,5.5,8.6,11.6,9.6,7.3,-0.4,-4.7,-12.0
1976,-19.0,-10.7,-8.9,-1.5,6.7,8.6,13.2,11.5,3.7,-2.7,-9.5,-12.3
1977,-14.3,-13.0,-9.2,-3.8,3.0,9.0,13.3,10.8,4.6,-2.3,-4.9,-10.5
1978,-15.7,-14.1,-8.3,-3.6,4.9,10.8,12.2,9.8,5.3,-1.5,-7.7,-17.8
1979,-18.0,-14.3,-7.2,-3.4,4.6,11.8,15.0,12.2,6.7,-3.1,-6.3,-9.5
1980,-15.5,-15.8,-10.4,-0.1,3.5,13.9,13.4,11.2,6.4,-1.9,-12.2,-14.2
1981,-14.3,-13.9,-14.6,-3.1,4.4,7.3,14.1,10.1,5.8,0.9,-6.6,-19.6
1982,-16.9,-8.5,-6.8,-1.3,3.9,6.5,14.7,10.5,5.5,-0.6,-4.8,-8.5
1983,-10.0,-11.0,-6.4,0.5,5.5,10.7,14.1,10.2,8.0,0.0,-14.3,-16.9
1984,-14.2,-6.0,-8.9,-0.8,8.5,11.4,11.8,10.4,4.8,-2.0,-10.4,-6.2
1985,-20.4,-23.0,-6.8,-4.0,2.2,10.3,14.9,12.2,6.4,0.6,-6.8,-18.9
1986,-17.7,-13.0,-4.5,-3.2,4.8,13.9,13.4,9.3,3.3,1.5,-3.3,-18.7
1987,-19.7,-15.6,-10.8,-3.3,3.8,9.3,11.8,8.5,6.1,5.6,-8.6,-16.1
1988,-12.6,-13.1,-7.8,-4.4,4.5,12.0,15.8,11.2,7.2,-0.1,-11.1,-15.5
1989,-8.9,-9.0,-2.7,2.2,6.7,13.0,13.4,12.1,6.4,-0.6,-4.5,-12.4
1990,-15.7,-3.2,-6.3,0.5,4.1,10.6,13.5,12.1,5.3,0.6,-8.5,-5.5
1991,-10.7,-13.3,-9.0,-0.7,3.5,10.7,13.4,12.2,4.5,0.3,-4.7,-8.0
1992,-7.9,-6.3,-3.3,-4.1,6.8,12.8,11.3,9.2,8.4,-7.5,-10.6,-4.9
1993,-9.4,-9.7,-7.8,-2.7,4.2,6.7,14.0,11.1,2.7,-3.4,-4.6,-10.2
1994,-16.5,-11.6,-7.1,1.0,3.1,10.0,14.1,12.3,5.3,-1.2,-7.9,-5.9
1995,-10.3,-8.2,-3.6,-2.2,3.2,11.8,11.9,10.9,5.7,-1.1,-12.1,-16.3
1996,-8.3,-13.4,-6.4,-3.7,1.4,8.7,12.3,13.6,5.5,1.7,-6.5,-14.0
1997,-13.8,-12.5,-6.6,-5.8,2.9,10.8,15.3,13.8,8.0,-0.7,-7.9,-9.6
1998,-13.2,-22.1,-10.9,-4.5,3.2,8.1,14.8,10.2,5.4,-0.2,-11.2,-11.4
1999,-19.4,-14.4,-7.5,-0.9,2.0,13.4,14.1,9.5,8.4,2.1,-3.3,-14.4
2000,-11.7,-10.4,-6.2,-1.5,4.9,10.2,14.9,11.9,7.3,4.7,-1.6,-11.2
2001,-6.3,-15.0,-13.2,-2.6,3.7,12.6,14.1,11.1,8.3,-0.4,-7.5,-11.6
2002,-12.7,-10.2,-7.8,1.8,6.2,12.0,15.0,12.2,5.1,-2.1,-11.0,-15.2
2003,-18.9,-5.8,-4.1,-1.2,5.9,9.5,17.3,11.4,6.2,0.3,-3.7,-10.9
2004,-10.8,-12.6,-5.3,-0.3,4.9,9.8,17.1,12.2,7.0,0.3,-7.7,-6.2
2005,-8.0,-8.7,-9.2,-0.3,3.5,12.2,15.5,12.8,6.7,2.2,-1.7,-10.5
2006,-10.1,-12.9,-10.6,1.1,6.0,12.7,13.7,13.9,6.3,-1.5,-5.6,-5.0
2007,-13.0,-17.4,-2.1,-0.3,4.6,10.9,13.0,,5.9,4.1,-5.7,-3.2
2008,-7.8,-9.3,-8.7,-2.4,3.6,9.7,12.5,9.7,5.6,0.7,-6.6,-4.6
2009,-10.4,-13.6,-6.4,-1.8,6.6,,12.9,,8.3,-1.8,-2.4,-11.6
2010,-13.5,-17.2,-9.8,0.8,,9.8,15.0,,,1.8,-11.1,
2011,-12.3,-18.0,-5.6,2.3,5.9,12.5,14.9,11.4,9.0,3.0,-1.8,-3.8
2012,-11.0,-14.0,-4.8,-1.9,5.6,9.4,12.7,11.4,6.7,0.5,-3.8,-14.0
2013,-9.9,-9.0,-12.8,-1.2,9.0,14.7,14.6,13.9,9.4,0.3,-5.4,-7.3
2015,-14.8,-6.8,-2.2,0.9,5.9,9.8,10.8,13.3,9.4,0.7,-2.5,-8.0
2016,-17.0,-7.0,-3.8,0.9,8.8,11.0,15.8,11.3,8.4,1.9,-5.2,-7.3
2017,-9.1,-10.1,-5.7,-2.6,2.3,8.7,14.6,11.3,7.0,0.9,-5.9,-11.0
2018,-12.9,-13.1,-11.0,-0.4,8.9,10.1,19.4,12.9,7.9,0.1,-0.6,-7.8
2019,-13.8,-12.2,-7.4,1.8,4.4,10.4,12.6,11.5,7.4,-2.6,-8.8,-5.8
2020,-10.6,-8.3,-5.0,-1.8,4.5,13.0,14.8,12.3,8.1,2.6,-0.8,-6.7
2021,-13.0,-13.0,-5.2,0.6,3.5,14.5,15.3,11.7,6.2,0.5,-7.5,-11.6
