WMO Index,Year,January,February,March,April,May,June,July,August,September,October,November,December
22217,1912,,,,,,,,,5.5,-2.5,-4.9,-9.3
22217,1913,-12.5,-12.5,-7.6,-0.1,2.7,8.4,14.6,12.6,7.1,-1.9,-5.2,-10.4
22217,1914,-13.7,-11.2,-9.8,-1.9,3.3,11.7,13.8,10.1,6.4,0.8,-4.9,-6.7
22217,1915,-13.6,-13.8,-13.1,-1.6,2.8,7.2,15.7,11.0,5.0,0.1,-7.9,-18.6
22217,1916,-10.9,-9.6,-9.7,-2.8,0.7,9.4,16.1,9.4,4.7,-2.2,-1.3,-7.9
22217,1917,-15.1,-17.1,-12.4,-3.7,1.1,11.5,12.2,13.6,6.8,3.4,-5.4,-10.3
22217,1918,-19.4,-12.3,-5.8,1.2,1.7,9.6,13.1,9.3,7.1,,-1.5,-7.2
22217,1919,-11.1,-16.5,-10.6,-3.1,4.2,12.5,16.4,12.4,8.0,,-7.5,-12.8
22217,1920,-14.3,-8.7,-2.0,1.0,6.8,11.0,15.5,13.2,9.9,-0.4,-2.2,-6.5
22217,1921,-14.6,-11.5,-5.2,2.9,7.5,12.0,12.3,12.7,7.4,-1.0,-7.1,-9.4
22217,1922,-11.0,-12.8,-8.2,-2.0,5.1,12.4,15.5,11.9,9.2,0.8,-5.7,-11.0
22217,1923,-6.5,-15.1,-6.0,-2.8,2.0,8.4,14.0,9.2,,2.9,-3.6,-6.7
22217,1924,-12.8,-12.3,-8.7,-3.5,3.9,7.1,14.7,14.9,8.7,4.2,-3.6,-4.9
22217,1925,-4.9,-8.3,-11.3,-0.2,3.6,8.6,17.2,12.9,7.5,-0.8,-9.7,-11.2
22217,1926,-13.2,-13.3,-5.2,-2.6,2.4,9.8,12.9,11.7,6.8,-1.0,-3.2,-10.9
22217,1927,-14.9,-8.0,-7.5,-2.2,2.7,10.5,16.8,13.4,6.1,-2.5,-8.9,-10.0
22217,1928,-8.4,-8.7,-4.5,-1.2,3.3,8.6,12.9,11.7,6.3,-1.6,-7.6,-8.4
22217,1929,-13.1,-14.7,-9.3,-6.4,3.8,9.2,11.5,12.0,7.8,2.9,-1.1,-3.2
22217,1930,-5.0,-12.1,-9.2,-1.8,4.3,10.4,14.3,14.0,4.8,1.7,-2.9,-9.6
22217,1931,-13.3,-10.3,-8.2,-1.2,4.8,7.3,15.8,13.3,4.9,1.2,-2.0,-5.7
22217,1932,-6.5,-10.8,-8.5,-0.2,2.9,8.1,14.8,13.6,7.4,0.8,-2.6,-3.3
