Year,January,February,March,April,May,June,July,August,September,October,November,December
1885,,,,,,,20.6,17.1,9.9,1.5,-11.3,-11.9
1886,-15.0,-23.7,-8.7,2.9,10.6,16.9,21.0,17.7,12.3,-1.1,-13.5,-11.2
1887,-24.7,-15.0,-6.5,4.4,10.0,,22.3,15.5,8.9,3.2,-3.8,
1888,,,,,13.4,20.0,22.4,19.6,10.8,1.7,-8.3,-14.0
1889,-26.6,-19.0,-7.7,3.5,8.2,17.3,18.8,16.2,9.2,-1.9,-13.1,-18.1
1890,-18.7,-14.4,-10.6,0.8,8.6,15.9,19.5,16.9,8.7,3.8,-11.1,-13.2
1891,-22.6,-15.4,-7.6,0.9,10.5,15.9,20.3,17.9,9.8,1.1,-10.2,-13.9
1892,-21.6,-23.0,-16.7,1.8,13.2,20.1,21.2,17.7,10.1,1.5,-14.3,-19.2
1893,-30.0,-19.3,-4.6,8.2,10.3,19.3,20.6,18.1,10.2,3.1,-3.8,
1894,,-8.2,-3.8,0.5,9.8,16.8,20.1,16.1,10.0,0.9,-8.6,-18.7
1895,-23.7,-19.8,-14.5,2.2,11.1,15.6,22.0,16.7,11.4,0.0,-7.8,-21.0
1896,-22.4,-18.6,-16.1,2.1,11.3,21.2,20.8,17.3,10.4,3.3,-3.7,-18.4
1897,-19.6,-20.7,-18.3,2.5,7.8,18.0,19.7,16.5,8.3,2.5,-9.7,-16.5
1898,-12.4,-21.9,-20.8,0.6,7.2,18.9,19.9,17.0,9.2,2.2,-4.5,-9.8
1899,-14.6,-18.6,-8.5,2.1,12.7,17.3,17.6,16.1,9.3,2.0,-7.5,-21.7
1900,-28.4,-16.2,-9.5,2.4,12.4,,,18.4,12.7,2.9,-11.3,-19.7
1901,-19.2,-17.4,-5.8,3.0,12.1,20.2,21.2,20.7,11.4,-2.1,-4.8,-24.4
1902,-14.3,-12.2,-5.2,1.5,9.4,16.8,18.5,16.9,11.2,2.5,-8.5,-19.0
1903,-19.9,-13.5,-7.4,0.7,9.4,15.0,19.3,15.1,9.2,-2.6,-10.4,-14.1
1904,-15.7,-11.3,-12.3,-2.2,12.9,18.6,19.4,16.9,9.1,1.5,-3.5,-12.4
1905,-12.5,-22.3,-13.1,-0.9,10.5,16.3,21.7,17.9,9.5,1.8,-6.9,-14.6
1906,-20.6,-24.1,-4.2,6.1,7.9,17.0,17.2,18.7,9.9,0.1,-12.1,-14.5
1907,-19.7,-21.7,-9.7,4.3,12.8,16.5,16.2,17.3,11.0,1.9,-12.7,
1908,,,,,,17.6,19.2,18.4,10.4,0.7,-8.8,-12.6
1909,-18.5,-19.9,-14.3,4.5,10.0,17.6,21.6,19.0,8.2,-2.4,-7.4,-18.7
1910,-23.1,-21.8,-12.1,2.0,12.3,17.7,21.3,19.0,9.2,1.8,-14.6,-14.7
1911,-18.3,-17.2,-10.4,4.6,10.2,17.3,20.5,16.4,9.9,3.3,-3.7,-18.3
1912,-18.1,-14.4,-11.0,4.1,11.9,16.0,19.8,12.0,6.9,-5.1,-14.0,-23.1
1913,-17.9,-17.3,-8.0,-0.2,11.1,18.7,18.5,15.5,8.4,3.0,-4.6,-16.1
1914,-10.4,-12.0,-11.6,4.9,10.1,17.9,18.5,17.4,10.9,-0.9,-8.9,-15.0
1915,,,,,14.1,19.4,22.4,17.4,8.8,-2.6,-9.3,-14.4
1916,-22.1,-20.0,-18.3,,10.2,16.6,20.5,17.0,10.4,1.7,-7.5,-23.7
1917,-23.5,-21.3,-9.9,3.1,12.3,17.6,19.6,14.8,10.2,2.0,-6.6,-23.4
1918,-19.2,-17.0,-7.6,1.9,10.5,17.3,19.4,18.2,10.8,1.5,-8.5,-25.1
