WMO Index,Year,January,February,March,April,May,June,July,August,September,October,November,December
22217,1913,2.1,2.0,2.9,4.5,4.9,6.7,10.4,11.2,8.1,4.7,4.0,2.7
22217,1914,2.0,2.5,2.5,4.0,5.5,9.2,11.3,9.6,8.1,5.6,4.0,3.7
22217,1915,2.0,2.1,2.0,4.4,5.2,7.1,13.2,10.5,7.2,5.1,3.3,1.2
22217,1916,2.5,2.8,2.7,4.0,4.4,7.9,11.9,9.7,6.9,4.5,5.2,3.1
22217,1917,2.0,1.5,2.1,4.0,4.8,9.7,9.7,12.7,8.7,,,
22217,1918,,,,,,9.1,10.1,7.9,8.4,,,
22217,1919,,,,,,,12.3,11.5,8.7,,,
22217,1920,2.0,2.8,4.0,4.9,6.9,9.2,11.7,11.1,9.9,5.1,4.5,3.6
22217,1921,1.9,2.3,3.9,5.2,6.9,9.6,10.1,,,,,
22217,1922,2.5,2.4,2.8,4.1,6.4,10.0,11.7,11.1,9.2,5.6,,
22217,1923,3.5,1.9,3.2,3.7,5.2,7.7,11.3,8.9,,6.7,4.3,3.5
22217,1924,2.3,2.1,2.8,3.7,5.7,7.2,11.3,11.9,9.6,,,
22217,1925,3.6,3.1,2.1,4.3,5.3,8.1,12.8,11.3,8.5,4.9,2.8,2.5
22217,1926,2.1,2.3,3.3,4.0,5.1,8.4,9.6,10.7,8.1,5.1,4.5,2.7
22217,1927,,,,,4.8,8.1,11.9,12.0,7.5,4.8,2.9,2.8
22217,1928,2.8,2.8,3.3,4.3,5.3,7.2,10.5,11.1,8.1,4.8,3.5,3.3
22217,1929,2.1,1.9,2.5,2.7,5.7,7.3,9.5,10.9,8.4,6.7,5.1,4.5
22217,1930,4.0,2.3,2.5,3.9,5.7,7.3,9.9,12.7,6.7,6.0,4.8,2.8
22217,1931,2.1,2.8,2.8,4.9,6.7,8.0,12.5,13.1,6.9,5.9,5.2,3.7
22217,1932,3.3,2.5,2.8,4.9,5.2,7.6,11.9,12.7,8.5,6.0,4.4,4.3
22217,1933,2.9,,2.3,3.9,4.8,8.0,13.3,10.3,7.9,6.1,4.0,3.2
22217,1934,,,,,6.7,7.9,12.9,11.3,10.4,,,
22217,1935,,,,,,8.3,10.8,10.3,7.7,6.7,,
22217,1936,,,,,6.1,9.5,12.5,11.9,8.1,5.6,5.2,4.3
22217,1937,3.4,2.2,3.3,5.0,5.6,9.7,11.0,13.2,8.2,6.6,4.8,2.8
22217,1938,3.0,3.8,3.7,4.2,5.6,9.8,15.1,11.7,10.4,7.0,5.6,4.5
22217,1939,2.5,3.0,3.2,4.0,5.2,8.5,11.7,11.5,7.2,5.2,5.5,3.0
22217,1940,1.7,1.7,2.2,3.9,6.0,9.3,12.5,12.8,10.1,6.2,4.2,3.0
22217,1941,2.0,2.2,2.1,3.7,5.2,7.6,13.5,11.8,7.2,4.8,4.0,1.8
22217,1942,1.9,2.3,2.2,4.3,5.5,8.6,11.1,11.3,8.8,6.0,,
22217,1943,,,,,,,,,,,,
22217,1944,,,,,,,,,,,,
22217,1945,,,,,,,,,,,,
22217,1946,,,,,,,,,,,,
22217,1947,,,,4.6,5.8,11.0,12.3,,9.6,6.2,4.4,2.9
22217,1948,2.1,2.7,3.0,,7.0,10.0,9.8,10.2,8.9,6.4,4.7,3.6
22217,1949,3.2,3.3,2.8,4.5,6.2,7.5,9.7,10.9,9.7,5.6,5.2,4.0
22217,1950,2.4,2.7,3.6,5.2,5.6,8.3,9.4,10.9,9.1,7.3,4.6,
22217,1951,,,,5.3,4.5,7.8,10.7,13.4,8.8,7.1,3.8,3.5
22217,1952,3.3,3.3,2.3,4.4,5.2,8.9,11.8,9.6,7.9,4.7,3.9,2.7
22217,1953,2.4,1.7,3.2,4.9,5.6,9.8,10.8,12.8,6.9,5.9,4.8,4.4
22217,1954,3.4,2.2,3.4,3.5,6.2,9.6,14.4,11.3,9.3,8.7,3.9,4.7
22217,1955,2.4,1.9,2.0,3.9,5.2,7.1,10.3,11.0,8.9,5.6,3.0,1.6
22217,1956,2.4,1.6,3.0,2.8,5.8,9.1,9.6,9.5,6.9,5.2,2.8,3.6
22217,1957,2.8,3.0,2.3,4.0,6.1,8.0,13.2,11.7,8.7,6.3,4.5,2.5
22217,1958,1.8,2.6,2.5,3.4,5.0,8.0,10.2,10.5,7.2,5.4,4.8,1.8
22217,1959,2.4,3.3,4.0,3.6,5.6,8.7,10.8,12.2,7.1,5.4,4.7,2.5
22217,1960,1.8,1.9,3.3,4.6,6.5,8.3,13.7,12.1,8.5,3.9,3.2,3.3
22217,1961,2.8,2.9,3.4,3.2,5.2,10.2,13.1,11.6,7.6,8.1,4.5,2.2
22217,1962,2.4,2.6,1.8,5.0,6.0,8.0,10.4,10.1,8.1,5.9,5.1,2.1
22217,1963,2.0,1.6,1.8,4.2,8.2,7.6,10.0,11.3,10.1,6.6,4.0,2.8
22217,1964,,,,,,,,,,,,
22217,1965,,,,,,,,,,,,
22217,1966,1.3,1.0,1.6,3.6,6.0,9.5,12.7,11.3,7.4,4.9,4.8,3.0
22217,1967,1.9,3.0,4.6,4.4,5.5,7.4,11.8,14.0,9.4,6.4,5.8,1.8
22217,1968,1.0,1.9,3.0,3.6,4.7,9.2,9.1,10.4,7.2,4.3,3.9,3.7
22217,1969,1.8,1.3,2.5,3.8,4.8,7.3,10.8,10.4,8.1,6.4,4.3,2.8
22217,1970,2.5,1.4,3.8,3.5,5.6,9.6,14.0,12.1,9.3,6.2,3.6,3.1
22217,1971,2.8,1.9,2.4,3.6,5.6,8.3,11.6,12.6,8.2,5.5,3.2,2.8
22217,1972,2.7,2.5,3.5,4.6,6.2,11.1,14.3,12.6,8.3,5.7,3.3,4.4
22217,1973,2.6,2.4,3.0,4.5,5.8,9.9,12.6,9.8,6.8,4.5,3.0,1.9
