WMO Index,Year,January,February,March,April,May,June,July,August,September,October,November,December
36307,1949,,,1.2,3.8,4.8,7.3,9.7,9.4,4.4,3.6,1.2,0.4
36307,1950,0.4,0.3,1.1,2.8,5.9,9.8,13.0,10.2,6.2,,,
36307,1951,,,,,5.8,8.8,10.0,8.2,5.7,3.9,1.8,1.0
36307,1952,0.4,0.3,1.1,2.9,4.6,9.0,11.2,9.3,6.9,2.9,1.2,0.5
36307,1953,0.3,0.3,1.1,2.6,4.4,8.5,11.6,9.6,5.4,3.4,1.5,0.5
36307,1954,0.3,0.4,1.0,2.4,3.4,8.0,9.9,9.8,6.8,3.1,2.0,0.2
36307,1955,0.2,0.5,0.9,2.9,5.0,7.5,9.2,11.0,5.9,2.9,1.4,0.6
36307,1956,0.2,0.3,0.7,3.1,4.4,7.0,10.5,9.7,5.7,3.3,,
36307,1957,,,,3.1,4.2,7.5,9.8,9.5,6.2,3.3,1.8,0.6
36307,1958,0.3,0.5,0.9,3.3,4.4,8.2,11.0,10.4,6.2,3.1,,
36307,1959,,,,3.8,4.3,8.8,12.0,10.1,5.5,3.2,0.8,0.3
36307,1960,0.3,0.4,1.0,2.8,4.0,7.7,9.4,8.9,5.4,2.6,1.2,0.4
36307,1961,0.2,0.3,0.8,4.0,4.7,7.2,11.8,9.4,6.0,2.4,1.7,0.5
36307,1962,0.3,0.4,1.1,2.6,4.8,8.9,11.3,9.4,5.2,3.2,1.3,0.6
36307,1963,0.3,0.4,1.6,2.3,3.6,6.7,10.7,10.9,5.4,3.0,2.1,0.6
36307,1964,0.4,0.2,1.3,3.2,5.4,6.9,11.0,10.8,6.2,2.6,,
36307,1965,,,,,5.0,8.4,11.0,10.8,5.4,3.5,1.4,0.6
36307,1966,0.4,0.6,1.6,3.0,4.5,9.3,10.5,11.0,7.2,3.3,1.6,0.3
36307,1967,0.2,0.4,1.3,3.2,5.5,9.6,12.6,9.7,5.4,4.1,1.4,0.4
36307,1968,0.2,0.3,1.3,3.4,5.1,7.2,11.2,8.6,6.0,3.3,1.4,1.0
36307,1969,0.2,0.3,1.4,3.4,5.3,8.4,12.4,9.8,6.3,3.5,1.5,0.5
36307,1970,0.4,0.6,1.0,2.9,4.1,7.5,13.4,11.5,6.2,2.8,1.6,0.4
36307,1971,0.5,0.4,1.3,2.8,4.3,7.6,10.5,9.2,6.6,3.1,1.9,0.6
36307,1972,0.4,0.3,1.3,4.1,5.0,9.3,11.0,9.5,4.9,3.5,1.7,0.5
36307,1973,0.3,0.4,1.2,3.2,4.4,9.7,11.5,13.4,6.1,3.2,2.0,0.4
36307,1974,0.3,0.4,1.2,3.9,4.9,8.0,10.3,9.6,5.8,2.7,1.4,0.3
36307,1975,0.3,0.4,1.3,3.1,4.5,7.9,9.4,9.0,6.3,3.5,1.7,0.4
36307,1976,0.4,0.6,1.3,3.2,4.8,9.0,11.2,9.2,5.8,3.1,0.9,0.5
36307,1977,0.2,0.5,1.2,3.2,4.8,8.1,10.7,9.0,6.7,3.7,2.0,0.7
36307,1978,0.4,0.4,1.3,3.7,4.9,8.7,10.1,7.9,5.4,3.2,1.8,0.7
36307,1979,0.5,0.7,1.4,3.0,4.9,9.6,11.7,8.4,6.7,4.0,1.6,0.6
36307,1980,0.3,0.4,0.9,2.8,5.2,8.9,10.2,10.0,6.5,3.2,2.0,0.6
36307,1981,0.2,0.4,1.4,4.0,5.0,8.0,9.7,9.8,6.9,2.8,1.2,0.4
36307,1982,0.4,0.4,1.2,4.6,,8.2,10.6,10.3,6.8,4.3,1.9,0.7
36307,1983,0.3,0.5,1.2,2.7,4.7,7.7,10.2,10.8,5.9,4.4,2.3,
36307,1984,0.3,0.2,1.3,2.9,5.7,9.4,10.9,9.5,6.9,,1.5,0.4
36307,1985,0.4,0.4,0.8,4.1,5.1,8.1,11.9,9.7,6.3,3.8,1.5,0.5
36307,1986,0.4,0.5,1.5,3.1,6.0,9.4,11.6,9.4,6.9,3.5,1.1,0.4
36307,1987,0.4,0.6,1.1,3.8,6.3,7.4,10.7,10.9,6.5,3.7,1.6,0.6
36307,1988,0.4,0.4,1.2,3.6,6.1,8.9,10.4,9.9,7.0,4.1,2.0,0.9
36307,1989,0.4,0.5,2.0,3.6,5.7,9.7,11.5,10.0,6.4,4.3,1.6,1.0
36307,1990,0.4,0.7,1.9,3.4,6.2,9.3,12.4,10.7,6.3,4.8,1.6,0.8
36307,1991,0.4,0.5,1.3,3.2,5.6,10.2,11.7,10.8,7.0,4.4,1.9,0.7
36307,1992,0.4,0.5,1.4,4.0,6.9,8.4,12.7,10.2,6.0,3.5,2.0,0.8
36307,1993,0.3,0.8,1.9,3.5,5.1,9.5,13.6,10.9,6.7,3.6,1.6,0.6
36307,1994,0.6,0.8,1.5,,6.2,,,,,,,
36307,1995,0.4,0.6,1.7,3.4,4.6,6.9,10.5,10.1,5.4,3.2,2.0,0.7
36307,1996,0.3,0.3,1.0,2.6,4.8,7.0,11.1,8.6,5.6,3.1,1.9,0.7
36307,1997,0.4,0.5,1.7,3.8,5.7,7.8,9.3,9.4,5.5,3.6,1.6,0.6
36307,1998,0.4,1.0,,,,7.4,,,,3.7,2.1,0.7
