Region,Site #,Site name,Site code,Latitude (degrees N),Longitude (degrees E),Elevation,Site type (1=d13C; 2=d18O; 3=d13C&d18O; 4=triple),Station name,WMO station code
Russian Federation,1,Indigirka,IND,69.0,148.0,350,3,Chokurdakh,21946
Russian Federation,2,Moreju,MOR,68.0,60.0,40,3,Khoseda Khard,23219
Russian Federation,3,"Suntar Khayata, Yakutia",YAK,63.0,139.0,900,1,Chokurdakh,21946
Russian Federation,4,Spasskaya Pad,PYAD,62.23333333,129.6166667,220,2,Jakutsk,24959
Russian Federation,5,Taimyr Peninsula,TAY,68.0,103.0,300,4,Khatanga,20891
Russian Federation,6,Eniseysk,ENE,58.0,92.0,150,3,Eniseysk,29263
Russian Federation,7,"Khibini, Kola Peninsula",KOL,67.0,33.0,761,3,Kandalaksa,22217
Russian Federation,8,Tura,TUR,64.53333333,100.2333333,168,3,Tura,24507
Russian Federation,9,Khakasia,KHAK,54.4,89.95,477,3,Minusinsk,29866
Russian Federation,10,Davan Pass,DAV,55.85,108.9166667,1400,1,Nizneangarsk,30433
Russian Federation,11,Olkhon Island,OLH,53.28333333,107.6333333,530,2,Irkutsk,30710
Russian Federation,12,Irkutsk,IRK,52.0,104.0,530,1,Irkutsk,30710
Russian Federation,13,Altai,ALT,50.63333333,89.1,2280,3,Mugur-Aksy,36278
Russian Federation,14,Altai,AL,50.4,87.55,2300,3,Barnaul,29838
Russian Federation,15,Ersin,HO,50.83333333,93.01666667,1502,3,Ersin,36307
Russian Federation,16,Chadan,CH,51.46666667,91.96666667,832,3,,
Finland,17,Laanila,LAN,68.0,27.0,220,2,,
Finland,18,Kessi Inari,INA,68.15,28.06666667,150,4,Kessi Inari,
Finland,19,Ilomantsi,ILO,62.15,30.15,200,4,Ilomantsi,
Norway,20,"Forfjorddalen, Forfjord, Vester?len",FOR,68.8,15.73333333,10,1,,
Norway,21,Gutulia,GUT,62.0,12.0,800,4,Gutulia,
Canada,22,Quebec taiga,QU,54.0,-71.0,400,3,Schefferville,71921
Canada,23,Mackenzie Delta,CAN,68.4,-133.8166667,3,4,Inuvik,71957
USA,24,"Reserve West - Bonanza Creek LTER site, central Alaska",ALA,64.7,-148.3,290,1,,
