,Region,Site #,Site name,Site code,Latitude (N degree),Longitude (E degree),Elevation,Site type (1=d13C; 2=d18O; 3=d13C&d18O; 4=triple)
0,Russian Federation,1,Indigirka,IND,69.0,148.0,350,3
1,Russian Federation,2,Moreju,MOR,68.0,60.0,40,3
2,Russian Federation,3,"Suntar Khayata, Yakutia",YAK,63.0,139.0,900,1
3,Russian Federation,4,Spasskaya Pad,PYAD,62.23333333,129.6166667,220,2
4,Russian Federation,5,Taimyr Peninsula,TAY,68.0,103.0,300,4
5,Russian Federation,6,Eniseysk,ENE,58.0,92.0,150,3
6,Russian Federation,7,"Khibini, Kola Peninsula",KOL,67.0,33.0,761,3
7,Russian Federation,8,Tura,TUR,64.53333333,100.2333333,168,3
8,Russian Federation,9,Khakasia,KHAK,54.4,89.95,477,3
9,Russian Federation,10,Davan Pass,DAV,55.85,108.9166667,1400,1
10,Russian Federation,11,Olkhon Island,OLH,53.28333333,107.6333333,530,2
11,Russian Federation,12,Irkutsk,IRK,52.0,104.0,530,1
12,Russian Federation,13,Altai,ALT,50.63333333,89.1,2280,3
13,Russian Federation,14,Altai,AL,50.4,87.55,2300,3
14,Russian Federation,15,Ersin,HO,50.83333333,93.01666667,1502,3
15,Russian Federation,16,Chadan,CH,51.46666667,91.96666667,832,3
16,Finland,17,Laanila,LAN,68.0,27.0,220,2
17,Finland,18,Kessi Inari,INA,68.15,28.06666667,150,4
18,Finland,19,Ilomantsi,ILO,62.15,30.15,200,4
19,Norway,20,"Forfjorddalen, Forfjord, Vester?len",FOR,68.8,15.73333333,10,1
20,Norway,21,Gutulia,GUT,62.0,12.0,800,4
21,Canada,22,Quebec taiga,QU,54.0,-71.0,400,3
22,Canada,23,Mackenzie Delta,CAN,68.4,-133.8166667,3,4
23,USA,24,"Reserve West - Bonanza Creek LTER site, central Alaska",ALA,64.7,-148.3,290,1
