Year,January,February,March,April,May,June,July,August,September,October,November,December
1901,3.003501,3.725875,3.654669,9.689297,22.08483,47.56538,38.78230,30.90564,24.34533,7.579961,5.852334,3.824708
1902,2.076459,5.050584,3.250000,4.078794,7.611671,17.27217,48.24688,34.59397,19.07763,6.278793,5.699417,2.675875
1903,4.272958,4.548833,6.353501,7.447083,9.743965,25.45175,17.94105,40.42471,15.09397,10.50934,6.479377,3.821791
1904,4.272958,6.679960,5.576459,7.923542,11.10350,38.46012,27.49747,24.06517,16.01167,5.882878,4.455252,3.002917
1905,2.754668,3.151167,2.725876,4.429960,9.928795,40.27646,23.71634,22.78618,13.90584,7.034046,5.362254,4.573541
1906,5.000000,5.000000,5.000000,9.252918,17.00000,31.75875,44.75292,37.50526,20.72938,12.10409,7.604085,4.197666
1907,5.526459,4.949417,4.322958,8.425293,18.57938,34.29163,42.52121,37.12938,24.16459,10.59942,8.457003,4.749416
1908,4.272958,5.275876,3.921791,8.425293,16.02179,29.95292,33.51966,30.73425,21.53171,9.420625,5.647666,4.573541
1909,6.027626,4.197666,3.921791,11.33463,14.51771,32.78696,36.52900,33.26713,17.67063,9.721792,9.861670,3.821791
1910,5.751751,4.548833,4.322958,6.995916,15.52063,26.29183,43.64942,46.03210,27.67509,19.22568,7.352918,3.495915
1911,5.000000,5.000000,5.000000,9.252918,17.00000,31.75875,44.75292,39.51167,20.25292,11.75292,7.252918,4.197666
1912,5.275876,4.949417,4.322958,14.64513,19.03113,37.97801,59.24552,37.12938,26.77217,12.70584,7.905252,3.821791
1913,4.047083,3.521207,5.100000,6.995916,14.51771,33.13813,44.75292,50.69669,18.09650,10.59942,7.052334,4.573541
1914,3.521207,4.197666,5.576459,6.518874,16.47354,31.20700,38.15837,30.73425,14.21012,10.59942,6.475292,3.821791
1915,3.521207,6.328793,3.521208,6.518874,13.99125,46.70544,34.64845,45.17976,28.50272,11.52704,6.776459,4.398250
1916,4.523541,3.871791,3.921791,9.252918,17.00000,28.39825,34.64845,43.04805,15.99008,9.420625,7.604085,3.495915
1917,4.272958,7.005835,5.100000,7.447083,13.06362,26.74300,32.24145,29.80604,14.66129,9.420625,6.475292,3.821791
1918,3.521207,3.521207,5.100000,9.378210,17.52646,31.75875,54.88268,38.40817,17.67063,10.95058,5.923542,3.997082
1919,4.047083,4.197666,6.729960,9.378210,16.47354,26.29183,47.10992,45.53035,15.99008,11.22646,6.776459,4.749416
1920,5.000000,5.000000,5.000000,9.252918,17.00000,31.75875,44.75292,39.51167,20.25292,11.75292,7.252918,5.000000
1921,3.521207,5.000000,5.000000,6.518874,17.00000,31.75875,44.75292,39.51167,20.25292,11.75292,7.252918,5.000000
