Year,January,February,March,April,May,June,July,August,September,October,November,December
1901,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1902,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1903,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1904,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1905,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1906,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1907,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1908,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1909,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1910,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1911,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1912,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1913,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1914,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1915,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1916,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1917,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1918,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1919,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1920,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1921,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1922,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1923,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1924,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1925,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1926,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1927,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1928,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1929,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1930,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1931,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1932,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1933,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1934,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1935,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1936,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1937,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1938,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1939,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1940,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1941,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1942,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.76938,39.26939,21.50554,25.26938,14.76938,13.76938
1943,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.79466,39.29466,21.48026,25.24411,14.76938,13.76938
1944,12.01661,10.51108,9.511077,10.26385,14.28912,19.52215,30.76938,39.26939,21.53082,25.24411,14.76938,13.76938
1945,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.74411,39.34521,21.53082,25.24411,14.76938,13.76938
1946,12.01661,10.51108,9.511077,10.26385,14.26385,19.49688,30.76938,39.26939,21.53082,25.26938,14.76938,13.76938
1947,12.01661,10.51108,9.511077,10.26385,14.26385,19.52215,30.74411,39.24411,21.48026,25.24411,14.76938,13.76938
1948,11.99189,10.51108,9.461631,10.26440,14.16551,19.42326,30.64632,39.56717,21.62971,77.80206,22.90463,15.42160
1949,28.83766,5.981924,16.21772,10.21440,43.16349,41.14376,30.54688,39.12271,14.63082,20.31828,34.36626,39.07402
1950,12.58635,28.52714,19.12160,10.26385,23.51939,8.762185,5.652214,19.76385,24.28192,4.404432,33.26405,4.708307
1951,21.12825,21.52105,0.3022146,27.80795,18.04189,23.94909,16.61329,11.48580,38.10775,6.154432,10.16218,23.95740
