Year,January,February,March,April,May,June,July,August,September,October,November,December
1901,-30.67749,-31.45055,-23.32029,-17.44391,-3.016416,8.908862,12.98082,9.203323,3.801661,-6.823061,-21.27583,-23.55055
1902,-27.30222,-26.24889,-30.69723,-16.61863,-2.341692,8.883031,13.15554,9.703323,2.676384,-6.348338,-24.22583,-29.72749
1903,-31.05222,-27.19945,-25.17029,-17.61919,-3.666969,9.808862,12.78082,10.52915,2.576385,-10.60000,-22.62417,-20.72528
1904,-30.42805,-34.30277,-28.24612,-12.81697,-2.366416,8.733584,12.55554,8.728601,0.4258306,-7.473061,-20.67361,-21.00055
1905,-28.15166,-25.47417,-22.99502,-13.01808,-0.4900308,9.908862,12.10554,9.829154,1.326384,-9.249446,-17.17306,-26.02638
1906,-35.60388,-27.82583,-22.06919,-15.01752,-1.140031,10.00886,13.13137,9.103324,3.076385,-6.023061,-21.07417,-29.92749
1907,-28.95222,-34.42694,-27.49557,-14.81919,-0.8916924,8.933585,12.18082,9.378047,2.576385,-8.073615,-20.89889,-22.62528
1908,-26.15166,-27.57472,-27.59668,-15.51863,-1.866969,9.058308,12.68082,9.453877,1.326384,-10.87417,-21.22472,-23.85111
1909,-36.42915,-33.75222,-23.44446,-18.92029,-2.616969,8.908862,12.88082,9.028601,1.751661,-9.449446,-25.77583,-26.15111
1910,-29.05166,-32.87694,-25.34502,-16.69336,-2.441692,8.808862,12.43026,8.128046,3.076385,-8.598892,-21.07417,-27.67694
1911,-35.10443,-25.92472,-26.27029,-17.64391,-2.266415,8.758308,12.88082,8.928046,2.851108,-5.873061,-22.97472,-24.22583
1912,-27.05222,-23.07417,-22.14446,-14.36863,-1.065862,7.208308,11.40499,9.078600,3.051661,-6.798338,-20.22362,-26.02694
1913,-34.37971,-26.30000,-25.29557,-15.61863,-2.191139,9.258862,12.18082,8.553324,1.500554,-10.10000,-20.67417,-24.20055
1914,-29.87749,-26.62638,-25.09557,-15.86808,-1.840585,9.308862,11.90609,10.02915,1.626384,-5.373061,-19.52472,-22.67583
1915,-23.90166,-28.87583,-21.49391,-11.31642,-0.9158616,9.858862,13.93137,10.12915,3.176384,-11.05000,-20.17417,-24.72583
1916,-29.70222,-29.35055,-29.12195,-12.54280,-1.691139,9.408862,12.23026,9.428046,3.251661,-6.748892,-19.89889,-28.85221
1917,-31.82805,-27.07583,-23.89502,-14.76863,-3.416970,7.533031,11.13026,10.15332,3.626938,-8.524169,-24.52472,-29.27749
1918,-27.85277,-29.82639,-29.67196,-16.91863,-4.092246,7.307754,12.85554,8.753324,4.326939,-9.099445,-21.49945,-25.87638
1919,-28.60222,-28.22639,-28.84668,-14.04280,-2.516415,6.683031,12.68082,10.37860,3.551661,-9.724722,-23.87528,-26.17638
1920,-31.40277,-22.54834,-27.42085,-18.19446,-4.292246,8.533031,12.63082,9.053324,2.101108,-10.57472,-19.67417,-26.07694
1921,-31.40277,-29.67583,-25.42085,-15.06808,-2.641693,9.459415,13.08082,10.10332,1.525831,-7.898891,-22.22528,-22.87527
