Year,January,February,March,April,May,June,July,August,September,October,November,December
1901,0.1000000,0.1000000,0.2000000,0.9000000,2.700584,6.075875,6.475876,6.075875,3.925292,1.025292,0.1000000,0.2000000
1902,0.1000000,0.1000000,0.1000000,0.5000000,1.650000,6.350584,6.975876,5.225292,3.225292,1.125292,0.1000000,0.1000000
1903,0.1000000,0.1000000,0.2000000,0.4000000,3.100584,6.650584,9.675876,6.175876,3.625292,1.225292,0.2000000,0.1000000
1904,0.1000000,0.1000000,0.2000000,0.7747083,1.725292,4.500000,6.875876,6.075875,3.225292,0.9252917,0.2000000,0.1000000
1905,0.1000000,0.1000000,0.1000000,0.5000000,2.300584,4.950583,5.075876,5.875875,3.425292,0.8252917,0.1000000,0.1000000
1906,0.1000000,0.1000000,0.1000000,0.8000000,2.800584,5.750584,7.175876,7.175876,4.325292,1.625292,0.1000000,0.1000000
1907,0.1000000,0.1000000,0.1000000,1.100000,2.900584,5.550583,7.575876,5.575875,3.925292,2.025292,0.1000000,0.1000000
1908,0.1000000,0.1000000,0.000000,0.7747083,3.300584,6.850584,9.026460,5.875875,4.925292,1.925292,0.1000000,0.1000000
1909,0.1000000,0.1000000,0.000000,1.200000,3.000584,5.150583,8.551168,8.326460,3.825292,2.025292,0.1000000,0.1000000
1910,0.1000000,0.1000000,0.1000000,1.000000,2.500584,6.450583,7.275876,7.951167,3.925292,1.925292,0.1000000,0.1000000
1911,0.1000000,0.2000000,0.1000000,1.000000,2.000584,5.350584,8.275876,7.475875,3.025292,1.425292,0.2000000,0.1000000
1912,0.1000000,0.1000000,0.000000,0.8000000,2.900584,5.750584,5.825293,6.175876,3.325292,1.025292,0.1000000,0.1000000
1913,0.1000000,0.1000000,0.1000000,0.5000000,2.600584,5.250584,7.075876,7.375875,3.925292,1.225292,0.1000000,0.1000000
1914,0.1000000,0.2000000,0.000000,0.6000000,2.300584,6.850584,9.575876,6.175876,4.625292,1.325292,0.1000000,0.1000000
1915,0.1000000,0.1000000,0.2000000,0.7747083,3.500584,4.850583,6.175876,4.575875,3.425292,0.9252917,0.1000000,0.1000000
1916,0.1000000,0.1000000,0.1000000,0.6747082,2.300584,5.350584,7.375876,7.675876,3.525292,2.125292,0.1000000,0.1000000
1917,0.1000000,0.1000000,0.1000000,1.000000,3.600584,6.750584,9.501168,8.126459,3.725292,1.025292,0.1000000,0.1000000
1918,0.1000000,0.1000000,0.2000000,0.7747083,2.500584,5.850584,5.825293,6.675875,3.925292,1.750584,0.1000000,0.1000000
1919,0.1000000,0.1000000,0.000000,1.200000,2.800584,5.750584,6.575876,7.875875,4.925292,1.750584,0.1000000,0.1000000
1920,0.1000000,0.1000000,0.2000000,1.900000,2.700584,4.950583,7.375876,7.375875,3.925292,1.125292,0.1000000,0.1000000
1921,0.1000000,0.2000000,0.1000000,0.6000000,2.400584,5.850584,5.925292,6.975875,4.625292,1.325292,0.1000000,0.1000000
1922,0.1000000,0.1000000,0.1000000,0.5000000,2.200584,5.750584,6.175876,5.575875,3.425292,1.025292,0.1000000,0.2000000
1923,0.1000000,0.1000000,0.2000000,0.6747082,2.100584,5.050583,5.925292,6.275875,3.425292,1.325292,0.1000000,0.1000000
1924,0.1000000,0.1000000,0.1000000,0.5000000,2.200584,5.350584,6.175876,6.826459,4.425292,1.325292,0.2000000,0.1000000
1925,0.1000000,0.1000000,0.2000000,0.6000000,2.500584,4.850583,6.775876,5.675876,3.225292,1.525292,0.1000000,0.1000000
1926,0.1000000,0.1000000,0.1000000,0.6747082,3.300584,4.400000,8.826460,7.675876,4.225292,0.9252917,0.1000000,0.1000000
1927,0.1000000,0.1000000,0.000000,0.8000000,3.500584,6.550583,8.075876,6.975875,4.525292,2.125292,0.1000000,0.1000000
1928,0.1000000,0.1000000,0.2000000,1.100000,2.400584,6.150584,7.275876,7.575876,3.625292,1.425292,0.1000000,0.1000000
1929,0.1000000,0.2000000,0.1000000,0.8000000,3.300584,5.901167,7.826460,6.601167,3.025292,1.325292,0.1000000,0.1000000
1930,0.1000000,0.1000000,0.1000000,0.8000000,2.050584,6.650584,7.301168,6.775875,4.125292,1.025292,0.1000000,0.1000000
1931,0.1000000,0.1000000,0.2000000,0.4247083,3.100584,6.425875,8.726460,6.926459,4.025292,1.950000,0.1000000,0.2000000
1932,0.1000000,0.1247083,0.1000000,0.7747083,2.300584,6.050583,7.075876,7.075876,4.325292,1.525292,0.1000000,0.1000000
1933,0.1000000,0.1000000,0.1000000,0.6000000,2.900584,5.750584,7.577043,7.026459,3.975876,1.725292,0.1000000,0.1000000
1934,0.1000000,0.1000000,0.1000000,0.5000000,3.300584,6.250584,10.05117,7.126459,4.425292,1.525292,0.1000000,0.1000000
1935,0.1000000,0.1000000,0.1000000,0.9000000,3.051167,5.850584,8.426459,7.175876,4.825292,1.325292,0.2000000,0.1494165
1936,0.000000,0.1000000,0.000000,0.8000000,2.900584,6.250584,8.526460,7.326459,4.675292,1.574708,0.2000000,0.1000000
1937,0.1000000,0.2000000,0.000000,0.6000000,3.100584,5.875875,7.275876,7.175876,4.125292,1.674708,0.2000000,0.2000000
1938,0.1000000,0.1000000,0.1000000,1.200000,2.100584,6.175875,7.926459,7.000584,4.725292,1.374708,0.2000000,0.1494165
1939,0.5058352E-01,0.1000000,0.1000000,0.5000000,2.851167,5.650584,6.525292,7.301167,4.525292,1.674708,0.2000000,0.1000000
1940,0.2000000,0.1000000,0.3000000,1.049417,2.800000,6.250584,8.075876,6.500584,3.300000,1.174708,0.1000000,0.1000000
1941,0.1000000,0.1000000,0.000000,0.9000000,2.700584,5.250584,8.126460,7.126459,4.025292,1.525292,0.000000,0.1000000
1942,0.1000000,0.1000000,0.000000,0.8752918,2.600584,5.601167,7.426459,6.775875,3.900000,1.525292,0.1000000,0.2000000
1943,0.1000000,0.1494165,0.4000000,1.400000,3.250000,5.950583,6.775876,6.625292,4.325292,2.125292,0.2000000,0.1000000
1944,0.1000000,0.2000000,0.2000000,0.6494165,3.500584,5.950583,7.201168,6.726459,5.075876,1.400000,0.1747083,0.2000000
1945,0.2529176E-01,0.1000000,0.1000000,0.9000000,3.600584,5.725292,7.926459,7.375875,3.850584,1.825292,0.1252918,0.1247083
1946,0.1000000,0.000000,0.000000,0.7000000,2.900584,5.650584,7.251168,6.026459,3.450584,1.025292,0.1000000,0.000000
1947,0.1000000,0.2000000,0.1000000,1.000000,2.450000,5.950583,7.775876,6.200583,4.300000,2.025292,0.2000000,0.1000000
1948,0.1000000,0.1247083,0.3000000,1.000000,3.251167,6.175875,6.300584,6.575876,3.375875,1.725292,0.2000000,0.1000000
1949,0.5058352E-01,0.1000000,0.2000000,1.000000,3.151167,6.001167,6.975876,6.251167,4.525292,1.775875,0.1000000,0.2000000
1950,0.1000000,0.1000000,0.7529176E-01,0.6000000,2.200584,5.850584,6.775876,5.775876,3.325292,1.325292,0.000000,0.1000000
1951,0.1000000,0.1000000,0.2000000,0.7000000,3.000584,6.350584,7.826460,7.326459,4.525292,1.574708,0.2000000,0.2000000
1952,0.1000000,0.1000000,0.2505835,0.8247082,2.400584,5.750584,8.526460,8.226459,4.574709,1.350000,0.1252918,0.1000000
1953,0.2000000,0.1000000,0.3000000,0.9252918,3.700584,6.250584,7.175876,7.000584,4.325292,1.525292,0.2000000,0.1000000
1954,0.1000000,0.1000000,0.1000000,1.200000,2.600584,5.901167,7.877043,6.726459,3.925292,1.674708,0.1494165,0.1247083
1955,0.1747082,0.1000000,0.000000,0.4000000,2.751167,5.700000,6.250584,7.075876,3.900584,1.300000,0.1000000,0.1000000
1956,0.1000000,0.1747082,0.1000000,0.3000000,2.400584,6.701167,6.675876,5.675876,3.725292,0.9252917,0.2000000,0.2000000
1957,0.2000000,0.1000000,0.1000000,0.7000000,3.000584,6.150584,6.926459,5.875875,3.325292,1.025292,0.1000000,0.1000000
1958,0.1000000,0.7470825E-01,0.000000,0.5000000,2.400584,5.550583,7.526460,7.375875,4.125292,1.325292,0.000000,0.1000000
1959,0.1000000,0.1494165,0.4000000,0.8000000,3.475292,6.100000,7.526460,7.026459,4.725292,1.625292,0.3000000,0.000000
1960,0.1747082,0.1000000,0.1505835,0.7494165,2.850000,6.250584,8.251168,6.375875,3.925292,1.025292,0.2000000,0.1000000
1961,0.1000000,0.1505835,0.000000,0.5000000,2.300584,6.400000,7.626460,6.426459,4.075875,1.225292,0.1000000,0.1000000
1962,0.1000000,0.1000000,0.1000000,0.9000000,2.700584,4.950583,6.426459,5.775876,3.000584,1.225292,0.1000000,0.1000000
1963,0.1252918,0.1000000,0.1000000,0.7000000,2.175292,5.025292,6.575876,6.201167,3.525292,1.075875,0.1505835,0.1000000
1964,0.1000000,0.2000000,0.1000000,0.6247082,2.400584,5.850584,6.325293,6.325292,3.150000,1.225292,0.000000,0.1000000
1965,0.1000000,0.1000000,0.1000000,0.6000000,2.600584,5.775291,7.350000,6.125292,3.850584,1.325292,0.1000000,0.000000
1966,0.5058352E-01,0.000000,0.000000,0.6000000,2.925876,6.076459,6.975876,6.625292,3.925292,1.125292,0.2000000,0.2252918
1967,0.1000000,0.000000,0.2000000,0.8000000,3.151167,6.050583,6.901168,5.875875,4.274708,1.774708,0.1494165,0.7470825E-01
1968,0.1000000,0.2000000,0.2752918,1.200000,3.051167,5.700000,7.025292,6.775875,4.125292,1.325292,0.1000000,0.000000
1969,0.2000000,0.000000,0.000000,0.5000000,2.850000,6.400000,7.326459,8.026459,3.975876,1.225292,0.000000,0.1000000
1970,0.2000000,0.1000000,0.1000000,0.6000000,2.700584,6.050583,8.026460,5.875875,4.375875,1.225292,0.1000000,0.2000000
1971,0.000000,0.2000000,0.1000000,0.7000000,3.300584,5.700000,8.775876,7.675876,4.925292,1.725292,0.2000000,0.1000000
1972,0.000000,0.1000000,0.1000000,1.100000,3.275292,4.250583,6.575876,5.275875,3.425292,1.925292,0.000000,0.1000000
1973,0.1000000,0.1000000,0.1000000,0.9000000,3.000584,6.550583,8.100584,7.050584,4.025292,1.125292,0.1000000,0.1000000
1974,0.7529176E-01,0.000000,0.1000000,1.000000,3.500584,5.950583,8.575876,6.375875,3.925292,1.225292,0.1000000,0.000000
1975,0.1000000,0.1000000,0.3000000,1.100000,3.100584,6.150584,6.475876,6.275875,3.725292,1.325292,0.3000000,0.2247083
1976,0.1000000,0.000000,0.000000,1.100000,2.600584,5.350584,7.175876,5.975875,4.225292,0.8252917,0.1000000,0.000000
1977,0.2000000,0.000000,0.000000,1.000000,3.250000,6.825292,7.750585,6.275875,3.425292,0.9252917,0.000000,0.000000
1978,0.000000,0.000000,0.2000000,0.7000000,2.200584,5.850584,6.275876,7.126459,3.825292,1.675875,0.3000000,0.1000000
1979,0.000000,0.000000,0.000000,0.4000000,3.100584,5.050583,5.975876,5.175876,2.725292,0.9252917,0.000000,0.2000000
1980,0.1000000,0.2000000,0.000000,0.4000000,2.800584,5.050583,7.075876,7.375875,4.525292,1.525292,0.000000,0.2000000
1981,0.3000000,0.1000000,0.2000000,1.100000,3.200584,6.450583,6.875876,6.475875,3.825292,1.525292,0.2000000,0.1000000
1982,0.000000,0.2000000,0.000000,1.300000,2.200584,5.100584,7.725876,6.175876,4.500000,1.200583,0.000000,0.2470824E-01
1983,0.1000000,0.1000000,0.1000000,0.5000000,3.200584,5.450583,7.475876,7.900584,4.825292,1.125292,0.3000000,0.1000000
1984,0.2000000,0.000000,0.000000,0.9000000,2.800584,5.050583,6.601168,5.575875,3.025292,1.325292,0.2000000,0.1000000
1985,0.2529176E-01,0.2000000,0.1000000,0.9000000,2.500584,5.650584,7.775876,6.126459,4.525292,1.425292,0.3000000,0.2000000
1986,0.000000,0.1000000,0.1000000,0.9000000,2.600584,6.250584,6.375876,5.875875,3.425292,1.625292,0.1000000,0.7529177E-01
1987,0.000000,0.000000,0.000000,0.5000000,2.200584,5.650584,8.075876,6.875875,3.425292,1.125292,0.000000,0.000000
1988,0.1000000,0.2000000,0.2000000,1.200000,2.900584,6.250584,8.875876,5.775876,4.525292,1.800584,0.2000000,0.2000000
1989,0.1000000,0.2747083,0.4000000,0.6000000,2.700584,5.850584,6.975876,6.175876,4.425292,1.025292,0.1000000,0.2000000
1990,0.000000,0.2000000,0.7000000,1.100000,4.175292,6.450583,6.975876,7.375875,3.625292,1.525292,0.000000,0.000000
1991,0.1000000,0.000000,0.2000000,1.100000,3.100584,5.550583,9.875876,9.100584,4.325292,1.525292,0.3000000,0.2000000
1992,0.1000000,0.1000000,0.1252918,0.9000000,2.800584,5.350584,7.475876,5.075875,3.525292,1.125292,0.000000,0.1000000
1993,0.2000000,0.2000000,0.2000000,0.9000000,2.900584,5.850584,7.401168,5.875875,4.125292,1.225292,0.2000000,0.000000
1994,0.1000000,0.3000000,0.1000000,0.7000000,3.600584,6.150584,7.051168,5.801751,4.700584,1.925292,0.2000000,0.1000000
1995,0.1000000,0.4000000,0.1000000,0.6000000,3.175876,6.825292,8.075876,7.675876,4.550001,1.775292,0.3000000,0.2000000
1996,0.1500000,0.2000000,0.1000000,0.8000000,2.800584,4.676459,6.875876,6.875875,3.700584,1.675875,0.2000000,0.2529176E-01
