Year,Month,Pv,Klo,TZ,Precipitation (mm), Temperature (degC)
1960,1,1,00:00,UTC,33.2,-17.1
1960,2,1,00:00,UTC,10.7,-17.4
1960,3,1,00:00,UTC,7.2,-4.5
1960,4,1,00:00,UTC,31.1,0.7
1960,5,1,00:00,UTC,22.8,8
1960,6,1,00:00,UTC,49,11.3
1960,7,1,00:00,UTC,35.8,
1960,8,1,00:00,UTC,35.7,12.4
1960,9,1,00:00,UTC,19.9,
1960,10,1,00:00,UTC,5.2,-4.8
1960,11,1,00:00,UTC,20.7,-9.3
1960,12,1,00:00,UTC,45.6,-11.5
1961,1,1,00:00,UTC,30.2,-10.7
1961,2,1,00:00,UTC,21,-11
1961,3,1,00:00,UTC,28.5,-6.4
1961,4,1,00:00,UTC,19,-4.5
1961,5,1,00:00,UTC,33.5,3.3
1961,6,1,00:00,UTC,75.5,13.2
1961,7,1,00:00,UTC,66.4,14.8
1961,8,1,00:00,UTC,86,11.8
1961,9,1,00:00,UTC,26.6,6.8
1961,10,1,00:00,UTC,47.2,5.2
1961,11,1,00:00,UTC,52,-3.6
1961,12,1,00:00,UTC,37.8,-15
1962,1,1,00:00,UTC,31.3,-15.8
1962,2,1,00:00,UTC,18.7,-11.1
1962,3,1,00:00,UTC,8.6,-14.2
1962,4,1,00:00,UTC,25.6,-0.5
1962,5,1,00:00,UTC,50.8,3.2
1962,6,1,00:00,UTC,23.4,9.1
1962,7,1,00:00,UTC,78.1,10.8
1962,8,1,00:00,UTC,45.2,9.1
1962,9,1,00:00,UTC,24.1,5.8
1962,10,1,00:00,UTC,43.8,0.3
1962,11,1,00:00,UTC,20.9,-2.3
1962,12,1,00:00,UTC,18.9,-15.3
1963,1,1,00:00,UTC,18.1,-14.6
1963,2,1,00:00,UTC,19.5,-15.7
1963,3,1,00:00,UTC,4.4,-12.9
1963,4,1,00:00,UTC,5.8,-1.2
1963,5,1,00:00,UTC,15.4,10.9
1963,6,1,00:00,UTC,42.8,8.4
1963,7,1,00:00,UTC,63.1,12.3
1963,8,1,00:00,UTC,57.6,11.7
1963,9,1,00:00,UTC,66.1,8.7
1963,10,1,00:00,UTC,22.5,1.6
1963,11,1,00:00,UTC,36.7,-7.2
1963,12,1,00:00,UTC,22.9,-11.4
1964,1,1,00:00,UTC,26.8,-6.4
1964,2,1,00:00,UTC,10.9,-14.7
1964,3,1,00:00,UTC,6,-6.6
1964,4,1,00:00,UTC,20.6,-3
1964,5,1,00:00,UTC,39.8,4.8
1964,6,1,00:00,UTC,59.3,10
1964,7,1,00:00,UTC,62.2,14.2
1964,8,1,00:00,UTC,79.9,10.5
1964,9,1,00:00,UTC,112.4,5.2
1964,10,1,00:00,UTC,23.7,2.9
1964,11,1,00:00,UTC,13.3,-7.7
1964,12,1,00:00,UTC,28.5,-10.4
1965,1,1,00:00,UTC,23.9,-13.4
1965,2,1,00:00,UTC,25.1,-11.1
1965,3,1,00:00,UTC,30.4,-10.5
1965,4,1,00:00,UTC,7.9,-1.5
1965,5,1,00:00,UTC,19.7,1.1
1965,6,1,00:00,UTC,68.4,10
1965,7,1,00:00,UTC,69.4,10.8
1965,8,1,00:00,UTC,89.2,10
1965,9,1,00:00,UTC,40.3,6.6
1965,10,1,00:00,UTC,58.8,-0.6
1965,11,1,00:00,UTC,29.3,-10
1965,12,1,00:00,UTC,20.1,-15
1966,1,1,00:00,UTC,8.7,-19
1966,2,1,00:00,UTC,16.5,-23
1966,3,1,00:00,UTC,18.9,-16
1966,4,1,00:00,UTC,20.8,-4.4
1966,5,1,00:00,UTC,18.7,3.3
1966,6,1,00:00,UTC,34.3,12
1966,7,1,00:00,UTC,72.4,14.5
1966,8,1,00:00,UTC,77.5,10.1
1966,9,1,00:00,UTC,56.2,3.5
1966,10,1,00:00,UTC,58.7,-3.2
1966,11,1,00:00,UTC,24.7,-3.5
1966,12,1,00:00,UTC,7.2,-10.5
1967,1,1,00:00,UTC,23.7,-18.2
1967,2,1,00:00,UTC,11.9,-8.8
1967,3,1,00:00,UTC,31.7,-3.7
1967,4,1,00:00,UTC,18.8,-0.8
1967,5,1,00:00,UTC,17.3,4.6
1967,6,1,00:00,UTC,52,10.5
1967,7,1,00:00,UTC,86.9,13.6
1967,8,1,00:00,UTC,40.6,13.1
1967,9,1,00:00,UTC,26.4,8.1
1967,10,1,00:00,UTC,108.1,-0.4
1967,11,1,00:00,UTC,23.8,-0.7
1967,12,1,00:00,UTC,16.4,-17.4
1968,1,1,00:00,UTC,9.8,-17.8
1968,2,1,00:00,UTC,13.8,-14.1
1968,3,1,00:00,UTC,12.4,-8.2
1968,4,1,00:00,UTC,34,-3.1
1968,5,1,00:00,UTC,19.7,1.4
1968,6,1,00:00,UTC,52,10.5
1968,7,1,00:00,UTC,29.3,10
1968,8,1,00:00,UTC,41.8,10.4
1968,9,1,00:00,UTC,23,3.6
1968,10,1,00:00,UTC,36.7,-6.6
1968,11,1,00:00,UTC,17.3,-5.4
1968,12,1,00:00,UTC,31.3,-5.4
1969,1,1,00:00,UTC,10,-13.5
1969,2,1,00:00,UTC,5.1,-16.2
1969,3,1,00:00,UTC,12.3,-10.3
1969,4,1,00:00,UTC,5.4,-3.2
1969,5,1,00:00,UTC,14.7,2.6
1969,6,1,00:00,UTC,19.2,9.6
1969,7,1,00:00,UTC,55.8,13.4
1969,8,1,00:00,UTC,54.8,12
1969,9,1,00:00,UTC,36.8,5.4
1969,10,1,00:00,UTC,31.8,0.9
1969,11,1,00:00,UTC,22,-6.8
1969,12,1,00:00,UTC,11.2,-9.7
1970,1,1,00:00,UTC,13,-13.5
1970,2,1,00:00,UTC,15.1,-20.5
1970,3,1,00:00,UTC,10.9,-6.2
1970,4,1,00:00,UTC,11,-5.3
1970,5,1,00:00,UTC,8.8,4.3
1970,6,1,00:00,UTC,16.6,14.2
1970,7,1,00:00,UTC,91.1,15.7
1970,8,1,00:00,UTC,12.5,13
1970,9,1,00:00,UTC,89.7,6.2
1970,10,1,00:00,UTC,11.3,0.8
1970,11,1,00:00,UTC,12.1,-9.4
1970,12,1,00:00,UTC,12,-10
1971,1,1,00:00,UTC,26.5,-13.4
1971,2,1,00:00,UTC,10.8,-17.5
1971,3,1,00:00,UTC,14.3,-12
1971,4,1,00:00,UTC,30.6,-4
1971,5,1,00:00,UTC,2.3,3.5
1971,6,1,00:00,UTC,14.8,9.9
1971,7,1,00:00,UTC,51.6,12.8
1971,8,1,00:00,UTC,87.8,11.7
1971,9,1,00:00,UTC,58.2,5
1971,10,1,00:00,UTC,22.5,-1.3
1971,11,1,00:00,UTC,31.8,-12.3
