Year,January,February,March,April,May,June,July,August,September,October,November,December
1901,,,,,,,,,,,,
1902,,,,,,,,,,,,
1903,,,,,,,,,,,,
1904,,,,,,,,,,,,
1905,,,,,,,,,,,,
1906,9.102608,14.12076,14.3,33.78065,32.2313,10.1325,62.61695,58.57999,36.49609,25.24674,20.82076,17.49348
1907,,,,,,,,,,,,
1908,6.651956,11.24674,2.350652,9.859781,24.79945,37.00011,25.70782,14.25847,23.84804,26.99609,7.149348,9.04674
1909,11.75326,5.898695,8.350652,9.859781,19.04358,24.69228,56.765,85.61836,27.07272,23.42206,11.54804,26.98957
1910,,,,,,,,,,,,
1911,,,,,,,,,,,,
1912,,,,,,,,,,,,
1913,,,,,,,,,,,,
1914,,,,,,,,,,,,
1915,,,,,,,,,,,,
1916,,,,,,,,,,,,
1917,,,,,,,,,,,,
1918,,,,,,,,,,,,
1919,,,,,,,,,,,,
1920,,,,,,,,,,,,
1921,,,,,,,,,,,,
1922,,,,,,,,,,,,
1923,,,,,,,,,,,,
1924,,,,,,,,,,,,
1925,,,,,,,,,,,,
1926,,,,,,,,,,,,
1927,,,,,,,,,,,,
1928,,,,,,,,,,,,
1929,2.601304,3.574021,7.050652,8.407825,5.755868,21.265,26.68315,45.6488,22.72337,23.42206,17.52207,4.549348
1930,14.30391,2.449347,3.650651,8.407825,11.73706,35.94946,27.65847,37.01956,32.24674,25.24674,18.24674,17.49348
1931,,,,,,,,,,,,
1932,,,,,,,,,,,,
1933,11.75326,8.272717,3.050652,6.131847,13.56565,31.22087,10.10326,26.84163,32.24674,25.24674,18.24674,17.49348
1934,6.651956,8.697391,4.149999,5.405869,11.38641,39.30402,12.4325,34.34619,6.825977,35.27402,12.32337,5.598696
1935,8.827933,15.74674,3.300652,5.055216,7.307825,45.7813,102.8261,45.9501,15.3487,21.39674,13.67467,4.947392
1936,1.625326,5.322717,6.700652,7.583151,20.34423,50.62618,32.95261,32.0663,29.42402,32.85456,16.37141,20.51881
1937,12.95456,9.699347,5.100651,7.883803,14.24358,24.64032,34.18184,89.80215,23.42533,34.55065,11.32402,6.422718
1938,7.12663,8.623369,6.25,9.507825,13.83641,21.27794,43.85847,59.19814,20.69935,15.77337,10.35065,7.322066
1939,5.527282,9.098695,8.601303,8.034454,7.733802,51.11119,36.23706,62.25282,65.5688,19.89674,13.37402,18.3662
1940,13.40456,6.598043,10.37598,18.69293,25.45206,47.52804,26.07402,43.32086,35.81489,28.19478,11.32402,6.174022
1941,2.67663,6.423369,2.225327,23.52086,20.87021,68.92423,69.03836,64.45141,42.46294,46.29869,22.5987,1.674673
1942,25.95587,19.6188,3.074674,10.33446,20.49619,48.8839,85.44619,68.25206,41.52207,20.47272,9.122719,13.59478
1943,11.35456,13.87337,3.425326,13.91434,27.05271,23.5163,33.78706,85.61639,52.02141,18.39869,7.724022,9.748695
1944,14.38054,6.122717,6.75,13.51435,26.15271,30.23967,29.43184,53.43064,38.17663,36.30457,20.59805,15.54218
1945,12.35456,13.77272,10.75,10.28315,24.2326,29.01696,31.21108,47.75206,30.02076,23.42141,14.52076,18.27141
1946,8.201303,9.972716,11.42467,16.29358,13.58771,34.20271,26.78315,40.68967,44.22142,16.32402,12.9487,9.322065
1947,6.425326,3.848695,4.249348,10.05913,19.57086,65.04369,40.96043,51.27999,27.09804,34.19674,7.424023,10.84674
1948,13.02989,6.223369,4.224674,8.482498,33.61119,14.58772,39.48641,50.92804,25.37076,35.82141,12.32141,4.87337
1949,7.602608,7.498043,12.1987,7.753913,23.62347,24.54098,36.65913,33.54227,17.24935,43.49739,16.14804,25.43957
1950,5.77663,8.048042,7.075325,5.130543,12.89032,97.01456,45.00848,35.29293,17.80065,49.34935,22.74739,18.12141
1951,10.52859,3.924021,6.075326,10.86174,18.57021,37.32739,62.43836,77.06966,20.69543,27.9987,15.99674,13.49739
1952,8.15326,8.372717,4.324021,7.081847,16.24228,44.95597,76.17607,85.41901,37.24739,22.52076,16.29935,8.496088
1953,3.001304,7.122717,5.099999,14.56565,15.69097,18.06174,47.06369,72.28651,24.64739,20.12337,37.5662,27.94087
1954,13.07859,18.04348,22.67402,8.207173,13.88837,45.40858,42.73706,37.24358,23.89478,26.62141,24.59804,15.12011
1955,22.55652,3.124021,2.95,14.61239,10.13445,65.74238,36.4825,42.69945,24.42076,19.32272,10.4487,14.47076
1956,10.00391,17.11946,5.674674,6.330544,8.409128,62.02423,18.27924,21.56174,21.37207,12.02467,21.07272,10.59609
1957,14.97924,10.37467,9.65,14.26369,20.79293,18.61174,26.55521,17.78445,40.79609,10.64804,4.849348,9.471415
1958,13.40391,11.19674,3.175325,9.910433,19.84358,43.58391,14.93119,83.49173,26.99739,24.27272,8.824675,8.64674
1959,9.677282,16.69543,18.22858,10.25848,9.409128,32.89489,6.852608,17.35717,28.06881,13.69739,21.47076,23.58957
1960,6.851956,7.072064,8.400652,6.477283,5.529239,98.69705,28.24282,69.53586,40.77402,21.02206,15.29804,27.66685
1961,10.20326,9.296086,25.82663,11.45848,23.04554,23.83837,60.49097,9.831192,41.17076,36.64348,19.29804,5.373369
1962,23.10717,18.24544,14.17337,21.81956,22.62412,25.83967,33.8163,22.45978,25.5162,28.94608,11.47467,7.596088
1963,10.15196,22.46815,15.97076,15.21565,15.09032,20.99033,68.52021,25.56173,23.29935,31.19543,32.2162,12.5662
1964,13.17793,26.16554,27.42793,9.309129,31.08325,85.32748,24.42859,44.27217,35.67011,40.99739,8.248696,25.96489
1965,21.83185,3.524673,13.5,11.71043,17.44423,54.64043,21.43054,25.28902,28.54739,24.17467,6.948045,17.44348
1966,23.0,21.0,16.0,11.0,14.0,62.0,26.0,41.0,30.0,30.0,55.0,27.0
1967,14.0,9.0,22.0,8.0,25.0,11.0,54.0,16.0,46.0,45.0,15.0,9.0
1968,28.0,21.0,10.0,9.0,21.0,16.0,60.0,24.0,22.14869,37.24739,12.0,13.0
1969,26.0,15.0,1.0,14.0,7.0,3.0,17.0,38.0,20.0,23.0,6.0,16.0
1970,8.0,7.0,7.0,13.0,14.0,36.0,26.0,41.0,20.0,11.0,20.0,11.0
1971,8.0,16.0,22.0,7.0,13.0,55.0,26.0,2.0,20.0,15.0,18.0,16.0
1972,12.0,16.0,10.0,10.0,10.0,15.0,43.0,54.0,23.0,41.0,21.0,22.0
1973,33.0,15.0,5.0,19.0,18.0,46.0,44.0,56.0,39.0,38.0,26.0,17.0
1974,13.0,9.0,7.0,0.0,11.0,30.0,80.0,53.0,44.0,27.0,18.0,6.0
1975,11.0,16.0,4.0,11.0,2.0,31.0,44.0,34.0,8.0,20.0,24.0,20.0
1976,7.0,28.9,7.0,5.0,3.0,16.6,63.4,14.0,18.0,15.0,7.0,9.7
1977,13.0,7.0,2.0,6.0,7.0,33.0,28.0,49.0,33.0,13.0,10.0,13.0
1978,20.0,7.0,7.0,5.0,8.0,10.0,33.0,28.0,16.0,18.0,17.0,10.0
1979,16.0,11.0,12.0,8.0,16.0,15.0,15.0,11.0,17.0,13.0,6.0,5.0
1980,15.0,21.0,9.0,4.0,2.0,33.0,22.9,19.0,12.0,21.0,8.0,5.0
1981,1.0,6.0,9.0,8.0,14.0,26.0,37.0,21.0,39.0,10.0,16.0,15.0
1982,18.0,7.0,4.0,16.0,21.0,22.0,10.0,20.0,2.0,14.0,15.0,7.0
1983,11.0,8.0,1.0,8.0,8.0,22.0,26.0,25.0,19.0,19.0,5.0,19.0
1984,15.0,1.0,5.0,4.0,21.0,20.0,37.0,65.0,31.0,22.8,16.0,11.0
1985,12.5,30.9,15.6,6.0,3.5,35.6,50.2,59.5,37.9,12.4,19.3,21.7
1986,7.2,7.9,1.8,1.8,10.6,7.7,16.7,5.4,9.8,29.9,11.2,2.8
1987,12.8,3.3,4.8,4.7,16.4,32.6,12.0,31.7,23.8,18.0,5.0,13.3
1988,15.5,10.7,1.4,2.6,3.7,26.1,60.9,72.7,21.9,30.9,5.5,3.1
1989,14.1,14.0,2.6,0.2,2.1,65.2,29.0,27.4,29.9,18.8,11.8,8.0
1990,6.2,9.2,11.1,10.6,18.8,66.5,116.3,13.3,34.2,20.5,23.7,6.0
1991,3.0,7.0,20.0,5.3,7.7,83.3,5.6,39.9,18.7,10.0,13.4,15.0
1992,3.3,5.4,4.5,11.4,21.6,14.7,28.5,62.3,7.8,14.9,13.7,3.6
1993,8.2,11.5,8.5,7.4,13.9,6.4,37.2,35.9,7.1,24.3,19.7,3.0
1994,10.7,13.4,4.9,4.8,10.0,23.2,12.9,39.6,8.5,21.7,18.5,21.9
1995,5.1,13.2,7.5,4.7,4.2,8.8,12.1,60.6,42.1,13.6,23.3,11.3
1996,21.0,12.4,15.0,0.6,18.3,38.1,41.8,32.4,13.1,19.1,28.6,16.2
1997,7.8,12.3,5.3,8.1,6.2,11.7,15.7,48.3,35.3,16.8,9.8,5.0
1998,9.0,5.2,15.7,12.7,0.4,14.2,23.9,37.6,17.6,20.3,20.4,4.7
1999,1.7,2.8,7.6,1.5,28.1,13.1,22.4,18.2,31.2,20.1,20.7,15.2
2000,24.7,30.7,13.3,5.9,10.9,27.2,69.8,12.6,37.8,24.6,13.9,5.8
2001,8.4,6.2,2.9,8.3,21.6,9.2,7.3,41.6,48.7,26.2,22.4,8.9
2002,6.5,13.1,27.4,6.2,8.4,2.7,18.3,11.7,15.6,21.8,6.8,49.4
2003,12.9,9.4,5.7,6.7,16.4,36.2,37.2,6.1,16.5,30.6,16.2,10.6
2004,4.1,7.5,9.9,15.4,16.0,6.3,7.4,16.0,25.8,27.9,10.2,16.9
2005,9.8,3.3,10.0,1.6,2.1,5.8,22.0,28.9,15.5,10.3,10.8,14.4
2006,7.1,13.0,14.1,2.2,6.1,28.5,24.3,5.7,23.7,24.3,50.0,10.7
2007,7.6,6.3,11.5,4.0,2.8,10.1,9.1,10.1,15.9,19.4,34.4,17.6
2008,8.0,7.4,11.0,15.9,3.3,22.0,21.0,2.5,11.1,9.3,9.7,24.0
2009,3.5,11.2,7.3,10.2,15.4,14.8,24.5,19.4,18.7,23.4,19.1,23.8
2010,22.4,12.5,23.1,18.7,6.9,22.6,8.3,20.0,28.9,27.9,23.3,22.5
2011,21.1,20.0,23.7,9.6,14.5,22.8,93.9,74.7,67.0,56.0,12.5,12.0
2012,19.7,6.4,5.7,4.6,20.1,10.1,17.4,29.3,15.2,31.5,52.7,23.5
2013,20.6,1.8,13.0,12.0,10.1,14.1,7.8,17.3,41.9,31.4,20.5,10.4
2014,20.4,12.8,8.1,26.3,23.27412,1.7,27.3351,6.0,17.8,19.7,20.9,6.5
2015,12.1,7.5,2.5,11.8,17.1,16.5,46.7163,13.7,50.1,15.0,24.6,6.2
2016,15.9,10.1,18.35065,11.4,12.69032,24.59489,16.12793,20.54163,0.0,62.5,17.8,3.525326
2017,0.0,9.1,13.2,5.9,5.6,7.6,8.6,12.8,17.2,16.1,38.9,16.1
2018,13.6,14.9,5.0,6.1,9.4,1.1,3.3,1.8,13.3,13.2,6.6,5.0
2019,4.7,5.9,4.9,5.6,8.1,0.1,15.0,4.8,10.1,12.8,10.8,13.9
