Year,January,February,March,April,May,June,July,August,September,October,November,December
1901,11.75326,11.24674,13.0,14.01304,16.2663,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1902,11.75326,11.24674,13.0,14.01304,16.2663,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1903,11.75326,11.24674,13.0,14.01304,16.2663,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1904,11.75326,11.24674,13.0,14.01304,16.2663,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1905,11.75326,11.24674,13.0,14.01304,16.2663,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1906,9.102608,14.12076,14.3,33.78065,32.2313,10.1325,62.61695,58.57999,36.49609,25.24674,20.82076,17.49348
1907,11.75326,11.24674,13.0,14.01304,16.2663,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1908,6.651956,11.24674,2.350652,9.859781,24.79945,37.00011,25.70782,14.25847,23.84804,26.99609,7.149348,9.04674
1909,11.75326,5.898695,8.350652,9.859781,19.04358,24.69228,56.765,85.61836,27.07272,23.42206,11.54804,26.98957
1910,11.75326,11.24674,13.0,14.01304,16.2663,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1911,11.75326,11.24674,13.0,14.01304,16.2663,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1912,11.75326,11.24674,13.0,14.01304,16.2663,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1913,11.75326,11.24674,13.0,14.01304,16.2663,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1914,11.75326,11.24674,13.0,14.01304,16.2663,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1915,11.75326,11.24674,13.0,14.01304,16.2663,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1916,11.75326,11.24674,13.0,14.01304,16.2663,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1917,11.75326,11.24674,13.0,14.01304,16.2663,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1918,11.75326,11.24674,13.0,14.01304,16.2663,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1919,11.75326,11.24674,13.0,14.01304,16.2663,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1920,11.75326,11.24674,13.0,14.01304,16.2663,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1921,11.75326,11.24674,13.0,14.01304,16.2663,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1922,11.75326,11.24674,13.0,14.01304,16.2663,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1923,11.75326,11.24674,13.0,14.01304,16.2663,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1924,11.75326,11.24674,13.0,14.01304,16.2663,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1925,11.75326,11.24674,13.0,14.01304,16.2663,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1926,11.75326,11.24674,13.0,14.01304,16.2663,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1927,11.75326,11.24674,13.0,14.01304,16.2663,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1928,11.75326,11.24674,13.0,14.01304,16.2663,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1929,2.601304,3.574021,7.050652,8.407825,5.755868,21.265,26.68315,45.6488,22.72337,23.42206,17.52207,4.549348
1930,14.30391,2.449347,3.650651,8.407825,11.73706,35.94946,27.65847,37.01956,32.24674,25.24674,18.24674,17.49348
1931,11.75326,11.24674,13.0,14.01304,16.2663,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1932,11.75326,11.24674,13.0,14.01304,16.2663,33.27282,34.25978,37.01956,32.24674,25.24674,18.24674,17.49348
1933,11.75326,8.272717,3.050652,6.131847,13.56565,31.22087,10.10326,26.84163,32.24674,25.24674,18.24674,17.49348
1934,6.651956,8.697391,4.149999,5.405869,11.38641,39.30402,12.4325,34.34619,6.825977,35.27402,12.32337,5.598696
1935,8.827933,15.74674,3.300652,5.055216,7.307825,45.7813,102.8261,45.9501,15.3487,21.39674,13.67467,4.947392
1936,1.625326,5.322717,6.700652,7.583151,20.34423,50.62618,32.95261,32.0663,29.42402,32.85456,16.37141,20.51881
1937,12.95456,9.699347,5.100651,7.883803,14.24358,24.64032,34.18184,89.80215,23.42533,34.55065,11.32402,6.422718
1938,7.12663,8.623369,6.25,9.507825,13.83641,21.27794,43.85847,59.19814,20.69935,15.77337,10.35065,7.322066
1939,5.527282,9.098695,8.601303,8.034454,7.733802,51.11119,36.23706,62.25282,65.5688,19.89674,13.37402,18.3662
1940,13.40456,6.598043,10.37598,18.69293,25.45206,47.52804,26.07402,43.32086,35.81489,28.19478,11.32402,6.174022
1941,2.67663,6.423369,2.225327,23.52086,20.87021,68.92423,69.03836,64.45141,42.46294,46.29869,22.5987,1.674673
1942,25.95587,19.6188,3.074674,10.33446,20.49619,48.8839,85.44619,68.25206,41.52207,20.47272,9.122719,13.59478
1943,11.35456,13.87337,3.425326,13.91434,27.05271,23.5163,33.78706,85.61639,52.02141,18.39869,7.724022,9.748695
1944,14.38054,6.122717,6.75,13.51435,26.15271,30.23967,29.43184,53.43064,38.17663,36.30457,20.59805,15.54218
1945,12.35456,13.77272,10.75,10.28315,24.2326,29.01696,31.21108,47.75206,30.02076,23.42141,14.52076,18.27141
1946,8.201303,9.972716,11.42467,16.29358,13.58771,34.20271,26.78315,40.68967,44.22142,16.32402,12.9487,9.322065
1947,6.425326,3.848695,4.249348,10.05913,19.57086,65.04369,40.96043,51.27999,27.09804,34.19674,7.424023,10.84674
1948,13.02989,6.223369,4.224674,8.482498,33.61119,14.58772,39.48641,50.92804,25.37076,35.82141,12.32141,4.87337
1949,7.602608,7.498043,12.1987,7.753913,23.62347,24.54098,36.65913,33.54227,17.24935,43.49739,16.14804,25.43957
1950,5.77663,8.048042,7.075325,5.130543,12.89032,97.01456,45.00848,35.29293,17.80065,49.34935,22.74739,18.12141
1951,10.52859,3.924021,6.075326,10.86174,18.57021,37.32739,62.43836,77.06966,20.69543,27.9987,15.99674,13.49739
1952,8.15326,8.372717,4.324021,7.081847,16.24228,44.95597,76.17607,85.41901,37.24739,22.52076,16.29935,8.496088
1953,3.001304,7.122717,5.099999,14.56565,15.69097,18.06174,47.06369,72.28651,24.64739,20.12337,37.5662,27.94087
1954,13.07859,18.04348,22.67402,8.207173,13.88837,45.40858,42.73706,37.24358,23.89478,26.62141,24.59804,15.12011
1955,22.55652,3.124021,2.95,14.61239,10.13445,65.74238,36.4825,42.69945,24.42076,19.32272,10.4487,14.47076
1956,10.00391,17.11946,5.674674,6.330544,8.409128,62.02423,18.27924,21.56174,21.37207,12.02467,21.07272,10.59609
1957,14.97924,10.37467,9.65,14.26369,20.79293,18.61174,26.55521,17.78445,40.79609,10.64804,4.849348,9.471415
1958,13.40391,11.19674,3.175325,9.910433,19.84358,43.58391,14.93119,83.49173,26.99739,24.27272,8.824675,8.64674
1959,9.677282,16.69543,18.22858,10.25848,9.409128,32.89489,6.852608,17.35717,28.06881,13.69739,21.47076,23.58957
1960,6.851956,7.072064,8.400652,6.477283,5.529239,98.69705,28.24282,69.53586,40.77402,21.02206,15.29804,27.66685
1961,10.20326,9.296086,25.82663,11.45848,23.04554,23.83837,60.49097,9.831192,41.17076,36.64348,19.29804,5.373369
1962,23.10717,18.24544,14.17337,21.81956,22.62412,25.83967,33.8163,22.45978,25.5162,28.94608,11.47467,7.596088
1963,10.15196,22.46815,15.97076,15.21565,15.09032,20.99033,68.52021,25.56173,23.29935,31.19543,32.2162,12.5662
1964,13.17793,26.16554,27.42793,9.309129,31.08325,85.32748,24.42859,44.27217,35.67011,40.99739,8.248696,25.96489
1965,21.83185,3.524673,13.5,11.71043,17.44423,54.64043,21.43054,25.28902,28.54739,24.17467,6.948045,17.44348
1966,14.0,10.0,7.0,15.0,36.0,57.0,65.0,24.0,45.0,26.0,23.0,29.0
1967,17.0,17.0,13.0,18.0,11.0,15.0,12.0,50.0,39.0,23.0,38.0,24.0
1968,7.0,9.0,22.0,17.0,9.0,32.0,62.0,48.0,24.0,36.0,6.0,39.0
1969,10.0,15.0,8.0,12.0,13.0,42.0,30.0,20.0,29.0,12.0,21.0,27.0
1970,7.0,1.0,10.0,6.0,18.0,39.0,75.0,28.0,46.0,37.0,24.0,15.0
1971,15.0,11.0,2.0,20.5,8.0,16.0,60.8,16.9,30.6,31.0,35.0,33.0
1972,18.5,8.0,8.0,26.8,13.4,13.0,52.0,29.6,30.0,25.0,9.2,16.0
1973,16.0,25.0,14.0,6.0,17.0,17.0,72.0,17.0,47.0,33.0,23.32076,10.0
1974,7.0,18.0,16.0,10.0,22.0,31.0,49.0,50.0,13.0,50.0,30.16554,20.8
1975,7.0,10.0,7.0,17.0,28.0,30.0,35.0,12.0,36.0,25.0,17.0,24.0
1976,24.0,8.0,9.0,10.0,8.0,14.0,26.0,26.0,23.0,51.0,18.0,22.0
1977,8.0,9.0,8.0,31.0,6.0,22.0,53.0,15.0,26.0,17.0,27.0,38.0
1978,7.0,15.0,8.0,5.0,11.0,10.0,19.0,24.0,28.0,13.0,18.0,3.0
1979,4.0,8.447392,2.0,4.0,9.0,19.0,12.0,21.0,39.0,15.0,18.0,17.0
1980,7.0,10.0,10.0,7.0,28.0,48.0,9.0,50.0,46.0,51.0,4.0,8.0
1981,19.0,10.0,17.0,21.0,14.0,46.0,2.0,23.0,25.0,3.0,16.0,26.0
1982,4.0,11.0,8.0,22.0,3.0,51.0,41.0,9.0,52.0,28.0,4.0,14.0
1983,15.0,8.0,8.0,9.0,16.0,11.0,35.0,4.0,28.0,9.0,20.0,14.0
1984,15.0,13.0,8.0,9.0,17.0,18.0,15.0,57.0,57.0,28.0,15.0,77.0
1985,5.0,7.2,55.2,17.3,5.8,12.1,15.2,56.3,43.2,18.5,27.1,8.1
1986,15.0,28.6,7.9,9.8,17.0,44.8,20.1,27.4,20.1,20.8,28.7,7.5
1987,4.4,9.2,30.1,9.0,27.0,35.6,23.0,16.2,5.5,45.6,51.1,16.0
1988,17.3,14.4,13.8,10.1,5.4,38.8,44.8,47.8,84.9,33.0,9.0,24.1
1989,5.5,5.3,21.9,30.6,16.7,28.2,54.2,58.9,44.9,21.2,17.2,11.4
1990,7.2,7.7,20.9,28.0,22.4,32.6,36.9,43.1,1.0,23.6,5.4,23.1
1991,3.0,9.0,9.4,27.7,24.4,12.1,57.9,79.7,7.9,24.2,24.3,12.2
1992,9.8,7.0,25.4,7.4,22.1,35.9,27.2,20.6,24.6,31.3,9.6,23.4
1993,37.0,18.8,25.3,18.0,14.9,28.9,58.1,46.9,18.3,16.2,20.3,32.6
1994,6.0,4.2,9.6,11.2,21.8,24.3,49.5,92.7,33.4,45.5,16.5,10.9
1995,18.0,16.4,8.8,12.5,11.5,51.2,74.5,16.7,24.8,17.9,11.8,8.8
1996,21.3,29.9,21.0,5.1,33.9,10.7,66.8,49.3,19.3,17.6,26.5,8.5
1997,4.4,3.2,4.6,16.1,17.3,35.2,15.9,47.3,20.0,24.7,13.2,14.4
1998,3.3,9.7,15.2,9.5,8.6,4.9,82.3,39.4,34.6,15.1,10.8,7.7
1999,7.3,17.5,6.3,5.4,7.0,43.0,43.1,78.4,48.8,42.2,34.4,12.7
2000,14.1,5.3,8.1,11.0,17.2,93.4,24.4,3.7,14.3,37.6,17.1,4.5
