Year,January,February,March,April,May,June,July,August,September,October,November,December
1901,-38.70185,-32.84877,-26.09754,-17.89631,-5.321612,7.652465,9.951849,7.32654,1.101848,-15.59877,-28.62593,-28.27408
1902,-37.97654,-32.97408,-30.42346,-20.94692,-8.122228,8.027773,10.55185,6.17654,-0.3487679,-15.12408,-29.62593,-36.12654
1903,-33.95062,-31.97408,-27.04754,-21.67223,-4.171612,8.402466,13.25247,7.351849,0.3265401,-14.12346,-25.1,-39.07777
1904,-35.57593,-36.15,-26.84754,-18.97161,-8.047536,5.251849,10.42654,7.32654,-0.5234598,-16.17408,-24.8,-32.62593
1905,-37.72593,-36.85,-29.67346,-20.49692,-6.19692,6.077157,8.151233,6.976541,0.001848221,-17.09938,-31.07654,-33.42593
1906,-35.77592,-34.44939,-28.94815,-18.97161,-5.04692,7.152465,10.75185,8.677156,1.952464,-12.24815,-28.40062,-32.97531
1907,-36.35062,-33.79939,-30.42346,-17.171,-4.821612,6.952465,11.27716,6.701232,1.101848,-10.19754,-25.5,-38.77777
1908,-41.10247,-34.64939,-32.17408,-19.22223,-3.846304,8.627773,12.65246,7.051848,3.002465,-10.64754,-28.10062,-37.82716
1909,-39.40123,-37.77531,-31.34877,-16.59569,-4.571612,6.401849,12.17716,9.852465,0.9018482,-10.09754,-28.82593,-32.97593
1910,-34.20062,-34.84939,-30.64877,-17.32161,-5.64692,8.152465,10.85185,9.552464,0.9271563,-10.74754,-27.25062,-38.32716
1911,-40.35185,-30.37346,-27.97285,-17.371,-7.122228,6.627157,11.90246,9.002465,-0.9487678,-12.99815,-24.12469,-32.95062
1912,-37.17593,-36.87531,-32.99939,-18.2963,-4.821612,7.152465,9.151233,7.351849,-0.3487679,-15.49877,-28.00062,-37.07716
1913,-37.52592,-37.97531,-28.42285,-20.97223,-5.521612,6.477157,10.65185,8.927156,1.101848,-13.99877,-29.80124,-33.12593
1914,-38.87654,-31.87346,-31.84877,-20.19692,-6.29692,8.653081,13.17777,7.351849,2.427156,-13.57346,-29.52593,-32.15062
1915,-39.60185,-37.45,-27.34754,-18.77161,-3.420996,5.827157,9.62654,5.151232,0.07654011,-16.07408,-30.30124,-37.92716
1916,-35.45062,-37.6,-28.64815,-19.67161,-6.39692,6.552465,10.95185,9.127156,0.27654,-9.772227,-25.52531,-36.67716
1917,-34.50062,-34.22408,-28.99754,-17.421,-3.220996,8.427773,13.05247,9.577157,0.6765402,-15.22408,-28.20062,-33.62593
1918,-37.10123,-37.2,-27.34754,-18.97161,-5.772228,7.252465,9.151233,7.951849,0.9018482,-11.37284,-27.70062,-36.87716
1919,-37.02592,-39.90123,-30.94877,-16.39569,-5.121612,7.252465,10.15185,9.377156,3.002465,-11.27284,-26.27531,-31.62531
1920,-32.5,-32.59939,-26.22223,-13.81977,-5.221612,6.077157,10.95185,8.927156,1.101848,-14.89877,-29.92654,-34.70123
1921,-35.85062,-31.39815,-30.57346,-20.32223,-6.09692,7.252465,9.326541,8.477157,2.352464,-13.77346,-21.54877,-37.42716
1922,-37.85123,-38.85062,-28.54815,-20.67223,-6.44692,7.252465,9.67654,6.62654,-0.02345991,-15.29877,-29.70123,-30.67469
1923,-38.05124,-34.44939,-27.19754,-19.67161,-6.722228,6.277157,9.326541,7.551848,-0.02345991,-13.37346,-26.62531,-34.37654
1924,-38.17654,-36.15,-29.24815,-20.67223,-6.44692,6.627157,9.67654,8.251848,2.077156,-13.87346,-23.59939,-31.67531
1925,-33.45,-36.45,-26.94754,-20.39692,-5.621612,5.877157,10.35185,6.851849,-0.3487679,-12.87346,-27.60062,-33.32592
1926,-35.75062,-34.44939,-27.67285,-19.84692,-4.721612,5.151849,11.97716,8.802464,2.027156,-14.87408,-26.90062,-32.92531
1927,-37.10123,-36.35,-32.29939,-18.0463,-3.370996,7.577773,10.75185,7.751849,1.927156,-10.17223,-20.49815,-31.87531
1928,-37.45123,-35.3247,-27.14754,-16.971,-6.49692,6.952465,9.776541,8.677156,0.02654016,-12.89815,-27.37531,-32.40062
1929,-34.85123,-31.62469,-31.64815,-20.0963,-4.546304,7.252465,10.40246,7.151849,-1.598152,-13.79815,-31.77531,-33.02592
1930,-34.55185,-36.54939,-25.54754,-18.87161,-7.870996,8.577157,10.42716,7.902464,1.601848,-15.84877,-24.47593,-34.55123
1931,-38.55185,-38.2,-26.79754,-22.14754,-4.54692,8.003081,12.90246,8.427156,1.901848,-9.124692,-25.37593,-31.65308
1932,-37.50123,-32.00124,-27.97346,-19.32223,-7.370996,7.052465,10.40246,8.951849,2.62654,-12.04877,-28.45,-36.92593
1933,-32.35,-36.7,-30.29815,-20.99631,-5.021612,7.452465,10.87716,8.402465,0.8024644,-11.07346,-26.44939,-34.0
1934,-34.65062,-32.40123,-30.52346,-20.94692,-3.272228,7.652465,14.00185,7.551848,1.901848,-11.97346,-25.55123,-35.92593
1935,-38.15062,-35.65062,-30.69815,-18.37161,-4.221612,6.852465,12.65185,8.651849,2.677773,-13.32284,-26.5747,-30.72469
1936,-38.57716,-33.99877,-31.74815,-18.92223,-5.09692,7.901849,12.35185,8.851849,2.22654,-11.67346,-24.40062,-33.92716
1937,-36.02654,-31.85062,-29.89754,-20.07161,-4.09692,7.127157,10.75185,9.401233,2.151232,-10.82408,-24.32654,-27.57592
1938,-34.25185,-33.8247,-29.99877,-16.67285,-7.170996,7.752465,11.95185,8.301232,2.52654,-13.37469,-20.40185,-31.50247
1939,-40.65062,-33.94939,-28.14754,-21.121,-4.845688,6.952465,9.151849,8.427156,2.801848,-9.5,-23.9,-32.7
1940,-28.0,-31.5,-24.8,-15.8,-3.9,6.6,11.4,7.751849,-0.5981519,-14.84877,-27.35123,-34.57592
1941,-36.25,-35.94939,-31.72285,-18.7963,-5.896304,5.703081,12.82654,8.051848,1.601848,-12.12408,-30.60062,-32.62716
1942,-32.35062,-33.9247,-33.92284,-19.72223,-5.59692,6.427157,10.70247,7.32654,1.301848,-12.42408,-25.25,-31.12469
1943,-34.3,-34.3247,-24.24877,-14.42346,-2.272228,7.177157,9.351849,7.301232,1.57654,-9.924692,-24.77716,-34.77654
1944,-34.85185,-35.64939,-27.37284,-19.52223,-2.74692,6.752465,9.377156,9.1,2.9,-12.8,-23.7,-29.5
1945,-39.3,-32.5,-29.7,-16.4,-2.8,5.6,10.4,9.2,-0.6,-10.7,-25.1,-29.3
1946,-35.7,-39.0,-29.9,-19.6,-3.7,6.6,9.0,5.8,-0.9,-15.8,-25.9,-36.5
1947,-34.1,-28.7,-27.5,-16.9,-7.8,4.9,9.5,7.451849,2.7,-7.2,-23.3,-33.3
1948,-35.7,-30.4,-26.5,-17.0,-1.9,5.7,6.5,7.7,-0.9,-11.9,-26.0,-35.0
1949,-37.9,-34.8,-24.9,-16.4,-4.8,3.4,8.6,4.9,-2.4,-10.9,-26.9,-27.6
1950,-30.4,-34.5,-31.5,-22.7,-10.4,5.9,7.4,3.9,-1.5,-13.7,-29.0,-33.8
1951,-39.2,-33.7,-26.7,-21.1,-5.0,8.4,10.5,7.5,1.0,-12.2,-28.5,-30.4
1952,-37.3,-34.4,-24.0,-19.4,-9.0,5.4,12.1,10.1,1.9,-13.4,-26.3,-31.4
1953,-31.2,-34.0,-25.7,-19.0,-4.3,6.8,10.7,8.7,2.2,-11.8,-23.9,-33.1
1954,-35.3,-32.6,-28.4,-13.0,-5.0,3.5,9.4,5.4,0.4,-9.9,-25.5,-31.0
1955,-32.1,-34.4,-30.9,-22.0,-6.0,6.1,8.9,9.3,-0.4,-13.8,-27.7,-29.3
1956,-32.5,-31.9,-28.4,-24.6,-7.7,8.4,9.9,5.4,0.0,-15.3,-25.1,-31.2
1957,-33.4,-35.9,-29.8,-18.2,-4.1,7.9,8.4,5.7,-0.4,-14.5,-25.2,-34.8
