Year,January,February,March,April,May,June,July,August,September,October,November,December
1901,0.1,0.1,0.2,0.9,2.700584,6.075875,6.475876,6.075875,3.925292,1.025292,0.1,0.2
1902,0.1,0.1,0.1,0.5,1.65,6.350584,6.975876,5.225292,3.225292,1.125292,0.1,0.1
1903,0.1,0.1,0.2,0.4,3.100584,6.650584,9.675876,6.175876,3.625292,1.225292,0.2,0.1
1904,0.1,0.1,0.2,0.7747083,1.725292,4.5,6.875876,6.075875,3.225292,0.9252917,0.2,0.1
1905,0.1,0.1,0.1,0.5,2.300584,4.950583,5.075876,5.875875,3.425292,0.8252917,0.1,0.1
1906,0.1,0.1,0.1,0.8,2.800584,5.750584,7.175876,7.175876,4.325292,1.625292,0.1,0.1
1907,0.1,0.1,0.1,1.1,2.900584,5.550583,7.575876,5.575875,3.925292,2.025292,0.1,0.1
1908,0.1,0.1,0.0,0.7747083,3.300584,6.850584,9.02646,5.875875,4.925292,1.925292,0.1,0.1
1909,0.1,0.1,0.0,1.2,3.000584,5.150583,8.551168,8.32646,3.825292,2.025292,0.1,0.1
1910,0.1,0.1,0.1,1.0,2.500584,6.450583,7.275876,7.951167,3.925292,1.925292,0.1,0.1
1911,0.1,0.2,0.1,1.0,2.000584,5.350584,8.275876,7.475875,3.025292,1.425292,0.2,0.1
1912,0.1,0.1,0.0,0.8,2.900584,5.750584,5.825293,6.175876,3.325292,1.025292,0.1,0.1
1913,0.1,0.1,0.1,0.5,2.600584,5.250584,7.075876,7.375875,3.925292,1.225292,0.1,0.1
1914,0.1,0.2,0.0,0.6,2.300584,6.850584,9.575876,6.175876,4.625292,1.325292,0.1,0.1
1915,0.1,0.1,0.2,0.7747083,3.500584,4.850583,6.175876,4.575875,3.425292,0.9252917,0.1,0.1
1916,0.1,0.1,0.1,0.6747082,2.300584,5.350584,7.375876,7.675876,3.525292,2.125292,0.1,0.1
1917,0.1,0.1,0.1,1.0,3.600584,6.750584,9.501168,8.126459,3.725292,1.025292,0.1,0.1
1918,0.1,0.1,0.2,0.7747083,2.500584,5.850584,5.825293,6.675875,3.925292,1.750584,0.1,0.1
1919,0.1,0.1,0.0,1.2,2.800584,5.750584,6.575876,7.875875,4.925292,1.750584,0.1,0.1
1920,0.1,0.1,0.2,1.9,2.700584,4.950583,7.375876,7.375875,3.925292,1.125292,0.1,0.1
1921,0.1,0.2,0.1,0.6,2.400584,5.850584,5.925292,6.975875,4.625292,1.325292,0.1,0.1
1922,0.1,0.1,0.1,0.5,2.200584,5.750584,6.175876,5.575875,3.425292,1.025292,0.1,0.2
1923,0.1,0.1,0.2,0.6747082,2.100584,5.050583,5.925292,6.275875,3.425292,1.325292,0.1,0.1
1924,0.1,0.1,0.1,0.5,2.200584,5.350584,6.175876,6.826459,4.425292,1.325292,0.2,0.1
1925,0.1,0.1,0.2,0.6,2.500584,4.850583,6.775876,5.675876,3.225292,1.525292,0.1,0.1
1926,0.1,0.1,0.1,0.6747082,3.300584,4.4,8.82646,7.675876,4.225292,0.9252917,0.1,0.1
1927,0.1,0.1,0.0,0.8,3.500584,6.550583,8.075876,6.975875,4.525292,2.125292,0.1,0.1
1928,0.1,0.1,0.2,1.1,2.400584,6.150584,7.275876,7.575876,3.625292,1.425292,0.1,0.1
1929,0.1,0.2,0.1,0.8,3.300584,5.901167,7.82646,6.601167,3.025292,1.325292,0.1,0.1
1930,0.1,0.1,0.1,0.8,2.050584,6.650584,7.301168,6.775875,4.125292,1.025292,0.1,0.1
1931,0.1,0.1,0.2,0.4247083,3.100584,6.425875,8.72646,6.926459,4.025292,1.95,0.1,0.2
1932,0.1,0.1247083,0.1,0.7747083,2.300584,6.050583,7.075876,7.075876,4.325292,1.525292,0.1,0.1
1933,0.1,0.1,0.1,0.6,2.900584,5.750584,7.577043,7.026459,3.975876,1.725292,0.1,0.1
1934,0.1,0.1,0.1,0.5,3.300584,6.250584,10.05117,7.126459,4.425292,1.525292,0.1,0.1
1935,0.1,0.1,0.1,0.9,3.051167,5.850584,8.426459,7.175876,4.825292,1.325292,0.2,0.1494165
1936,0.0,0.1,0.0,0.8,2.900584,6.250584,8.52646,7.326459,4.675292,1.574708,0.2,0.1
1937,0.1,0.2,0.0,0.6,3.100584,5.875875,7.275876,7.175876,4.125292,1.674708,0.2,0.2
1938,0.1,0.1,0.1,1.2,2.100584,6.175875,7.926459,7.000584,4.725292,1.374708,0.2,0.1494165
1939,0.05058352,0.1,0.1,0.5,2.851167,5.650584,6.525292,7.301167,4.525292,1.674708,0.2,0.1
1940,0.2,0.1,0.3,1.049417,2.8,6.250584,8.075876,6.500584,3.3,1.174708,0.1,0.1
1941,0.1,0.1,0.0,0.9,2.700584,5.250584,8.12646,7.126459,4.025292,1.525292,0.0,0.1
1942,0.1,0.1,0.0,0.8752918,2.600584,5.601167,7.426459,6.775875,3.9,1.525292,0.1,0.2
1943,0.1,0.1494165,0.4,1.4,3.25,5.950583,6.775876,6.625292,4.325292,2.125292,0.2,0.1
1944,0.1,0.2,0.2,0.6494165,3.500584,5.950583,7.201168,6.726459,5.075876,1.4,0.1747083,0.2
1945,0.02529176,0.1,0.1,0.9,3.600584,5.725292,7.926459,7.375875,3.850584,1.825292,0.1252918,0.1247083
1946,0.1,0.0,0.0,0.7,2.900584,5.650584,7.251168,6.026459,3.450584,1.025292,0.1,0.0
1947,0.1,0.2,0.1,1.0,2.45,5.950583,7.775876,6.200583,4.3,2.025292,0.2,0.1
1948,0.1,0.1247083,0.3,1.0,3.251167,6.175875,6.300584,6.575876,3.375875,1.725292,0.2,0.1
1949,0.05058352,0.1,0.2,1.0,3.151167,6.001167,6.975876,6.251167,4.525292,1.775875,0.1,0.2
1950,0.1,0.1,0.07529176,0.6,2.200584,5.850584,6.775876,5.775876,3.325292,1.325292,0.0,0.1
1951,0.1,0.1,0.2,0.7,3.000584,6.350584,7.82646,7.326459,4.525292,1.574708,0.2,0.2
1952,0.1,0.1,0.2505835,0.8247082,2.400584,5.750584,8.52646,8.226459,4.574709,1.35,0.1252918,0.1
1953,0.2,0.1,0.3,0.9252918,3.700584,6.250584,7.175876,7.000584,4.325292,1.525292,0.2,0.1
1954,0.1,0.1,0.1,1.2,2.600584,5.901167,7.877043,6.726459,3.925292,1.674708,0.1494165,0.1247083
1955,0.1747082,0.1,0.0,0.4,2.751167,5.7,6.250584,7.075876,3.900584,1.3,0.1,0.1
1956,0.1,0.1747082,0.1,0.3,2.400584,6.701167,6.675876,5.675876,3.725292,0.9252917,0.2,0.2
1957,0.2,0.1,0.1,0.7,3.000584,6.150584,6.926459,5.875875,3.325292,1.025292,0.1,0.1
1958,0.1,0.07470825,0.0,0.5,2.400584,5.550583,7.52646,7.375875,4.125292,1.325292,0.0,0.1
1959,0.1,0.1494165,0.4,0.8,3.475292,6.1,7.52646,7.026459,4.725292,1.625292,0.3,0.0
1960,0.1747082,0.2,0.5,1.1,3.6,7.6,11.0,7.5,4.7,1.3,0.6,0.2
1961,0.2,0.2,0.4,0.9,3.0,7.2,9.4,7.7,5.5,1.7,0.7,0.3
1962,0.2,0.2,0.5,1.4,3.7,6.6,7.8,7.4,4.0,1.8,0.6,0.2
1963,0.2,0.2,0.6,1.2,2.9,6.0,8.2,8.0,4.6,1.6,0.6,0.3
1964,0.1,0.6,0.4,1.0,3.0,7.5,7.3,7.8,4.2,1.8,0.3,0.3
1965,0.2,0.2,0.4,1.2,3.4,8.2,9.1,7.4,5.4,2.3,0.6,0.2
1966,0.1,0.2,0.4,1.2,4.1,7.8,9.7,8.3,5.5,1.6,0.6,0.4
1967,0.0,0.2,0.5,1.3,4.3,7.6,8.9,7.3,5.7,2.1,0.5,0.2
1968,0.4,0.7,0.6,1.6,4.2,7.0,9.2,8.2,5.5,2.0,0.3,0.2
1969,0.3,0.1,0.3,1.0,4.0,8.3,9.7,10.2,5.4,1.8,0.3,0.3
1970,0.2,0.3,0.5,1.0,3.7,7.8,10.5,7.0,5.9,2.0,0.4,0.4
1971,0.1,0.3,0.6,1.2,4.2,7.2,11.0,9.2,5.8,2.3,0.5,0.2
1972,0.2,0.2,0.4,1.4,4.4,5.6,9.7,7.0,4.8,2.7,0.4,0.2
1973,0.3,0.4,0.3,1.6,3.8,9.2,10.7,9.1,5.2,1.7,0.4,0.3
1974,0.2,0.2,0.4,1.3,3.8,7.7,11.1,9.0,5.0,1.7,0.4,0.3
1975,0.3,0.3,0.6,1.6,4.0,7.5,8.8,9.0,5.1,2.0,0.8,0.6
1976,0.2,0.2,0.5,1.6,3.7,6.7,9.4,7.5,5.2,1.2,0.3,0.2
1977,0.3,0.2,0.2,1.5,4.2,8.6,10.4,8.3,4.5,1.5,0.4,0.2
1978,0.1,0.3,0.6,1.3,3.2,7.9,8.4,9.1,5.1,2.0,0.7,0.3
1979,0.2,0.2,0.3,1.0,4.1,6.3,7.6,7.4,4.2,1.5,0.3,0.4
1980,0.3,0.4,0.5,1.1,4.8,7.2,9.3,9.6,6.1,2.0,0.3,0.3
1981,0.5,0.2,0.5,1.4,3.8,7.7,9.3,7.8,4.8,1.5,0.6,0.4
1982,0.2,0.3,0.3,1.7,2.8,6.4,9.5,8.0,5.9,1.8,0.3,0.2
1983,0.2,0.3,0.4,1.0,4.1,7.1,9.9,9.6,5.8,1.6,0.4,0.3
1984,0.3,0.1,0.3,1.4,3.6,6.7,9.0,7.5,4.1,1.9,0.6,0.2
1985,0.3,0.5,0.5,1.2,3.6,6.4,10.1,7.8,5.7,1.8,0.4,0.4
1986,0.2,0.3,0.4,1.3,3.4,8.0,8.0,7.8,4.9,2.1,0.4,0.2
1987,0.2,0.2,0.4,0.9,2.9,7.3,11.3,8.8,4.2,1.4,0.3,0.2
1988,0.2,0.3,0.5,1.5,4.1,7.8,12.2,8.0,5.6,2.0,0.4,0.4
1989,0.2,0.3,0.7,1.1,3.9,7.7,9.0,8.0,5.7,1.5,0.5,0.3
1990,0.2,0.4,1.1,1.7,4.6,7.1,8.2,8.2,4.5,1.9,0.4,0.2
1991,0.2,0.2,0.5,1.6,3.7,7.2,10.6,12.1,5.1,2.0,0.7,0.6
1992,0.2,0.2,0.6,1.3,3.5,6.7,9.3,6.9,4.8,1.4,0.3,0.3
1993,0.4,0.2,0.5,1.0,3.7,7.0,8.9,7.2,5.3,1.6,0.4,0.1
