Year,January,February,March,April,May,June,July,August,September,October,November,December
1901,0.4,0.3494462,1.025277,1.350554,4.175831,7.975832,9.97583,8.825277,6.551108,3.350554,1.050554,0.8000001
1902,0.6,0.7,0.3252769,1.650554,4.375831,7.675831,10.60111,9.175831,6.351108,3.475831,0.8000001,0.5
1903,0.4,0.6,0.825277,1.375831,4.275831,8.226385,9.800553,9.351108,6.000554,2.6,0.8505539,1.1
1904,0.5,0.3,0.45,2.351662,4.425277,7.575831,9.47583,8.675831,5.25,3.225831,1.050554,1.1
1905,0.5,0.7505538,1.125277,2.226384,5.026385,8.626386,9.875831,9.175831,6.000554,2.850554,1.525831,0.7
1906,0.3747231,0.6,1.125277,1.701108,4.626385,8.175832,9.97583,8.225277,5.825277,3.525831,1.050554,0.5
1907,0.5,0.3,0.3747231,1.825831,5.101108,7.500555,9.325276,8.425277,6.000554,3.050554,0.9505539,0.825277
1908,0.7,0.6,0.5747231,1.825831,4.626385,7.975832,9.67583,8.3,5.55,2.2,1.050554,0.8000001
1909,0.3,0.3,1.125277,1.150554,4.275831,7.500555,9.97583,8.425277,5.900554,2.850554,0.7505538,0.6
1910,0.5,0.3,0.825277,1.450554,4.100554,7.675831,9.875831,7.9,6.200554,2.950554,1.050554,0.6
1911,0.3,0.7,0.6252769,1.150554,4.626385,7.775832,9.47583,8.025277,5.700554,3.475831,0.8505539,0.825277
1912,0.6,1.150554,1.125277,1.801108,4.475831,7.150555,9.225276,8.125277,5.825277,3.401108,1.050554,0.7
1913,0.3747231,0.7,0.825277,1.701108,4.175831,7.500555,10.07583,8.125277,5.65,2.6,1.050554,0.8000001
1914,0.5,0.9000001,0.9252769,1.501108,4.225277,7.575831,8.95,8.975831,5.475277,3.801108,1.350554,0.8000001
1915,1.1,0.5747231,1.300554,2.626385,4.450554,8.101109,10.35166,9.150554,6.225831,2.5,1.325277,0.7747231
1916,0.425277,0.5,0.45,2.526385,4.650554,7.850554,9.699999,8.550553,6.300554,3.626385,1.250554,0.5
1917,0.4,0.5505539,0.8505539,1.675831,3.950554,6.875832,9.174723,8.625278,6.15,2.850554,0.8505539,0.7
1918,0.7,0.4252769,0.3252769,1.675831,4.0,7.000001,9.375831,8.475277,6.200554,2.750554,1.175831,0.7
1919,0.6,0.6,0.3252769,2.051661,4.125831,6.924724,9.601108,8.875831,6.000554,2.375831,0.7758307,0.6
1920,0.425277,0.9000001,0.4752769,1.075831,3.750554,7.850554,9.599999,8.175831,5.675277,2.425277,1.201108,0.6252769
1921,0.4,0.5,0.6252769,1.701108,4.250554,8.301108,9.82583,8.551107,5.25,3.075831,0.7758307,0.825277
1922,0.825277,0.4,0.4,1.701108,3.825277,6.974724,8.95,8.1,5.175277,3.451662,1.250554,0.6
1923,0.425277,0.825277,0.4752769,1.851108,4.250554,8.125278,9.525276,9.401108,6.200554,3.551662,1.675831,0.5747231
1924,0.8000001,0.6,1.226385,0.9252768,4.626385,7.375832,9.099999,8.350554,5.725831,2.625277,1.175831,0.4747231
1925,0.3,0.2494462,0.5,1.551108,4.375831,7.650555,9.049445,8.350554,5.951108,3.376385,1.601108,1.0
1926,1.550554,0.7,1.601108,2.126384,4.575831,7.475832,8.726384,7.975831,5.576385,3.175831,1.375831,0.6
1927,0.525277,0.7,0.9,1.101108,4.375831,7.575831,9.27583,8.475831,5.375277,2.250554,0.5758308,0.3
1928,0.9,0.925277,0.3252769,1.076385,4.075831,7.650555,8.750553,7.975831,5.300554,2.550554,1.750554,1.0
1929,0.7252769,0.825277,0.5252769,1.701108,4.375831,7.275831,8.875831,8.350554,6.425831,4.025277,1.375831,0.6
1930,0.4,0.3,0.7252769,1.426385,4.675831,7.750555,10.25055,9.475831,6.475277,2.551108,0.8005539,0.9252769
1931,0.875277,0.875277,0.425277,1.525831,4.025831,7.324724,8.924169,7.775831,5.899446,2.974723,1.300554,0.6494462
1932,0.4247231,0.2,0.7005538,2.076385,4.901108,7.625278,9.45,9.374723,5.9,2.875831,0.4505539,0.5
1933,0.3247231,0.4,0.6252769,1.551661,4.175831,6.375278,8.225277,8.8,5.75,2.450554,1.025831,0.3
1934,0.35,1.05,0.4752769,1.851108,4.4,6.700554,8.874722,8.625831,5.000554,3.501108,1.050554,0.8000001
1935,0.4,1.175277,0.25,1.575831,3.475831,6.774724,9.049999,7.349446,5.15,2.375831,0.6505538,0.6
1936,0.5,0.09999996,0.6,1.376384,4.176385,7.975832,9.125831,9.351662,5.175277,2.801661,1.175831,0.3247231
1937,0.9752769,0.4247231,0.9999999,2.000554,3.850554,7.800554,8.825276,8.351108,6.525277,3.900554,1.525831,0.5
1938,0.5747231,0.4247231,0.9252769,2.001108,4.450554,7.175278,10.57528,8.950554,6.925831,4.401108,1.375277,0.7247231
1939,0.7,0.3747231,0.5252769,1.750554,4.425277,7.500555,9.800553,8.775277,5.775831,2.325831,1.300554,1.174723
1940,1.0,0.8000001,0.9252769,2.726385,4.175831,6.925831,9.850554,8.700554,7.074723,3.750554,1.000554,0.9752769
1941,0.5747231,0.875277,1.000554,2.576385,4.601108,7.951108,9.449446,8.52583,5.151108,2.251108,0.8505539,0.5
1942,0.9247231,0.9752769,0.75,1.901662,4.975831,7.975832,10.25055,9.452215,6.476385,4.025277,0.825277,0.3247231
1943,0.4247231,0.825277,0.5752769,2.025831,5.201108,8.125832,9.97583,9.124723,6.550554,3.850554,2.1,1.224723
1944,0.9,0.9752769,0.9252769,2.225277,4.751108,8.400555,9.551107,8.551107,5.925277,3.800554,1.250554,1.0
1945,0.875277,0.95,0.9252769,1.176385,3.775831,7.625278,9.775276,9.101108,5.900554,3.450554,0.6505538,0.7
1946,0.6752769,0.6,0.724723,1.725831,5.075831,8.551108,9.451107,8.674724,5.625831,3.226385,0.9252769,0.3
1947,0.4,0.4252769,1.675277,1.726385,4.476385,6.375832,9.376938,7.275831,5.825277,3.500554,1.925831,1.175277
1948,0.8000001,0.6,0.6252769,1.5,4.350554,7.526385,10.02472,8.649446,5.575277,2.901108,0.8505539,0.3
1949,0.6,0.3,1.325277,1.675831,3.775831,6.725832,9.251107,9.8,7.175831,3.450554,2.001108,0.6
1950,0.775277,0.2247231,1.125277,1.750554,4.675831,8.626386,9.77583,8.451108,6.500554,2.900554,0.9,0.8000001
1951,0.3247231,0.4494462,0.35,2.001662,4.451108,6.925278,9.875831,10.27583,6.876385,2.5,1.450554,0.5494462
1952,0.3,0.6,0.7747231,1.725831,3.950554,7.201662,9.926384,8.726385,5.726385,3.676385,2.150554,0.9
1953,0.3247231,0.8000001,0.65,2.801661,4.975831,8.526385,10.45055,9.225831,6.575277,3.4,1.125831,0.7505538
1954,0.5,0.4247231,1.225277,1.350554,4.025831,7.250555,10.37583,10.54945,6.300001,3.700554,1.475831,0.5
1955,0.8505539,0.4,0.5252769,1.925277,4.700554,8.575277,11.17472,8.175277,6.599446,3.324723,0.575277,0.5
1956,0.4247231,0.4,1.1,2.101108,4.151662,7.825277,11.1,8.251661,5.975277,2.4,0.9758308,0.4494461
1957,0.9,0.5,0.9758308,2.376384,4.301108,7.051662,9.67583,10.70111,6.325831,3.401108,0.9263847,0.4
1958,0.6752769,0.4,0.9252769,2.051661,4.651108,8.426939,11.22583,10.67583,6.800554,2.924723,1.175831,0.7
1959,0.0820098427767027,0.3644302761985623,0.2557222880768068,0.7898581745929087,1.4141333839346435,5.074924412812794,4.750728806787176,2.3838549894489365,1.4233831348604191,0.7401047432575321,0.2426560783848188,0.2164931942312842
1960,0.0712829536177084,0.2912466968362134,0.3160073188333381,0.5834140981602582,1.670111566376983,5.047509025013433,3.941511048307154,2.654322194964667,1.0148853201263668,0.540722826430458,0.1771337456900333,0.0706432431139882
