,Year,January,February,March,April,May,June,July,August,September,October,November,December
0,1959,-34.09348809523809,-23.15043236763237,-30.94935185185185,-16.22338034188034,-5.660685286935288,2.773837448559671,6.319268449804164,4.874015845265845,-0.4936910414688192,-11.28067008094786,-27.46692524553635,-30.68725735802659
1,1960,-34.87623598623598,-26.12203613259169,-27.14681360784809,-17.53077649017649,-3.256419552669553,4.725028889298665,6.319028185076573,5.867126788981629,0.792849752099752,-9.30664581924724,-27.11635958330834,-24.57568315727545
2,1961,-28.04245183290708,-32.917849471435,-30.47359289903645,-23.34910556130665,-4.876881720430107,4.792856280193236,7.932661290322581,5.574865591397849,-0.0719444444444445,-12.53870967741936,-24.78851307189542,-31.3988106511544
3,1962,-24.96850456317561,-25.76296315808932,-28.79508950485581,-17.52132575757576,-6.934408602150538,3.678194444444444,7.818951612903225,8.665860215053765,-0.5520833333333331,-5.108467741935483,-21.88333333333334,-24.0474413489736
4,1963,-30.7374572163088,-31.70713270425227,-27.76362460003765,-12.45902777777778,-3.764381720430107,4.110833333333334,7.141801075268818,6.150134408602153,-2.375833333333334,-9.908064516129032,-25.38198030941626,-25.02288558799778
5,1964,-31.98364152812155,-30.390741172342,-33.7014894082075,-23.84475576462469,-7.370967741935484,1.092083333333333,4.23494623655914,5.761962365591397,-0.977638888888889,-7.973521505376345,-21.82354437229437,-31.82658971550908
6,1965,-31.7525404089935,-38.76679750491055,-21.33481182795699,-14.96777777777778,-6.03212365591398,0.5634722222222222,7.523135811126695,5.711693548387097,-1.193472222222222,-14.30309139784946,-19.16444444444444,-28.69552137787412
7,1966,-35.67168818367268,-32.54858736864458,-28.82243629295624,-21.44157529239767,-3.991666666666666,3.050138888888888,7.096908602150538,4.665322580645162,1.579027777777778,-8.876075268817205,-23.81044444444444,-27.31738280419907
8,1967,-29.7587473816506,-31.63499788223472,-24.74413472027427,-15.10472222222222,-5.50739247311828,1.123611111111111,5.822849462365592,4.24489247311828,0.2855555555555555,-11.17163978494624,-19.95109195402299,-25.80255376344086
9,1968,-29.98891139851434,-30.64573603479853,-23.2057123655914,-18.17416666666667,-4.559408602150538,2.743611111111111,5.728494623655914,4.377150537634408,-0.3422222222222221,-7.467741935483873,-23.946734006734,-33.97316192320225
10,1969,-33.3594331688906,-33.42964616402116,-27.04965964999625,-12.91305555555555,-4.884408602150537,2.259583333333333,5.581720430107528,2.565591397849463,-0.605,-6.135618279569892,-27.30661507936508,-21.94219086021505
