WMO Index,Year,January,February,March,April,May,June,July,August,September,October,November,December
29263,1966,36.0,30.0,14.0,20.0,52.0,68.0,98.0,59.0,57.0,79.0,55.0,34.0
29263,1967,14.0,13.0,12.0,15.0,79.0,74.0,60.0,83.0,21.0,23.0,34.0,14.0
29263,1968,29.0,13.0,20.0,36.0,14.0,88.0,34.0,69.0,58.0,22.0,59.0,26.0
29263,1969,17.0,22.0,11.0,45.0,54.0,36.0,14.0,158.0,55.0,52.0,40.0,35.0
29263,1970,33.0,16.0,8.0,22.0,34.0,94.0,25.0,62.0,21.0,61.0,40.0,28.0
29263,1971,40.0,8.0,21.0,15.0,41.0,38.0,63.0,50.0,47.0,61.0,49.0,31.0
29263,1972,26.0,26.0,12.0,11.0,42.0,40.0,63.0,111.0,61.0,49.0,47.0,56.0
29263,1973,27.0,13.0,26.0,46.0,25.0,59.0,47.0,30.0,27.0,16.0,51.0,24.0
29263,1974,28.0,31.0,23.0,24.0,61.0,16.0,77.0,104.0,57.0,53.0,41.0,32.0
29263,1975,38.0,16.0,16.0,22.0,60.0,34.0,57.0,46.0,71.0,51.0,47.0,15.0
29263,1976,14.0,29.0,11.0,8.0,36.0,29.0,54.0,71.0,30.0,38.0,28.0,33.0
29263,1977,13.0,21.0,23.0,17.0,65.0,,14.0,108.0,64.0,53.0,56.0,26.0
29263,1978,34.0,7.0,11.0,30.0,45.0,40.0,87.0,116.0,40.0,29.0,45.0,29.0
29263,1979,53.0,34.0,23.0,23.0,28.0,38.0,53.0,95.0,39.0,66.0,37.0,25.0
29263,1980,23.0,8.0,3.0,9.0,48.0,16.9,38.0,51.0,59.0,30.0,86.0,61.0
29263,1981,20.0,28.0,18.0,15.0,39.0,19.0,149.0,27.0,52.0,17.0,11.0,32.0
29263,1982,31.0,14.0,24.0,45.0,34.0,31.0,70.0,42.0,39.0,83.0,66.0,48.0
29263,1983,45.0,22.0,22.0,32.0,49.0,25.0,48.0,60.0,62.0,47.0,34.0,45.0
29263,1984,22.0,23.0,10.0,43.0,57.0,17.0,22.0,36.0,7.0,53.0,56.0,36.0
29263,1985,46.5,12.2,17.4,27.0,38.9,53.7,103.4,108.5,30.4,53.8,35.8,30.7
29263,1986,26.6,12.8,29.9,14.4,62.0,60.2,37.7,88.3,41.2,27.3,31.9,31.1
29263,1987,25.7,11.6,7.4,33.3,24.8,111.3,59.4,42.7,53.4,47.6,52.7,30.9
29263,1988,24.8,15.0,12.8,36.6,47.3,97.5,53.2,67.7,27.7,51.8,40.8,20.6
29263,1989,37.2,16.4,19.9,18.6,40.0,33.9,32.9,31.3,27.9,42.6,28.9,24.1
29263,1990,22.5,20.9,11.6,23.8,53.2,102.0,73.6,89.3,68.9,50.7,41.1,41.9
29263,1991,21.4,21.8,20.8,17.3,8.6,40.2,50.8,41.8,38.5,49.1,37.3,30.6
29263,1992,31.7,11.3,17.7,23.1,8.6,102.3,20.9,20.7,74.6,17.7,47.0,47.3
29263,1993,20.0,18.4,11.4,5.7,62.9,71.8,48.3,106.7,41.7,60.7,38.4,41.1
29263,1994,29.2,14.9,17.6,32.2,32.4,61.0,22.8,21.6,55.5,33.3,35.9,28.9
29263,1995,32.0,23.4,25.9,27.9,20.1,74.6,20.3,51.9,43.0,53.5,63.3,32.6
29263,1996,20.1,9.2,5.4,30.0,41.1,10.9,8.3,68.8,41.3,46.5,26.0,48.7
29263,1997,31.2,26.0,23.2,24.3,19.3,54.2,28.0,98.7,11.2,28.9,47.3,26.7
29263,1998,22.1,18.4,1.0,32.9,28.3,65.9,46.6,65.4,60.1,79.6,47.6,53.6
29263,1999,39.3,17.9,8.2,35.1,24.0,52.0,24.3,53.8,30.0,33.4,36.1,37.0
29263,2000,18.4,33.9,32.4,27.2,68.9,51.8,66.9,50.9,53.5,47.8,29.3,36.5
29263,2001,15.1,20.1,17.7,21.1,45.8,109.6,98.1,49.6,98.7,43.9,48.0,39.5
29263,2002,51.1,33.2,44.3,18.4,75.7,76.7,41.0,42.0,53.7,48.9,37.7,19.6
29263,2003,28.6,9.5,12.8,33.4,15.7,15.4,35.5,25.5,69.8,43.8,47.6,28.1
29263,2004,16.4,37.0,27.2,45.9,46.6,76.0,76.8,19.5,65.8,46.9,28.0,19.7
29263,2005,26.3,12.5,10.0,49.4,29.4,106.2,49.2,31.9,68.9,55.8,41.9,10.1
29263,2006,21.5,17.7,27.1,30.8,35.9,26.2,72.8,65.9,34.1,58.3,28.9,54.9
29263,2007,37.5,35.4,30.3,17.8,88.8,69.7,65.0,51.2,45.9,46.2,31.7,41.4
29263,2008,20.3,18.7,20.0,17.3,22.8,59.7,76.0,85.3,60.4,53.9,72.5,47.3
29263,2009,20.3,16.2,11.0,29.5,83.2,51.4,41.8,65.6,56.9,32.1,38.8,38.1
29263,2010,25.7,13.5,17.5,21.9,30.4,43.3,178.2,41.1,54.4,41.2,40.2,34.2
29263,2011,8.8,21.5,6.6,37.9,17.6,60.3,83.2,83.9,22.9,40.3,35.5,29.7
29263,2012,17.5,12.6,23.8,43.5,33.4,0.7,12.1,65.0,60.7,66.7,31.8,19.8
29263,2013,31.7,24.1,38.2,33.9,94.5,34.2,68.7,47.6,47.7,36.3,47.3,64.1
29263,2014,33.6,24.8,37.3,22.7,73.4,29.7,195.7,120.7,36.1,57.3,49.4,29.7
29263,2015,49.9,16.9,19.4,39.6,38.2,35.8,71.0,110.0,112.0,65.5,16.2,46.5
29263,2016,2.2,32.6,18.5,16.3,41.9,16.2,85.2,60.6,18.2,19.0,57.8,60.8
29263,2017,33.1,16.8,8.3,27.9,44.1,35.7,66.4,27.8,110.7,29.8,50.6,38.6
29263,2018,29.0,18.0,6.7,37.2,62.0,21.1,27.8,50.9,49.2,31.9,57.1,27.7
29263,2019,24.6,8.2,12.4,39.7,29.2,94.9,33.9,73.8,61.4,39.8,71.9,38.0
29263,2020,34.8,23.2,32.3,13.9,97.1,68.9,123.1,47.2,57.5,45.7,54.6,35.6
