WMO Index,Year,January,February,March,April,May,June,July,August,September,October,November,December
36278,1966,15.7,13.6,4.6,8.7,10.6,20.7,76.5,51.7,9.6,6.2,12.2,5.6
36278,1967,0.6,0.8,1.7,2.0,24.6,32.4,41.2,43.7,8.8,1.7,4.5,0.2
36278,1968,3.6,0.6,9.3,2.2,14.2,6.9,59.0,58.9,29.7,6.1,16.0,2.7
36278,1969,4.8,1.7,1.0,4.0,6.3,16.6,54.7,62.4,8.5,12.0,3.8,4.5
36278,1970,0.3,4.1,0.0,3.6,4.3,21.3,140.1,25.7,10.6,6.9,3.1,1.7
36278,1971,4.1,1.0,4.7,3.1,3.3,2.2,54.3,25.9,8.9,0.7,1.0,7.1
36278,1972,1.5,0.2,0.0,4.9,7.3,35.9,66.9,5.9,6.8,6.3,13.6,11.0
36278,1973,1.2,8.9,0.0,1.7,6.3,43.0,27.5,57.7,36.3,3.5,2.9,2.0
36278,1974,1.6,2.5,4.8,5.0,3.5,5.3,6.7,23.3,8.1,9.1,5.3,0.0
36278,1975,1.0,0.7,6.4,16.5,0.2,33.2,45.0,17.7,14.9,4.1,1.3,4.3
36278,1976,0.9,3.1,0.0,1.8,17.8,20.8,52.7,23.6,,,3.2,3.8
36278,1977,0.3,,2.4,0.4,1.4,6.5,32.3,6.9,16.3,1.7,1.3,6.5
36278,1978,0.3,7.6,2.1,0.9,2.6,5.8,65.0,32.5,18.7,0.5,0.8,17.5
36278,1979,20.6,0.0,1.2,2.3,4.2,31.1,35.0,6.7,8.6,13.8,11.0,0.0
36278,1980,0.3,0.0,0.2,2.9,7.0,12.6,36.8,18.3,1.7,3.5,22.2,2.3
36278,1981,1.4,2.0,4.5,5.5,2.1,22.2,24.2,37.5,24.6,8.1,1.0,5.9
36278,1982,4.5,0.5,6.0,7.4,1.8,26.1,64.3,,11.6,4.1,12.4,10.7
36278,1983,1.6,0.3,0.3,7.4,15.6,18.5,26.0,24.4,27.2,0.7,4.8,0.4
36278,1984,3.8,0.5,3.1,5.0,7.4,29.1,,44.0,12.9,5.1,19.7,2.4
36278,1985,0.7,0.7,0.4,2.3,4.1,25.3,42.4,16.7,10.1,6.8,15.9,2.5
36278,1986,5.0,0.4,0.7,2.1,4.3,56.6,45.2,32.3,12.6,5.5,0.3,12.2
36278,1987,12.0,4.6,0.6,8.2,26.7,19.9,51.5,31.8,17.7,5.1,15.5,11.4
36278,1988,1.3,0.5,0.4,4.6,9.1,46.6,42.0,38.5,15.7,7.3,1.5,7.1
36278,1989,1.2,2.9,0.0,1.0,13.6,38.1,55.4,28.5,9.4,0.8,2.4,18.2
36278,1990,0.3,1.9,0.2,1.6,7.1,19.8,48.7,45.5,6.8,2.7,5.1,12.1
36278,1991,3.0,2.0,6.1,0.0,7.9,37.5,52.0,29.2,4.0,6.0,17.6,1.9
36278,1992,3.1,16.1,5.8,2.3,11.3,6.9,40.9,38.0,5.9,0.7,4.3,0.9
36278,1993,0.7,3.3,2.2,7.4,16.8,46.5,161.5,25.1,13.0,1.6,1.6,6.1
36278,1994,2.7,3.0,1.1,11.1,8.4,,72.4,,22.2,,,
36278,1995,0.7,0.2,0.7,0.8,9.3,3.8,9.7,46.7,1.1,3.1,,2.0
36278,1996,1.6,1.3,0.7,3.0,11.7,18.2,36.6,12.2,5.6,2.1,5.5,12.9
36278,1997,50.4,0.0,0.4,0.9,5.4,18.5,34.0,37.4,12.1,0.0,0.0,3.7
36278,1998,3.2,2.4,1.8,12.8,3.2,27.5,33.7,18.1,12.7,9.2,23.8,4.7
36278,1999,7.2,1.0,3.7,6.9,7.9,9.4,47.1,45.3,7.7,10.8,4.6,3.0
36278,2000,5.0,1.3,0.4,2.9,10.3,49.6,17.5,9.6,3.0,7.8,6.2,5.3
36278,2001,1.3,1.4,1.6,10.3,1.2,6.4,17.7,18.4,8.5,0.0,3.2,0.9
36278,2002,5.3,0.0,1.8,6.4,12.0,17.8,24.8,4.4,2.3,6.6,6.4,1.9
36278,2003,1.0,0.0,2.2,1.3,4.4,7.3,34.6,7.6,11.1,1.3,0.7,10.9
36278,2004,0.0,3.4,6.9,7.7,4.4,10.1,33.9,4.3,15.5,0.3,5.5,6.9
36278,2005,0.2,1.9,1.1,2.0,6.1,2.6,7.9,23.0,5.8,5.2,12.5,0.0
36278,2006,1.2,3.5,1.2,6.5,6.4,22.8,28.2,15.6,4.2,4.5,2.2,0.4
36278,2007,0.5,1.2,0.0,3.5,3.8,0.8,16.8,12.5,7.6,4.3,0.0,0.5
36278,2008,0.0,2.1,4.8,0.0,5.0,15.6,42.1,38.7,12.3,3.2,8.1,2.2
36278,2009,1.2,3.4,6.4,3.3,2.1,5.6,20.6,24.4,20.8,13.0,10.4,8.6
36278,2010,5.0,4.1,11.2,2.1,6.8,16.1,61.4,16.1,1.2,10.4,27.2,2.3
36278,2011,0.0,0.0,0.0,2.2,1.0,44.9,39.4,4.4,0.0,3.4,3.7,0.0
36278,2012,0.0,0.0,0.0,2.7,1.2,18.8,35.5,82.3,0.8,9.7,8.7,1.7
36278,2013,4.2,0.0,24.2,0.6,4.4,12.4,36.1,41.0,8.2,13.0,3.0,2.4
36278,2014,0.4,2.4,1.1,0.0,13.6,35.4,23.9,14.8,5.2,5.6,3.1,0.0
36278,2015,0.3,1.6,1.3,3.8,19.0,39.7,29.5,4.4,21.1,4.9,4.5,1.0
36278,2016,1.2,5.7,6.9,10.0,4.1,36.0,82.0,125.6,45.2,4.5,8.1,5.6
36278,2017,0.2,0.0,0.6,5.1,2.7,22.9,24.6,37.9,24.4,1.7,0.7,1.7
36278,2018,0.7,0.9,7.8,3.2,5.0,6.3,42.5,26.0,8.5,1.5,2.8,0.8
36278,2019,1.0,2.1,0.0,3.6,4.2,16.8,83.9,43.3,10.0,11.4,10.5,11.2
36278,2020,7.5,3.8,1.0,0.0,14.6,44.4,84.8,76.9,10.7,4.4,5.2,1.8
