Year,January,February,March,April,May,June,July,August,September,October,November,December
1960,,0.084,0.26999999999999996,0.12666666666666665,0.07142857142857142,0.8214285714285715,1.9566666666666668,1.0,1.375,0.32000000000000006,0.525,0.07
1961,0.17333333333333334,0.15555555555555553,0.10384615384615385,0.3607142857142857,0.6774193548387096,0.46896551724137925,1.3870967741935485,1.3233333333333335,1.0785714285714287,0.4387096774193548,0.1142857142857143,0.07777777777777777
1962,0.15217391304347827,0.3038461538461539,0.11666666666666667,0.23793103448275865,0.3933333333333333,1.3599999999999999,0.6387096774193549,1.0444444444444445,0.5633333333333334,0.4733333333333334,0.35172413793103446,0.525925925925926
1963,0.30333333333333334,0.25,0.15161290322580645,0.12333333333333332,0.5419354838709677,0.7357142857142858,2.0451612903225804,0.9600000000000001,1.5999999999999999,0.39999999999999997,0.25666666666666665,0.27419354838709675
1964,0.06451612903225806,0.10344827586206896,0.19999999999999998,0.33666666666666667,0.9387096774193547,0.4111111111111111,3.064516129032258,4.789655172413793,1.1520000000000001,0.703448275862069,0.1766666666666667,0.3233333333333333
1965,0.21935483870967742,0.08571428571428572,0.0793103448275862,0.20000000000000004,0.10333333333333333,2.0482758620689654,0.38275862068965516,0.6483870967741936,0.8964285714285715,0.49032258064516127,,0.07666666666666667
1966,0.5129032258064516,0.4703703703703704,0.3419354838709678,0.27499999999999997,0.37,2.64,2.6096774193548384,0.9599999999999999,0.7923076923076924,0.7464285714285716,1.3954545454545453,0.6759999999999999
1967,0.1576923076923077,0.35769230769230764,0.38333333333333336,0.29666666666666675,1.4200000000000004,0.7791666666666667,1.0483870967741935,0.5655172413793103,1.0413793103448277,0.6032258064516128,0.3724137931034483,0.14666666666666664
1968,0.39333333333333337,0.264,0.25483870967741934,0.5964285714285714,0.275,0.9344827586206897,1.6774193548387097,1.8714285714285717,0.6199999999999999,0.7967741935483871,0.41666666666666674,0.37142857142857144
1969,0.9862068965517241,0.5037037037037038,0.12857142857142856,0.44000000000000006,0.15161290322580645,2.143333333333333,2.163333333333333,1.3413793103448277,0.41818181818181815,0.4516129032258065,0.18333333333333332,0.38064516129032255
