Year,January,February,March,April,May,June,July,August,September,October,November,December
1901,0.532258,0.8,0.767742,0.566667,0.451613,3.10333,1.07097,1.9871,1.27667,3.30968,0.876667,1.3129
1902,1.5871,0.334483,1.51613,0.126667,1.05806,0.55,2.93548,5.44516,1.11667,0.93871,0.54,0.622581
1903,0.754839,0.862069,0.993548,1.35333,1.61935,1.81,2.73871,3.69032,1.18,2.37742,0.75,0.364516
1904,0.916129,1.21724,0.354839,1.5,1.78387,1.71,2.20645,2.78387,0.94,0.806452,0.343333,1.49355
1905,1.13226,0.441379,0.667742,0.763333,1.43226,1.84333,3.66129,2.65806,1.46,1.27419,0.873333,1.4
1906,0.951613,0.972414,2.1129,0.733333,2.76129,1.62,2.59355,3.46452,1.00333,0.990323,1.17667,0.558065
1907,0.864516,1.18276,0.880645,0.696667,1.67097,3.50667,2.47742,3.05806,1.76,1.7,0.683333,1.14194
1908,0.590323,1.36552,0.896774,0.56,0.967742,1.84333,2.39032,1.65484,1.29667,0.612903,0.66,0.503226
1909,1.01613,0.37931,1.1129,1.36667,1.64516,1.85667,2.37742,3.60323,1.96667,2.02903,1.52667,1.40323
1910,1.3871,0.493103,0.722581,1.00667,1.82258,1.47667,1.34194,1.07742,1.62,1.99355,1.74333,0.645161
1911,0.719355,1.53448,0.651613,1.03,0.432258,1.96,1.6,1.06774,2.16667,1.67742,0.816667,0.696774
1912,0.806452,0.751724,1.22258,0.176667,2.54194,2.56667,0.729032,6.38387,1.21667,1.33548,2.27,1.97742
1913,0.422581,0.582759,1.16452,0.83,0.974194,1.51,3.5,2.74194,1.17333,0.677419,1.56,1.9
1914,1.05806,0.57931,1.4871,0.72,1.44516,0.776667,1.39355,0.880645,1.37667,0.777419,0.566667,0.893548
1915,1.08387,0.668966,0.735484,0.726667,0.432258,0.916667,5.33548,2.10323,2.25333,0.206452,2.60333,1.35806
1916,1.52581,0.468966,1.2,1.46333,1.52581,2.14333,4.14839,0.974194,0.73,2.39032,3.01,1.6129
1917,0.364516,0.596552,0.483871,0.713333,0.806452,2.28333,2.76774,3.29032,1.72,1.85484,0.636667,1.14194
1918,1.14839,0.693103,0.503226,0.756667,0.919355,4.2,2.28064,2.48065,3.64333,0.958064,0.51,1.06129
1919,1.51935,0.248276,0.616129,0.943333,1.15484,2.63333,1.97419,1.61935,2.10667,0.8,1.20667,0.845161
1920,1.19355,0.737931,0.729032,1.62333,2.0871,1.20667,2.7129,2.59355,1.79333,0.16129,0.2,0.596774
1921,1.93548,0.927586,0.435484,0.426667,1.89355,2.24,3.17419,3.67097,1.64,1.81613,0.47,2.18387
1922,0.832258,0.689655,1.35806,1.45333,0.690323,1.71,3.43226,2.61613,1.30333,0.619355,1.46333,1.21613
1923,0.887097,0.348276,0.541936,0.596667,2.18064,1.88667,1.53226,2.94839,3.90667,3.01935,0.96,0.63871
1924,1.17742,0.896552,1.08387,0.826667,1.98387,4.33,2.46452,4.07419,3.16333,1.88387,0.743333,0.606452
1925,0.893548,0.841379,0.454839,0.506667,1.97097,1.34333,3.88065,3.29355,1.57667,0.832258,1.47333,1.80645
1926,1.21935,0.641379,0.703226,0.733333,3.38387,1.63333,1.97742,1.70645,2.18,1.34516,1.72333,1.3871
1927,1.62258,0.855172,0.793548,0.626667,1.5129,2.26667,3.92581,3.22258,3.02667,3.0,0.41,0.209677
1928,1.23226,1.06552,0.522581,0.556667,1.2,2.21667,1.84194,3.82258,1.46333,2.08065,1.38333,0.564516
1929,0.893548,0.327586,1.21613,1.11333,1.53871,2.01,1.98064,4.35484,1.93333,3.29355,1.49333,1.33548
1930,1.16129,0.348276,0.754839,0.913333,2.07097,1.47667,3.11613,1.60323,1.53,1.75484,2.25667,1.05806
1931,1.61613,0.827586,0.332258,1.85,1.3,2.01667,2.85484,3.99355,1.08667,1.85806,0.83,1.60323
1932,0.877419,1.00345,0.448387,1.08333,1.09355,1.42667,2.54839,1.47097,2.26,1.8871,1.04667,0.422581
1933,0.63871,0.831034,0.480645,0.496667,0.851613,0.593333,3.68064,2.6871,1.15333,2.12903,0.4,0.909677
1934,0.503226,1.54483,1.03871,1.26667,0.974194,2.27667,3.37097,2.62258,2.38667,1.1,1.8,1.65806
1935,1.63226,1.36207,0.648387,0.906667,0.325807,3.01667,3.0129,1.67742,2.89,2.95806,1.93,2.13548
1936,2.70645,0.565517,0.674194,1.44333,0.764516,0.903333,4.24516,3.60323,0.32,1.20323,1.13333,0.893548
1937,0.706452,1.01724,0.935484,1.06333,1.96129,3.32,3.66129,0.748387,4.22333,0.874193,1.14,1.34194
1938,0.806452,0.744828,1.20968,0.963333,1.67419,2.1,4.29032,2.52581,3.33667,2.37097,1.12667,1.21613
1939,1.57742,1.11379,0.3,0.873333,0.735484,3.41333,3.54194,2.2871,0.73,0.325806,1.30333,1.07097
1940,0.883871,0.996552,0.919355,0.906667,0.516129,1.73,3.39355,3.9871,2.75,1.0,1.72667,1.16452
1941,0.403226,0.644828,1.08065,0.176667,0.0645161,2.08667,1.87097,5.11935,1.40333,1.51935,0.67,2.36452
1942,0.406452,0.475862,0.335484,0.336667,1.50645,2.84,2.50645,1.24516,2.12333,2.7871,1.84,1.06774
1943,1.30645,1.04483,0.448387,0.896667,2.66452,1.27667,2.51935,2.38387,1.46333,2.33871,1.47,0.5
1944,1.5129,0.517241,1.10323,1.08667,1.66774,4.38667,1.94516,3.35161,3.26,1.17419,2.08667,1.76774
1945,1.03226,0.955172,1.7871,1.42,1.25161,3.01,1.77097,2.33871,1.16333,1.04839,0.543333,1.50968
1946,0.567742,1.37241,0.593548,0.9,0.848387,3.96667,1.33226,2.76774,4.46667,0.616129,1.51667,1.46129
1947,0.677419,0.106897,1.13871,1.03,0.387097,2.09667,2.60968,0.154839,1.75,0.619355,1.82,1.40323
1948,1.6129,0.465517,0.896774,0.486667,1.21935,1.92667,2.69677,2.8,3.15333,1.43548,0.816667,0.790323
1949,1.34839,0.696552,0.848387,0.936667,1.75161,1.95,4.10323,2.89677,0.996667,1.56129,1.68667,1.73871
1950,1.91935,0.703448,0.480645,2.06333,1.91613,3.28333,3.65161,1.79032,2.75667,1.34839,1.73,1.22258
1951,0.912903,1.67241,0.529032,1.07667,0.583871,3.08,2.17419,3.44194,1.63667,0.422581,2.21,1.05484
1952,0.5,1.04138,0.509677,0.966667,1.78387,4.34,2.14516,2.28065,1.4,1.12258,0.863333,1.2
1953,0.851613,0.648276,0.36129,1.45,1.65806,3.99,5.43226,3.71613,1.94,0.883871,1.09333,0.909677
1954,1.02903,0.472414,0.716129,0.413333,0.829032,2.43667,4.79677,3.11613,2.16667,1.5871,1.07667,1.30968
1955,0.967742,0.627586,0.277419,0.293333,1.49355,1.21333,1.26774,2.4,2.54333,1.43548,0.906667,1.26452
1956,1.27742,0.724138,0.277419,0.596667,0.206452,4.19667,2.30968,3.56774,2.96,0.96129,0.66,0.63871
1957,0.716129,1.13103,1.26129,0.55,1.4129,2.58333,5.05161,3.64839,4.15,1.17742,1.41,0.390323
1958,0.712903,0.696552,0.870968,0.506667,2.07742,1.82,2.25484,2.46129,1.44667,2.23226,1.28,1.56129
1959,2.20323,0.275862,0.729032,1.43333,0.867742,1.2,3.27097,1.06129,0.7,2.16774,2.20667,2.34839
1960,1.15806,0.748276,0.648387,1.10667,1.58065,3.71333,3.61613,5.03871,2.06667,2.48387,2.80667,1.15161
1961,0.754839,0.931035,0.832258,0.3,1.80968,1.97333,3.99032,3.97419,1.85333,1.69355,1.11,1.32903
1962,1.20323,0.937931,0.764516,1.71,1.42903,1.27333,2.6871,3.23871,2.36,1.28387,0.786667,1.22581
1963,1.3,0.562069,0.909677,0.746667,1.58065,2.85667,2.38387,2.8129,1.81667,1.66452,1.47,0.393548
1964,0.716129,1.1069,0.016129,0.466667,1.15484,3.98,3.39032,3.62903,2.15667,1.93871,1.52333,1.32258
1965,1.92903,1.06897,0.574194,0.996667,0.751613,1.91,3.01935,2.05484,2.96,1.47097,1.06,1.12903
1966,0.887097,1.02414,1.49677,1.35,1.94516,1.28667,2.88387,3.50968,2.80667,1.28065,1.02667,1.70323
1967,0.912903,0.982759,1.19032,0.876667,2.24839,1.65667,2.52258,3.3,1.07667,2.07419,1.55333,2.11613
1968,0.906452,0.758621,1.07419,0.69,1.92258,2.28333,1.01935,1.02903,1.36667,2.59032,0.893333,0.867742
1969,0.954839,0.489655,0.645161,1.29667,1.37097,0.6,3.05484,1.47742,2.46333,1.5129,1.35,0.441935
1970,0.43871,0.437931,0.845161,0.98,1.55484,1.54667,4.37097,1.2,2.98,1.87419,1.33667,0.493548
1971,1.10323,1.08621,0.841935,0.593333,2.21935,2.42,3.24516,1.94194,2.07333,2.15806,2.30667,1.52258
1972,0.354839,0.382759,0.887097,0.953333,1.70323,3.62,2.29677,1.91935,2.07,1.25806,1.35,0.993548
1973,1.29677,1.1069,0.777419,2.08333,2.3,1.58,4.62903,2.31935,2.64667,1.70968,1.52333,1.5
1974,0.832258,0.775862,0.280645,0.343333,0.993548,1.94667,3.37097,1.76452,2.64333,1.3871,1.39,1.1871
1975,2.27419,0.389655,0.341935,0.63,1.77419,1.41,1.69032,2.53548,3.09333,1.51613,0.833333,1.08387
1976,1.1871,0.493103,0.406452,0.89,0.56129,2.43333,1.90323,1.26774,2.42667,0.916129,1.75333,1.60323
1977,1.35484,0.658621,0.841935,1.44333,1.34839,2.82333,2.48064,1.65161,2.40667,1.15806,1.56,0.903226
1978,1.15161,0.575862,1.29032,1.13333,0.43871,3.04,1.62581,2.85161,2.34667,0.903226,1.19667,0.732258
1979,0.516129,0.506897,1.16452,0.966667,1.48065,2.80333,3.51935,3.05806,2.49667,1.69355,1.59667,0.987097
1980,0.435484,0.272414,0.7,0.443333,1.99677,4.03,1.29677,2.52258,1.84,2.28387,1.6,0.983871
1981,1.13548,0.941379,1.17419,0.853333,1.09677,4.17,3.94194,1.16129,0.93,2.44839,2.60667,1.04839
1982,1.03871,0.810345,1.43548,1.36333,1.66452,0.513333,2.09032,2.46774,2.96667,0.696774,1.70667,1.12258
1983,1.30968,0.351724,1.12903,1.55,2.19355,1.62667,1.52258,2.37742,4.13667,2.5871,0.763333,1.24516
1984,1.20645,0.834483,1.20968,0.39,2.25161,2.68667,1.35484,2.17419,2.37,2.85484,1.17333,1.28387
1985,1.59677,1.25517,0.890323,1.45333,1.38065,2.58333,3.33548,3.97742,4.03,1.1871,1.64333,1.72903
1986,1.0871,0.341379,0.954839,0.963333,1.62903,1.79,3.25161,4.22581,2.39667,1.12258,1.43333,2.91613
1987,1.29032,1.23793,0.945161,1.26333,2.28387,4.17333,2.37419,3.21613,2.97,2.2129,1.67333,1.3
1988,1.72581,2.15172,0.812903,1.19333,0.806452,0.96,3.61935,1.79677,2.98333,1.08065,1.00333,1.89032
1989,0.745161,1.66552,1.10323,1.19,1.10968,2.08333,2.50323,5.18387,1.04333,1.03871,1.16333,1.1871
1990,1.4871,1.11379,1.98065,2.12333,1.29677,2.07,4.37097,2.3,2.44333,1.02258,1.64667,1.2129
1991,0.809677,0.565517,0.851613,0.613333,1.65806,4.25667,1.54516,1.94839,1.98333,1.41935,0.82,1.07742
1992,1.09032,1.24828,0.916129,2.13,1.0871,0.45,3.07742,3.47419,1.72667,1.35161,1.75333,0.874193
1993,0.96129,0.893103,0.790323,0.443333,1.58387,2.37,3.75484,3.63871,1.41,2.20323,0.546667,1.36129
1994,1.54516,0.193103,1.03871,0.81,0.764516,3.06333,1.06129,3.32258,2.4,1.70968,1.94667,1.46452
1995,1.3129,1.27931,1.31613,1.55,2.72581,2.9,2.21613,2.43871,1.79333,1.60323,1.84,0.867742
1996,0.225806,0.724138,0.36129,0.406667,1.75161,3.05667,3.21613,2.05484,0.933334,1.69677,1.77667,1.24194
1997,1.53871,1.59655,1.49032,1.41333,2.59677,1.67333,1.47419,2.40968,3.23667,2.12258,1.18333,1.1129
1998,0.977419,2.17931,1.6871,0.94,1.10968,2.83667,2.74516,4.04839,1.51,2.35484,0.426667,1.08387
1999,1.26129,1.17586,1.18387,1.63,1.27742,3.43,2.40968,2.09677,1.84333,1.81613,1.80333,2.07097
2000,1.91613,1.3,1.56452,1.30667,2.21613,3.30333,3.31613,3.1129,0.91,2.23226,1.90333,1.2129
2001,1.00645,0.648276,1.14839,1.52333,1.32258,2.16333,3.21613,4.00323,3.22333,2.10968,0.88,0.977419
2002,1.14194,0.844828,1.05484,0.78,1.59355,2.93,2.21935,1.83226,1.54,1.61613,1.10333,0.706452
2003,1.43548,0.413793,0.367742,0.993333,1.77742,2.12333,2.35161,2.87419,1.71333,0.73871,1.42667,1.37419
2004,0.945161,0.52069,0.787097,0.616667,0.603226,2.57667,1.84839,2.39677,3.18,1.12581,1.77333,1.3129
2005,1.43226,0.534483,0.654839,0.573333,1.9,1.68667,2.40968,3.54516,1.46333,1.22903,1.64,1.11935
2006,0.664516,0.958621,1.25484,1.13667,2.56774,1.23,1.6129,3.64194,2.43333,1.70968,1.46667,1.29032
