Year,January,February,March,April,May,June,July,August,September,October,November,December
1901,1.02903,0.865517,0.3,1.38333,0.774194,2.19,1.29677,1.67742,0.473333,1.17742,2.13,0.777419
1902,1.09677,0.731035,1.40323,0.426667,0.922581,2.58333,4.5129,2.42258,2.93667,1.50323,1.01,0.516129
1903,2.12258,1.42759,0.567742,1.47667,0.970968,2.37,2.87097,4.87419,0.946667,0.793548,1.79667,0.554839
1904,0.512903,1.24828,0.225806,1.6,1.54516,3.02667,3.52903,4.7,1.57333,1.37419,1.62,1.86452
1905,0.958064,0.696552,0.667742,1.21,1.06452,1.44,2.87742,2.94194,1.32333,1.0871,1.15333,0.570968
1906,1.37742,0.903448,1.05484,0.756667,2.01613,1.36333,2.03871,1.43226,1.69333,1.06129,2.26333,0.880645
1907,0.593548,0.589655,0.335484,1.17667,1.36774,1.01,2.78387,3.62903,1.05,0.845161,0.686667,0.422581
1908,1.31935,1.25862,0.2,0.616667,0.529032,1.75,1.07097,0.867742,2.67333,0.396774,0.64,1.09032
1909,0.554839,0.682759,1.27419,0.826667,1.09677,1.77333,2.86452,2.40323,1.18,2.27419,1.38333,1.50645
1910,1.30323,1.4069,1.06452,1.27333,0.451613,1.69667,1.86129,0.858065,2.04333,1.18065,1.94667,1.58387
1911,1.1129,0.982759,0.470968,1.19333,0.180645,1.59333,2.11935,2.7,1.97,2.51613,2.51333,1.36452
1912,0.519355,0.87931,1.44516,0.636667,1.6871,2.46333,0.732258,1.97742,4.11333,1.83548,1.53,1.64839
1913,0.648387,0.924138,0.967742,1.31667,0.548387,2.7,1.55161,1.99355,1.21667,0.551613,1.62667,1.18387
1914,1.13871,1.34138,1.10968,0.253333,1.78065,1.16333,4.00645,2.24194,1.6,0.26129,1.18333,1.60645
1915,1.10968,1.2931,0.425806,0.783333,0.577419,2.93,1.62258,2.00645,1.27667,0.387097,1.55,0.83871
1916,1.04516,0.844828,0.435484,0.303333,0.812903,2.64333,2.29032,3.0,2.69333,1.20323,2.02333,1.34839
1917,0.819355,0.27931,0.219355,0.88,1.35484,1.76333,1.22581,1.28065,4.52667,2.35806,1.71667,0.987097
1918,0.967742,0.644828,0.216129,0.21,0.696774,2.25,0.722581,2.38065,2.44333,1.8871,0.696667,1.15806
1919,0.770968,0.731035,0.477419,1.60333,0.325806,1.39333,1.36129,2.26452,2.08,1.35484,0.803333,1.21935
1920,0.748387,1.11034,0.551613,2.79,0.858065,2.26,3.17419,1.46774,1.65333,0.496774,1.30333,0.63871
1921,0.858065,0.37931,1.5871,2.17667,2.07097,2.55333,2.56452,1.43226,1.95,2.09677,0.666667,1.2129
1922,0.787097,0.627586,0.96129,0.916667,2.36452,1.74333,2.69677,2.14839,1.51333,1.1871,1.42667,0.893548
1923,0.809677,0.227586,0.0354839,0.546667,1.84516,2.67667,2.88065,1.79677,3.82,2.96774,3.11667,1.10645
1924,0.816129,1.62414,1.9129,1.01333,1.90968,2.34333,1.0871,1.33548,2.93,1.35806,1.2,0.735484
1925,0.687097,1.44138,0.606452,0.893333,0.983871,2.52667,0.390323,3.49032,3.48333,1.64516,0.94,0.880645
1926,0.564516,0.503448,0.651613,0.813333,2.00645,2.03667,1.22581,1.72581,1.45333,0.945161,1.91667,1.34194
1927,1.6,1.15172,1.37097,1.29667,1.49355,2.67,1.53871,2.9,1.66667,1.10968,0.933333,0.729032
1928,1.00323,0.589655,0.554839,0.203333,1.2,1.66333,3.27097,1.90968,2.17333,3.46129,1.57667,1.16452
1929,0.483871,0.534483,1.14516,0.89,1.6129,0.656667,3.0871,2.28387,2.39,2.52581,2.26,1.53548
1930,1.57419,0.896552,0.903226,0.493333,0.851613,0.976667,0.812903,3.29355,1.74667,1.27742,1.92333,0.777419
1931,1.22903,0.744828,0.567742,1.28,1.0129,2.96667,1.56452,4.1129,1.91,2.41935,0.55,1.07097
1932,1.03548,0.427586,0.306452,1.48,0.903226,2.70333,0.990323,1.14194,3.4,2.26774,0.91,1.38387
1933,0.445161,1.37586,1.5,0.433333,0.758065,2.31333,3.07419,2.07097,1.21667,1.70645,1.39667,0.732258
1934,0.783871,1.0069,0.929032,1.48333,2.16129,1.87667,3.12581,1.40968,1.78,3.85806,2.21667,0.545161
1935,0.996774,1.1931,1.04516,1.06667,0.764516,2.35667,3.02903,3.06452,3.23,2.45161,0.756667,1.02903
1936,1.38065,0.7,0.677419,1.04667,1.27419,1.98667,1.2129,0.964516,1.32333,1.40645,0.926667,1.11613
1937,1.2129,1.69655,1.56774,0.136667,2.45161,0.663333,1.42258,1.90645,3.80667,0.764516,2.53333,0.503226
1938,1.14516,0.493103,1.78065,1.04667,1.85484,3.99333,1.72581,1.27097,2.21667,1.76774,2.55,0.832258
1939,1.37742,0.796552,0.316129,0.86,0.796774,1.57333,3.30323,2.79355,1.34667,0.73871,1.95333,0.806452
1940,0.870968,0.927586,0.735484,0.536667,0.409677,2.74667,3.99355,2.3129,2.91333,0.503226,1.78,0.909677
1941,0.367742,0.77931,0.619355,0.526667,0.467742,1.27,0.777419,2.50323,0.743333,1.44516,0.423333,0.658065
1942,0.512903,0.448276,0.770968,0.803333,1.39677,1.37667,2.92258,2.4129,1.90667,2.89677,1.63333,1.47097
1943,0.741935,1.28621,0.354839,1.84333,1.14516,1.05,2.12258,3.30968,1.25667,2.68387,1.37333,1.12903
1944,1.17419,0.641379,0.709677,0.896667,1.52903,1.01,2.49677,2.02258,1.93667,1.47419,1.37667,1.34516
1945,0.754839,1.20345,1.10968,0.686667,1.34194,3.34,0.570968,2.05806,1.74667,1.55806,1.13333,1.04516
1946,0.906452,1.36207,0.519355,1.00667,0.990323,2.32667,0.951613,1.5,1.53667,0.809677,1.51,0.690323
1947,0.793548,0.637931,0.841935,1.14667,0.36129,0.84,3.15161,0.335484,1.30333,1.39032,1.73333,1.5129
1948,1.25161,0.6,0.416129,0.88,1.26452,2.62333,0.812903,3.22581,2.53667,2.50323,2.21333,1.1871
1949,2.16452,0.806897,0.658065,1.52333,0.767742,3.34333,2.35484,3.54516,1.55333,3.26452,0.793333,2.20968
1950,0.474193,0.924138,0.919355,2.00333,1.60968,1.71333,2.67742,0.716129,2.68,2.06452,2.31,1.13226
1951,1.4871,1.4931,1.04194,1.50667,0.974194,1.55667,2.95161,1.13871,2.29667,0.841936,1.84333,2.04194
1952,1.66774,1.25172,0.729032,0.396667,1.79355,1.86667,3.02903,3.47097,2.84333,0.583871,0.88,1.7129
1953,0.854839,0.472414,0.745161,0.4,0.929032,1.94333,4.16452,3.60645,1.03667,1.73548,0.886667,0.874193
1954,0.829032,0.224138,0.922581,0.646667,0.248387,2.88,4.33871,2.94516,2.65,3.16774,2.61333,1.09032
1955,1.67097,1.42759,1.1129,0.54,1.55161,1.15333,1.54516,0.909677,3.13667,3.08065,1.39333,0.451613
1956,1.0871,0.331034,0.654839,0.543333,0.551613,1.60333,1.76774,2.6129,1.42667,2.5871,1.15,1.12581
1957,0.86129,1.63793,0.225806,0.693333,1.95806,3.61667,1.89355,2.6129,3.59,2.43226,0.76,1.96129
1958,1.17097,1.32759,0.587097,0.513333,1.80645,2.31333,2.84516,0.83871,1.06667,1.83548,1.39667,1.19032
1959,1.82581,0.72069,0.432258,1.18667,0.554839,0.62,2.63226,2.33871,1.44,0.777419,0.706667,0.958064
1960,1.16774,1.03103,0.374194,0.28,0.535484,3.24,1.9129,1.75484,1.1,1.79677,1.78667,1.33226
1961,1.86452,1.9,1.5871,0.46,1.35161,2.44333,2.78065,4.49032,1.47667,1.44516,1.95667,1.09355
1962,1.86129,0.796552,0.654839,1.93,1.2871,3.94,4.95806,3.27419,2.71667,2.07419,2.48667,0.909677
