Year,January,February,March,April,May,June,July,August,September,October,November,December
1960,33.2,10.7,7.2,31.1,22.8,49.0,35.8,35.7,19.9,5.2,20.7,45.6
1961,30.2,21.0,28.5,19.0,33.5,75.5,66.4,86.0,26.6,47.2,52.0,37.8
1962,31.3,18.7,8.6,25.6,50.8,23.4,78.1,45.2,24.1,43.8,20.9,18.9
1963,18.1,19.5,4.4,5.8,15.4,42.8,63.1,57.6,66.1,22.5,36.7,22.9
1964,26.8,10.9,6.0,20.6,39.8,59.3,62.2,79.9,112.4,23.7,13.3,28.5
1965,23.9,25.1,30.4,7.9,19.7,68.4,69.4,89.2,40.3,58.8,29.3,20.1
1966,8.7,16.5,18.9,20.8,18.7,34.3,72.4,77.5,56.2,58.7,24.7,7.2
1967,23.7,11.9,31.7,18.8,17.3,52.0,86.9,40.6,26.4,108.1,23.8,16.4
1968,9.8,13.8,12.4,34.0,19.7,52.0,29.3,41.8,23.0,36.7,17.3,31.3
1969,10.0,5.1,12.3,5.4,14.7,19.2,55.8,54.8,36.8,31.8,22.0,11.2
1970,13.0,15.1,10.9,11.0,8.8,16.6,91.1,12.5,89.7,11.3,12.1,12.0
1971,26.5,10.8,14.3,30.6,2.3,14.8,51.6,87.8,58.2,22.5,31.8,19.0
1972,3.8,8.4,30.9,23.9,34.1,30.1,68.9,16.7,60.9,38.8,16.4,23.5
1973,30.1,9.5,16.6,23.2,10.4,71.0,19.7,33.3,21.8,15.9,60.8,18.6
1974,11.8,42.4,2.7,8.7,8.0,79.8,82.7,126.2,69.7,15.5,16.6,22.2
1975,25.6,14.1,11.1,7.4,52.2,42.2,82.7,62.3,45.2,46.5,12.5,34.3
1976,18.3,11.9,8.6,6.2,6.0,44.3,69.3,42.0,43.8,15.7,32.0,8.8
1977,39.9,12.8,27.7,28.8,17.7,88.1,70.0,14.8,42.0,37.5,27.0,11.2
1978,20.4,30.2,11.7,21.1,4.6,5.2,57.3,52.9,34.8,35.0,15.9,15.4
1979,16.3,26.5,8.9,6.9,38.7,22.1,16.2,59.9,61.4,27.8,28.0,25.3
1980,9.5,4.9,16.2,12.8,32.3,44.4,23.3,27.5,31.9,30.0,44.7,33.9
1981,29.7,9.0,30.2,15.0,14.7,75.2,106.1,64.4,34.6,44.7,25.0,14.5
1982,9.3,5.9,14.8,40.0,46.9,24.8,73.8,101.3,48.9,18.8,26.3,17.5
1983,23.7,16.7,29.3,22.3,39.9,54.3,50.6,20.4,24.5,52.9,35.3,23.8
1984,25.5,8.2,23.3,23.1,34.7,54.4,91.2,53.3,32.2,34.9,19.4,12.7
1985,10.7,7.7,33.0,11.1,34.8,16.6,30.6,55.5,85.1,62.2,36.5,28.6
1986,22.0,6.1,11.5,32.1,38.5,26.0,45.0,112.9,44.2,26.6,21.2,14.0
1987,3.3,52.4,27.3,9.8,33.0,69.8,52.5,92.2,23.3,14.9,10.4,10.6
1988,17.5,21.0,13.2,24.9,34.1,29.1,95.3,52.7,40.4,56.1,33.6,22.5
1989,39.7,23.8,24.0,20.8,60.1,65.3,105.1,59.0,41.3,13.4,29.4,26.5
1990,23.8,21.2,14.8,3.8,18.3,29.1,59.5,72.9,8.0,13.5,20.9,32.8
1991,14.4,6.7,61.1,4.6,32.4,62.5,26.7,75.9,49.5,41.1,51.8,28.5
1992,26.2,20.7,24.0,18.7,19.5,74.6,123.3,137.2,72.0,16.7,30.6,52.2
1993,33.5,14.1,29.6,35.6,47.9,127.4,60.1,29.8,11.9,80.6,3.2,29.0
1994,49.1,10.7,8.5,19.1,37.9,26.3,50.4,45.8,29.4,40.8,30.6,37.3
1995,11.3,33.9,22.3,27.1,34.9,88.9,47.3,115.8,12.2,104.5,49.5,6.3
1996,14.2,24.7,22.9,55.3,30.6,49.4,54.1,45.4,16.5,76.0,53.2,25.5
1997,27.5,42.8,37.3,28.2,44.5,6.5,18.6,55.0,73.2,23.7,20.7,18.8
1998,41.9,80.5,21.0,23.3,71.6,95.2,82.7,59.1,73.9,76.0,16.5,24.8
1999,21.1,20.8,32.5,23.4,15.5,33.1,105.9,150.7,55.1,69.1,44.7,22.7
2000,41.4,32.9,40.1,,,,,,,,,
