WMO Index,Year,January,February,March,April,May,June,July,August,September,October,November,December
24959,1966,15.0,5.0,13.0,7.0,28.0,20.0,60.0,25.0,15.0,37.0,12.0,9.0
24959,1967,14.0,8.0,8.0,5.0,43.0,27.0,15.0,58.0,15.0,22.0,24.0,15.0
24959,1968,3.0,9.0,6.0,8.0,34.0,68.0,34.0,20.0,41.0,15.0,24.0,7.0
24959,1969,10.0,4.0,2.0,10.0,4.0,32.0,47.0,7.0,25.0,9.0,15.0,12.0
24959,1970,4.0,9.0,8.0,20.0,48.0,49.0,6.0,39.0,25.0,49.0,19.0,12.0
24959,1971,6.0,3.0,7.0,21.0,15.0,26.0,31.0,19.0,23.0,18.0,17.0,14.0
24959,1972,8.0,4.0,2.0,19.0,8.0,11.0,77.0,14.0,18.0,12.0,10.0,13.0
24959,1973,16.0,5.0,3.0,11.0,4.0,21.0,18.0,34.0,31.0,8.0,10.0,16.0
24959,1974,12.0,4.0,2.0,23.0,10.0,51.0,53.0,81.0,15.0,29.0,7.0,3.0
24959,1975,8.0,4.0,10.0,5.0,17.0,38.0,82.0,56.0,24.0,21.0,11.0,10.0
24959,1976,4.0,10.0,4.0,9.0,16.0,21.0,60.0,31.0,39.0,20.0,13.0,6.0
24959,1977,5.0,4.0,4.0,4.0,15.0,21.0,39.0,46.0,52.0,13.0,14.0,10.0
24959,1978,7.0,9.0,9.0,1.0,3.0,30.0,23.0,50.0,52.0,24.0,31.0,12.0
24959,1979,10.0,7.0,2.0,4.0,28.0,48.0,35.0,88.0,28.0,45.0,14.0,21.0
24959,1980,17.0,7.0,4.0,4.0,21.0,17.0,17.0,9.0,18.0,9.0,24.0,23.0
24959,1981,9.0,8.0,3.0,1.0,15.0,50.0,55.0,46.0,10.0,9.0,11.0,22.0
24959,1982,4.0,6.0,5.0,20.0,8.0,84.0,59.0,34.0,13.0,32.0,12.0,8.0
24959,1983,9.0,5.0,4.0,9.0,10.0,28.0,16.0,62.0,64.0,8.0,17.0,10.0
24959,1984,11.0,5.0,4.0,10.0,54.0,89.0,19.0,26.0,23.0,14.0,7.0,16.0
24959,1985,3.1,10.9,10.9,14.7,16.0,30.6,26.9,38.9,13.0,12.4,12.7,7.1
24959,1986,6.1,7.1,5.7,6.8,6.8,23.3,9.9,14.8,33.1,7.7,18.7,14.6
24959,1987,3.1,9.0,1.0,7.3,12.9,35.2,35.1,19.9,32.4,25.8,17.1,9.0
24959,1988,11.9,6.4,8.8,7.3,13.4,38.3,42.3,36.3,40.3,19.0,25.3,16.0
24959,1989,11.2,13.2,8.9,12.8,20.4,77.7,7.2,82.3,22.0,20.3,13.8,7.8
24959,1990,6.0,6.6,13.7,0.3,18.8,10.1,81.2,10.5,40.0,19.0,17.1,20.4
24959,1991,9.8,2.8,3.3,3.9,36.1,40.8,40.9,19.7,11.2,20.5,19.0,9.5
24959,1992,8.0,7.9,4.9,4.8,17.9,18.3,50.4,14.3,3.9,12.3,20.5,11.5
24959,1993,15.8,6.8,10.2,5.6,57.8,30.1,29.7,2.5,86.4,20.0,7.5,12.1
24959,1994,4.8,7.9,0.5,2.3,10.2,88.6,55.9,29.5,15.7,24.7,16.1,4.5
24959,1995,9.5,8.3,5.7,15.6,1.1,42.5,17.3,26.7,21.6,10.6,6.0,11.5
24959,1996,10.7,13.6,5.6,7.3,16.5,19.7,55.0,47.1,24.4,9.3,12.7,10.3
24959,1997,9.0,10.4,13.5,6.3,6.1,60.9,34.7,45.9,38.4,12.3,19.9,7.3
24959,1998,7.6,16.5,9.5,11.0,18.3,14.4,19.0,10.9,85.6,26.8,12.8,6.0
24959,1999,12.2,13.5,0.9,7.9,5.8,59.3,43.5,52.9,31.3,37.8,16.6,12.0
24959,2000,6.3,4.8,0.8,9.1,27.2,38.4,28.9,16.6,20.5,11.9,4.1,5.0
24959,2001,5.0,4.6,4.1,7.8,27.5,25.0,4.0,13.4,12.0,11.1,24.9,8.3
24959,2002,12.9,22.2,6.2,3.0,7.4,5.5,44.7,15.8,14.6,4.0,9.5,3.7
24959,2003,8.8,5.4,7.6,6.2,22.6,20.6,100.1,36.5,61.9,11.7,5.3,18.3
24959,2004,5.7,2.9,8.6,2.1,14.8,21.5,30.1,42.0,19.3,17.5,41.6,5.0
24959,2005,7.7,3.7,5.8,5.1,35.3,10.3,68.5,71.0,13.8,38.3,28.9,5.1
24959,2006,3.4,3.6,3.9,1.3,10.8,12.5,27.2,150.8,54.3,14.1,35.2,9.1
24959,2007,21.9,4.1,5.4,16.3,22.2,38.6,62.6,37.1,29.7,25.5,16.0,7.9
24959,2008,15.6,8.3,20.7,10.6,5.4,15.6,50.0,40.6,34.3,6.1,12.9,3.9
24959,2009,6.2,1.4,12.4,5.0,28.8,3.1,26.2,45.6,26.0,33.2,6.1,2.9
24959,2010,6.1,3.3,3.5,12.0,40.5,28.5,26.3,9.2,23.4,22.2,20.1,6.6
24959,2011,6.0,8.9,3.6,5.1,6.0,25.1,40.3,71.9,19.5,32.0,12.2,8.9
24959,2012,12.1,8.5,3.5,17.9,10.1,19.6,20.2,50.8,21.2,35.3,8.1,7.2
24959,2013,4.7,4.9,1.2,2.3,49.9,60.4,64.1,19.9,46.0,10.0,33.1,8.4
24959,2014,6.5,15.2,5.1,6.1,3.8,19.7,74.6,44.3,24.0,10.6,20.1,7.1
24959,2015,7.8,9.8,6.4,13.0,29.7,50.2,15.0,17.1,12.7,22.2,12.1,12.7
24959,2016,10.2,7.4,5.3,1.4,15.2,33.5,73.1,35.7,8.6,6.6,17.4,13.9
24959,2017,12.9,10.5,4.7,14.2,14.1,22.3,21.8,25.6,67.2,12.1,10.7,7.0
24959,2018,16.3,5.8,4.4,16.6,20.7,28.8,28.5,50.7,25.2,13.2,16.2,11.1
24959,2019,8.9,18.7,5.7,2.2,30.8,4.0,16.8,60.2,30.7,18.4,21.3,10.2
24959,2020,18.8,14.6,15.3,14.9,10.8,27.2,33.5,8.8,6.0,28.3,19.5,
